"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","8146","0.0-0.0","1280","625","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","12009","0.0-1.0","1280","625","3861.2999999523163","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","55ca03e1fdf99b2735fc1dde_1651602533534","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","32358","0.0-2.0","","","20345.700000047684","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","55ca03e1fdf99b2735fc1dde_1651602533534","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","86079","0.0-3.0","","","53717.200000047684","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","55ca03e1fdf99b2735fc1dde_1651602533534","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","558689","0.0-4.0","","","472562.10000002384","","","55ca03e1fdf99b2735fc1dde_1651602533534","test_trial","","","625","382581.7000000477","102","1","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down","28.041700000047683,28.2405,28.308200000047684,28.440600000023842,28.87560000002384,65.07720000004768,65.31060000002384,65.73160000002385,65.81189999997616,65.89529999995231,65.97879999995232,66.0455,90.3135,90.36329999995232,90.59729999995231,90.81460000002384,91.03060000002384,91.2475,91.79860000002384,101.92960000002384,102.113,102.56370000004769,210.53570000004768,210.70210000002385,210.8192000000477,211.05279999995233,211.51989999997616,223.4537999999523,223.68839999997616,224.43889999997617,225.40720000004768,240.52839999997616,240.9297000000477,241.42960000002384,252.3795,252.42920000004767,252.46289999997614,252.66239999997615,254.48229999995232,272.19260000002384,272.2582000000477,272.30839999997613,272.4076000000238,272.77439999997614,273.04160000002383,290.084,290.96810000002387,292.0856000000238,292.871,293.6715,294.0052000000477,310.0616000000238,310.2282999999523,310.4295,310.6802000000477,310.96360000002386,311.42989999997616,321.1272999999523,321.31189999997616,321.47770000004766,321.76210000002385,337.303,337.33710000002384,337.4171000000238,337.5348999999762,337.8512000000477,357.0633999999762,357.2302999999523,357.347,357.4627000000477,357.7307999999523,357.91489999997617,358.1637999999523,358.3473999999762,380.4635,380.99760000002385,381.36460000002387,381.8142999999523,382.01460000002385,382.2993999999762,382.7991000000238,383.0993999999762,383.8685,384.40160000002385,404.5665,404.69710000002385,404.8306000000238,405.2162000000477,405.4817000000477,405.7497999999523,431.5525,431.63120000004767,431.9532000000477,432.28789999997616,432.5037000000477,432.92089999997614,433.139,433.2895,434.19039999997614,444.5545,444.9217000000477,445.8562000000477,558.6152000000477,582.9532000000477","-89952.35829997611,0.19879999995231756,0.06770000004768306,0.13239999997615826,0.4349999999999987,36.201600000023845,0.23339999997615735,0.4210000000000065,0.08029999995231663,0.08339999997615166,0.0835000000000008,0.06670000004768895,24.268,0.0497999999523131,0.23399999999999466,0.21730000007153194,0.21599999999999397,0.21689999997616383,0.5511000000238369,10.131,0.1833999999761602,0.4507000000476893,107.972,0.16639999997616428,0.11710000002383936,0.23359999990464075,0.4671000000238337,11.933899999976148,0.23460000002384618,0.7505000000000166,0.9683000000715083,15.121199999928479,0.40130000007152944,0.49989999997615087,10.949899999976168,0.049700000047664616,0.033699999928472835,0.19950000000000045,1.8198999999761725,17.710300000071527,0.06560000002383504,0.050199999928452144,0.09920000004768781,0.3667999999523204,0.2672000000476942,17.04239999997617,0.8841000000238637,1.11749999999995,0.785399999976164,0.8004999999999995,0.3337000000477133,16.056399999976122,0.1666999999284826,0.2012000000477201,0.25070000004768644,0.2833999999761545,0.4662999999522981,9.697399999976142,0.18460000002386323,0.1658000000714992,0.2843999999761877,15.540899999976148,0.03410000002384095,0.07999999999998408,0.11779999995235357,0.3163000000715215,19.212199999928487,0.16689999997612404,0.11670000004767189,0.11570000004769554,0.26809999990462074,0.18410000002387505,0.24889999997611767,0.18360000002388688,22.116100000023835,0.534100000023841,0.36700000000001864,0.44969999992844123,0.20030000007153603,0.28479999995232674,0.49970000004765325,0.3002999999523581,0.7691000000237977,0.5331000000238646,20.16489999997617,0.13060000002383276,0.13349999999996953,0.38560000002388506,0.26549999999997453,0.26809999990462074,25.802700000047707,0.07870000004766098,0.32200000000000273,0.334699999928489,0.21580000007151057,0.4171999999284708,0.21810000002386687,0.15049999999996544,0.9008999999761613,10.364100000023882,0.36720000004766007,0.9345000000000141,112.75900000000001,24.337999999999965","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,58,100","(p1)(p2),(p1)(p2)(p3),(p2)(p3),(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p3)(p4),(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p5)(p6)(h1),(p5)(p6)(h1),(p5)(p6)(h1)(p7),(p6)(h1)(p7),(p6)(h1)(p7),(p6)(h1)(p7)(p8),(h1)(p7)(p8),(h1)(p7)(p8),(p7)(p8),(p7)(p8)(p9),(p8)(p9),(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p9)(p10),(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p10)(h2),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(h2)(p11),(h2)(p11),(h2)(p11),(p11)(p12),(p11)(p12),(p11)(p12),(p12)(h3),(p12)(h3),(p12)(h3),(p12)(h3)(p13),(p12)(h3)(p13),(h3)(p13),(h3)(p13),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(p13)(p14),(p13)(p14),(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(h4),(p15)(h4),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(h4)(p16)(p17),(h4)(p16)(p17),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(p16)(p17)(p18),(p17)(p18)(p19),(p17)(p18)(p19),(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(h5)(p21)(p22),(h5)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25),(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26),(p26)(p27),(p26)(p27),,","20,35,46,60,74","0,4,8,11,15,17,21,25,27,31,36,41,47,52,55,61,63,67,68,72,75,77,80,84,87,91,96","marluas,gerat,suggsets,pheonmenon,sutdy,tehir,logner,erosoin,mammlas,acocrding,anmials,friut-loving,thier,prolbem,anmials,mirgated,moevd,cooler,mamamls,srpeading,bidrs,lrage,dosen’t,ecolgoy,profsesor,epsecially,dwon,,are’nt,itnroduced,thsoe,clsoe,lbaeled,naitve,platns,bidrs,avain,typiaclly,wlel-connected,maend,ceratures,beneifts,speices.","30,30,41,65,31,23,22,15,71,53,15,30,56,63,36,23,20,87,70,49,29,27,66,30,31,40,16,55,43,24,38,22,34,25,9,19,32,25,25,29,32,9","1,1,2,2,1,1,2,2,2,1,1,2,2,1,2,2,2,0,2,2,1,2,2,1,1,2,2","1,1,2,1,1,1,1,2,1,1,0,0,0,1,1,0,0,0,1,0,1,2,1,1,1,0,1","marluas,gerat,suggsets,pheonmenon,tehir,logner,erosoin,friut-loving,acocrding,anmials,prolbem,anmials,bidrs,lrage,are’nt,lbaeled,platns,naitve,bidrs,typiaclly,wlel-connected,beneifts","p1,p2,p3,p3,p4,p5,p6,p8,p7,p8,p9,p10,p14,p15,p19,p21,p22,p22,p23,p24,p25,p27","11.880899999976158,36.18460000002384,54.3365,60.35279999995232,72.696,85.39189999997616,95.60039999997616,128.6642999999523,206.72829999995233,215.39929999995232,234.7595,247.91110000002385,315.5192000000477,327.815,373.4863999999762,391.03020000004767,398.67829999995234,400.4782000000477,408.04610000002384,428.374,437.3585,470.50189999997616","","","","heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","574656","0.0-5.0","","","15953.399999976158","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","55ca03e1fdf99b2735fc1dde_1651602533534","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","579316","0.0-6.0","","","4657.299999952316","While reading the article, how carefully did you pay attention?","","55ca03e1fdf99b2735fc1dde_1651602533534","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","heading","73","","","","","","","","","",""
"","html-slider-response","7","582868","0.0-7.0","","","3550.899999976158","How well do you feel you understood the key points of the article?","","55ca03e1fdf99b2735fc1dde_1651602533534","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","heading","84","","","","","","","","","",""
"","html-slider-response","8","590900","0.0-8.0","","","8031","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","55ca03e1fdf99b2735fc1dde_1651602533534","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","heading","49","","","","","","","","","",""
"","html-slider-response","9","595711","0.0-9.0","","","4810.100000023842","How interesting did you find the topic of this article after the first few paragraphs?","","55ca03e1fdf99b2735fc1dde_1651602533534","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","heading","67","","","","","","","","","",""
