"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","33096","0.0-0.0","1920","1080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","43802","0.0-1.0","1920","1080","10702","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5847e60f73170700013697c6_1651671178975","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","57992","0.0-2.0","","","14056.299999998882","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5847e60f73170700013697c6_1651671178975","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","121512","0.0-3.0","","","63392.79999999888","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5847e60f73170700013697c6_1651671178975","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","474913","0.0-4.0","","","353116.6000000015","","","5847e60f73170700013697c6_1651671178975","test_trial","","","1080","226470.1000000015","100","0","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","37.34770000000112,37.56490000000037,54.64760000000149,55.38090000000037,56.07990000000037,56.26380000000074,56.7635,57.19680000000074,76.61370000000112,76.7135,77.34660000000149,77.91320000000111,104.78,104.84620000000112,104.91370000000111,105.44810000000149,105.49690000000037,105.93330000000074,106.67990000000037,110.5801000000015,115.64620000000112,116.21260000000149,116.68040000000038,131.83030000000073,132.26220000000112,132.94590000000036,144.7506000000015,144.8622000000011,144.9455,170.14340000000038,170.26190000000037,170.82810000000148,170.8445,170.87830000000073,170.91120000000112,170.94490000000036,171.4286000000015,171.495,171.57840000000039,172.47820000000112,186.01230000000075,186.1116000000015,186.64480000000074,186.67790000000036,186.74480000000074,199.64480000000074,200.06160000000148,200.67790000000036,200.728,201.0126000000015,201.9451000000015,202.33030000000073,203.93,228.89430000000075,229.07740000000038,229.6606000000015,229.794,230.44390000000038,230.5106000000015,230.66080000000073,231.1772000000011,231.27730000000074,239.24390000000037,239.91080000000073,240.477,240.54390000000038,241.09390000000036,241.24480000000074,258.9269000000004,259.14330000000075,259.84390000000036,264.21080000000075,264.36,264.5444000000004,265.1601000000015,265.49340000000035,266.19330000000076,280.57660000000146,280.6427000000011,281.20940000000036,281.32680000000073,281.84440000000035,281.94290000000035,282.343,296.1267000000011,299.9428000000008,300.0265,300.54530000000074,300.77780000000075,301.64380000000074,310.54280000000074,311.1264000000004,311.22590000000037,317.35930000000076,317.42590000000035,317.9926000000015,318.3592000000011,318.9592000000011,328.1091000000015,328.2255,624.1222000000012,624.1379000000004,624.1549000000003,624.1717000000011,624.2056000000015,624.2215,624.2552000000011,624.2722000000011,624.3053000000008,624.3386000000015,626.5419000000004,626.5708000000008,626.5877000000011,626.6043000000008,626.6211000000014,626.638,626.6549000000003,626.6715,626.6879000000004,626.7044000000004,636.573,636.604,636.6204000000004,636.637,636.6535,636.7837000000011,636.7966000000015,636.8545,637.4203000000008,637.4371000000015,637.455,637.4709000000004,637.5043000000007,637.5209000000003,637.5383000000007,637.5537000000011,637.5871000000014,646.5403000000008,646.5708000000008,646.5878000000007,646.6207000000011,646.6374000000004","-126609.1523,0.2171999999992522,17.082700000001118,0.7332999999988843,0.6989999999999981,0.18390000000037077,0.4996999999992582,0.43330000000074165,19.416900000000375,0.09979999999887923,0.633100000001491,0.5665999999996245,26.86679999999889,0.06620000000111759,0.06749999999999545,0.5344000000003746,0.0487999999988773,0.4364000000003756,0.7465999999996313,3.9002000000011208,5.066099999999622,0.566400000000371,0.46779999999888844,15.149900000000358,0.43190000000038253,0.6836999999992486,11.804700000001134,0.11159999999961201,0.08329999999889992,25.197900000000374,0.11849999999998317,0.5662000000011176,0.016399999998526482,0.03380000000072414,0.032900000000381624,0.03369999999924289,0.4837000000011358,0.06639999999850943,0.08340000000038117,0.899800000000738,13.534099999999626,0.09930000000073846,0.5331999999992547,0.03309999999962088,0.06690000000037344,12.900000000000006,0.4168000000007339,0.616299999998887,0.050099999999645206,0.28460000000148966,0.9325000000000045,0.38519999999923016,1.5996999999992738,24.964300000000748,0.18309999999962656,0.5832000000011135,0.1333999999985167,0.6499000000003718,0.06670000000110576,0.15019999999924494,0.5164000000003739,0.10009999999962815,7.96659999999963,0.6669000000003678,0.5661999999992702,0.06690000000037344,0.549999999999983,0.15090000000037662,17.68209999999965,0.21640000000036252,0.7005999999996106,4.366900000000385,0.14919999999926858,0.18440000000038026,0.6157000000010839,0.3332999999988715,0.6999000000004116,14.383300000000702,0.06609999999966476,0.5666999999992299,0.11740000000037298,0.5175999999996179,0.09850000000000136,0.40009999999966794,13.78370000000109,3.8160999999996648,0.08369999999922584,0.5188000000007378,0.23250000000001592,0.8659999999999854,8.899000000000001,0.5835999999996488,0.09949999999997772,6.1334000000003925,0.0665999999995961,0.5667000000011626,0.36659999999960746,0.5999999999999659,9.1499000000004,0.1163999999985208,295.89670000000115,0.01569999999924221,0.016999999999939064,0.016800000000785076,0.03390000000035798,0.015899999998509884,0.0337000000010903,0.01700000000005275,0.0330999999996493,0.03330000000073596,2.203299999998876,0.028900000000362525,0.016900000000305226,0.01659999999969841,0.01680000000067139,0.016899999998599924,0.016900000000305226,0.01659999999969841,0.01640000000031705,0.016500000000064574,9.86859999999956,0.031000000000062755,0.01640000000031705,0.016599999999584725,0.016500000000064574,0.13020000000108212,0.012900000000399814,0.0578999999985399,0.5658000000007632,0.01680000000067139,0.017899999998576277,0.015900000000328873,0.0334000000003698,0.016599999999584725,0.01740000000040709,0.015400000000340697,0.0334000000003698,8.953199999999356,0.03049999999996089,0.016999999999939064,0.032900000000381624,0.01669999999933225","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,5,9,12,14,16,20,21,22,23,29,32,33,35,36,37,40,41,43,44,45,49,52,55,57,61,72,73,74,77,81,82,84,85,87,88,89,90,93,95,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p6)(h1)(p7),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(h1)(p7)(p8),(h1)(p7)(p8),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(h2)(p11),(h2)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12)(h3),(p11)(p12)(h3),(p12)(h3),(p12)(h3),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(h3)(p13),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(h4),(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(h4)(p16)(p17),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","20,35,47,60,74","0,4,8,12,15,17,21,25,27,31,36,41,48,52,55,61,63,68,69,72,75,78,81,85,88,91,96","aniaml,dgiestive,anmials,evloved,jounral,lopo:,colud,ancinet,haelthy,forgs,profuond,sedes,spraed,endangeerd,classfiied,kliometers,temperatrue,mammlas,shifitng,bidrs,toelrate,dangeorus,becasue,lrager,wehre,teres,do’nt,stalrings,csots,ntaive,tehir,transprot,thier,newtorks,stitls,savanan,,beneifts","80,10,22,62,35,10,29,28,38,25,11,57,55,24,22,27,38,70,44,70,13,24,69,74,33,54,37,27,39,34,12,66,24,26,37,73,32","1,2,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,0,2,1,1,2,2,1,1,2,1","1,2,1,1,2,1,1,1,0,2,0,0,1,0,0,1,1,0,2,0,0,1,1,0,0,1,0","aniaml,dgiestive,anmials,evloved,jounral,lopo:,colud,haelthy,forgs,profuond,classfiied,endangeerd,mammlas,toelrate,lrager,wehre,teres,ntaive,tehir,stitls","p1,p2,p2,p3,p4,p5,p5,p6,p7,p8,p10,p10,p13,p16,p17,p19,p19,p22,p23,p26","34.851400000000375,40.90610000000149,44.62340000000037,74.03280000000075,87.92970000000112,95.50490000000038,101.29410000000149,113.6665,124.66810000000149,139.60790000000037,161.68380000000076,163.6686000000015,220.76690000000036,248.8464000000004,262.0048000000007,272.3491000000015,277.888,297.96380000000073,304.71640000000036,338.24540000000036","","","","heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","528507","0.0-5.0","","","53576.800000000745","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5847e60f73170700013697c6_1651671178975","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","534542","0.0-6.0","","","6031.5999999996275","While reading the article, how carefully did you pay attention?","","5847e60f73170700013697c6_1651671178975","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","heading","94","","","","","","","","","",""
"","html-slider-response","7","541701","0.0-7.0","","","7156.800000000745","How well do you feel you understood the key points of the article?","","5847e60f73170700013697c6_1651671178975","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","heading","84","","","","","","","","","",""
"","html-slider-response","8","549591","0.0-8.0","","","7887.9000000003725","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5847e60f73170700013697c6_1651671178975","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","heading","71","","","","","","","","","",""
"","html-slider-response","9","554725","0.0-9.0","","","5132.199999999255","How interesting did you find the topic of this article after the first few paragraphs?","","5847e60f73170700013697c6_1651671178975","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","heading","82","","","","","","","","","",""
