"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","2365","0.0-0.0","1366","625","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","4869","0.0-1.0","1366","625","2498.2999999998137","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","594a9305647e0600014f7c3d_1651598193130","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","10831","0.0-2.0","","","5955.200000000186","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","594a9305647e0600014f7c3d_1651598193130","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","32829","0.0-3.0","","","21995.5","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","594a9305647e0600014f7c3d_1651598193130","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","333208","0.0-4.0","","","300354.7000000011","","","594a9305647e0600014f7c3d_1651598193130","test_trial","","","625","265308.8000000017","100","0","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","18.89320000000112,21.509099999999627,23.69220000000112,25.109200000001117,37.19209999999963,38.342,40.692,50.49190000000037,50.65780000000075,50.85990000000037,50.92470000000112,51.44120000000112,51.55959999999963,51.724300000000746,69.874,69.99040000000038,70.091,70.20690000000037,71.84130000000074,73.45659999999963,87.53959999999962,87.93920000000112,88.23920000000112,94.42270000000111,94.52230000000074,95.1385,113.28720000000112,113.5215,113.58840000000038,113.77130000000075,113.92159999999963,114.10420000000111,114.2385,123.30480000000074,123.43740000000037,125.47130000000074,134.61520000000112,134.78720000000112,134.887,134.95530000000073,135.054,135.137,135.22109999999964,135.43709999999962,153.0367000000011,153.11959999999962,153.2362000000011,155.2695,155.486,172.81890000000038,174.75159999999963,183.77090000000038,184.0345999999996,185.6012000000011,188.5844000000004,192.85070000000113,196.0847000000011,208.8177000000011,208.93340000000038,210.78359999999964,210.967,212.91820000000112,216.5005,216.78380000000075,218.9995,223.05,223.25070000000113,223.33230000000074,225.3995,227.53370000000112,237.88209999999964,238.09859999999964,241.26530000000074,241.4655,244.5652000000011,244.68109999999962,247.21520000000112,249.33130000000074,251.148,256.7995,256.99830000000077,258.24730000000073,265.9815,266.1142000000011,267.9987000000011,268.28080000000074,270.61340000000035,271.69740000000036,271.8309000000004,273.0634000000004,277.68,277.81330000000077,279.7969000000004,281.3633000000007,285.0134000000004,289.1297000000011,290.6795,294.34680000000077,294.414,296.214,363.0209000000004,363.0279000000004,363.0458000000007,363.06040000000036,363.07709999999963,363.0935,366.1597000000011,366.21030000000076,366.25940000000037,366.27609999999964,366.31070000000113,366.32680000000073,366.3427000000011,366.3594000000004,366.3767000000011,366.3929000000004,366.4095,366.443,366.4592000000011,366.476,372.3762000000011,372.41090000000037,372.4264000000004,372.4425,372.45880000000074,372.4755,372.4922000000011,376.3387000000011,377.576,377.5934000000004,377.6105,377.62709999999964,377.6423000000008,378.20780000000076,378.24120000000113,378.2582000000011,378.2745999999996,378.2913000000007,378.30840000000035,378.32470000000114,378.34159999999963,378.3582000000011,378.375,378.3917000000011","-35027.00679999944,2.6158999999985078,2.1831000000014917,1.416999999999998,12.08289999999851,1.1499000000003718,2.3500000000000014,9.79990000000037,0.1659000000003772,0.2020999999996249,0.06480000000074426,0.5165000000000006,0.11839999999850903,0.16470000000111895,18.14969999999925,0.11640000000038242,0.10059999999961633,0.11590000000038003,1.634400000000369,1.6152999999988822,14.082999999999998,0.39960000000149876,0.29999999999999716,6.183499999999995,0.09959999999962577,0.6161999999992531,18.148700000001128,0.23429999999888196,0.06690000000037344,0.1829000000003731,0.15029999999887877,0.1826000000014858,0.13429999999888764,9.066300000000737,0.13259999999962702,2.033900000000372,9.143900000000386,0.17199999999999704,0.09979999999887923,0.06830000000073255,0.09869999999926904,0.08299999999999841,0.08409999999963702,0.21599999999997976,17.599600000001487,0.08289999999851716,0.1166000000014833,2.0332999999988886,0.21649999999999636,17.332900000000393,1.9326999999992438,9.019300000000754,0.26369999999923266,1.5666000000015003,2.9831999999992718,4.26630000000074,3.2339999999999804,12.733000000000004,0.11569999999926495,1.850199999999262,0.18340000000037548,1.9512000000011085,3.5822999999988667,0.2833000000007644,2.2156999999992593,4.0504999999999995,0.20070000000112032,0.08159999999961087,2.0671999999992465,2.1342000000011296,10.34839999999852,0.21649999999999636,3.1667000000011,0.2001999999992563,3.0997000000011212,0.1158999999985042,2.5341000000015015,2.1160999999996193,1.8166999999992584,5.651500000000027,0.1988000000007446,1.2489999999999668,7.734199999999248,0.1327000000011367,1.8845000000000027,0.2820999999996161,2.3325999999996156,1.0840000000000032,0.13350000000002638,1.232500000000016,4.6165999999996075,0.1333000000007587,1.983599999999626,1.5664000000003284,3.650099999999668,4.116300000000706,1.5497999999989247,3.6673000000007505,0.06719999999921811,1.8000000000000114,66.80690000000038,0.007000000000005002,0.017900000000338423,0.014599999999632018,0.016699999999275406,0.016400000000373893,3.0662000000011176,0.05059999999963338,0.04909999999961201,0.016699999999275406,0.03460000000148966,0.016099999999596548,0.015900000000385717,0.016699999999275406,0.01730000000071641,0.01619999999928723,0.016599999999584725,0.03350000000000364,0.01620000000110622,0.016799999998909243,5.900200000001121,0.034699999999247666,0.015500000000031378,0.016099999999596548,0.016300000000740056,0.016699999999275406,0.016700000001094395,3.846499999999992,1.2372999999989247,0.017400000000350246,0.017099999999629745,0.016599999999641568,0.015200000001129865,0.5654999999999859,0.0334000000003698,0.016999999999995907,0.01639999999849806,0.016700000001094395,0.017099999999629745,0.0163000000007969,0.016899999998486237,0.016600000001460558,0.016799999998909243,0.016700000001094395","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,4,16,34,52,63,66,67,68,69,70,71,72,73,74,76,77,79,80,81,82,83,84,85,87,91,98,100,0,5,22,43,58,63,64,65,68,71,76,81,87,93,96,98,100","(p1)(p2),(p1)(p2),(p2)(p3),(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p3)(p4),(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p4)(p5),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(h1),(p5)(p6)(h1),(p5)(p6)(h1),(p5)(p6)(h1)(p7),(p6)(h1)(p7),(p6)(h1)(p7),(p6)(h1)(p7)(p8),(h1)(p7)(p8),(h1)(p7)(p8),(p7)(p8),(p7)(p8)(p9),(p8)(p9),(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p9)(p10),(p9)(p10),(p9)(p10)(h2),(p10)(h2),(p10)(h2),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(h2)(p11),(h2)(p11),(p11),(p11)(p12),(p11)(p12),(p11)(p12),(p12)(h3),(p12)(h3),(p12)(h3),(p12)(h3),(p12)(h3)(p13),(h3)(p13),(h3)(p13),(h3)(p13),(h3)(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(h4),(p15)(h4),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(h4)(p16)(p17),(h4)(p16)(p17),(h4)(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18),(p17)(p18)(p19),(p17)(p18)(p19),(p17)(p18)(p19),(p18)(p19)(p20),(p18)(p19)(p20),(p18)(p19)(p20)(h5),(p19)(p20)(h5),(p19)(p20)(h5)(p21),(p20)(h5)(p21),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(h5)(p21)(p22),(h5)(p21)(p22),(p21)(p22)(p23),(p22)(p23),(p22)(p23),(p22)(p23)(p24),(p23)(p24),(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25),(p25)(p26),(p25)(p26),(p25)(p26),(p26),(p26)(p27),(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","20,35,46,60,74","0,4,8,11,15,17,21,25,27,31,36,41,47,52,55,61,63,67,68,72,75,77,80,84,87,91,96","smybiotic,initmate,beofre,sitll,whree,aruond,accodring,cuold,whcih,evloved,anicent,hepled,repitle,,fruitl-oving,cmoputer,gretaly,whree,mirgated,accoridng,proudce,wolrd,w’eve,mgiht,tolertae,tohse,phyiscal,centuyr,,speceis,feewr,hmuans,cotss,arrivlas,bidrs,speceis,whree,twoard,plnating,thrievs,aniamls,","47,45,62,36,33,14,27,29,33,19,28,61,41,30,15,44,49,23,72,60,65,24,89,13,41,49,47,29,28,10,39,22,26,40,12,59,97,28,39","2,1,2,2,2,2,2,1,2,1,1,2,1,1,1,1,1,0,2,2,1,2,1,2,1,1,2","0,0,2,2,1,2,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,2,1,0,1,1,1","whree,sitll,aruond,accodring,cuold,evloved,anicent,repitle,,fruitl-oving,gretaly,whree,proudce,wolrd,w’eve,tolertae,tohse,centuyr,,arrivlas,cotss,bidrs,twoard,plnating,thrievs","p3,p3,p4,p4,p5,p6,p6,p7,p8,p9,p10,p12,p13,p14,p16,p17,p19,p22,p22,p23,p25,p26,p27","31.012400000000373,32.077099999999625,44.28330000000074,47.00430000000075,59.061400000000376,64.64309999999963,66.91230000000074,81.57240000000037,91.58420000000112,103.21180000000075,121.52420000000112,140.79280000000074,161.43770000000112,179.0904000000004,213.94640000000038,220.35130000000075,236.76770000000113,252.92809999999963,254.92609999999962,262.3499000000004,275.71890000000036,293.30880000000076,299.26270000000113","","","","heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","339865","0.0-5.0","","","6647.199999999255","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","594a9305647e0600014f7c3d_1651598193130","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","342865","0.0-6.0","","","2997.89999999851","While reading the article, how carefully did you pay attention?","","594a9305647e0600014f7c3d_1651598193130","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","heading","81","","","","","","","","","",""
"","html-slider-response","7","345865","0.0-7.0","","","2998.699999999255","How well do you feel you understood the key points of the article?","","594a9305647e0600014f7c3d_1651598193130","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","heading","100","","","","","","","","","",""
"","html-slider-response","8","357160","0.0-8.0","","","11293.400000000373","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","594a9305647e0600014f7c3d_1651598193130","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","heading","66","","","","","","","","","",""
"","html-slider-response","9","360681","0.0-9.0","","","3519.7999999988824","How interesting did you find the topic of this article after the first few paragraphs?","","594a9305647e0600014f7c3d_1651598193130","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","heading","66","","","","","","","","","",""
