"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","3875","0.0-0.0","1440","900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","14724","0.0-1.0","1440","900","10845.600000023842","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","599bb8b9a7b24000015237f6_1651670976646","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","30399","0.0-2.0","","","15671.200000047684","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","599bb8b9a7b24000015237f6_1651670976646","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","71675","0.0-3.0","","","41274.09999996424","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","599bb8b9a7b24000015237f6_1651670976646","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","386537","0.0-4.0","","","314838.90000003576","","","599bb8b9a7b24000015237f6_1651670976646","test_trial","","","900","240731.0000000596","100","0","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","34.60730000001192,34.82490000003576,34.99069999998808,35.1745,35.49080000001192,35.57380000001192,35.724,36.0065,36.656,73.54310000002384,73.65980000001193,73.82640000003576,74.05980000001192,74.34330000001192,74.40940000003576,74.49330000001193,74.67740000003576,74.94410000002384,75.0265,75.31010000002384,99.03760000002384,99.087,99.28790000003576,99.638,100.98780000001192,101.48760000002385,101.6205,101.93769999998808,102.22090000003577,102.97160000002384,120.2,120.28319999998808,120.36630000001192,120.467,120.6495,121.03280000001192,121.3495,143.06219999998808,143.1115,143.21210000002384,143.4453000000119,143.54590000003577,143.66260000002384,143.92819999998807,144.19560000002383,144.92830000001192,145.49610000002383,171.32390000003576,171.408,171.574,171.70790000003575,171.8563000000119,172.15630000001192,172.224,172.39110000002384,173.37340000003576,173.88990000003577,200.62460000002383,200.7073000000119,200.78960000002385,200.87410000002384,200.99090000003577,201.25719999998807,201.30760000002385,201.339,201.38980000001192,201.65630000001192,203.6558000000119,233.25860000002385,233.3743000000119,233.47440000003576,233.55769999998807,233.70760000002383,234.17530000001193,234.24030000001193,234.3228000000119,234.50610000002385,234.67419999998808,235.0075,235.15810000002384,235.89160000002383,262.97210000002383,263.3875,263.45540000003575,263.5545,264.03940000003576,264.088,264.15580000001194,264.67140000003576,264.738,265.27040000003575,265.6216000000238,275.75410000002387,277.0446000000238,277.24440000003574,277.411,277.9279000000358,277.99369999998805,278.07719999998807,288.9345,418.00290000003577,418.01960000002384,418.0363000000119,418.0529000000358,418.07010000002384,418.0861999999881,418.1035,418.11960000002387,418.13740000003577,418.1526999999881,418.17240000003574,418.1866000000238,418.2028000000119,418.2366000000238,418.2865,418.31930000001194,418.3526999999881,418.3858000000119,418.41940000003575,418.4695,418.55260000002386,436.61390000003576,436.6316999999881,436.6468000000119,436.6646000000238,436.679,436.69660000002386,436.71380000001193,436.7288000000119,436.74710000002386,436.7636999999881,436.77990000003575,436.79660000002383,436.833,436.8643000000119,436.87890000003574,436.89910000002385,436.92940000003574,436.9626000000238,436.9965,437.0295,437.0471000000238,437.07960000002385,437.0959000000358,437.11280000001193,437.12910000002387,437.1464000000358,437.1638000000119,437.1965,437.23010000002387,446.03580000001193,446.051,446.0673000000119,446.08260000002383,446.1013000000119,446.117,446.13410000002386,446.1526999999881","-74073.29269997614,0.21760000002384317,0.16579999995231987,0.18380000001192087,0.31630000001192116,0.08299999999999841,0.1501999999880752,0.28250000000000597,0.6494999999999962,36.88710000002384,0.11669999998808578,0.16660000002383413,0.23339999997615735,0.28350000000000364,0.06610000002383742,0.08389999997616826,0.18410000002383242,0.26669999998807725,0.0823999999761611,0.28360000002383856,23.727500000000006,0.04939999997615985,0.2009000000357588,0.3500999999642431,1.3498000000119106,0.4998000000119305,0.13289999997616064,0.3171999999880768,0.2832000000476853,0.7506999999880719,17.228399999976162,0.08319999998808214,0.08310000002383333,0.10069999998808044,0.18250000000000455,0.3833000000119142,0.3166999999880886,21.712699999988075,0.04930000001192525,0.10060000002383163,0.23319999998807361,0.10060000002386005,0.11669999998807157,0.26559999996422334,0.2674000000357637,0.7326999999880854,0.5678000000119141,25.827800000011933,0.08409999996422357,0.16600000000002524,0.13390000003573732,0.1483999999761636,0.30000000000001137,0.06769999998806497,0.16710000002385073,0.982300000011918,0.5165000000000077,26.734699999988067,0.08269999998807975,0.08230000001194071,0.08449999999999136,0.1168000000119207,0.26629999995230946,0.05040000003577916,0.031399999976144954,0.0508000000119182,0.26650000000000773,1.9994999999999834,29.60280000001194,0.11569999998806679,0.10010000002384345,0.08329999995231674,0.14990000003575688,0.4676999999880991,0.06499999999999773,0.08249999999998181,0.1833000000119398,0.16809999996422675,0.33330000001191706,0.150600000023843,0.7334999999999923,27.0805,0.4153999999761595,0.06790000003576324,0.09909999996426677,0.4849000000357364,0.048599999964267226,0.06780000001191411,0.5156000000238237,0.06659999996423949,0.53240000003575,0.3511999999880686,10.13250000000005,1.2904999999999518,0.1998000000119191,0.16659999996426222,0.5169000000357755,0.06579999995227581,0.083500000000015,10.857300000011946,129.06840000003575,0.016699999988077252,0.016699999988077252,0.016600000023856865,0.01719999998806543,0.01609999996423994,0.017300000011914562,0.016100000023868688,0.01780000001190274,0.01529999995233311,0.019700000047635058,0.014199999988079526,0.016199999988089075,0.03380000001192229,0.049899999976162235,0.03280000001194594,0.033399999976154504,0.03310000002380775,0.03360000002385277,0.050099999964231756,0.08310000002387596,18.061300000011897,0.017799999952330836,0.015100000023835491,0.01780000001190274,0.014399999976149047,0.01760000002389006,0.01719999998806543,0.014999999999986358,0.01830000001194776,0.016599999964228118,0.01620000004766098,0.016699999988077252,0.03639999997619725,0.031300000011867724,0.014600000023847315,0.020199999988108175,0.03030000001189137,0.03319999998808498,0.033899999976199524,0.03299999999995862,0.017600000023833218,0.032500000000027285,0.01630000001193821,0.016899999976146773,0.01630000001193821,0.017300000011914562,0.01739999997613495,0.032699999988096806,0.03360000002385277,8.805699999988065,0.015199999988055879,0.01630000001193821,0.015300000011905013,0.018699999988086802,0.0156999999881009,0.01710000002384504,0.018599999964237668","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,2,3,5,8,12,15,18,21,24,25,27,28,29,30,31,32,33,34,35,36,37,39,42,45,51,56,60,64,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,94,96,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(p7),(p4)(p5)(p6)(p7),(p4)(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7)(p8),(p5)(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10)(p11),(p9)(p10)(p11),(p9)(p10)(p11),(p9)(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11)(p12),(p10)(p11)(p12),(p10)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12)(p13),(p11)(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13)(p14),(p12)(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p13)(p14)(p15),(p13)(p14)(p15),(p14)(p15),(p14)(p15)(p16),(p14)(p15)(p16),(p14)(p15)(p16),(p14)(p15)(p16),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17)(p18),(p15)(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21)(p22),(p18)(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p20)(p21)(p22)(p23),(p20)(p21)(p22)(p23),(p20)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","","0,5,8,12,16,18,21,26,28,32,36,41,47,51,55,60,62,67,68,71,73,76,79,84,87,90,96","milse),fesat,,rieds,sitll,araes,acocrding,platns,lnoger,conecrn,pouplations,anmials,ecoolgist,srpead,mamamls,petss,kilomteers,dergees,cliamte,trheatened,losess,migraotry,partciular,dangreous,hnuters,especilaly,natvie,forset,ofetn,introduecd,enviornment,cotss,dotcoral,sometmies,ladnscape,appels,betewen,thrvies","64,70,58,36,32,27,20,22,11,36,15,30,55,18,76,27,46,56,33,25,69,15,24,70,40,36,13,21,12,42,39,39,23,21,44,35,28","2,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,2,0,1,1,2,2,1,1,1,1,2","1,1,2,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1","milse),rieds,araes,sitll,platns,conecrn,petss,trheatened,losess,hnuters,forset,ofetn,cotss,sometmies,thrvies","p1,p2,p3,p3,p4,p6,p11,p14,p15,p17,p20,p21,p22,p24,p27","16.2545,33.712100000023845,45.005900000035766,47.46419999998808,59.11669999998808,78.86569999998808,142.366,177.5295,188.75919999998808,217.77910000002385,238.01230000001192,247.98169999998808,257.28160000002384,273.40810000002386,310.98640000003576","","","","no_heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","402561","0.0-5.0","","","16019.600000023842","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","599bb8b9a7b24000015237f6_1651670976646","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","407725","0.0-6.0","","","5161.599999964237","While reading the article, how carefully did you pay attention?","","599bb8b9a7b24000015237f6_1651670976646","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","no_heading","100","","","","","","","","","",""
"","html-slider-response","7","411634","0.0-7.0","","","3907.600000023842","How well do you feel you understood the key points of the article?","","599bb8b9a7b24000015237f6_1651670976646","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","no_heading","100","","","","","","","","","",""
"","html-slider-response","8","417753","0.0-8.0","","","6117.400000035763","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","599bb8b9a7b24000015237f6_1651670976646","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","no_heading","100","","","","","","","","","",""
"","html-slider-response","9","424021","0.0-9.0","","","6267.200000047684","How interesting did you find the topic of this article after the first few paragraphs?","","599bb8b9a7b24000015237f6_1651670976646","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","no_heading","100","","","","","","","","","",""
