"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","9368","0.0-0.0","1536","864","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","27799","0.0-1.0","1536","864","18428.40000000596","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5a4bd1533646f90001b43676_1651655511341","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","38728","0.0-2.0","","","10926.5","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5a4bd1533646f90001b43676_1651655511341","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","78079","0.0-3.0","","","39350","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5a4bd1533646f90001b43676_1651655511341","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","574366","0.0-4.0","","","496271.1999999881","","","5a4bd1533646f90001b43676_1651655511341","test_trial","","","864","412578.09999999404","100","0","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","90.27569999998808,90.34219999998808,104.44140000000596,104.52459999999404,131.02319999998807,131.07319999998808,131.1065,141.5225,141.5558000000119,141.6061999999881,141.63919999998808,165.77159999999404,165.82059999999404,170.12090000000597,170.18740000000597,178.28740000000596,178.38669999998808,188.7365,204.48430000001193,204.5115,204.65219999998808,204.68519999998807,214.70169999998808,214.7515,222.38459999999404,222.4345,234.15,234.23330000001192,235.88380000001192,236.01680000001193,247.39919999998807,247.48290000000597,247.51609999999403,263.20209999999406,263.2318000000119,274.24809999999405,274.29780000001193,281.2308000000119,281.297,296.49680000001194,296.5963000000119,302.8795,307.10119999998807,307.14580000001195,308.99559999999406,309.04540000000594,309.0955,309.1456999999881,322.27840000000595,322.32840000000596,331.644099999994,331.727599999994,332.4941999999881,332.611,334.27790000000596,334.34409999999406,334.39390000000594,349.97659999999405,350.02669999998807,356.1286999999881,356.17619999998806,361.159400000006,361.22580000001193,364.7591999999881,364.858900000006,379.608,379.77490000000597,386.55740000000594,392.9771999999881,392.990900000006,400.25640000000595,400.30690000000595,408.623,408.673,408.723,408.8063000000119,418.32269999998806,418.40580000001194,418.4391999999881,424.332,424.372099999994,429.888,429.938,438.08790000000596,438.1548000000119,443.921,443.98709999999403,451.95380000001194,452.019900000006,452.053400000006,452.22,459.7195,466.2865,466.31940000000594,466.4028000000119,466.45269999998806,476.9025,476.9523000000119,484.1018000000119,484.168400000006,617.2606999999881,617.276900000006,617.2939000000059,617.310099999994,617.3269000000059,617.344,617.3600999999941,617.377099999994,617.3933000000119,617.410099999994,617.4605,687.172699999988,687.1891999999881,687.206199999988,687.222599999994,687.2395999999941,687.2561999999881,687.2725,687.2891999999881,687.3058000000119,687.3226999999881,687.3393000000119,687.372599999994,687.4229000000059,695.6053000000119,695.622099999994,695.6388000000119,695.655099999994,695.672,695.688800000012,695.7055999999941","-83602.82429999406,0.06650000000000489,14.099200000017873,0.08319999998808214,26.498599999994028,0.05000000000001137,0.03330000001193412,10.415999999999997,0.033300000011905695,0.05039999997617883,0.03299999999998704,24.13240000000596,0.049000000000006594,4.30030000001193,0.06649999999999068,8.099999999999994,0.09929999998212224,10.349800000011925,15.747800000011921,0.027199999988084755,0.14069999998807248,0.03299999999998704,10.016500000000008,0.049800000011913426,7.6330999999940445,0.04990000000597661,11.715499999999992,0.08330000001191706,1.6504999999999939,0.13300000000000978,11.382399999976144,0.0837000000178989,0.03319999998805656,15.686000000000035,0.02970000001784001,11.016299999982152,0.049700000017878665,6.932999999999993,0.06619999998810044,15.199800000011919,0.09949999999997772,6.283199999988085,4.221699999988061,0.04460000002387687,1.8497999999821104,0.049800000011885004,0.05009999999407455,0.05019999998808089,13.132700000017849,0.05000000000001137,9.315699999988055,0.083500000000015,0.7665999999940709,0.11680000001189228,1.6669000000059668,0.06619999998810044,0.049800000011885004,15.582699999988108,0.05009999999401771,6.102000000000032,0.0474999999999568,4.983200000017916,0.06640000000595592,3.5333999999761545,0.09970000001789003,14.74909999999403,0.16690000000596683,6.78249999999997,6.41979999998216,0.0137000000178773,7.2654999999999745,0.050499999999999545,8.316099999994037,0.05000000000001137,0.05000000000001137,0.08330000001188864,9.516399999976159,0.08310000002387596,0.033399999976154504,5.892800000011903,0.0400999999940268,5.515900000005956,0.05000000000001137,8.149900000005971,0.0669000000059441,5.766199999988089,0.06609999999403726,7.966700000017909,0.06609999999403726,0.03350000000000364,0.16659999999404818,7.499499999999955,6.567000000000007,0.03290000000595228,0.08340000000595182,0.049899999976162235,10.449800000011919,0.04980000001194185,7.149499999999989,0.06659999999408228,133.09229999998212,0.016200000017875027,0.016999999999939064,0.016199999988089075,0.016800000011926386,0.017099999994115933,0.016099999994025893,0.016999999999939064,0.016200000017875027,0.016799999982140434,0.050400000005993206,69.712199999988,0.016500000000064574,0.016999999999939064,0.016400000006001392,0.01700000000005275,0.01659999999401407,0.01630000001193821,0.016699999988077252,0.01660000002380002,0.016899999976203617,0.01660000002380002,0.03329999998209132,0.050300000011930024,8.182400000005941,0.016799999982140434,0.016700000017863204,0.016299999982152258,0.01690000000598957,0.016800000011926386,0.016799999982140434","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,1,4,9,14,20,24,27,28,29,30,31,32,36,40,45,51,58,65,71,73,75,76,77,78,79,83,87,93,98,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(p7),(p4)(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7)(p8),(p5)(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p9)(p10),(p9)(p10)(p11),(p9)(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p12),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(p16),(p14)(p15)(p16),(p14)(p15)(p16),(p15)(p16),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17),(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p18)(p19)(p20),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22)(p23),(p20)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","","0,5,8,12,16,18,21,25,28,32,36,41,47,51,55,60,62,67,68,71,74,76,79,84,87,91,96","speices,bracnh,insetc,,phneomenon,diyng,loisng,hadrer,palnts,scientsits,lagre,plolen,tehir,thier,sektch,wolud,otehr,elsehwere,,ainmals,acorss,aniamls,acocunts,brids,elsewheer.,cna’t,platns,tagret,isalnd,sholud,fweer,palnts,csots,intorduced,ntaive,ofetn,twoard,delihgt,awlays","41,27,46,65,56,22,36,39,24,70,38,22,56,18,37,75,72,82,59,34,20,70,63,12,37,73,32,60,28,46,39,25,39,18,59,76,22","1,2,1,2,2,1,1,2,2,1,2,1,2,1,2,1,2,0,2,1,1,1,1,2,1,1,1","1,2,1,2,1,1,1,2,2,0,2,0,1,0,1,1,2,0,1,1,1,1,1,1,1,1,0","speices,bracnh,insetc,,phneomenon,loisng,diyng,hadrer,scientsits,lagre,tehir,plolen,sektch,thier,elsehwere,,otehr,aniamls,elsewheer.,cna’t,platns,tagret,isalnd,fweer,palnts,csots,intorduced,ofetn,twoard,delihgt","p1,p2,p2,p3,p4,p4,p5,p6,p7,p8,p8,p9,p9,p11,p11,p13,p15,p16,p17,p17,p19,p20,p21,p22,p23,p24,p25,p26","20.8995,94.58759999999404,103.69940000000597,132.0835,140.64359999999405,149.03559999999405,168.484,176.4116999999881,203.25190000000595,212.26790000000597,217.31559999999405,224.04340000000596,231.41969999998807,275.94769999998806,278.0756999999881,315.49190000000596,346.7636999999881,358.571599999994,373.45180000001193,383.3798000000119,396.33130000001194,407.88309999999404,419.73980000001194,426.1718000000119,434.75559999999405,449.22,464.755400000006,479.7075","","","","no_heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","590028","0.0-5.0","","","15653.800000011921","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5a4bd1533646f90001b43676_1651655511341","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","595018","0.0-6.0","","","4987.4000000059605","While reading the article, how carefully did you pay attention?","","5a4bd1533646f90001b43676_1651655511341","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","no_heading","100","","","","","","","","","",""
"","html-slider-response","7","599058","0.0-7.0","","","4037.0999999940395","How well do you feel you understood the key points of the article?","","5a4bd1533646f90001b43676_1651655511341","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","no_heading","100","","","","","","","","","",""
"","html-slider-response","8","606858","0.0-8.0","","","7799.0999999940395","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5a4bd1533646f90001b43676_1651655511341","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","no_heading","81","","","","","","","","","",""
"","html-slider-response","9","611434","0.0-9.0","","","4574.4000000059605","How interesting did you find the topic of this article after the first few paragraphs?","","5a4bd1533646f90001b43676_1651655511341","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","no_heading","100","","","","","","","","","",""
