"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","8534","0.0-0.0","1536","864","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","12554","0.0-1.0","1536","864","4019","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5b14532ce9270900013c5bf6_1651673666381","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","19799","0.0-2.0","","","7243.900000035763","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5b14532ce9270900013c5bf6_1651673666381","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","73382","0.0-3.0","","","53581.10000002384","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5b14532ce9270900013c5bf6_1651673666381","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","736744","0.0-4.0","","","663353.6000000238","","","5b14532ce9270900013c5bf6_1651673666381","test_trial","","","864","585122.0000000596","112","6","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,up,down,down,down,down,up,down,down,down,down,down,down,down,down,up,up,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","34.40790000003576,71.41530000001192,71.52430000001192,71.82370000004768,86.61490000003576,98.59810000002385,98.698,99.08130000001192,111.40660000002384,121.94780000001192,122.04730000001192,122.34790000003576,134.21410000002385,141.8143000000119,141.91380000001192,142.24730000001193,158.98060000002386,159.31360000002385,159.4137000000477,173.70540000003575,175.11330000001192,175.47160000002384,175.57190000003575,184.62990000003578,193.22970000004767,202.62980000001193,202.72980000001192,219.42920000004767,227.9625,234.41260000002384,234.5125,240.079,244.63720000004767,249.2038000000119,249.30370000004768,255.337,261.7039000000358,263.50340000003575,263.6034000000358,269.05390000003575,280.8364000000358,291.8615,291.9615,301.3948000000119,301.94420000004766,314.8195,314.91940000003575,316.7275,326.31920000004766,331.8439000000358,331.94420000004766,333.6188000000119,334.2776000000238,334.68560000002384,342.5355,345.5272000000477,345.6273000000119,365.43540000003577,366.25990000003577,379.82680000001193,379.92640000003576,384.1096000000238,389.8515,404.3012000000477,404.40080000001194,412.4676000000238,412.9675,417.5674000000358,417.67590000003577,422.726,432.609,432.9675,433.0757000000477,444.04230000001195,456.5082000000477,456.9335,457.0334000000358,465.3585,473.65,484.97520000004766,485.07460000002385,485.5245,499.3495,506.8493000000119,506.94910000002386,507.43230000001194,517.399300000012,517.9073000000119,523.232300000012,523.957300000012,527.4905,536.1322000000476,536.2322000000477,541.682,542.0571000000239,544.332,549.4487000000477,560.5487000000477,560.6482000000477,568.1319000000358,579.0567000000477,579.357,579.4562000000477,580.9647000000476,581.0731000000238,581.6729000000357,581.7728000000119,593.0983000000119,595.0143000000119,606.2642000000477,606.3642000000477,610.5144000000357,718.72,718.737,718.7536000000239,718.77,718.7787000000477,718.7953000000119,718.8037000000477,718.8121000000239,718.8202000000476,718.828300000012,718.8457000000477,718.8621000000238,718.8785,718.9209000000358,718.9455,718.9537000000477,718.9704000000357,718.9785,718.9869000000358,719.0038000000119,719.0122000000476,719.0204000000358,719.0291000000238,719.0451000000238,719.0705,762.5951000000239,762.6112000000477,762.6197000000477,762.6364000000358,762.6447000000477,762.6529000000357,762.6614000000358,762.6697000000477,762.6864000000357,762.6947000000476,762.7117000000477,762.7365,762.8611000000238,762.8781000000239,762.8864000000358,762.903,762.9112000000476,762.9202000000477,762.928,762.9449000000358,762.952800000012,762.9616000000239,762.9779000000358,763.0033000000119,773.02,773.0361000000238,773.0529000000357,773.0611000000239,773.0696000000238,773.077800000012,773.0863000000119,773.1028000000119,773.1117000000477,773.1196000000239,773.1363000000119,773.153,773.1613000000119,773.1782000000477,773.1862000000477,773.1949000000358,773.2115,773.2195,773.2276000000238,773.236,773.2531000000239,773.2614000000358,773.2783000000119,773.5694000000358,773.6027000000477,773.611300000012,773.6275,773.6363000000119,773.6447000000477,773.6528000000119,773.6694000000358,773.678,773.6861000000239,773.7026000000238,773.7195,776.0941000000238,776.1275,776.136,776.1527000000477,776.161,776.1692000000477,776.1863000000119,776.1944000000358,776.2029000000358,776.211,776.2277000000477,776.2445,776.911,776.9527000000477,776.9778000000119,777.0032000000476,777.0276000000239","-78197.1920999642,37.007399999976165,0.10899999999999466,0.29940000003576017,14.79119999998808,11.983199999988088,0.09989999997614518,0.38330000001192843,12.325300000011921,10.54119999998808,0.09949999999999193,0.3006000000238487,11.866199999988083,7.600199999988064,0.09950000000000614,0.333500000000015,16.733300000011923,0.3329999999999984,0.10010000002384345,14.291699999988055,1.4078999999761663,0.35830000001192275,0.10030000001191297,9.058000000000021,8.599800000011896,9.400099999964254,0.09999999999999432,16.69940000003575,8.533299999952334,6.450100000023838,0.09989999997614518,5.566500000000019,4.558200000047663,4.5665999999642395,0.09990000003577393,6.033299999952305,6.366900000035798,1.7994999999999663,0.10000000000002274,5.450499999999977,11.782500000000027,11.025099999964198,0.10000000000002274,9.433300000011911,0.549400000035746,12.875299999952347,0.0999000000357455,1.80809999996427,9.591700000047638,5.5246999999881155,0.10030000001188455,1.6745999999642436,0.6588000000119223,0.40800000000001546,7.849899999976174,2.991700000047672,0.10009999996424312,19.808100000023842,0.8245000000000005,13.566899999976158,0.09960000002382685,4.183199999988062,5.7418999999761695,14.449700000047699,0.09959999996425495,8.066800000011881,0.49989999997615087,4.599900000035802,0.10849999999999227,5.050099999964232,9.882999999999981,0.35849999999999227,0.10820000004770236,10.966599999964274,12.465900000035731,0.4252999999523013,0.09990000003580235,8.325099999964209,8.291499999999985,11.325200000047687,0.09939999997618543,0.4498999999761395,13.824999999999989,7.4998000000119305,0.09980000001195322,0.4831999999880736,9.967000000000041,0.5079999999999245,5.3250000000000455,0.7250000000000227,3.533199999988028,8.64170000004765,0.10000000000002274,5.449799999952347,0.37510000002384913,2.274899999976128,5.116700000047672,11.100000000000023,0.09950000000003456,7.483699999988062,10.924800000011942,0.30029999995224443,0.09920000004774465,1.5084999999999127,0.10839999997619998,0.5998000000118964,0.0998999999761736,11.325500000000034,1.91599999999994,11.249900000035836,0.10000000000002274,4.15019999998799,108.2055999999643,0.016999999999939064,0.016600000023913708,0.016399999976101753,0.008700000047724643,0.016599999964228118,0.008400000035749144,0.008399999976177241,0.008100000023773646,0.00809999996431543,0.017400000035763696,0.016399999976101753,0.01639999997621544,0.04240000003574096,0.024599999964266317,0.00820000004762278,0.016699999988077252,0.00809999996431543,0.008400000035749144,0.01689999997608993,0.008400000035749144,0.008199999988164564,0.008699999988039053,0.01599999999996271,0.025399999976229992,43.52460000002384,0.016100000023811845,0.008500000000026375,0.016699999988077252,0.00830000001190001,0.008199999988050877,0.008500000000026375,0.00830000001190001,0.016699999988077252,0.00830000001190001,0.01700000000005275,0.024799999952278995,0.12460000002386096,0.01700000000005275,0.00830000001190001,0.016599999964228118,0.00820000004762278,0.009000000000014552,0.007799999952339931,0.01690000003577552,0.007899999976189065,0.008800000011888187,0.01630000001193821,0.025399999976116305,10.016699999988077,0.016100000023811845,0.016800000011926386,0.008199999988164564,0.008499999999912689,0.008199999988164564,0.008499999999912689,0.016500000000064574,0.008900000035737321,0.007899999976189065,0.016699999988077252,0.016699999988077252,0.00830000001190001,0.01690000003577552,0.008000000000038199,0.008699999988039053,0.016599999964228118,0.008000000000038199,0.008100000023773646,0.008399999976177241,0.017100000023901885,0.00830000001190001,0.01689999997608993,0.2911000000239028,0.03330000001187727,0.008599999964303606,0.016199999988089075,0.008800000011888187,0.008400000035749144,0.008099999964201743,0.016600000023913708,0.00859999996418992,0.008100000023887333,0.016499999999950887,0.016899999976203617,2.3746000000237473,0.03339999997626819,0.008499999999912689,0.016700000047762842,0.00829999995221442,0.008200000047736467,0.017099999964216295,0.008100000023887333,0.008500000000026375,0.008099999964201743,0.016700000047649155,0.016799999952354483,0.6664999999999281,0.041700000047740104,0.025099999964254494,0.02540000003568821,0.02439999997625364","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,84,85,84,85,86,87,88,87,88,89,90,91,92,93,94,95,94,93,94,95,96,97,98,99,100,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p6)(h1)(p7),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(h1)(p7)(p8),(h1)(p7)(p8),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(h2)(p11),(h2)(p11),(h2)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12)(h3),(p12)(h3),(p12)(h3),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(h3)(p13),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(h4)(p16)(p17),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p21),(p22)(p23)(p21),(p22)(p23)(p21),(p22)(p23)(p21),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","20,35,47,60,74","0,4,8,12,15,17,21,25,27,31,36,41,48,52,55,61,63,68,69,72,75,78,81,85,88,91,96","caapble,mlies),animlas,etxreme,palnts,mkaes,scientsits,millinos,lrage,bteween,wrost,cneturies,tehse,suprring,cooelr,comapred,mmamals,acocrding,mamamls,wramer,,profsesor,cycel,,ecosytsems,animlas,lrage,snaeks,bieng,palnts,natvie,are’nt,speices,wildilfe,craeting,excahnge,aplpe,efefcts,hamrs","55,64,61,18,20,34,24,21,70,39,65,47,34,61,87,62,31,57,28,82,31,25,14,75,23,42,14,46,34,81,40,18,24,62,99,19,15","2,1,1,1,1,2,1,1,2,1,1,1,1,2,2,2,2,0,2,1,1,1,1,1,2,2,2","2,0,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,0,1,1,1,1,1,0,2,2,1","caapble,mlies),etxreme,palnts,mkaes,scientsits,lrage,bteween,cneturies,wrost,tehse,suprring,cooelr,comapred,mmamals,acocrding,mamamls,wramer,,cycel,,profsesor,ecosytsems,animlas,snaeks,bieng,palnts,natvie,are’nt,wildilfe,craeting,excahnge,aplpe,hamrs","p1,p1,p3,p4,p5,p6,p7,p8,p9,p9,p10,p11,p12,p13,p14,p14,p15,p15,p16,p16,p17,p17,p19,p20,p21,p22,p23,p25,p25,p26,p26,p27","39.597900000035764,60.97540000003576,109.34190000003576,128.3477000000477,156.548,166.76820000004767,198.94010000002385,227.01260000002384,241.9855,245.86410000002385,257.24790000003577,290.71610000002386,325.2485,362.98980000001194,377.22980000001195,387.468,402.7558000000119,414.5517000000477,428.68390000003575,432.0317000000477,436.36970000004766,459.13990000003577,477.4357000000477,490.45990000003576,534.3055,546.2438000000119,577.9059000000358,600.0977000000477,602.5975,634.0134000000357,646.8661000000238,653.7873000000119","relationship.","p1","42.67260000002384","heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","752992","0.0-5.0","","","16244.700000047684","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5b14532ce9270900013c5bf6_1651673666381","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","757610","0.0-6.0","","","4617.5","While reading the article, how carefully did you pay attention?","","5b14532ce9270900013c5bf6_1651673666381","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","heading","82","","","","","","","","","",""
"","html-slider-response","7","761912","0.0-7.0","","","4301.299999952316","How well do you feel you understood the key points of the article?","","5b14532ce9270900013c5bf6_1651673666381","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","heading","89","","","","","","","","","",""
"","html-slider-response","8","770874","0.0-8.0","","","8961.399999976158","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5b14532ce9270900013c5bf6_1651673666381","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","heading","48","","","","","","","","","",""
"","html-slider-response","9","775308","0.0-9.0","","","4433","How interesting did you find the topic of this article after the first few paragraphs?","","5b14532ce9270900013c5bf6_1651673666381","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","heading","42","","","","","","","","","",""
