"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","17403","0.0-0.0","1600","900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","41730","0.0-1.0","1600","900","24324.800000190735","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5b27d79e878ec200017b0eb3_1651512098852","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","59466","0.0-2.0","","","17731.10000038147","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5b27d79e878ec200017b0eb3_1651512098852","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","158853","0.0-3.0","","","99399.60000038147","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5b27d79e878ec200017b0eb3_1651512098852","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","608885","0.0-4.0","","","450004.30000019073","","","5b27d79e878ec200017b0eb3_1651512098852","test_trial","","","900","277773.7000002861","100","0","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","52.86960000038147,52.98590000009537,53.11910000038147,53.2195,53.31930000019074,53.4195,53.5695,70.31930000019074,70.4025,70.46940000009536,70.56930000019074,70.669,70.8357000002861,106.73590000009537,106.78580000019073,106.8357000002861,106.8857000002861,106.91910000038148,106.96920000028611,107.05260000038147,107.26970000028611,125.50290000009537,125.5857000002861,125.65240000009537,125.71920000028611,125.78580000019073,125.919,150.8525,150.9025,150.93580000019074,150.98590000009537,151.0357000002861,151.08580000019074,167.4027000002861,167.469,167.5357000002861,167.60240000009537,167.6862000002861,167.81930000019074,206.11930000019075,206.20240000009537,206.26910000038146,206.36910000038148,206.55290000009538,216.56940000009536,216.61910000038148,216.68590000009536,216.7192000002861,216.7692000002861,216.83590000009536,241.10260000038147,241.21890000009537,241.30230000019074,241.386,241.4525,241.5527000002861,241.7025,258.0025,258.05290000009535,258.1022000002861,258.15230000019073,258.2024000000954,258.2695,281.119,281.20230000019075,281.2857000002861,281.3857000002861,304.1024000000954,304.16880000019074,304.26910000038146,304.43580000019074,304.7025,305.48560000038145,306.1861000003815,306.72090000009536,327.4359000000954,327.6356000003815,327.8854000000954,328.1857000002861,328.7882000002861,329.3881000003815,329.8378000001907,349.9191000003815,349.98560000038145,350.0523000001907,350.1025,350.1522000002861,350.2025,350.2687000002861,361.26910000038146,361.3357000002861,361.402,361.46890000009535,361.5854000000954,390.68560000038144,390.73580000019075,390.7857000002861,390.8355,390.8855,390.9524000000954,655.8852000002861,655.902,655.9187000002861,655.9353000001908,655.9519000000954,655.9686000003815,655.9852000002861,656.0019000000954,656.0186000003815,656.0353000001908,656.0519000000953,656.0686000003815,656.0852000002861,656.1025,656.1188000001907,656.1353000001907,656.1519000000953,656.1686000003815,656.1853000001908,656.2188000001908,656.2521000003815,656.3024000000954,669.4855,669.5018000001908,669.5183000001907,669.5354000000954,669.552,669.5684000000954,669.5857000002861,669.6021000003815,669.6185,669.636,669.6519000000953,669.6687000002861,669.6855,669.7018000001907,669.7185,669.7356000003815,669.7519000000954,669.8019000000953,686.8518000001907,686.8683000001907,686.8852000002861,686.9019000000953,686.9185,686.9352000002862,686.9518000001907,686.9686000003815,686.9852000002861,687.0017000002861,687.0184000000953,687.0353000001908,687.0519000000953,687.0691000003815,687.085,717.8968000001908,719.4349000000954,719.4516000003815,719.4685,719.485,719.5018000001908,719.5185,719.5351000003815,719.5517000002861,719.5682000002861,719.5852000002861,719.6018000001907,719.619,719.6352000002861,719.6519000000953,719.6687000002861,719.6853000001908,719.7024000000954,719.7188000001908,719.7359000000954,719.7524000000953,719.7688000001907,719.7853000001908,719.8026000003815,719.8187000002861,719.8358000001907,719.8524000000954","-172177.73039990425,0.11629999971390248,0.13320000028610224,0.1003999996185243,0.09980000019073998,0.10019999980926286,0.14999999999999858,16.74980000019074,0.08319999980926696,0.06690000009535879,0.09990000009537425,0.09969999980926048,0.16670000028609877,35.900199999809274,0.049900000095362884,0.049900000095362884,0.05000000000001137,0.033400000095369364,0.05009999990463143,0.08340000009536652,0.21709999990463302,18.23319999980926,0.08280000019072986,0.06669999980927344,0.06680000019073873,0.06659999990462495,0.1331999998092641,24.933499999999995,0.05000000000001137,0.03330000019073509,0.05009999990463143,0.04980000019074282,0.05009999990463143,16.31690000009536,0.06629999971389111,0.06670000028611867,0.06669999980925923,0.08380000019073464,0.13309999990462984,38.30000000000001,0.08309999990461847,0.06670000028609024,0.10000000000002274,0.18379999971389793,10.01649999999998,0.04970000028612276,0.06679999971387929,0.03330000019073509,0.05000000000001137,0.06669999980925923,24.266700000286107,0.11629999971390248,0.08340000009536652,0.08369999980925513,0.06649999999999068,0.1002000002861223,0.1497999997138777,16.30000000000001,0.05040000009535106,0.04930000019072622,0.05009999990465985,0.05009999990465985,0.06709999990459892,22.849500000000035,0.08330000019071804,0.08340000009536652,0.0999999999999659,22.716699999809293,0.06640000009537061,0.10030000019071394,0.16669999980928196,0.26669999980924786,0.7831000003814665,0.7005000000000337,0.5347999997138686,20.715000000000032,0.19970000028610002,0.24979999971390043,0.3003000001907026,0.6025000000000205,0.5999000000953743,0.4496999998092406,20.081300000190765,0.06649999999996226,0.06669999980925923,0.05019999980930834,0.049700000286065915,0.05029999971389998,0.06620000028613049,11.00040000009534,0.06659999990466758,0.06629999971386269,0.06690000009535879,0.11650000000003047,29.100200000286065,0.05019999980930834,0.049900000095362884,0.0497999997139118,0.049999999999954525,0.06690000009541563,264.9328000001907,0.016799999713953184,0.016700000286050454,0.016599999904656215,0.016599999904656215,0.016700000286050454,0.016599999904656215,0.016699999809247856,0.01670000028616414,0.016699999809247856,0.01659999990454253,0.01670000028616414,0.016599999904656215,0.017299999713827674,0.016300000190767605,0.016499999999950887,0.016599999904656215,0.01670000028616414,0.016699999809247856,0.03350000000000364,0.03330000019070667,0.05029999971395682,13.183099999904584,0.016300000190767605,0.016499999999950887,0.017099999904644392,0.016599999904656215,0.016400000095359246,0.017300000190743958,0.016400000095359246,0.01639999961855665,0.01749999999992724,0.01590000009537107,0.01680000019075578,0.016799999713953184,0.016300000190653918,0.016699999809247856,0.017100000381560676,0.01629999971385132,0.049999999999954525,17.049900000095363,0.016500000000064574,0.016900000095347423,0.016699999809247856,0.016599999904656215,0.01670000028616414,0.01659999990454253,0.01680000019075578,0.016599999904656215,0.016499999999950887,0.016699999809247856,0.01690000009546111,0.01659999990454253,0.017200000286152317,0.015899999618568472,30.811800000190715,1.5380999999046026,0.01670000028616414,0.01689999961843114,0.016500000000064574,0.01680000019075578,0.016699999809247856,0.016600000381458813,0.016599999904656215,0.016499999999950887,0.01700000000005275,0.01659999990454253,0.01719999980934972,0.016200000286062277,0.016699999809247856,0.01680000019075578,0.016599999904656215,0.017099999904644392,0.016400000095359246,0.017099999904644392,0.016499999999950887,0.016400000095359246,0.016500000000064574,0.017300000190743958,0.016099999904554352,0.017099999904644392,0.016599999904656215","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,1,3,5,7,9,11,12,14,15,17,18,20,21,23,24,25,26,27,28,29,30,31,33,35,37,39,42,44,46,48,49,51,52,53,55,56,57,58,59,60,63,66,69,72,74,77,79,83,86,90,93,95,97,100,0,1,4,7,11,15,20,25,29,34,39,43,48,53,57,58,62,67,71,75,79,83,87,90,94,97,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(h1)(p7)(p8),(h1)(p7)(p8),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(h2)(p11),(h2)(p11)(p12),(h2)(p11)(p12),(p11)(p12),(p11)(p12)(h3),(p12)(h3),(p12)(h3),(p12)(h3),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(h3)(p13),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(h4),(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(h4)(p16)(p17),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","20,35,47,60,74","0,4,8,12,15,17,21,25,27,31,36,41,48,52,55,61,63,68,69,72,75,78,81,85,88,91,96","smybiotic,itnimate,multilpe,tehir,wihch,aronud,cilmate,sceintists,speceis,poleln,adavnced,endanegred,dsitributing,moevd,whree,dergees,cliamte,amonut,climtaes,whree,trigegr,platns,sadi,,itnroduced,teres,satrlings,dsiperse,aolng,inrtoduced,retsore,betetr,worires,frutis,konwn,riplpe","47,45,60,38,60,14,31,24,44,38,14,24,58,48,36,46,31,39,86,87,22,37,18,43,31,27,26,43,25,37,34,41,41,21,18","2,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,2,0,1,1,1,2,1,2,1,2,1","1,0,1,0,0,1,0,0,0,0,1,1,1,1,2,0,1,0,1,0,0,1,1,0,0,0,1","itnimate,tehir,sceintists,moevd,whree,cliamte,amonut,climtaes,whree,platns,itnroduced,dsiperse,inrtoduced,riplpe","p1,p3,p6,p11,p12,p13,p14,p15,p15,p17,p19,p22,p23,p27","21.293100000381468,62.408,103.893,184.88360000038148,208.90960000038146,231.64280000019073,251.94230000019073,278.90910000038144,279.9766000003815,299.00910000038147,321.3902000002861,345.578,356.30780000019075,440.3177000002861","survival,","p3","10.867","heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","627705","0.0-5.0","","","18815.800000190735","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5b27d79e878ec200017b0eb3_1651512098852","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","632200","0.0-6.0","","","4493.400000095367","While reading the article, how carefully did you pay attention?","","5b27d79e878ec200017b0eb3_1651512098852","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","heading","99","","","","","","","","","",""
"","html-slider-response","7","654356","0.0-7.0","","","22154.800000190735","How well do you feel you understood the key points of the article?","","5b27d79e878ec200017b0eb3_1651512098852","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","heading","67","","","","","","","","","",""
"","html-slider-response","8","661080","0.0-8.0","","","6722.39999961853","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5b27d79e878ec200017b0eb3_1651512098852","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","heading","59","","","","","","","","","",""
"","html-slider-response","9","668556","0.0-9.0","","","7474.799999713898","How interesting did you find the topic of this article after the first few paragraphs?","","5b27d79e878ec200017b0eb3_1651512098852","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","heading","56","","","","","","","","","",""
