"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","7773","0.0-0.0","2048","1152","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","23419","0.0-1.0","2048","1152","15645.699999988079","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5b59a51fca6d01000157a8c3_1651671009148","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","35363","0.0-2.0","","","11942.5","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5b59a51fca6d01000157a8c3_1651671009148","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","90067","0.0-3.0","","","54703.69999998808","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5b59a51fca6d01000157a8c3_1651671009148","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","566947","0.0-4.0","","","476869.5","","","5b59a51fca6d01000157a8c3_1651671009148","test_trial","","","1152","383668.1999999881","120","10","down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","9.013199999988078,9.0465,9.07969999998808,9.11309999999404,9.129799999982119,9.17990000000596,9.246400000005961,9.69709999999404,9.830299999982119,9.9305,13.934,13.983799999982118,14.01709999999404,14.03390000000596,14.0505,14.06740000000596,14.100699999988079,14.134099999994039,14.2675,14.634299999982119,37.95390000000596,38.23729999998212,38.60409999999404,44.4425,52.58269999998808,52.932799999982116,53.04959999999404,53.4,53.55009999999404,70.94790000000596,71.0145,85.89359999999404,85.96019999998808,96.03529999998212,96.95259999999404,100.02190000000596,100.08869999998808,109.163,109.2295,109.263,117.06940000000596,126.9775,127.09429999998211,127.1945,127.74490000000596,127.82840000000596,140.33869999998808,140.42209999999403,142.257,142.5571999999881,142.70729999998213,161.75659999999405,162.42379999998212,162.54029999998212,172.53219999998808,172.64909999999404,173.433,173.51629999998212,194.50319999998808,194.63369999998807,194.73379999998212,194.95069999998807,195.05069999998807,195.63469999998807,206.2435,224.7255,224.79209999999404,224.8755,225.0256999999881,225.6095,240.9055,241.10590000000596,241.55619999998808,241.67290000000597,241.773,252.49859999999404,252.5485,252.59859999999404,253.09890000000595,253.16559999999404,277.8195,277.8862999999821,277.9362999999821,292.84879999998213,292.9486999999881,293.41579999998214,293.86619999998805,293.9495,308.1946999999881,308.34469999998805,312.665,312.7151999999881,312.74859999999404,312.81509999999406,316.26790000000597,343.5906999999881,343.674,346.5931999999881,347.894099999994,362.1226999999881,362.2395,368.67829999998213,368.7781999999881,368.8282999999821,368.89519999998805,368.99509999999407,369.54559999999407,369.629099999994,386.759900000006,386.826599999994,386.9265,387.4105,387.49369999998805,403.206900000006,403.27340000000595,403.3405,403.97419999998806,418.086,418.186,418.3526999999881,563.526400000006,563.54,563.5732999999822,563.5897999999821,563.6064000000059,563.623400000006,563.640099999994,563.6566999999881,563.6732999999821,563.6901999999881,563.7066999999881,563.7235,563.7400999999941,639.9032999999821,639.919900000006,639.9365,639.9532999999822,639.969900000006,639.9866999999881,640.003400000006,640.0199000000059,640.036599999994,640.070099999994,640.470400000006,640.487,640.503699999988,640.5204000000059,640.537099999994,640.5537999999822,640.5705,640.587099999994,663.4560999999941,663.4726999999881,663.489400000006,663.5061999999881,663.522900000006,663.5394000000059,663.556099999994,663.5727999999821,663.589400000006,663.6062999999821,663.622900000006,663.6395,663.6562999999821,663.6729000000059,663.6896999999881,663.7062999999821,663.722900000006,663.739699999988,681.6877999999821,681.7211999999881,681.7377999999821,681.7545999999941,681.7711999999881,681.787900000006,681.804599999994,681.8212999999821","-93192.28680001193,0.03330000001192168,0.033199999988079654,0.033400000005959996,0.01669999998807903,0.05010000002384096,0.06650000000000134,0.4506999999880783,0.1331999999880793,0.10020000001788176,4.003499999999999,0.04979999998211859,0.03330000001192168,0.016800000011921057,0.01659999999403894,0.016900000005961147,0.03329999998211797,0.033400000005959996,0.13340000000596142,0.36679999998211876,23.31960000002384,0.2833999999761616,0.3668000000119207,5.8384000000059615,8.140199999988077,0.3500999999940362,0.1168000000119207,0.35040000000596194,0.15009999999404045,17.39780000001192,0.06659999999403965,14.87909999999404,0.06659999999403965,10.075099999994038,0.9173000000119202,3.0693000000119213,0.06679999998212338,9.074300000011917,0.06650000000000489,0.03350000000000364,7.806400000005951,9.90809999999405,0.11679999998210633,0.10020000001789242,0.5504000000059506,0.0835000000000008,12.510299999982124,0.08340000000595182,1.8349000000059732,0.3001999999880809,0.15009999999404045,19.049300000011925,0.6671999999880711,0.11650000000000205,9.991900000005955,0.11690000000595546,0.783900000005957,0.08329999998213111,20.98690000000596,0.13049999999998363,0.1000999999940575,0.21690000000594978,0.09999999999999432,0.5840000000000032,10.60880000001194,18.482,0.06659999999402544,0.08340000000595182,0.15019999998810363,0.5838000000119052,15.295999999999992,0.20040000000597047,0.45029999998212134,0.11670000001788594,0.10009999999402908,10.725599999994046,0.049900000005948186,0.05009999999404613,0.5003000000119187,0.06669999998808862,24.65390000000596,0.06679999998209496,0.05000000000001137,14.912500000000023,0.09990000000595955,0.4670999999940477,0.4504000000059136,0.08330000001194549,14.245199999988074,0.14999999999997726,4.320300000011969,0.05019999998808089,0.033400000005940456,0.0665000000000191,3.452800000011905,27.322799999982124,0.08330000001188864,2.919199999988109,1.3009000000059245,14.22859999999406,0.11680000001194912,6.438799999982109,0.09990000000595955,0.05009999999401771,0.0669000000059441,0.0999000000060164,0.5504999999999995,0.08349999999995816,17.13080000001196,0.06669999998803178,0.09990000000595955,0.4840000000000373,0.08319999998803951,15.713200000017935,0.06649999999996226,0.06709999999407046,0.633699999988039,14.111800000011954,0.0999999999999659,0.16669999998811136,145.1737000000179,0.013599999993971323,0.03329999998220501,0.016499999999950887,0.01660000002380002,0.01700000000005275,0.016699999988077252,0.01659999999401407,0.01659999999401407,0.01690000000598957,0.016500000000064574,0.0168000000118127,0.016599999994127757,76.16319999998802,0.016600000023913708,0.01659999999401407,0.016799999982140434,0.01660000002380002,0.016799999982140434,0.016700000017863204,0.016499999999950887,0.016699999988077252,0.03350000000000364,0.40030000001195276,0.01659999999401407,0.016699999988077252,0.016700000017863204,0.016699999988077252,0.01669999998819094,0.016700000017863204,0.01659999999401407,22.869000000000028,0.01659999999401407,0.016700000017863204,0.016799999982140434,0.016700000017863204,0.016499999999950887,0.016699999988077252,0.016699999988077252,0.016600000023913708,0.01689999997608993,0.016600000023913708,0.01659999999401407,0.016799999982140434,0.01660000002380002,0.016799999982140434,0.01659999999401407,0.016600000023913708,0.016799999982026748,17.948099999994042,0.03340000000605414,0.01659999999401407,0.016800000011926386,0.01659999999401407,0.016700000017863204,0.016699999988077252,0.016699999988077252","1,2,3,4,5,6,7,8,9,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,1,3,4,6,8,11,14,16,19,21,22,23,24,25,26,27,29,31,32,33,34,35,36,37,39,40,42,44,45,46,47,48,49,50,53,55,59,63,67,72,76,80,83,86,88,90,91,92,93,94,95,96,97,98,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p2),(p3)(p4)(p2),(p3)(p4)(p2),(p3)(p4)(p2),(p3)(p2),(p3)(p2)(p1),(p3)(p2)(p1),(p3)(p2)(p1),(p3)(p2)(p1),(p3)(p2),(p3)(p2),(p3)(p2)(p4),(p3)(p2)(p4),(p3)(p2)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p9)(p10),(p9)(p10)(p11),(p9)(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p12),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(p16),(p14)(p15)(p16),(p15)(p16),(p15)(p16),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17),(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p18)(p19)(p20),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","","0,5,8,12,16,18,21,25,28,32,36,41,47,51,55,60,62,67,68,71,74,76,79,84,87,91,96","snigle,fcaes,sotmach,multilpe,knwon,widllife,mkaes,whcih,bodns,evolevd,decliend,popultaions,bewteen,wasy.,centruies,lsoing,miels),centruy,animlas,sedes,cilmate,aomunt,migratroy,eelphant-like,trigegr,tohse,chang.e”,detah,are’nt,teres,anmials,csots,ntaive,wirtes.,beneifts,logner,cretaing,creatuers,platns,benfeits","50,23,37,60,66,11,34,33,29,19,46,36,39,12,47,33,29,53,82,45,31,39,69,54,22,41,29,20,55,31,43,39,33,46,25,47,24,29,37,32","2,2,1,1,2,2,2,2,1,1,1,2,2,1,2,1,2,0,2,1,1,1,2,1,2,1,2","2,1,1,0,2,2,1,2,1,1,1,0,1,1,2,1,2,0,2,1,0,1,1,1,2,1,2","fcaes,snigle,sotmach,knwon,whcih,mkaes,evolevd,bodns,popultaions,wasy.,bewteen,centruies,lsoing,miels),sedes,aomunt,eelphant-like,migratroy,trigegr,chang.e”,tohse,detah,are’nt,teres,csots,wirtes.,beneifts,cretaing,logner,creatuers,benfeits,platns","p1,p1,p2,p3,p5,p5,p6,p6,p7,p8,p8,p9,p10,p11,p13,p14,p15,p15,p16,p17,p17,p19,p19,p20,p22,p23,p24,p25,p25,p26,p27,p27","23.478,31.48609999999404,45.398,69.59840000000597,93.57379999998211,94.06979999998212,101.55779999998212,105.606,120.46990000000596,133.25409999999403,141.32590000000596,154.022,166.15,182.70979999998212,236.35,249.23779999998212,268.87819999998806,274.18990000000593,292.245900000006,300.83790000000596,304.70190000000593,329.901900000006,337.062099999994,345.49390000000597,366.57390000000595,380.478,399.958,408.509900000006,414.622099999994,429.7025,471.3021999999881,474.6861999999881","","","","no_heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","587283","0.0-5.0","","","20334.09999999404","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5b59a51fca6d01000157a8c3_1651671009148","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","592995","0.0-6.0","","","5711.5","While reading the article, how carefully did you pay attention?","","5b59a51fca6d01000157a8c3_1651671009148","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","no_heading","100","","","","","","","","","",""
"","html-slider-response","7","597508","0.0-7.0","","","4511.5","How well do you feel you understood the key points of the article?","","5b59a51fca6d01000157a8c3_1651671009148","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","no_heading","92","","","","","","","","","",""
"","html-slider-response","8","606587","0.0-8.0","","","9079.5","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5b59a51fca6d01000157a8c3_1651671009148","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","no_heading","65","","","","","","","","","",""
"","html-slider-response","9","613667","0.0-9.0","","","7079.300000011921","How interesting did you find the topic of this article after the first few paragraphs?","","5b59a51fca6d01000157a8c3_1651671009148","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","no_heading","81","","","","","","","","","",""
