"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","9552","0.0-0.0","1920","1080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","15257","0.0-1.0","1920","1080","5702.200000001118","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5b6780c5f6a18700019e33dc_1651598447280","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","27226","0.0-2.0","","","11965.699999999255","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5b6780c5f6a18700019e33dc_1651598447280","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","66560","0.0-3.0","","","39334.300000000745","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5b6780c5f6a18700019e33dc_1651598447280","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","375973","0.0-4.0","","","309391.5999999996","","","5b6780c5f6a18700019e33dc_1651598447280","test_trial","","","1080","238327.40000000037","104","2","down,down,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","16.437800000000745,28.099,31.086400000000374,31.152900000000372,38.99470000000112,44.1005,44.718,44.75,44.784700000001116,52.542,55.46280000000075,59.9495,60.0675,64.25570000000111,69.695,73.9315,74.08140000000037,74.984,76.30209999999963,81.27340000000038,81.97309999999963,84.14380000000075,90.41609999999963,90.93420000000111,90.9665,91.00109999999962,97.824,104.08180000000074,104.38170000000112,106.86830000000074,107.75209999999963,112.65659999999963,112.758,116.929,116.97880000000075,117.01259999999962,118.99720000000111,126.17130000000074,127.5405,133.42930000000075,137.68370000000112,142.00620000000112,143.3895,144.32530000000074,144.858,145.40940000000037,145.45990000000037,145.49290000000036,158.94109999999964,162.16,163.64590000000038,164.89709999999963,165.58030000000073,176.25970000000112,179.93020000000112,181.48170000000113,183.31609999999964,185.78590000000037,185.83670000000112,188.18790000000038,189.29009999999963,189.3227000000011,189.35709999999963,192.3595,199.58520000000112,201.71870000000112,202.521,202.57070000000112,202.60430000000073,207.05940000000038,209.92940000000038,210.47990000000038,211.78140000000036,212.39840000000038,218.2385,222.49259999999964,232.92059999999964,234.03840000000037,237.00730000000075,237.191,239.81159999999963,241.16309999999962,242.09620000000112,243.93280000000075,245.117,247.10280000000074,247.18640000000036,250.523,254.09259999999963,254.66,254.7277000000011,254.77730000000074,266.9910999999996,267.0235,267.07430000000073,273.9817000000011,274.78140000000036,275.01609999999965,278.68680000000074,281.6235999999996,285.3114000000004,285.39440000000036,285.50930000000074,288.563,409.36090000000036,409.37770000000114,409.40980000000076,409.4275,409.4439000000004,409.4615,409.47870000000114,409.49480000000074,409.51130000000074,409.52780000000075,427.9652000000011,427.9975,428.01520000000113,428.03170000000114,428.0474000000004,428.06459999999964,428.081,428.09859999999964,428.1140999999996,428.1312000000011,428.14859999999965,428.1640999999996,434.8393000000007,434.8545999999996,434.8715,434.888,434.9037000000011,434.9219000000004,434.9385999999996,434.9555,434.97170000000114,440.4677000000011,442.29680000000076,442.32959999999963,442.36280000000073,442.3795,442.39609999999965,442.4119000000004,442.4290999999996,442.44530000000077,442.4629000000004,442.4797000000011,442.49709999999965,442.51280000000077,442.5295999999996,442.5467000000011,442.56290000000035,442.57990000000035,442.5965,442.6127000000011,442.62990000000036,442.64730000000077,442.6635,443.3312000000011,443.364,443.414","-71047.76219999926,11.661199999999255,2.987400000000374,0.06649999999999778,7.841800000000745,5.1057999999988795,0.6175000000000068,0.031999999999996476,0.03470000000111639,7.757299999998885,2.920800000000746,4.486699999999253,0.1180000000000021,4.18820000000111,5.43929999999888,4.236500000000007,0.14990000000037185,0.902599999999623,1.3180999999996317,4.971300000000753,0.6996999999992539,2.170700000001119,6.272299999998879,0.5181000000014819,0.03229999999888378,0.03459999999962804,6.822900000000374,6.257800000000742,0.29990000000037753,2.486599999999626,0.8837999999988853,4.904499999999999,0.10140000000036764,4.1710000000000065,0.049800000000743694,0.03379999999887673,1.9846000000014925,7.174099999999626,1.3691999999992532,5.8888000000007565,4.254400000000373,4.322499999999991,1.3832999999988829,0.9358000000007394,0.5326999999992665,0.5514000000003705,0.050499999999999545,0.03299999999998704,13.448199999999275,3.2189000000003603,1.4859000000003846,1.251199999999244,0.6832000000011078,10.679400000000385,3.670500000000004,1.5515000000000043,1.8343999999985101,2.469800000000731,0.05080000000074847,2.3511999999992668,1.1021999999992431,0.03260000000148011,0.034399999998527164,3.002400000000364,7.225700000001126,2.133499999999998,0.8022999999988656,0.04970000000113828,0.033599999999609054,4.455099999999646,2.8700000000000045,0.5504999999999995,1.301499999999976,0.6170000000000186,5.840099999999609,4.254099999999653,10.427999999999997,1.1178000000007273,2.9689000000003887,0.18369999999924858,2.6205999999996266,1.3514999999999873,0.9331000000015024,1.8365999999996347,1.1841999999992368,1.9858000000007507,0.08359999999962042,3.3365999999996347,3.569599999999639,0.5674000000003616,0.06770000000111054,0.04959999999962861,12.213799999998884,0.03240000000039345,0.05080000000072005,6.9074000000003934,0.799699999999234,0.23469999999929314,3.6707000000010908,2.9367999999988683,3.6878000000007773,0.08299999999996999,0.11490000000037526,3.053699999999253,120.79790000000037,0.016800000000785076,0.0320999999996161,0.01769999999925176,0.016400000000373893,0.01759999999961792,0.017200000001139415,0.016099999999596548,0.01650000000000773,0.01650000000000773,18.437400000000366,0.03229999999888378,0.01770000000112759,0.01650000000000773,0.01569999999924221,0.017199999999263582,0.016400000000373893,0.01759999999961792,0.015499999999974534,0.017100000001505578,0.017399999998531257,0.015499999999974534,6.675200000001098,0.01529999999888787,0.016900000000418913,0.016499999999950887,0.015700000001118042,0.01819999999929678,0.016699999999218562,0.01690000000036207,0.016200000001163062,5.495999999999981,1.8290999999996416,0.032799999998871954,0.033200000001102126,0.016699999999275406,0.016599999999641568,0.01580000000075188,0.01719999999920674,0.016200000001163062,0.01759999999961792,0.016800000000728232,0.017399999998531257,0.015700000001118042,0.0167999999988524,0.017100000001505578,0.016199999999230386,0.016999999999995907,0.016599999999641568,0.01620000000110622,0.017199999999263582,0.01740000000040709,0.016199999999230386,0.6677000000011049,0.032799999998871954,0.05000000000001137","1,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,1,3,7,13,19,26,32,35,37,38,39,40,42,44,47,50,54,57,60,62,63,64,65,68,73,80,88,94,98,100,0,1,2,3,4,5,6,8,9,10,12,13,15,18,23,31,41,54,70,84,93,97,98,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p1)(p2)(p3),(p1)(p2)(p3),(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p9)(p10),(p9)(p10)(p11),(p9)(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p12),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(p16),(p14)(p15)(p16),(p15)(p16),(p15)(p16),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17),(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p18)(p19)(p20),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22)(p23),(p20)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","","0,5,8,12,16,18,21,25,28,32,36,41,47,51,55,60,62,67,68,71,74,76,79,84,87,91,96","thier,relationshpi.,rouglhy,distanecs.,conditoins,stduy,fedeback,shuold,percnet,fweer,plolen,tehir,ditsributing,ohter,cenutry,feewr,surivve,accodring,sedes,dagnerous,particualr,stroe,hrader,froest,colse,lableed,ofetn,effcetively,bekas,sedes,,evolevd,potenital,litlte,effetcs","36,48,17,31,58,31,9,10,50,17,38,56,58,75,53,44,27,57,45,24,15,64,13,13,38,22,37,32,52,70,42,34,102,19","2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,0,1,2,1,2,2,1,1,1,1","1,1,0,0,1,1,2,1,1,0,0,0,2,0,1,1,1,0,0,0,0,1,1,0,0,0,0","relationshpi.,rouglhy,fedeback,shuold,fweer,percnet,plolen,tehir,surivve,feewr,sedes,particualr,stroe,ofetn,sedes,","p1,p2,p5,p6,p7,p7,p8,p9,p13,p13,p15,p16,p17,p22,p23","11.672200000001117,19.519800000000746,70.98390000000038,77.65580000000074,87.83209999999963,95.15180000000075,105.62380000000074,115.76780000000075,170.91180000000074,174.32790000000037,197.36780000000076,205.99180000000075,215.71170000000112,252.43980000000076,265.53580000000073","","","","no_heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","389483","0.0-5.0","","","13503.799999998882","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5b6780c5f6a18700019e33dc_1651598447280","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","392893","0.0-6.0","","","3408","While reading the article, how carefully did you pay attention?","","5b6780c5f6a18700019e33dc_1651598447280","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","no_heading","90","","","","","","","","","",""
"","html-slider-response","7","396149","0.0-7.0","","","3253.7000000011176","How well do you feel you understood the key points of the article?","","5b6780c5f6a18700019e33dc_1651598447280","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","no_heading","93","","","","","","","","","",""
"","html-slider-response","8","400604","0.0-8.0","","","4454.0999999996275","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5b6780c5f6a18700019e33dc_1651598447280","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","no_heading","88","","","","","","","","","",""
"","html-slider-response","9","403372","0.0-9.0","","","2766.4000000003725","How interesting did you find the topic of this article after the first few paragraphs?","","5b6780c5f6a18700019e33dc_1651598447280","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","no_heading","100","","","","","","","","","",""
