"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","16287","0.0-0.0","1280","720","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","36595","0.0-1.0","1280","720","20303","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5ba16051e671c60001231c4f_1651655952536","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","67922","0.0-2.0","","","31327.300000000745","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5ba16051e671c60001231c4f_1651655952536","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","148803","0.0-3.0","","","80881.59999999776","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5ba16051e671c60001231c4f_1651655952536","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","721986","0.0-4.0","","","573162.8000000007","","","5ba16051e671c60001231c4f_1651655952536","test_trial","","","720","420639.200000003","106","3","down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","56.477900000002236,56.57570000000298,56.64260000000149,56.7095,56.743,56.82580000000075,56.909,57.10960000000149,57.40960000000149,57.52640000000223,57.910300000000746,99.42720000000298,99.528,99.6281000000015,99.67820000000297,99.7445,99.79470000000298,99.8781000000015,99.99490000000223,131.43,131.52940000000223,131.62890000000223,131.71240000000225,131.7795,132.34610000000148,214.58380000000074,214.74990000000224,214.88340000000224,215.03320000000298,215.38320000000297,242.50170000000298,242.567700000003,242.618,242.66710000000148,242.717700000003,242.7845,242.9346000000015,264.60280000000074,264.76860000000147,264.8848000000007,265.2358000000007,265.60240000000226,265.85230000000075,266.769,300.554200000003,300.65380000000073,300.7706000000015,300.9206000000015,301.0205,332.388700000003,332.4713000000007,332.521200000003,332.58830000000074,332.871700000003,333.4376000000015,333.92120000000295,348.4061000000015,348.505700000003,348.606,348.98940000000226,349.8393000000007,357.25690000000225,390.96130000000073,391.05730000000074,391.207700000003,391.34120000000297,391.4576000000015,391.541,391.6746000000015,392.15790000000226,393.0746000000015,418.3926000000015,418.50890000000226,418.6594000000022,418.7425,418.8923000000008,418.976,419.12580000000077,421.775200000003,445.22080000000074,445.44330000000076,445.4935,445.57680000000073,453.977700000003,454.12740000000224,454.62680000000074,454.6605,476.344700000003,476.41170000000295,476.47820000000297,476.511700000003,476.56180000000074,476.64530000000076,476.76160000000147,510.280200000003,510.3131000000015,510.3968000000007,510.46330000000074,510.59640000000223,510.679200000003,510.7965,510.93,525.8141000000015,525.9139000000023,526.1809000000022,526.2965,674.304700000003,674.320200000003,674.3373000000007,674.3539000000022,674.3703000000007,674.386700000003,674.4035,674.420200000003,674.4371000000015,674.4536000000015,674.4701000000015,674.486700000003,674.5033000000008,674.5201000000014,674.5368000000008,674.553,674.5701000000015,674.586700000003,674.603200000003,684.5372000000029,684.5535,684.570200000003,684.5873000000007,684.6038000000008,684.620700000003,684.6382000000029,684.6546000000014,684.6709000000022,684.6878000000007,684.7044000000022,684.7543000000007,684.771200000003,684.7899000000023,684.803700000003,685.0544000000023,685.1035,685.1704000000022,685.2538000000008,747.3578000000008,747.3903000000007,747.4074000000022,747.4241000000015,747.4408000000008,747.4574000000023,747.4738000000008,747.4905,747.5066000000015,747.5235,747.540200000003,747.5571000000015,747.574,747.5905,747.6071000000015,747.624,747.6405,747.6741000000015,747.740700000003,747.7744000000023,755.9077000000029,755.9241000000015,755.9406000000015,755.958,755.974200000003,755.9908000000007,756.0076000000015,756.0244000000023,756.0405","-152467.12209999777,0.09780000000074551,0.06689999999850471,0.06689999999851182,0.03350000000000364,0.08280000000074494,0.08319999999925187,0.20060000000149358,0.29999999999999716,0.11680000000074386,0.383899999998512,41.51690000000224,0.10079999999702238,0.10010000000148978,0.050100000001478406,0.06629999999702818,0.050200000002973866,0.08339999999851955,0.11680000000073676,31.435099999997774,0.09940000000221971,0.09950000000000614,0.083500000000015,0.06709999999776528,0.5666000000014719,82.23769999999925,0.1661000000015065,0.13349999999999795,0.149800000000738,0.3499999999999943,27.11850000000001,0.0660000000000025,0.050299999997008626,0.04910000000148784,0.050600000001509216,0.06679999999701636,0.15010000000148693,21.668199999999246,0.16580000000072914,0.11619999999925312,0.3509999999999991,0.36660000000154014,0.24989999999849033,0.9166999999992527,33.78520000000299,0.09959999999773572,0.11680000000075097,0.1500000000000341,0.09989999999851307,31.368200000002957,0.08259999999773981,0.049900000002253364,0.06709999999776528,0.28340000000224563,0.5658999999985213,0.4836000000014451,14.48489999999856,0.09960000000148739,0.10029999999699157,0.38340000000226837,0.8498999999984562,7.417600000001528,33.704399999998486,0.09600000000000364,0.15040000000226428,0.13349999999996953,0.1163999999985208,0.08339999999850534,0.1336000000014792,0.48330000000078144,0.9166999999992527,25.317999999999984,0.1163000000007628,0.15049999999996544,0.08309999999778483,0.14980000000076643,0.08369999999922584,0.14980000000076643,2.649400000002231,23.44559999999774,0.222500000000025,0.0501999999992222,0.08330000000074733,8.400900000002252,0.14969999999925676,0.49939999999850215,0.03369999999927131,21.68420000000299,0.06699999999995043,0.0665000000000191,0.03350000000000364,0.05009999999776937,0.083500000000015,0.11630000000070595,33.51860000000153,0.03289999999850579,0.08369999999922584,0.0665000000000191,0.13310000000149103,0.08280000000075916,0.11729999999698748,0.13350000000002638,14.884100000001524,0.09980000000075506,0.26699999999993906,0.11559999999781212,148.00820000000294,0.015499999999974534,0.017099999997753912,0.0166000000015174,0.01639999999849806,0.016400000002249726,0.01679999999703341,0.016700000002970228,0.016899999998486237,0.016500000000064574,0.016499999999950887,0.0166000000015174,0.016599999997765735,0.01680000000067139,0.01669999999933225,0.016199999999230386,0.017100000001505578,0.0166000000015174,0.016499999999950887,9.933999999999969,0.016299999997045234,0.016700000002970228,0.017099999997753912,0.016500000000064574,0.016900000002237903,0.01749999999992724,0.01639999999849806,0.0163000000007969,0.016899999998486237,0.0166000000015174,0.0498999999985017,0.016900000002237903,0.018699999999284955,0.01380000000074233,0.25069999999925585,0.04909999999779302,0.06690000000219243,0.08339999999850534,62.10400000000004,0.0324999999999136,0.017100000001505578,0.01669999999933225,0.016699999999218562,0.0166000000015174,0.01639999999849806,0.016699999999218562,0.016100000001529224,0.016899999998486237,0.016700000002970228,0.016899999998486237,0.016899999998486237,0.016500000000064574,0.0166000000015174,0.016899999998486237,0.016499999999950887,0.03360000000157015,0.06660000000147193,0.03369999999927131,8.133300000000645,0.016399999998611747,0.016499999999950887,0.017399999998474414,0.01620000000298205,0.016599999997765735,0.016800000000785076,0.016800000000785076,0.016099999997663872","1,2,3,4,5,6,7,8,9,10,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,1,3,7,10,13,16,17,18,19,20,21,24,27,31,32,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49,50,52,53,54,55,56,57,58,60,61,64,65,67,68,70,72,73,75,76,77,78,79,80,81,82,83,84,86,88,91,93,95,96,97,98,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p9)(p10),(p9)(p10),(p9)(p10)(p11),(p9)(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p12),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(p16),(p14)(p15)(p16),(p15)(p16),(p15)(p16),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","","0,5,8,12,16,18,21,25,28,32,36,40,46,51,55,60,62,67,68,71,74,76,79,84,87,90,96","smybiotic,snigle,stomcah,brnach,haetwaves,extrmee,aronud,maeks,feedabck,sholud,bodns,ersae,anmials,suffreed,platns,vulenrable,migraetd,tnesions,centruy,arcoss,wolud,wildlfie,sedes,profesosr,srpeading,traget,daeth,self-sutsaining,tohse,colud,huamns,aolng,cotss,thier,betetr,exsit,”,aobut,vlaue,wondefrul,effetcs,mulitplies,","47,50,37,27,14,18,14,34,9,10,29,62,15,42,39,26,23,63,53,59,48,23,45,31,80,73,20,9,24,35,10,43,39,51,34,14,42,15,13,19,30","2,2,2,1,2,2,1,1,1,2,2,1,1,2,1,1,2,0,1,2,2,2,1,2,2,1,2","1,1,2,0,2,1,1,0,1,2,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0","snigle,brnach,haetwaves,extrmee,feedabck,maeks,bodns,ersae,suffreed,vulenrable,platns,tnesions,traget,daeth,tohse,huamns,aolng,betetr,aobut,wondefrul","p1,p2,p3,p3,p5,p5,p6,p7,p9,p10,p10,p11,p17,p19,p20,p21,p22,p24,p25,p26","21.114900000002237,38.81410000000149,62.83310000000149,64.182,104.159,111.35080000000075,129.1536000000015,206.22220000000297,234.8595,251.07390000000223,258.342200000003,297.1096000000015,414.431200000003,429.0835,449.566700000003,459.36240000000225,473.6526000000015,507.583700000003,521.048700000003,533.8808000000007","","","","no_heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","744081","0.0-5.0","","","22085.599999997765","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5ba16051e671c60001231c4f_1651655952536","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","747984","0.0-6.0","","","3901.699999999255","While reading the article, how carefully did you pay attention?","","5ba16051e671c60001231c4f_1651655952536","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","no_heading","100","","","","","","","","","",""
"","html-slider-response","7","752175","0.0-7.0","","","4189.199999999255","How well do you feel you understood the key points of the article?","","5ba16051e671c60001231c4f_1651655952536","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","no_heading","100","","","","","","","","","",""
"","html-slider-response","8","758131","0.0-8.0","","","5955.10000000149","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5ba16051e671c60001231c4f_1651655952536","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","no_heading","69","","","","","","","","","",""
"","html-slider-response","9","769425","0.0-9.0","","","11293.10000000149","How interesting did you find the topic of this article after the first few paragraphs?","","5ba16051e671c60001231c4f_1651655952536","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","no_heading","91","","","","","","","","","",""
