"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","9142","0.0-0.0","1920","1080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","12902","0.0-1.0","1920","1080","3755.300000011921","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5c35637d3ce2c80001118abf_1651671174718","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","19196","0.0-2.0","","","6288.200000047684","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5c35637d3ce2c80001118abf_1651671174718","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","48614","0.0-3.0","","","29416.80000001192","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5c35637d3ce2c80001118abf_1651671174718","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","365367","0.0-4.0","","","316696.6999999881","","","5c35637d3ce2c80001118abf_1651671174718","test_trial","","","1080","264628.6999999881","104","2","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","18.68369999998808,19.066699999988078,31.1495,34.499,44.14969999998808,44.21669999998808,47.64919999998808,51.59890000003576,51.76519999998808,54.81569999998808,54.99919999998808,56.91630000001192,56.98230000001192,57.06569999998808,85.7985,86.1315,93.79830000001192,94.03140000003576,95.49730000001192,95.96480000001192,105.74810000002384,106.06440000003576,106.64730000001192,106.8315,106.98110000002384,113.48110000002384,113.83069999998808,114.3475,114.98080000001193,121.93019999998808,122.68060000002384,128.66330000001193,129.38040000003576,130.73040000003576,131.94719999998807,133.547,139.697,145.3295,145.63010000002384,146.02960000002383,146.18019999998808,152.8125,154.64660000002385,157.67940000003577,160.88040000003576,161.29640000003576,162.19560000002383,164.19619999998807,172.3455,174.89540000003575,175.14530000001193,185.5128000000119,185.59560000002384,195.11240000003576,196.04540000003576,196.162,196.24540000003577,199.26169999998808,205.11269999998808,210.56210000002383,210.62830000001193,210.67760000002383,219.1455,219.49480000001194,220.02810000002384,224.39619999998808,227.26130000001191,227.64490000003576,228.62740000003575,228.86069999998807,229.7445,229.84390000003577,229.92830000001192,236.46119999998808,236.661,244.42780000001193,244.57680000001193,245.52740000003575,245.86069999998807,254.52680000001192,254.5933000000119,254.6605,262.1776999999881,262.2606999999881,262.3273000000119,263.11060000002385,263.1945,263.2429000000358,263.30960000002386,263.39340000003574,263.77660000002385,263.86,276.4436000000238,276.56,278.80980000001193,281.5435,281.59419999998806,281.6431999999881,291.376,291.509,291.8261999999881,292.25990000003577,292.3426999999881,292.59280000001195,380.2918000000119,380.3065,380.3231999999881,380.3403000000119,380.3568000000119,380.3736999999881,380.39,380.407,380.4243000000119,380.44060000002384,380.45740000003576,380.47419999998806,380.49060000002385,380.5073000000119,380.52419999998807,380.5406999999881,380.5571999999881,391.6235,391.6398000000119,391.6565,391.67369999998806,391.6898000000119,391.7066999999881,391.72369999998807,391.74,391.7566999999881","-52049.31630000001,0.3829999999999991,12.082800000011922,3.3495000000000026,9.650699999988078,0.06700000000000017,3.4324999999999974,3.9497000000476845,0.16629999995231515,3.0504999999999995,0.18350000000000222,1.9171000000238436,0.0659999999999954,0.08339999997615877,28.732800000011927,0.3329999999999984,7.666800000011918,0.23310000002383902,1.465899999976159,0.46750000000000114,9.78330000001192,0.31630000001192116,0.5828999999761635,0.18419999998808123,0.14960000002383822,6.5,0.34959999996424074,0.5168000000119122,0.6333000000119284,6.949399999976151,0.7504000000357678,5.982699999988085,0.7171000000238337,1.3499999999999943,1.2167999999523147,1.5998000000119248,6.150000000000006,5.632499999999993,0.3006000000238487,0.3994999999999891,0.15059999996424267,6.632300000011924,1.8341000000238523,3.0328000000119175,3.2009999999999934,0.4159999999999968,0.8991999999880704,2.000599999964237,8.14930000001192,2.5499000000357626,0.2498999999761793,10.367499999999978,0.08280000001192889,9.516800000011926,0.9329999999999927,0.11659999996425086,0.0834000000357662,3.0162999999523095,5.850999999999999,5.449400000035752,0.06619999998810044,0.04930000001189683,8.467899999976169,0.3493000000119366,0.5333000000119057,4.368099999964244,2.86510000002383,0.3836000000238471,0.9824999999999875,0.23329999995232242,0.8838000000119166,0.09940000003578575,0.08439999997614223,6.532899999976166,0.1998000000119191,7.766800000011926,0.1490000000000009,0.9506000000238259,0.33329999995231674,8.666100000023846,0.06649999999999068,0.06719999998810522,7.517199999988065,0.08300000000002683,0.06660000002381139,0.7833000000119341,0.08389999997615405,0.04840000003576961,0.06669999998808862,0.08380000001187682,0.3831999999881077,0.08339999997616587,12.583600000023807,0.11639999997618133,2.2498000000119305,2.733699999988062,0.05069999998806907,0.049000000000035016,9.732800000011878,0.1330000000000382,0.3171999999880768,0.43370000004767917,0.08279999995232856,0.25010000002384913,87.69899999999996,0.014699999988124546,0.016699999988077252,0.017100000023788198,0.01650000000000773,0.016899999976203617,0.016300000011881366,0.016999999999995907,0.017300000011914562,0.01630000001193821,0.016800000011926386,0.01679999995229764,0.016400000035787343,0.016699999988077252,0.016899999976146773,0.01650000000000773,0.01650000000000773,11.066300000011893,0.01630000001193821,0.016699999988077252,0.01719999998806543,0.016100000023868688,0.016899999976146773,0.016999999999995907,0.01630000001193821,0.016699999988077252","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,89,88,89,90,91,92,93,94,95,96,97,98,99,100,0,3,6,10,16,22,29,36,44,52,60,68,74,79,83,85,87,88,90,91,94,95,97,98,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(h1)(p7)(p8),(h1)(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(h2)(p11),(h2)(p11),(h2)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12)(h3),(p12)(h3),(p12)(h3),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(h3)(p13),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p14)(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(h4)(p16)(p17),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,","20,35,47,60,74","0,4,8,12,15,17,21,25,27,31,36,41,48,52,55,61,63,68,69,72,75,78,81,85,88,91,96","elephnat,aniamls,trvael,dynig,palnt,colud,concren,millinos,sniging,unpredcitable,tohse,vunlerable,waetrs,exmaple,,aniamls,flolow,brids,addiitonal,accoutns,mihgt,particualr,trgiger,tneds,rceovering,forset,ceratures,palnts,otfen,csots,natvie,palnts,ofetn,betetr,returnnig,sadi.,fcees,thrievs,platns","53,22,49,56,15,29,11,21,14,9,23,26,53,20,82,53,68,52,20,89,15,22,55,15,13,18,46,37,39,33,79,18,34,17,38,89,28,37","1,1,1,1,2,2,1,1,1,1,2,1,2,2,1,2,1,0,1,1,2,2,2,2,2,1,2","0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,2,1,1,1","aniamls,trvael,dynig,palnt,millinos,sniging,waetrs,flolow,accoutns,mihgt,forset,palnts,csots,palnts,ofetn,betetr,sadi.,fcees,thrievs","p2,p3,p4,p5,p6,p7,p11,p13,p14,p15,p20,p21,p22,p23,p24,p24,p25,p26,p27","24.07230000001192,45.832,56,82.08980000001192,92.704,101.61180000001193,142.75590000003575,173.72969999998807,193.128,209.19569999998808,243.24769999998807,253.88960000002385,261.4098000000119,275.3915,277.7895,280.9215,287.5434000000358,307.7795,312.46940000003576","","","","heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","375270","0.0-5.0","","","9890.199999988079","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5c35637d3ce2c80001118abf_1651671174718","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","379037","0.0-6.0","","","3765","While reading the article, how carefully did you pay attention?","","5c35637d3ce2c80001118abf_1651671174718","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","heading","90","","","","","","","","","",""
"","html-slider-response","7","382005","0.0-7.0","","","2967.199999988079","How well do you feel you understood the key points of the article?","","5c35637d3ce2c80001118abf_1651671174718","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","heading","71","","","","","","","","","",""
"","html-slider-response","8","384465","0.0-8.0","","","2459.100000023842","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5c35637d3ce2c80001118abf_1651671174718","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","heading","36","","","","","","","","","",""
"","html-slider-response","9","388539","0.0-9.0","","","4073.400000035763","How interesting did you find the topic of this article after the first few paragraphs?","","5c35637d3ce2c80001118abf_1651671174718","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","heading","57","","","","","","","","","",""
