"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","19343","0.0-0.0","1920","1080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","22748","0.0-1.0","1920","1080","3404.699999999255","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5c6838ea5f8d580001e8a8ab_1651690945962","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","32237","0.0-2.0","","","9486.599999999627","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5c6838ea5f8d580001e8a8ab_1651690945962","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","85268","0.0-3.0","","","53031.09999999963","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5c6838ea5f8d580001e8a8ab_1651690945962","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","743460","0.0-4.0","","","658169.3000000007","","","5c6838ea5f8d580001e8a8ab_1651690945962","test_trial","","","1080","569330.9000000004","100","0","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","33.51180000000075,64.17630000000075,64.64280000000075,64.74290000000038,65.66059999999963,91.2695,100.09509999999963,118.53,118.6635,118.79690000000038,130.714,131.37630000000075,148.14340000000038,148.19330000000073,148.243,148.29319999999925,165.19330000000073,175.02009999999962,175.20340000000039,189.61790000000036,192.27040000000036,194.07190000000037,199.661,204.06590000000037,204.23269999999926,212.22359999999964,214.59280000000075,226.75490000000036,228.17290000000037,228.25619999999927,228.57330000000076,231.326,231.40919999999926,245.89059999999964,256.9515,260.872,271.466,275.57019999999926,281.44269999999926,288.5754000000004,288.7165,297.3085,297.3918000000007,297.97580000000073,298.05919999999924,299.0603000000007,299.21030000000076,330.99209999999965,331.2925,331.40930000000077,331.526,357.6020999999996,358.15269999999924,376.8379000000004,385.53019999999924,385.6966999999993,402.38009999999963,403.66469999999924,403.7315,403.798,434.01180000000073,435.74680000000075,446.65769999999924,456.63490000000036,462.64019999999925,466.12709999999964,468.29590000000036,474.41869999999926,481.72609999999963,484.6120999999996,488.54969999999923,488.69990000000035,493.4210999999996,493.5379000000004,494.1549000000004,494.23840000000035,511.706,516.8443000000008,522.3331999999992,523.8513000000007,531.9928000000008,550.3780999999997,550.4779000000003,565.3426999999992,565.7765,565.8933000000007,583.8784000000004,584.0280999999997,584.1781999999993,593.621,601.7459000000003,605.533,606.8509000000004,618.4296999999992,623.2174000000003,636.2304000000004,640.9350999999996,641.0015999999996,641.6521999999993,643.1036999999992,736.764,736.7805,736.7975,736.8140999999996,736.8308000000007,736.8475,736.8641999999993,736.881,736.8975999999997,736.9144000000003,736.9310999999997,736.9478000000007,736.9644000000004,736.981,772.2661999999992,772.2826999999993,772.2995,772.316,772.3328000000007,772.3495,772.3661999999993,772.3828000000008,772.3999000000003,772.4161999999992,772.4328000000007,772.4495999999996,772.4664000000004,775.7695,775.803,775.8195,775.8365,775.8530999999996,775.8695999999997,775.8865,775.903,775.92,775.9364000000004,775.9530999999996,775.9699000000004,779.2900999999996,779.3063000000008,779.3233000000007,779.3405999999997,779.3565,779.3734000000004,779.39,779.4066999999992,779.4233000000007,779.4400999999996,779.4565999999996,779.4731999999992,779.4900999999996,779.5065999999996,779.5231999999993,779.5568000000007","-88804.88820000037,30.664500000000004,0.46649999999999636,0.10009999999962815,0.9176999999992574,25.60890000000036,8.825599999999639,18.43490000000037,0.13349999999999795,0.13340000000037833,11.917099999999621,0.6623000000007551,16.76709999999963,0.04990000000034911,0.049699999999262445,0.05019999999925062,16.900100000001487,9.826799999998883,0.18330000000077007,14.414499999999975,2.6525000000000034,1.8015000000000043,5.5890999999996325,4.404900000000367,0.1667999999988865,7.99090000000038,2.369200000001115,12.162099999999612,1.4180000000000064,0.08329999999889992,0.3171000000014885,2.752699999999237,0.08319999999926608,14.481400000000377,11.060900000000373,3.920500000000004,10.593999999999994,4.104199999999253,5.872500000000002,7.132700000001137,0.14109999999959655,8.591999999999985,0.08330000000074733,0.5840000000000032,0.08339999999850534,1.001100000001486,0.1500000000000341,31.781799999998896,0.3004000000003657,0.11680000000075097,0.1166999999992413,26.0760999999996,0.5505999999996334,18.685200000001146,8.692299999998852,0.16650000000004184,16.683400000000347,1.2845999999996138,0.0668000000007396,0.0665000000000191,30.21380000000073,1.7350000000000136,10.910899999998492,9.977200000001119,6.005299999998897,3.4869000000003894,2.168800000000715,6.122799999998904,7.307400000000371,2.8859999999999673,3.937599999999634,0.15020000000112077,4.721199999999271,0.11680000000075097,0.6170000000000186,0.08349999999995816,17.467599999999663,5.138300000000754,5.488899999998466,1.518100000001482,8.141500000000065,18.385299999998892,0.09980000000064138,14.864799999998922,0.4338000000008151,0.11680000000069413,17.985099999999647,0.14969999999925676,0.1500999999996111,9.442800000000716,8.124900000000366,3.7870999999996684,1.3179000000003498,11.578799999998864,4.787700000001109,13.013000000000034,4.704699999999207,0.0665000000000191,0.650599999999713,1.4514999999998963,93.6603000000008,0.016499999999950887,0.01700000000005275,0.016599999999584725,0.01670000000115124,0.016699999999218562,0.01669999999933225,0.01680000000067139,0.01659999999969841,0.01680000000067139,0.01669999999933225,0.01670000000103755,0.01659999999969841,0.016599999999584725,35.285199999999236,0.016500000000064574,0.01680000000067139,0.016500000000064574,0.01680000000067139,0.01669999999933225,0.016699999999218562,0.0166000000015174,0.0170999999995729,0.016299999998864223,0.0166000000015174,0.0167999999988524,0.016800000000785076,3.303099999999631,0.03350000000000364,0.016499999999950887,0.01700000000005275,0.016599999999584725,0.016500000000064574,0.016900000000305226,0.016500000000064574,0.016999999999939064,0.016400000000430737,0.016699999999218562,0.016800000000785076,3.320199999999204,0.016200000001163062,0.016999999999939064,0.017299999998954263,0.015900000000328873,0.016900000000418913,0.016599999999584725,0.016699999999218562,0.0166000000015174,0.0167999999988524,0.016500000000064574,0.016599999999584725,0.016900000000418913,0.016499999999950887,0.01659999999969841,0.033600000001456465","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,1,2,3,5,8,12,16,21,26,29,32,34,35,36,37,39,41,43,45,48,50,53,55,56,57,58,59,61,62,64,67,70,73,75,78,79,80,81,82,83,84,85,87,88,90,91,92,94,95,96,97,98,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p6)(h1)(p7),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(h1)(p7)(p8),(h1)(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(h2)(p11),(h2)(p11),(h2)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12)(h3),(p11)(p12)(h3),(p12)(h3),(p12)(h3),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(h3)(p13),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(h4),(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(h4)(p16)(p17),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","20,35,47,60,74","0,4,8,12,15,17,21,25,27,31,36,41,48,52,55,61,63,68,69,72,75,78,81,85,88,91,96","sedes,ainmals,plnats,,codnitions,avoiidng,aruond,thier,palnts,palnt,healhty,yeras,,forgs,unpreidctable,whehter,wosrt,currenlty,wolud,milse),spurring,incresaed,comepting,copmared,mmamals,acocunts,ecologsit,whree,ecoolgy,nautral,poacihng,faleln,bidrs,clsoe,colud,lableed,ntaive,twot-hirds,tpyically,dsipersers,sadi.,fnuky,three,betewen,hamrs","58,61,21,58,24,14,23,39,15,38,23,25,9,25,65,21,12,29,61,40,97,62,70,20,9,87,30,13,54,53,37,38,35,22,34,15,32,66,38,28,9,35,15","1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,0,2,1,2,1,1,1,2,2,2","1,1,2,1,1,2,1,2,1,1,1,2,1,1,1,1,1,0,1,1,2,1,0,1,1,1,1","sedes,plnats,,avoiidng,codnitions,aruond,palnt,yeras,,healhty,forgs,unpreidctable,whehter,wosrt,wolud,milse),incresaed,comepting,copmared,acocunts,ecoolgy,whree,poacihng,bidrs,clsoe,lableed,colud,ntaive,tpyically,dsipersers,fnuky,hamrs","p1,p2,p3,p3,p4,p5,p6,p6,p7,p8,p8,p9,p10,p11,p12,p12,p13,p14,p16,p15,p17,p19,p20,p21,p21,p22,p24,p25,p26,p27","22.631400000000372,47.65509999999963,76.51940000000037,88.35509999999962,96.90509999999962,125.30919999999925,139.42130000000074,147.54919999999925,158.989,180.271,188.341,210.47909999999962,216.231,241.92309999999964,273.46109999999965,294.10890000000035,328.587,340.655,417.4849000000004,430.7129000000004,456.0929000000004,477.24480000000074,492.81480000000073,504.8608000000007,509.23480000000075,520.4129000000004,582.8686999999993,605.1848000000008,615.6068000000007,648.8306999999993","","","","heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","756620","0.0-5.0","","","13157.199999999255","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5c6838ea5f8d580001e8a8ab_1651690945962","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","760797","0.0-6.0","","","4176.699999999255","While reading the article, how carefully did you pay attention?","","5c6838ea5f8d580001e8a8ab_1651690945962","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","heading","100","","","","","","","","","",""
"","html-slider-response","7","763625","0.0-7.0","","","2827.2999999988824","How well do you feel you understood the key points of the article?","","5c6838ea5f8d580001e8a8ab_1651690945962","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","heading","83","","","","","","","","","",""
"","html-slider-response","8","768967","0.0-8.0","","","5341.199999999255","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5c6838ea5f8d580001e8a8ab_1651690945962","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","heading","81","","","","","","","","","",""
"","html-slider-response","9","772099","0.0-9.0","","","3131.5","How interesting did you find the topic of this article after the first few paragraphs?","","5c6838ea5f8d580001e8a8ab_1651690945962","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","heading","90","","","","","","","","","",""
