"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","11640","0.0-0.0","1536","864","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","21722","0.0-1.0","1536","864","10073.40000000596","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5c8d19b235f61600016731d3_1651655335992","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","32500","0.0-2.0","","","10772.60000000894","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5c8d19b235f61600016731d3_1651655335992","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","76676","0.0-3.0","","","44175.5","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5c8d19b235f61600016731d3_1651655335992","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","512726","0.0-4.0","","","436030.799999997","","","5c8d19b235f61600016731d3_1651655335992","test_trial","","","864","355392.59999999404","100","0","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,up,up,up,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","46.27170000000298,46.57420000000298,46.652900000005964,46.93659999999404,47.703,47.78529999999702,67.32629999999702,67.85809999999404,67.95840000000597,78.37159999999405,78.67009999999404,79.03679999999702,79.1375,79.85270000000298,79.98509999999403,80.08609999999403,99.66079999999702,118.69990000000595,118.79909999999404,119.06520000000297,119.51429999999702,127.111,127.19570000000299,127.92770000000299,128.5275,128.61120000000298,142.43740000000597,142.77,142.87009999999404,143.05340000000595,143.38729999999703,143.753,143.853299999997,158.44629999999702,175.25409999999403,175.33690000000595,175.403,175.9365,176.05340000000595,176.16990000000595,177.03470000000297,194.8445,194.92659999999404,204.12240000000597,204.338,204.43879999999703,204.63829999999703,205.60479999999703,223.378700000003,223.478299999997,224.07829999999703,235.98970000000298,236.07240000000596,236.30540000000596,237.03740000000596,237.139,237.25609999999403,263.9255,263.99109999999405,264.04090000000593,265.124299999997,270.50590000000597,270.58809999999403,270.804700000003,287.7795,287.88140000000595,289.29490000000595,289.361,289.460200000003,289.561299999997,297.69140000000596,307.88720000000296,307.969,316.76459999999406,316.930900000006,317.030299999997,317.53079999999704,330.073700000003,342.36890000000597,342.468099999994,344.333299999997,344.6,344.68270000000297,344.94970000000296,345.53240000000596,345.63270000000296,345.850700000003,373.269,373.81270000000296,373.8855,374.8665,394.4395,394.5395,395.739,396.02390000000594,396.12359999999404,397.190700000003,417.879599999994,425.12390000000596,425.22459999999404,495.539299999997,495.555400000006,495.57220000000297,495.589,495.604799999997,495.6225,495.63890000000595,495.6555,495.672299999997,495.689,495.78909999999405,495.82220000000297,495.838700000003,495.8555,495.872099999994,495.889099999994,495.905599999994,495.922,495.9555,496.172599999994,496.189099999994,496.205700000003,496.22240000000596,496.238799999997,496.256,496.27220000000295,496.28859999999406,530.7055999999941,530.7205,530.737400000006,530.754799999997,530.7697999999971,530.7875999999941,530.804400000006,530.821700000003,530.836299999997,530.853700000003,530.871,530.887299999997,530.9039000000059,530.921599999994,530.936900000006,547.4135999999941,547.429700000003,547.445599999994,547.462,547.478200000003,547.495200000003,547.511700000003,547.5294000000059,547.544700000003,547.6447999999971,547.661299999997,547.6779000000059,547.695200000003,547.7114000000059,547.729099999994,547.7454000000059,547.762099999994,547.794099999994,551.676200000003,551.694599999994,551.709400000006,551.7272999999971,551.742700000003,551.759,551.775700000003,551.810700000003,552.209700000003,558.382599999994,559.556099999994,559.573,559.590400000006,559.6075,559.6225,559.639799999997,559.656700000003,559.671900000006,559.6885,559.705400000006,559.721700000003,559.738099999994,560.0054000000059,560.039099999994,560.056,560.072700000003,560.089400000006,560.1060999999941,560.1225,560.139200000003,560.155799999997,560.1729000000059,560.189400000006,560.205900000006,560.2225,563.8525,563.8700999999941,563.886200000003,563.9032000000029,563.919700000003,563.9370999999941,563.953799999997,563.969400000006,563.986200000003,564.002700000003,564.0202999999971,564.037,564.0537999999971,564.069299999997,564.120599999994,564.486900000006,564.5205,564.535599999994,564.552799999997,564.570200000003,564.587200000003,564.6035,564.619,564.635700000003,564.652099999994,564.668799999997,564.685400000006,564.702299999997,567.134,567.1525,567.167799999997,567.184200000003,567.201299999997,567.218599999994,567.2345999999941,567.251200000003,567.268400000006,567.284599999994,567.7027999999971,567.719099999994,567.733700000003,567.751200000003,567.7689000000059,567.785099999994,567.801799999997,567.8184000000059,570.0665,570.084299999997,570.099799999997,570.116700000003,570.134299999997,570.1497999999971,570.166799999997,570.183,570.200799999997,570.216299999997,570.233400000006,570.2509000000059,570.266299999997,570.283299999997,570.316299999997,572.215,572.231599999994,572.248400000006,572.265200000003,572.2815,572.298200000003,572.315200000003,572.3314000000059,572.348200000003,572.3654000000059,572.381599999994,573.813900000006,573.8474000000059,573.8645999999941,573.8809000000059,573.8975,573.914,573.930799999997,573.9477999999971,573.9650999999941,573.981200000003,573.998,574.0145999999941,574.214,574.2305,574.247900000006,574.2645,574.281200000003,574.298299999997,574.314900000006,574.331799999997,574.3485","-80591.92830000298,0.302500000000002,0.07870000000298205,0.28369999998807316,0.7664000000059659,0.08229999999701931,19.540999999999997,0.5317999999970198,0.10030000001192718,10.41319999998808,0.29849999999999,0.36670000000297875,0.10070000000298762,0.7152000000029801,0.13239999999105123,0.10099999999999909,19.57470000000299,19.03910000000893,0.09919999998808748,0.2661000000089331,0.44909999999404704,7.596700000002983,0.08470000000298228,0.7319999999999993,0.5997999999970176,0.0837000000029775,13.826200000002984,0.332599999994045,0.10009999999402908,0.18330000001191138,0.33389999999107545,0.36570000000295977,0.10029999999702,14.593000000000018,16.807799999997002,0.08280000001192889,0.06609999999403726,0.5335000000000036,0.11690000000595546,0.11650000000000205,0.8647999999970182,17.80979999999704,0.0820999999940284,9.195800000011928,0.21559999999402635,0.1007999999970366,0.19950000000000045,0.9664999999999964,17.773900000005966,0.09959999999401248,0.6000000000000227,11.911400000005955,0.08270000000297273,0.2330000000000041,0.7319999999999993,0.10159999999405045,0.11709999999402498,26.669400000005965,0.06559999999404909,0.049800000011885004,1.0833999999910588,5.381600000008973,0.08219999998806315,0.21660000000895252,16.974799999997003,0.1019000000059691,1.413499999999999,0.06609999999403726,0.09920000000300888,0.10109999999400543,8.130100000008952,10.195799999997007,0.08179999999703114,8.795599999994067,0.16630000001191547,0.09939999999102156,0.500500000000045,12.542900000005943,12.295200000002978,0.09919999998805906,1.8652000000029716,0.26670000000302707,0.08270000000294431,0.2669999999999959,0.5827000000030012,0.10029999999699157,0.21800000000001774,27.418299999997032,0.543700000002957,0.07279999999701658,0.9809999999999945,19.573000000000036,0.0999999999999659,1.1995000000000005,0.28490000000596183,0.09969999998810408,1.0671000000089634,20.68889999999101,7.244300000011947,0.10069999998808044,70.31470000000297,0.016100000008975712,0.016799999996976567,0.01679999999703341,0.015799999997000214,0.017700000003003424,0.01640000000594455,0.016599999994070913,0.016799999996976567,0.01670000000302707,0.10009999999402908,0.033100000008914776,0.01650000000000773,0.01679999999703341,0.01659999999401407,0.016999999999995907,0.01650000000000773,0.016400000006001392,0.033499999999946795,0.21709999999404772,0.01650000000000773,0.01660000000896389,0.016700000002970228,0.016399999991051573,0.017200000002958404,0.01620000000298205,0.016399999991108416,34.41700000000003,0.014900000005923175,0.01690000000598957,0.017399999990971082,0.015000000000100044,0.017799999997009763,0.016800000011926386,0.017299999997021587,0.014599999993947677,0.017400000005977745,0.017299999997021587,0.016299999997045234,0.016600000008907045,0.017699999988053605,0.015300000011961856,16.476699999988114,0.01610000000891887,0.015899999991006553,0.016400000006001392,0.01620000000298205,0.01700000000005275,0.016499999999950887,0.01770000000294658,0.01529999999706888,0.10009999999408592,0.016499999999950887,0.016600000008907045,0.017299999997021587,0.01620000000298205,0.017699999988053605,0.01630000001193821,0.016699999988077252,0.03200000000003911,3.8821000000089043,0.018399999991061122,0.01480000001197368,0.017899999991072946,0.015400000005911352,0.016299999997045234,0.016700000002970228,0.03499999999996817,0.3990000000000009,6.172899999991046,1.17349999999999,0.01690000000598957,0.017400000005977745,0.017099999994002246,0.014999999999986358,0.017299999997021587,0.01690000000598957,0.015200000003005698,0.01659999999401407,0.01690000000598957,0.016299999997045234,0.01639999999099473,0.26730000001191456,0.03369999998813,0.01690000000598957,0.016700000002970228,0.016700000002970228,0.016699999988077252,0.016400000005887705,0.016700000003083915,0.01659999999401407,0.017100000008895222,0.016500000000064574,0.016499999999950887,0.01659999999401407,3.6299999999999955,0.01759999999410411,0.01610000000891887,0.016999999999939064,0.016500000000064574,0.01739999999108477,0.016700000002970228,0.015600000008930692,0.01679999999703341,0.016499999999950887,0.01759999999410411,0.016700000002970228,0.01679999999703341,0.015499999999974534,0.0512999999970134,0.36630000001196095,0.033599999993953134,0.01509999999404954,0.017200000002958404,0.017400000005977745,0.01700000000005275,0.016299999997045234,0.015499999999974534,0.016700000002970228,0.01639999999099473,0.016700000002970228,0.016600000009020732,0.016899999990982906,2.4317000000030475,0.01850000000001728,0.015299999996955194,0.016400000006001392,0.017099999994002246,0.017299999997021587,0.016000000000076398,0.016600000008907045,0.017200000002958404,0.016199999988089075,0.4182000000030257,0.016299999996931547,0.01460000000895434,0.017500000000040927,0.01770000000294658,0.016199999988089075,0.016700000002970228,0.016600000008907045,2.2480999999941105,0.017799999997009763,0.015499999999974534,0.01690000000598957,0.017599999993990423,0.015500000000088221,0.016999999999939064,0.01620000000298205,0.017799999997009763,0.015499999999974534,0.01710000000900891,0.01749999999992724,0.015399999991132063,0.016999999999939064,0.03300000000001546,1.898700000003032,0.01659999999401407,0.016800000011926386,0.01679999999703341,0.016299999997045234,0.016700000002970228,0.016999999999939064,0.01620000000298205,0.01679999999703341,0.017200000002958404,0.016199999988089075,1.4323000000119919,0.03349999999988995,0.017199999988179115,0.016300000011824523,0.016599999994127757,0.016499999999950887,0.01679999999703341,0.01700000000005275,0.017299999997021587,0.01610000000891887,0.01679999999703341,0.01659999999401407,0.19940000000599412,0.016499999999950887,0.017400000005977745,0.01659999999401407,0.016700000002970228,0.017099999994002246,0.016600000009020732,0.016899999990982906,0.016700000002970228","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,1,2,3,5,6,8,10,11,12,13,14,16,17,19,21,22,24,25,26,28,29,31,33,34,36,37,38,39,40,42,44,46,48,50,52,55,57,59,60,61,62,63,64,65,67,69,71,72,73,74,75,76,78,80,81,83,85,86,87,88,90,91,93,95,96,98,99,100,0,1,2,3,5,9,16,26,37,50,60,67,70,71,73,75,78,81,84,87,91,94,96,98,99,100,99,98,97,94,91,86,81,75,70,65,61,58,56,54,53,54,55,57,59,62,67,73,79,86,91,96,99,100,99,97,92,83,72,58,45,36,31,30,31,33,39,49,61,71,76,77,76,75,74,72,70,69,66,64,62,60,58,56,55,54,53,52,50,47,43,36,29,21,13,6,2,0,1,3,5,8,12,19,29,40,51,60,67,70,71,72,75,80,85,91,95,98,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p9)(p10),(p9)(p10)(p11),(p9)(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p12),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(p16),(p14)(p15)(p16),(p15)(p16),(p15)(p16),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17),(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p18)(p19)(p20),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","","0,5,8,12,16,18,21,25,28,32,36,41,47,51,55,60,62,67,68,71,74,76,79,84,87,91,96","srpead,rieds,trvael,scocrhed,graeter,disapperaing,plnats,wlidlife,,ersoion,scientitss,inescts,anmials,discoveerd,srpead,enadngered,palnts,wtaers,chaisng,trees,ainmals,hdan’t,addtiional,palnts,ca’nt,dangeorus,braek,natvie,shuold,sefl-sustaining,itnroduced,gvien,diseprse,sutdent,platns,resotre,protecetd,effecitvely,beetles,trhives","35,58,49,12,53,13,39,27,15,24,28,15,36,55,50,39,53,94,16,34,71,52,78,12,24,15,36,60,9,12,15,26,40,79,37,28,96,82,28","1,1,2,2,2,2,1,1,2,2,1,2,2,1,1,2,1,0,2,1,2,1,2,1,1,2,1","1,1,2,1,1,1,0,1,2,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1","srpead,rieds,scocrhed,trvael,graeter,plnats,scientitss,anmials,discoveerd,srpead,palnts,wtaers,chaisng,ainmals,palnts,ca’nt,braek,shuold,sefl-sustaining,diseprse,platns,resotre,protecetd,effecitvely,trhives","p1,p2,p3,p3,p4,p5,p6,p8,p9,p9,p10,p11,p12,p13,p15,p16,p17,p19,p20,p22,p23,p24,p25,p26,p27","9.22920000000298,44.03629999999702,51.16490000000596,59.14090000000596,77.50040000000595,87.71690000000596,95.25240000000596,122.58859999999405,135.73270000000298,140.13270000000298,152.70859999999405,169.39640000000597,195.6935,214.8125,259.27759999999404,266.8195,288.80440000000596,304.73990000000595,309.88520000000295,331.14809999999403,369.460200000003,380.652299999997,390.020200000003,423.21159999999406,433.692099999994","savanna,","p26","401.9165","no_heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","527373","0.0-5.0","","","14639.90000000596","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5c8d19b235f61600016731d3_1651655335992","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","532555","0.0-6.0","","","5178.5999999940395","While reading the article, how carefully did you pay attention?","","5c8d19b235f61600016731d3_1651655335992","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","no_heading","83","","","","","","","","","",""
"","html-slider-response","7","537131","0.0-7.0","","","4575","How well do you feel you understood the key points of the article?","","5c8d19b235f61600016731d3_1651655335992","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","no_heading","69","","","","","","","","","",""
"","html-slider-response","8","544355","0.0-8.0","","","7222.5999999940395","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5c8d19b235f61600016731d3_1651655335992","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","no_heading","78","","","","","","","","","",""
"","html-slider-response","9","548051","0.0-9.0","","","3694.4000000059605","How interesting did you find the topic of this article after the first few paragraphs?","","5c8d19b235f61600016731d3_1651655335992","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","no_heading","84","","","","","","","","","",""
