"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","20562","0.0-0.0","1920","1080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","57587","0.0-1.0","1920","1080","37023.700000047684","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5d274146c3c61e000181c4bb_1651655372752","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","68963","0.0-2.0","","","11371.299999952316","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5d274146c3c61e000181c4bb_1651655372752","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","117875","0.0-3.0","","","48910.800000071526","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5d274146c3c61e000181c4bb_1651655372752","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","792959","0.0-4.0","","","675061.1000000238","","","5d274146c3c61e000181c4bb_1651655372752","test_trial","","","1080","555450.8999999762","138","19","down,down,down,down,down,down,down,down,down,up,down,down,down,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,down,down,up,down,down,down,down,down,down,down,down,down,down,up,up,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,up,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,up,up,up,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,up,up,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","24.3095,41.60879999995232,41.95879999995232,42.38689999997616,42.50939999997616,52.45289999997616,59.543700000047686,61.878600000023845,61.9955,63.3135,72.85670000004768,79.04670000004768,79.49629999995231,82.29920000004769,82.34929999995232,82.3825,82.43260000002384,84.03420000004769,84.10089999997616,84.41829999995231,84.51839999997615,85.06839999997615,85.16860000002384,85.25170000004768,106.50689999997616,107.24060000002385,109.10929999995231,119.95279999995232,120.05310000002385,120.87110000002384,121.0045,121.85539999997616,121.98879999995232,130.71389999997615,130.79770000004768,130.88110000002385,131.5822000000477,131.68210000002384,134.0677999999523,137.13729999995232,137.23739999997616,138.10479999995232,138.23779999995233,151.86960000002384,151.9692000000477,179.93039999997615,184.6845,187.3375,187.521,188.52160000002385,188.58870000004768,189.48960000002384,189.60579999995232,201.3852999999523,201.485,201.55170000004767,202.03560000002383,219.92079999995232,220.3205,247.46520000004767,247.548,247.63079999995233,247.7985,270.50439999997616,270.60410000002383,270.7042000000477,270.8042999999523,283.78429999995234,308.67629999995233,308.75920000004766,309.02610000002386,309.27610000002386,312.0955,312.229,327.64510000002383,327.74470000004766,342.5097000000477,342.5927999999523,344.5613999999762,344.64479999995234,345.2282999999523,345.92879999995233,347.3307999999523,347.4642999999523,364.4143999999762,377.27839999997616,383.8835,384.001,384.1002999999523,384.2176000000238,384.41789999997616,410.0778999999762,410.14410000002385,410.19389999997617,410.6612999999523,410.79470000004767,439.27229999995234,439.3395,439.4397999999523,439.5397000000477,439.9235,454.9547000000477,455.05510000002386,455.1551000000238,481.6822999999523,481.73179999995233,481.78189999997613,482.16610000002385,486.0865,495.3625,518.8697999999523,518.9862000000477,519.1355,519.5691000000238,532.2827000000477,532.3487000000476,534.9182999999523,544.7285,545.0778999999761,545.2121000000238,561.7292999999523,561.9121000000239,562.9626000000238,580.1805,580.2471000000238,585.2522999999524,585.3355,585.4356000000239,585.8352999999523,586.1862999999523,586.6701000000238,605.6228999999762,605.9897999999523,609.9437000000477,610.7608999999761,611.1111000000238,626.2936000000238,626.393,781.9325,781.9487000000477,781.982,781.9987999999523,782.0157000000477,782.0315,782.0482000000477,782.0647999999524,782.0817000000477,782.0987999999523,782.1157000000477,782.1322000000476,782.1487999999523,782.1655,782.1821000000239,782.215,782.2866000000239,782.3157999999523,782.3323999999761,782.3492000000476,782.3658999999761,782.3826000000238,782.3987000000477,782.4152000000477,782.4318999999762,782.4487000000477,782.4653999999762,782.482,782.4987999999523,782.5155,784.8173999999761,784.851,784.8677000000476,784.8847000000477,784.9016000000238,784.9185,784.9348999999762,784.9517000000477,784.9686000000238,784.985,785.0018999999761,785.0187000000477,785.0352999999524,786.5026000000238,786.5192999999523,786.5358999999762,786.5527000000477,786.5692999999524,786.5861000000239,786.6027000000477,786.6193999999762,786.6361000000238,786.6527000000477,786.6695,786.6862000000477,786.7027999999523,786.7196000000239,786.7361000000238,797.4978999999762,797.5137000000477,797.5308999999762,797.547,797.5645,797.5805,797.5971000000238,797.6136000000239,797.6305,797.6471000000239,797.6636000000238,797.6803999999762,797.6971000000239,797.7138999999762,797.7307000000477,809.0753999999762,809.0917000000477,809.1085,809.1252000000477,809.1426000000239,809.1592999999523,809.176,809.1927000000477,809.2085,809.2252999999523,809.2417999999523,809.2587000000477,809.2752999999523,827.7105,827.7277999999524,827.7438999999762,827.7606000000238,827.7772000000476,827.7941000000238,827.8106000000239,827.8272999999523,827.844,827.8612999999523,827.8772999999524,829.4455,829.4622999999523,829.4788999999762,829.4957000000477,829.513,829.5287999999523,829.5457000000476,829.5622999999523,829.5792999999524,829.5957000000477,829.6123999999761,829.6291000000239,829.6457000000477,829.679,830.1962999999523,830.2128999999761,830.2297999999523,830.2463999999761,830.2631000000239,830.2797000000477,830.2963999999762,830.3131000000238,830.3297999999523,830.3463999999761,830.3632000000476,830.3797999999523,830.6132000000476,830.6301000000238,830.6467999999523,830.6632999999523,830.6802000000476,830.6967999999523,830.7135,830.7302000000477,830.7468999999761,830.7635,830.7802000000477,830.7968999999762,830.8136000000238,830.8302000000477,830.8468999999761,830.8636000000239,830.8802999999523,831.0535,831.0637999999523,831.0805,831.0972999999523,831.1145,831.1306000000238,831.1471000000239,831.1645,831.1803999999762,831.1973999999761,831.2137999999524,831.2307000000477,831.2473999999762,831.2641000000239,862.4292999999523,862.4458999999762,862.4623999999761,862.4792999999523,862.496,862.5127999999523,862.5292000000477,862.5462000000476,862.563,862.5792999999524,862.5961000000239,862.6126000000238,862.6297000000477,862.6452999999523,878.5187000000477,880.3462999999523,880.3807000000477,880.3972999999523,880.4137999999523,880.4306000000238,880.4472000000477,880.4638999999762,880.4805,880.4972000000477,880.5141000000239,880.5307000000477,880.5467000000477,880.5633999999761,880.5801000000239,880.5968999999761,880.6141000000239,880.63,880.6467999999523,880.6636000000238,880.6807999999523,880.6975,880.7142999999523,880.7307999999523,881.4532999999523,881.465,881.4816000000238,881.4982999999523,881.5148999999761,881.5316000000238,881.5485,881.5651000000238,881.5816000000239,881.5982000000477,881.6152000000477,881.6317999999524,881.6477000000477,881.6645,881.6811000000239,881.6978999999761,881.7145,881.7316000000238,881.7485,881.7651000000238,881.782,881.7985","-119585.89050004768,17.299299999952318,0.3500000000000014,0.4281000000238393,0.12250000000000227,9.9435,7.090800000071525,2.334899999976159,0.1168999999761553,1.3179999999999978,9.543200000047683,6.189999999999998,0.44959999990463473,2.802900000095377,0.05009999990463143,0.0332000000476711,0.05010000002384629,1.6016000000238506,0.06669999992847409,0.3173999999761463,0.10010000002384345,0.5499999999999972,0.10020000004769258,0.08310000002383333,21.25519999992848,0.7337000000476905,1.8686999999284666,10.843500000000006,0.1003000000715275,0.8179999999999978,0.13339999997614882,0.8508999999761642,0.13339999997616303,8.72510000002383,0.08380000007153399,0.08339999997616587,0.7011000000238425,0.09989999997614518,2.3856999999284767,3.069500000000005,0.10010000002384345,0.8673999999761577,0.13300000000000978,13.631800000071507,0.09960000002385527,27.961199999928454,4.754100000023868,2.6529999999999916,0.1834999999999809,1.0006000000238657,0.06710000002382799,0.9008999999761613,0.11619999992848307,11.779499999999985,0.0997000000477044,0.06670000004766052,0.48389999997615973,17.88519999992849,0.39970000004768735,27.144700000047663,0.08279999995232856,0.08279999995232856,0.16770000004765961,22.705899999976168,0.09970000004767599,0.10010000002387187,0.10009999990461438,12.980000000000018,24.891999999999996,0.0829000000953215,0.2668999999762036,0.25,2.819399999976156,0.13349999999996953,15.416100000023846,0.09960000002382685,14.765000000000043,0.08309999990461847,1.968600000023855,0.08339999997616587,0.5834999999999582,0.7005000000000337,1.4019999999999868,0.13349999999996953,16.950100000023895,12.863999999999976,6.605100000023867,0.11749999999994998,0.0992999999523363,0.1173000000715092,0.20029999995233538,25.660000000000025,0.06620000004767235,0.0497999999523131,0.4673999999761236,0.1334000000953779,28.47759999990467,0.0672000000476487,0.10029999995231265,0.09990000009537425,0.3837999999523163,15.031200000047704,0.10039999997616178,0.0999999999999659,26.527199999928484,0.04950000000002319,0.05010000002380366,0.3842000000477128,3.920399999976155,9.27600000000001,23.507299999952295,0.11640000009538198,0.14929999995229082,0.43360000002383003,12.713600000023916,0.06599999999991724,2.5695999999046535,9.810200000047757,0.34939999997607174,0.13420000004771282,16.517199999928494,0.18280000007155195,1.0504999999999427,17.217899999976225,0.06660000002375455,5.00519999992855,0.08320000004766825,0.10010000002387187,0.39969999992842986,0.3509999999999991,0.4838000000714828,18.95279999995239,0.36689999997611267,3.9539000000953592,0.817199999928448,0.350200000047721,15.182500000000005,0.09939999997618543,155.53949999999998,0.01620000004766098,0.03329999995230537,0.016799999952354483,0.016900000095347423,0.01579999995237813,0.016700000047649155,0.016599999904656215,0.016900000095347423,0.017099999904644392,0.016900000095347423,0.016499999999950887,0.016599999904656215,0.016700000047649155,0.016600000023913708,0.03289999997616633,0.07160000002386369,0.029199999928437137,0.01660000002380002,0.01680000007149829,0.01669999992850535,0.016700000047649155,0.01610000002392553,0.016499999999950887,0.01669999992850535,0.01680000007149829,0.01669999992850535,0.01660000002380002,0.016799999952354483,0.016700000047649155,2.301899999976172,0.03360000002385277,0.016700000047649155,0.01700000000005275,0.01689999997608993,0.016899999976203617,0.01639999997621544,0.01680000007149829,0.01689999997608993,0.01639999997621544,0.01689999997608993,0.016800000071611976,0.016599999904656215,1.4673000000714183,0.01669999992850535,0.016600000023913708,0.01680000007149829,0.016599999904656215,0.01680000007149829,0.01660000002380002,0.01669999992850535,0.016700000047649155,0.016600000023913708,0.016799999952240796,0.016700000047762842,0.01659999990454253,0.016800000071611976,0.016499999999950887,10.761799999952359,0.015800000071521936,0.017199999928493526,0.016100000023811845,0.01749999999992724,0.016000000000076398,0.01660000002380002,0.016500000000064574,0.01689999997608993,0.016600000023913708,0.016499999999950887,0.016799999952354483,0.016700000047649155,0.016799999952354483,0.01680000007149829,11.34469999992848,0.016300000071510112,0.016799999952354483,0.016700000047649155,0.017399999976191793,0.016699999928391662,0.016700000047762842,0.016700000047649155,0.015799999952264443,0.016799999952354483,0.016499999999950887,0.01690000009546111,0.01659999990454253,18.435200000047757,0.01729999995234266,0.016100000023811845,0.016700000047649155,0.01660000002380002,0.016899999976203617,0.016500000000064574,0.016699999928391662,0.016700000047762842,0.017299999952228973,0.016000000000076398,1.568200000047682,0.016799999952240796,0.016600000023913708,0.01680000007149829,0.01729999995234266,0.015799999952264443,0.016900000095347423,0.016599999904656215,0.01700000000005275,0.016400000095359246,0.016699999928391662,0.016700000047762842,0.01660000002380002,0.03329999995230537,0.5172999999523427,0.01660000002380002,0.016899999976203617,0.01660000002380002,0.016700000047762842,0.01660000002380002,0.01669999992850535,0.016700000047649155,0.01669999992850535,0.01660000002380002,0.01680000007149829,0.016599999904656215,0.23340000009534378,0.016899999976203617,0.01669999992850535,0.016499999999950887,0.016900000095347423,0.016599999904656215,0.016700000047649155,0.016700000047762842,0.016699999928391662,0.016600000023913708,0.016700000047649155,0.01669999992850535,0.016700000047649155,0.016600000023913708,0.016699999928391662,0.016700000047762842,0.016699999928391662,0.1732000000477001,0.010299999952280814,0.016700000047762842,0.016799999952240796,0.01720000004775102,0.016100000023811845,0.016500000000064574,0.017399999976078107,0.015899999976227264,0.016999999999939064,0.01639999997621544,0.016900000095347423,0.01669999992850535,0.016700000047649155,31.165199999928404,0.016600000023913708,0.016499999999950887,0.016899999976203617,0.016700000047649155,0.016799999952354483,0.016400000095359246,0.016999999999939064,0.016799999952354483,0.016299999952366306,0.01680000007149829,0.016499999999950887,0.017100000023901885,0.015599999904566175,15.873400000095444,1.827599999904578,0.03440000009538835,0.016599999904656215,0.016499999999950887,0.01680000007149829,0.016600000023913708,0.01669999992850535,0.01660000002380002,0.016700000047649155,0.016899999976203617,0.01660000002380002,0.016000000000076398,0.016699999928391662,0.016700000047762842,0.016799999952240796,0.01720000004775102,0.015899999976113577,0.016799999952354483,0.01680000007149829,0.017199999928493526,0.016700000047649155,0.016799999952354483,0.016499999999950887,0.7224999999999682,0.01170000004776739,0.01660000002380002,0.01669999992850535,0.01660000002380002,0.016700000047649155,0.016899999976203617,0.01660000002380002,0.016500000000064574,0.01660000002380002,0.01700000000005275,0.016599999904656215,0.01590000009537107,0.016799999952240796,0.016600000023913708,0.016799999952240796,0.016600000023913708,0.017100000023788198,0.016899999976203617,0.01660000002380002,0.016899999976203617,0.016499999999950887","1,2,3,4,5,6,7,8,9,8,9,10,11,10,9,8,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,20,19,18,17,16,17,18,17,18,19,20,21,22,23,24,25,26,27,26,25,26,27,28,29,30,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,51,50,51,52,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,94,95,96,97,96,97,98,99,100,0,1,3,4,6,7,9,11,13,15,17,19,20,21,22,23,22,21,20,18,17,15,12,10,7,5,3,2,1,0,1,3,4,7,9,13,17,21,25,29,31,33,34,33,32,31,29,27,24,21,18,14,11,7,5,2,1,0,1,2,3,5,8,11,15,19,25,30,35,40,43,44,45,44,43,42,40,37,33,29,25,21,17,14,13,11,12,14,16,19,24,31,38,45,51,55,56,55,54,52,51,49,47,45,44,42,40,38,37,35,34,33,32,31,29,27,24,21,18,16,14,12,11,12,13,14,15,17,19,21,23,26,29,32,35,39,41,43,44,45,47,48,49,51,53,55,57,59,62,64,65,66,67,68,69,70,72,74,77,80,83,86,90,93,95,97,99,100,0,1,3,4,6,8,10,13,15,17,19,21,23,25,27,30,34,37,41,45,48,50,52,53,54,55,56,58,60,62,64,67,69,72,75,78,81,85,88,90,93,95,97,98,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6)(p3),(p4)(p5)(p3),(p4)(p5)(p3),(p4)(p5)(p3),(p4)(p5)(p3),(p4)(p5)(p3),(p4)(p5)(p3),(p4)(p5)(p3)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8)(p5),(p6)(p7)(p5),(p6)(p7)(p5),(p6)(p7)(p5),(p6)(p7)(p5),(p6)(p7)(p5),(p6)(p7)(p5),(p6)(p7)(p5)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p9)(p10)(p8),(p9)(p10)(p8),(p9)(p10),(p9)(p10)(p11),(p9)(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p12),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(p16),(p14)(p15)(p16),(p15)(p16),(p15)(p16),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17),(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p18)(p19)(p20),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","","0,5,8,12,16,18,21,25,28,32,36,41,47,51,55,60,62,67,68,71,74,76,79,84,87,91,96","faecs,maurlas,rdies,stomcah,srpead,losnig,haredr,millinos,frgos,looknig,tuend,poleln,mamamls,fonud,lagre,mlies),anmials,avergae,perecnt,addiitonal,threaetned,elephnat-like,mammohts,tolreate,porfessor,laregr,recovreing,siad.,do’nt,forets,”,cuold,aniamls,dispesre,ofetn,tehir,thier,someitmes,lonegr,returnnig,fertliized,efefcts,alawys","23,30,58,37,29,22,36,21,25,26,18,38,10,31,42,29,82,58,43,52,33,54,55,13,31,74,15,26,37,16,35,43,26,37,51,24,23,47,17,103,19,22","2,2,1,1,1,1,2,2,1,1,2,1,2,2,2,2,1,0,2,2,2,2,1,2,2,1,2","1,2,1,1,1,1,2,2,1,1,2,1,2,1,2,1,1,0,1,2,2,1,1,2,2,1,2","faecs,stomcah,rdies,srpead,losnig,haredr,millinos,frgos,looknig,tuend,poleln,mamamls,fonud,mlies),lagre,anmials,perecnt,avergae,threaetned,elephnat-like,mammohts,tolreate,laregr,recovreing,forets,”,do’nt,cuold,aniamls,ofetn,tehir,someitmes,thier,returnnig,lonegr,fertliized,efefcts,alawys","p1,p2,p2,p3,p4,p5,p6,p7,p7,p8,p8,p9,p10,p11,p11,p12,p13,p13,p14,p15,p15,p16,p17,p19,p20,p20,p21,p21,p22,p23,p24,p24,p25,p25,p26,p27,p27","11.220399999976157,51.40420000004768,58.020299999952314,70.58820000004768,93.27679999995232,117.85220000004769,144.0845,165.48429999995233,165.9882000000477,198.0285,219.4445,224.34089999997616,262.20439999997615,284.6605,292.1405,336.9005,372.1647000000477,378.42060000002385,397.8367000000477,426.6127000000477,428.7407000000477,448.7007000000477,479.89260000002383,493.5647000000477,525.1251000000238,531.6607999999524,541.2926000000239,543.4527999999523,551.8526000000238,578.2847999999523,593.1567999999523,593.6688999999761,614.1886000000238,621.4608999999762,656.7087999999524,666.0287999999523,669.1727999999523","dispersers","p23","572.8131000000238","no_heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","808977","0.0-5.0","","","16015.100000023842","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5d274146c3c61e000181c4bb_1651655372752","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","816592","0.0-6.0","","","7614.399999976158","While reading the article, how carefully did you pay attention?","","5d274146c3c61e000181c4bb_1651655372752","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","no_heading","65","","","","","","","","","",""
"","html-slider-response","7","821543","0.0-7.0","","","4950.399999976158","How well do you feel you understood the key points of the article?","","5d274146c3c61e000181c4bb_1651655372752","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","no_heading","77","","","","","","","","","",""
"","html-slider-response","8","829879","0.0-8.0","","","8335.199999928474","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5d274146c3c61e000181c4bb_1651655372752","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","no_heading","29","","","","","","","","","",""
"","html-slider-response","9","833702","0.0-9.0","","","3823.0999999046326","How interesting did you find the topic of this article after the first few paragraphs?","","5d274146c3c61e000181c4bb_1651655372752","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","no_heading","56","","","","","","","","","",""
