"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","6244","0.0-0.0","1920","1080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","10287","0.0-1.0","1920","1080","4039","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5d651053afb8f700198459d4_1651673672217","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","21203","0.0-2.0","","","10914.400000095367","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5d651053afb8f700198459d4_1651673672217","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","59818","0.0-3.0","","","38612.60000038147","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5d651053afb8f700198459d4_1651673672217","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","444477","0.0-4.0","","","384632","","","5d651053afb8f700198459d4_1651673672217","test_trial","","","1080","322495.19999980927","112","6","down,down,up,up,down,down,down,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","14.333800000190735,15.118,16.351699999809266,16.385400000095366,18.071699999809265,18.454,19.354699999809267,20.856,20.92359999990463,20.956800000190736,25.985,26.619,28.270900000095367,29.388,31.022699999809266,37.701300000190734,42.907,46.283300000190735,59.6495,62.90259999990463,63.13630000019074,64.50480000019074,68.10819999980926,79.92380000019074,80.87459999990463,81.609,82.409,85.71909999990463,89.0225,92.05840000009536,95.06930000019074,98.30419999980927,99.53959999990464,101.77490000009537,106.51990000009536,109.47269999980927,111.85819999980926,114.367,116.86919999980927,117.90280000019074,121.62319999980926,129.21830000019074,130.35280000019074,133.28809999990463,139.55040000009538,140.93559999990464,143.50380000019072,145.5725,148.12559999990464,152.67,154.50409999990464,155.85630000019074,156.808,159.83359999990464,163.11909999990462,171.60030000019074,172.902,174.06869999980927,182.38490000009537,185.2195,189.40790000009537,190.64209999990464,192.63430000019073,194.83469999980926,196.93890000009537,200.44140000009537,203.8185,207.22140000009537,210.7925,213.83609999990463,216.28759999990464,222.03380000019072,225.60280000019074,226.6385,231.96759999990462,233.53490000009538,235.92040000009536,243.50119999980927,244.66869999980926,246.15369999980928,247.27059999990462,253.78359999990462,254.6175,257.21909999990464,261.2075,263.98319999980924,268.38690000009535,269.28880000019075,270.3065,275.8376999998093,277.86990000009536,280.5394000000954,283.0586999998093,287.4365,291.691,292.39209999990464,302.40130000019076,302.95230000019075,305.1695,305.93719999980925,311.43580000019074,313.3856999998093,316.8718000001907,320.4413000001907,325.86969999980926,326.722,327.4723000001907,330.97559999990466,332.9509000000954,336.73790000009535,338.4735,345.3350999999046,527.5701999998092,527.5903000001907,527.639,527.6733000001907,527.6901999998092,527.7066999998093,527.7908000001908,527.8066999998092,527.8241999998093,527.8400999999046,527.8581999998092,527.8741999998093,527.8901999998093,527.9060999999047,527.9239000000954,527.9395999999047,527.9566999998093,527.974,528.0066999998093,528.0238000001907,528.0395,528.0564000000953,528.0735999999047,528.0899000000953,528.1060999999046,528.1231999998092,528.1565999999046,533.0026999998092,533.0184000000953,533.035,533.0520999999046,533.0689000000954,533.0856999998093,533.1023000001908,533.1183000001907,533.1861999998092,533.2020999999046,533.2191999998092,533.2355,533.2521999998092,533.2686999998093,533.2854000000954","-62122.466200190545,0.7841999998092657,1.2336999998092661,0.03370000028609965,1.6862999997138992,0.3823000001907353,0.900699999809266,1.501300000190735,0.06759999990462973,0.03320000028610437,5.028199999809264,0.6340000000000003,1.6519000000953667,1.1170999999046352,1.6346999998092642,6.6786000003814685,5.205699999809262,3.3763000001907386,13.366199999809268,3.2530999999046273,0.23370000028610605,1.3685000000000045,3.6033999996185173,11.81560000038148,0.9507999997138938,0.7344000000953628,0.8000000000000114,3.3100999999046223,3.3034000000953654,3.035900000095367,3.0109000000953756,3.234899999618534,1.2354000000953675,2.2353000001907333,4.74499999999999,2.9527999997139034,2.3854999999999933,2.508800000190746,2.502199999809264,1.033600000381469,3.7203999996185217,7.595100000381478,1.1345000000000027,2.935299999713891,6.2623000001907485,1.3851999998092595,2.568200000286083,2.0686999998092688,2.5530999999046458,4.544400000095351,1.8340999999046517,1.3522000002861034,0.9516999998092501,3.0255999999046423,3.2854999999999848,8.481200000286123,1.3016999998092444,1.166699999809282,8.316200000286102,2.83459999990464,4.188400000095356,1.2341999998092774,1.9922000002860898,2.2003999996185257,2.104200000286113,3.5024999999999977,3.3770999999046296,3.4029000000953715,3.571099999904618,3.043599999904643,2.45150000000001,5.7462000002860805,3.569000000000017,1.0356999998092533,5.329099999904628,1.5673000001907553,2.385499999999979,7.580799999713918,1.1674999999999898,1.4850000000000136,1.1169000000953417,6.513000000000005,0.8339000000953831,2.6015999999046358,3.9884000000953392,2.7756999998092624,4.403700000286108,0.9019000000953952,1.017699999809281,5.531199999809246,2.032200000286082,2.6695000000000277,2.519299999713894,4.377800000190746,4.25449999999995,0.7010999999046703,10.009200000286114,0.5509999999999877,2.2171999998092815,0.7676999998092242,5.4986000003814866,1.9498999996185375,3.486100000381441,3.569500000000005,5.428399999618534,0.8523000001907235,0.750300000190748,3.5032999997139314,1.975300000190714,3.7869999999999777,1.7355999999046503,6.861599999904627,182.2350999999046,0.020100000381489735,0.048699999809286965,0.03430000019068302,0.016899999618544825,0.016500000000064574,0.08410000038145427,0.015899999618454785,0.017500000000040927,0.01590000009537107,0.018099999904620745,0.016000000000076398,0.01599999999996271,0.01590000009537107,0.017800000190732135,0.015699999809271503,0.017099999904644392,0.017300000190743958,0.03269999980921057,0.01710000038144699,0.015699999809271503,0.016900000095347423,0.01719999980934972,0.016300000190653918,0.01619999980925968,0.017099999904644392,0.033400000095412,4.846099999904595,0.0157000002860741,0.016599999904656215,0.017099999904644392,0.01680000019075578,0.016799999713953184,0.016600000381458813,0.01599999999996271,0.0678999996184757,0.01590000009537107,0.017099999904644392,0.016300000190767605,0.016699999809247856,0.016500000000064574,0.016700000286050454","1,2,1,0,1,2,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,1,2,3,4,6,9,11,15,18,21,25,27,29,31,33,34,36,39,41,42,44,45,47,48,49,50,52,54,57,64,69,77,79,83,85,88,93,95,97,98,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3)(p1),(p2)(p3)(p1),(p2)(p3)(p1),(p2)(p3)(p1),(p2)(p3),(p2)(p3),(p2)(p3)(p1),(p2)(p3)(p1),(p2)(p3)(p1),(p2)(p3)(p1),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p5)(p6)(h1),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(h1)(p7)(p8),(h1)(p7)(p8),(h1)(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(h2)(p11),(h2)(p11)(p12),(h2)(p11)(p12),(p11)(p12),(p11)(p12)(h3),(p11)(p12)(h3),(p12)(h3),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p13)(p14)(p15),(p14)(p15),(p14)(p15)(h4),(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(h4)(p16)(p17),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","20,35,46,60,74","0,5,8,12,15,17,21,25,28,32,37,41,48,51,55,61,63,68,69,72,75,77,80,85,87,91,96","faecs,tuksed,bfeore,wihch,maens,pulbished,ainmals,willdife,,betewen,anicent,holwing,brid,,proofund,fienly,sufefred,authros,,wolud,numbres,wihch,aniamls,arcoss,w’eve,wolud,doens’t,trigegr,hnuters,sadi,,distrubances,teres,otfen,cotss,two-thidrs,speceis,logner,widllife,ruond,hamrs","23,40,62,60,18,32,41,27,30,28,19,39,11,17,42,26,12,43,59,82,59,24,48,66,22,70,18,17,31,21,39,15,40,47,18,86,15","1,2,1,2,2,2,2,2,2,1,1,2,1,2,1,1,2,0,1,1,1,1,1,1,2,1,1","1,2,1,1,1,1,1,2,1,0,1,0,0,2,1,1,2,0,1,1,1,1,1,1,1,1,1","faecs,tuksed,bfeore,wihch,maens,ainmals,anicent,holwing,proofund,fienly,authros,,numbres,w’eve,wolud,doens’t,trigegr,sadi,,hnuters,distrubances,teres,otfen,cotss,two-thidrs,speceis,widllife,ruond,hamrs","p1,p2,p2,p3,p4,p5,p6,p7,p8,p8,p9,p11,p14,p14,p15,p16,p17,p17,p19,p20,p21,p22,p23,p24,p25,p26,p27","7.658,38.87669999980927,44.68319999980927,61.402900000095364,73.08769999980926,89.75759999990463,96.23019999980926,104.03569999980927,118.96680000019073,122.8775,135.60319999980928,165.89709999990464,218.05109999990464,223.81069999980926,240.03719999980927,251.82369999980926,258.39209999990464,266.93990000009535,274.01119999980926,289.7835,300.88480000019075,309.29519999980926,315.54990000009536,335.42780000019076,339.3739000000954,369.7475,378.40140000009535","savanna.,savanna","p1,p1","23.352800000190737,24.491900000095367","heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","458825","0.0-5.0","","","14342.299999713898","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5d651053afb8f700198459d4_1651673672217","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","465431","0.0-6.0","","","6604.300000190735","While reading the article, how carefully did you pay attention?","","5d651053afb8f700198459d4_1651673672217","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","heading","80","","","","","","","","","",""
"","html-slider-response","7","471165","0.0-7.0","","","5732.10000038147","How well do you feel you understood the key points of the article?","","5d651053afb8f700198459d4_1651673672217","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","heading","100","","","","","","","","","",""
"","html-slider-response","8","477338","0.0-8.0","","","6171.39999961853","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5d651053afb8f700198459d4_1651673672217","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","heading","69","","","","","","","","","",""
"","html-slider-response","9","482061","0.0-9.0","","","4722.5","How interesting did you find the topic of this article after the first few paragraphs?","","5d651053afb8f700198459d4_1651673672217","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","heading","71","","","","","","","","","",""
