"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","15357","0.0-0.0","1920","1080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","32364","0.0-1.0","1920","1080","17003.900000002235","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5d65b0b972960400180a07d5_1651673942757","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","47404","0.0-2.0","","","15036.599999997765","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5d65b0b972960400180a07d5_1651673942757","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","98123","0.0-3.0","","","50718.300000000745","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5d65b0b972960400180a07d5_1651673942757","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","595907","0.0-4.0","","","497762.8999999985","","","5d65b0b972960400180a07d5_1651673942757","test_trial","","","1080","396354.299999997","114","7","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","48.22559999999776,48.475,49.00889999999851,49.07569999999925,49.125699999999256,49.60939999999851,87.36530000000074,87.482,87.59830000000075,88.09780000000075,91.25059999999776,91.36719999999926,91.857,102.48769999999925,102.97619999999925,103.5863999999985,113.93069999999925,114.03080000000074,114.38119999999925,114.49769999999926,136.45030000000074,136.54959999999775,136.94869999999926,137.0653999999985,137.1655,137.93680000000074,149.96119999999925,150.369,150.4688999999985,170.9633999999985,171.03019999999927,171.097,184.73439999999852,187.03219999999925,187.62239999999852,188.39109999999778,189.7143999999985,190.54930000000076,204.36609999999777,211.4923999999985,211.64209999999775,211.7588999999985,212.83469999999926,224.15719999999925,224.82430000000073,235.81769999999926,239.9968999999985,240.0798999999985,240.66359999999776,241.44969999999927,242.04609999999778,262.8255999999978,263.15909999999775,264.1413999999985,275.584,275.6998000000007,275.78330000000074,276.3333999999985,289.11630000000076,296.2368999999985,300.1243999999985,300.224,300.7078999999985,301.1748999999985,301.27469999999926,301.9421999999993,317.49419999999924,317.56059999999775,329.8450999999978,330.59530000000075,334.97669999999925,335.12669999999923,340.35859999999775,340.87559999999775,357.05430000000075,357.8400999999978,358.7186999999993,359.91889999999853,364.8623999999985,364.946,365.3960999999978,365.49609999999774,366.4635,379.80559999999775,380.4353000000007,390.4835,390.97519999999923,391.10859999999775,391.6695999999978,392.75130000000075,392.85119999999927,392.88430000000074,392.9340999999978,393.018,393.40189999999853,393.53519999999924,395.38069999999925,395.4808000000007,395.5473999999985,395.831,396.24759999999776,396.398,406.6313999999985,406.7643999999985,420.79030000000074,420.89,426.8498999999985,436.19780000000077,436.9745999999978,439.5571999999992,455.1580999999978,455.25769999999926,455.7253999999985,471.53659999999775,625.3468000000007,625.3613000000007,625.3946999999993,625.4121999999993,625.4290999999978,625.4450999999978,625.4623000000007,625.4780999999978,625.4951999999993,625.5120999999978,625.529,625.5455,625.5618999999986,625.5953000000007,626.0291999999993,626.0460999999978,626.0618999999986,626.0795999999978,626.0953000000007,626.1123000000008,626.129,626.1463000000008,626.1618999999985,626.1793000000007,626.196,626.2126999999992,626.2295,626.2620999999978,630.1738000000007,630.1901999999992,630.2068000000007,630.2235,630.2403000000007,630.2568999999985,630.2735,630.2903000000008,630.3070999999977,630.3738000000008,630.4070999999977,630.4238000000007,630.4403999999985,630.4571999999993,630.4738000000008,630.4903999999985,630.5071999999992,630.5405,635.766,635.7823999999985,635.7996999999992,635.8155999999977,635.8325,635.8496999999993,635.8660999999978,635.8828000000008,635.8998999999985,635.916,635.9331999999993,635.9493000000008,635.966,635.9825999999978,635.9998000000007,641.2586999999993,641.2920999999977,641.3093000000007,641.326,641.3421999999993,641.3595999999977,641.3763999999985,641.4090999999978","-101360.3744000015,0.2494000000022396,0.5338999999985106,0.0668000000007396,0.05000000000000426,0.48369999999925284,37.755900000002235,0.11669999999925551,0.11630000000074858,0.4994999999999976,3.152799999997015,0.1166000000014975,0.4898000000007414,10.630699999999251,0.48850000000000193,0.6101999999992529,10.344300000000743,0.10010000000148978,0.35039999999851545,0.11650000000000205,21.952600000001482,0.09929999999701522,0.3991000000015106,0.1166999999992413,0.10010000000150399,0.7713000000007355,12.024399999998508,0.4078000000007478,0.09989999999851307,20.494499999999988,0.06680000000076802,0.0668000000007396,13.637399999998507,2.297800000000734,0.5901999999992711,0.7686999999992565,1.323300000000728,0.83490000000225,13.816799999997016,7.126300000000725,0.14969999999925676,0.11680000000075097,1.0758000000007542,11.322499999999991,0.6671000000014828,10.99339999999853,4.179199999999241,0.08299999999999841,0.5836999999992543,0.786100000001511,0.5963999999985106,20.779500000000013,0.33349999999995816,0.9823000000007482,11.442600000001505,0.11580000000071777,0.083500000000015,0.5500999999977694,12.782900000002257,7.120599999997751,3.8874999999999886,0.09960000000148739,0.4838999999985276,0.46699999999998454,0.09980000000075506,0.6675000000000182,15.551999999999964,0.06639999999850943,12.284500000000037,0.7502000000029625,4.381399999998507,0.14999999999997726,5.231899999998518,0.5169999999999959,16.178700000003005,0.7857999999970389,0.8786000000014837,1.2001999999992563,4.943499999999972,0.08360000000152468,0.45009999999774664,0.0999999999999659,0.9674000000022716,13.342099999997743,0.6297000000029698,10.04819999999927,0.4916999999992413,0.1333999999985167,0.5610000000000355,1.081700000002968,0.09989999999851307,0.03310000000146829,0.04979999999704887,0.08390000000218834,0.3838999999985617,0.13330000000070186,1.8455000000000155,0.10010000000147556,0.0665999999977771,0.2836000000015133,0.416599999997743,0.15040000000226428,10.233399999998483,0.13299999999998136,14.025900000002252,0.09969999999924539,5.959899999998527,9.347900000002255,0.7767999999970243,2.5826000000014346,15.600899999998546,0.09960000000148739,0.4676999999992404,15.811199999999246,153.81020000000296,0.014499999999998181,0.03339999999855081,0.017500000000040927,0.016899999998486237,0.01599999999996271,0.017200000002958404,0.015799999997057057,0.017100000001505578,0.016899999998486237,0.016900000002237903,0.016499999999950887,0.016399999998611747,0.03340000000218879,0.43389999999851625,0.016899999998486237,0.015800000000808723,0.017699999999194915,0.015700000002993875,0.01700000000005275,0.016699999999218562,0.017300000000773252,0.015599999997675695,0.01740000000222608,0.01669999999933225,0.016699999999218562,0.016800000000785076,0.032599999997728446,3.911700000002952,0.01639999999849806,0.0166000000015174,0.016699999999218562,0.016800000000785076,0.016599999997765735,0.0166000000015174,0.016800000000785076,0.016799999996919723,0.06670000000303844,0.0332999999969843,0.016700000002970228,0.016599999997765735,0.016800000000785076,0.0166000000015174,0.016599999997765735,0.01680000000067139,0.03330000000073596,5.225500000000011,0.01639999999849806,0.017300000000773252,0.015899999998509884,0.016900000002237903,0.017199999999320426,0.01639999999849806,0.016700000002970228,0.017099999997753912,0.016100000001529224,0.01719999999920674,0.016100000001529224,0.016699999999218562,0.016599999997765735,0.017200000002958404,5.258899999998562,0.033399999998437124,0.017200000002958404,0.01669999999933225,0.016199999999230386,0.017399999998474414,0.016800000000785076,0.03269999999929496","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,88,87,86,85,84,83,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,1,3,4,6,8,10,12,15,17,19,21,22,23,24,25,27,28,30,32,33,35,37,39,41,43,44,45,46,47,48,49,51,52,54,55,56,57,58,59,61,63,64,66,67,68,69,70,72,73,75,76,78,80,82,84,85,87,88,89,90,91,92,94,95,97,98,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p6)(h1)(p7),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(h1)(p7)(p8),(h1)(p7)(p8),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(h2)(p11),(h2)(p11),(h2)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12)(h3),(p12)(h3),(p12)(h3),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(h3)(p13),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p14)(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(h4)(p16)(p17),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24),(p23)(p24)(p22),(p23)(p24)(p22),(p23)(p24)(p22),(p23)(p22)(p21),(p23)(p22)(p21),(p23)(p22)(p21)(h5),(p23)(p22)(p21)(h5),(p23)(p22)(p21)(h5),(p23)(p22)(p21),(p23)(p22)(p24),(p23)(p22)(p24),(p23)(p22)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","20,35,47,60,74","0,4,8,12,15,17,21,25,27,31,36,41,48,52,55,61,63,68,69,72,75,78,81,85,88,91,96","mlies),svaanna.,digestvie,heatawves,publihsed,beacuse,hicth,eorsion,sepcies,aronud,popultaions,fruit-olving,centruies,wlidlife,petss,ohter,sedes,acocunts,losess,elephant-ilke,tolearte,stlil,berak,physcial,reocvering,groiwng,humnas,dispesre,smlal,naitve,abuot,returinng,foexs,alwyas","64,17,10,14,32,18,23,15,31,48,36,30,47,51,76,99,45,20,25,54,13,35,15,49,15,32,10,26,64,39,42,17,35,22","2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,2,0,2,1,1,1,1,1,2,1,1","1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,0,2,0,1,0,1,1,1,0,2,1,0","svaanna.,digestvie,heatawves,publihsed,hicth,eorsion,sepcies,popultaions,aronud,fruit-olving,petss,ohter,sedes,acocunts,losess,berak,stlil,reocvering,humnas,dispesre,smlal,returinng,abuot,foexs","p1,p2,p3,p4,p5,p6,p6,p7,p7,p8,p11,p12,p13,p14,p15,p17,p17,p19,p21,p22,p23,p25,p25,p26","5.163599999997765,27.714199999999256,52.53989999999851,84.46759999999776,97.868,107.2985,112.05130000000075,123.80280000000074,129.61919999999927,146.43569999999926,209.81069999999926,236.6425,255.0765,267.6908999999985,281.82680000000073,316.74619999999925,323.69930000000073,346.2108999999985,369.1298999999985,384.7295,415.1378999999985,443.18609999999774,449.4345,465.89019999999925","tracking.”,worst,nonnative,fertilized","p3,p9,p24,p26","72.34009999999776,169.2193999999985,424.6025999999978,482.09769999999924","heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","615075","0.0-5.0","","","19161.89999999851","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5d65b0b972960400180a07d5_1651673942757","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","619137","0.0-6.0","","","4060.39999999851","While reading the article, how carefully did you pay attention?","","5d65b0b972960400180a07d5_1651673942757","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","heading","100","","","","","","","","","",""
"","html-slider-response","7","622218","0.0-7.0","","","3078.39999999851","How well do you feel you understood the key points of the article?","","5d65b0b972960400180a07d5_1651673942757","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","heading","100","","","","","","","","","",""
"","html-slider-response","8","627929","0.0-8.0","","","5709.10000000149","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5d65b0b972960400180a07d5_1651673942757","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","heading","85","","","","","","","","","",""
"","html-slider-response","9","631698","0.0-9.0","","","3767.699999999255","How interesting did you find the topic of this article after the first few paragraphs?","","5d65b0b972960400180a07d5_1651673942757","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","heading","88","","","","","","","","","",""
