"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","19658","0.0-0.0","1680","1050","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","50981","0.0-1.0","1680","1050","31319.80000000028","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5d95dfca33f8930017e85486_1651690631795","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","77388","0.0-2.0","","","26403","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5d95dfca33f8930017e85486_1651690631795","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","146508","0.0-3.0","","","69119.30000000028","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5d95dfca33f8930017e85486_1651690631795","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","1068719","0.0-4.0","","","922181.8000000003","","","5d95dfca33f8930017e85486_1651690631795","test_trial","","","1050","769865.6000000001","108","4","down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","32.509,54.74469999999972,60.5985,61.39929999999981,63.43369999999972,64.3185,64.65189999999991,84.73429999999982,102.56599999999953,102.83199999999954,103.23210000000009,124.86839999999991,131.1546000000001,131.38849999999954,152.62369999999973,157.22760000000008,157.49449999999953,174.52319999999972,174.7588000000003,181.43049999999954,181.7126000000001,182.6148000000003,191.1213999999999,191.5366999999997,211.97160000000008,224.38180000000028,224.91499999999954,248.4506000000001,252.02049999999954,270.96849999999955,278.4758000000003,278.6916000000001,278.9096999999997,293.0376000000001,293.35349999999954,294.7551000000001,295.8391000000001,304.8131999999997,307.0151000000001,307.26530000000025,324.3126999999997,324.5123999999999,336.2713000000003,341.1098999999999,344.6293000000003,352.30130000000025,352.4681000000001,373.9861999999997,374.97049999999956,382.8771000000001,383.19399999999956,383.37669999999974,399.74099999999953,409.19780000000026,418.3221999999997,421.09069999999974,423.6426000000001,424.6778999999999,431.0666000000001,431.6331999999997,459.42299999999955,460.37330000000026,461.8734999999995,463.7583000000003,465.11049999999955,483.5083999999999,483.87530000000027,485.1599999999995,485.4776000000001,499.13869999999974,523.5921999999997,523.8241,524.1411,524.6751999999997,535.0673999999999,536.6358000000002,537.9858000000003,539.8211000000001,550.9798000000003,566.6934999999995,576.7168999999999,577.2016000000001,577.6351999999997,608.0256,608.1764999999996,608.3274999999995,619.1681000000001,619.4689999999995,650.5108000000002,650.6776999999997,650.9276999999997,674.5639999999995,684.4716999999997,684.9383000000003,706.7458999999999,707.1229,707.5231999999997,720.7678999999999,721.0848000000003,732.8283000000002,733.5278000000003,750.7433000000003,751.4761999999997,751.9594,794.3776999999998,798.5481000000001,804.5029,804.7698000000003,1018.1588000000003,1018.1918999999999,1018.2268000000003,1018.2429,1018.2758000000002,1018.2928000000003,1018.3089999999995,1018.3268999999999,1018.3428000000002,1018.3589,1018.3758000000003,1018.3928000000003,1018.4098000000002,1018.4268000000003,1018.4428999999999,1018.4598000000003,1018.4756999999997,1018.4938000000003,1018.5098000000003,1018.5266999999997,1018.5428999999999,1018.5768000000003,1018.6268000000002,1018.6768000000003,1018.7098000000003,1168.7143000000003,1168.7644999999995,1168.7976999999996,1168.8481999999997,1168.8654,1168.8984999999996,1168.9483000000002,1168.9989999999996,1169.0311999999997,1169.0819,1172.2173000000003,1172.2681999999998,1172.3011999999997,1172.3181000000002,1172.3341999999998,1172.3513000000003,1172.3681999999997,1172.4013000000002,1172.4173000000003,1173.3683000000003,1173.4194999999995,1173.4516999999996,1173.5016,1178.9563000000003,1178.9896999999996,1179.0068000000003,1179.0236999999997,1179.0399,1179.0568000000003,1179.0743000000002,1179.0894999999996,1179.1064,1179.1234,1179.1403000000003,1179.1563000000003,1179.1734999999994,1179.1896000000002,1179.2071,1179.2233999999999,1179.2411999999997,1179.2559999999996,1179.2908000000002,1179.3229,1179.3739999999996,1186.7294,1186.7629,1186.7798000000003,1186.8131999999998,1186.8301000000001,1186.8461999999997,1186.8631,1186.8803000000003,1186.8961000000002,1186.9123000000002,1186.9298999999999,1186.9459999999995,1186.9629,1186.9798000000003,1186.9959999999996,1187.0131000000001,1187.0301999999997,1187.0461999999998,1187.0806,1187.1126999999997,1188.0136,1188.0636000000002,1188.0966,1188.1474999999996,1202.9096000000002,1202.9433999999999,1202.9766999999997,1202.9926,1203.0271,1203.0428000000002,1203.0591999999997,1203.0761999999997,1203.0924,1203.1093000000003,1203.1261999999997,1203.1431999999998,1203.1601999999998,1203.1768000000002,1203.1926,1203.2093000000002,1203.2264,1203.2436999999998,1203.2594999999994,1203.2766000000001,1203.2926,1203.3096999999998,1203.3258999999998,1203.3429999999996,1203.3609,1203.3931,1203.4098999999999,1203.4268000000002,1203.4759999999994,1212.1166,1212.1504999999995,1212.1674999999996,1212.1834999999996,1212.1994999999995,1212.2166000000002,1212.2331999999997,1212.2509,1212.2671,1212.2833000000003,1212.3003000000003,1212.3173000000004,1212.3338000000003,1212.3498000000002,1212.3669,1212.3836999999996,1212.4008000000003,1212.4169999999995","-152283.6910000002,22.235699999999717,5.853800000000284,0.8007999999998106,2.0343999999999056,0.8848000000002827,0.3333999999999122,20.082399999999907,17.831699999999714,0.26600000000000534,0.400100000000549,21.63629999999982,6.286200000000193,0.2338999999994371,21.23520000000019,4.603900000000351,0.2668999999994526,17.028700000000185,0.23560000000057357,6.671699999999248,0.282100000000554,0.9022000000001924,8.506599999999622,0.41529999999980305,20.43490000000037,12.410200000000202,0.5331999999992547,23.535600000000557,3.56989999999945,18.948000000000008,7.5073000000007255,0.21579999999983102,0.21809999999959473,14.127900000000409,0.31589999999943075,1.401600000000542,1.0840000000000032,8.974099999999623,2.2019000000003643,0.25020000000017717,17.04739999999947,0.19970000000017762,11.75890000000038,4.838599999999644,3.51940000000036,7.671999999999969,0.16679999999985284,21.518099999999606,0.9842999999998483,7.906600000000537,0.31689999999946394,0.18270000000018172,16.364299999999787,9.456800000000726,9.124399999999468,2.7685000000000173,2.5519000000003302,1.035299999999836,6.388700000000199,0.5665999999995961,27.789799999999843,0.9503000000007091,1.5001999999992677,1.88480000000078,1.3521999999992431,18.397900000000334,0.3669000000003848,1.2846999999992477,0.31760000000059563,13.661099999999635,24.453499999999963,0.23190000000033706,0.3170000000000073,0.5340999999996257,10.39220000000023,1.568400000000338,1.3500000000000227,1.8352999999998474,11.15870000000018,15.713699999999221,10.023400000000379,0.48470000000020264,0.43359999999961474,30.39040000000034,0.15089999999952397,0.15099999999995362,10.840600000000563,0.30089999999938755,31.041800000000762,0.16689999999948668,0.25,23.63629999999978,9.907700000000204,0.4666000000005397,21.80759999999964,0.3770000000000664,0.40029999999978827,13.244700000000194,0.31690000000037344,11.743499999999926,0.6995000000000573,17.21550000000002,0.7328999999994039,0.4832000000002381,42.41829999999982,4.170400000000313,5.954799999999864,0.2669000000003052,213.389,0.0330999999996493,0.03490000000033433,0.016099999999710235,0.03290000000026794,0.01700000000005275,0.016199999999230386,0.017900000000395266,0.015900000000328873,0.016099999999710235,0.016900000000305226,0.01700000000005275,0.016999999999939064,0.01700000000005275,0.016099999999596548,0.016900000000418913,0.01589999999941938,0.018100000000572436,0.01599999999996271,0.01689999999939573,0.016200000000253567,0.03390000000035798,0.049999999999954525,0.05000000000006821,0.03300000000001546,150.0045,0.0501999999992222,0.033200000000078944,0.05050000000005639,0.01720000000022992,0.0330999999996493,0.04980000000068685,0.050699999999324064,0.03220000000010259,0.05070000000023356,3.1354000000003452,0.05089999999950123,0.032999999999901775,0.0169000000005326,0.016099999999596548,0.017100000000482396,0.01689999999939573,0.033100000000558794,0.016000000000076398,0.9510000000000218,0.05119999999919855,0.03220000000010259,0.049900000000434375,5.45470000000023,0.03339999999934662,0.01710000000070977,0.01689999999939573,0.016200000000253567,0.016900000000305226,0.01749999999992724,0.01519999999936772,0.016900000000305226,0.01700000000005275,0.016900000000305226,0.016000000000076398,0.017199999999093052,0.016100000000733417,0.01749999999992724,0.016299999999773718,0.017799999999851934,0.014799999999922875,0.034800000000586806,0.032099999999672946,0.0510999999996784,7.3554000000003725,0.03350000000000364,0.016900000000305226,0.03339999999957399,0.016900000000305226,0.016099999999596548,0.016900000000305226,0.01720000000022992,0.015799999999899228,0.016200000000026193,0.017599999999674765,0.016099999999596548,0.0169000000005326,0.016900000000305226,0.016199999999344072,0.017100000000482396,0.0170999999995729,0.016000000000076398,0.03440000000023247,0.032099999999672946,0.9009000000003198,0.0500000000001819,0.032999999999901775,0.05089999999950123,14.7621000000006,0.03379999999970096,0.03329999999982647,0.015900000000328873,0.03449999999997999,0.015700000000151704,0.016399999999521242,0.01700000000005275,0.016200000000253567,0.016900000000305226,0.01689999999939573,0.01700000000005275,0.01700000000005275,0.016600000000380533,0.015799999999899228,0.016700000000128057,0.017099999999800275,0.01729999999975007,0.015799999999671854,0.01710000000070977,0.015999999999849024,0.017099999999800275,0.016200000000026193,0.017099999999800275,0.01790000000028158,0.03220000000010259,0.01679999999987558,0.016900000000305226,0.04919999999924585,8.640600000000632,0.03389999999944848,0.01700000000005275,0.016000000000076398,0.015999999999849024,0.01710000000070977,0.016599999999471038,0.017700000000331784,0.016200000000026193,0.016200000000253567,0.01700000000005275,0.01700000000005275,0.016499999999950887,0.015999999999849024,0.017099999999800275,0.016799999999648207,0.01710000000070977,0.0161999999991167","1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,30,29,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,59,60,61,63,64,65,66,67,68,69,70,71,72,73,74,75,76,78,79,80,81,82,83,85,86,87,89,90,91,92,93,94,95,96,97,98,99,100,99,98,97,96,95,94,93,92,91,90,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,71,72,73,74,75,77,78,80,83,85,87,90,92,95,97,98,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p3)(p4)(p5)(p6),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(h1)(p7)(p8),(h1)(p7)(p8)(p9),(h1)(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10)(h2),(p8)(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2)(p8),(p9)(p10)(h2)(p8),(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2)(p11),(p9)(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(h2)(p11)(p12),(h2)(p11)(p12),(h2)(p11)(p12),(p11)(p12)(h3),(p11)(p12)(h3),(p11)(p12)(h3),(p12)(h3),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(p13)(p14)(p15),(p13)(p14)(p15),(p13)(p14)(p15),(p14)(p15)(h4),(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p14)(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18)(p19),(h4)(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(h5),(p17)(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21)(p22),(p19)(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(p21)(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","20,35,47,60,74","0,4,8,12,15,17,21,25,27,31,36,41,48,52,55,61,63,68,69,72,75,78,81,85,88,91,96","elepahnt,stoamch,condtiions,menas,colud,woresn,eovlved,pecrent,isnects,bewteen,mamamls,bidrs,lrage,geoploitical,roguhly,capbale,dsiappear,platns,mihgt,tirgger,becuase,disturbacnes,arne’t,benig,colud,otfen,plnats,,spraed,thier,betetr,resotring,caleld,thirves,ainmals,","53,37,58,18,29,30,19,50,28,39,10,16,42,62,21,47,36,78,89,22,69,17,55,14,35,37,35,11,24,34,63,42,28,39","1,1,1,1,2,1,2,1,1,1,2,1,1,1,2,1,1,0,2,1,1,2,1,2,1,1,2","1,0,1,1,2,1,2,1,0,1,2,1,1,1,2,0,1,0,1,0,1,2,1,2,1,1,1","elepahnt,condtiions,menas,colud,woresn,eovlved,isnects,pecrent,bewteen,bidrs,lrage,geoploitical,roguhly,capbale,dsiappear,platns,mihgt,becuase,arne’t,colud,plnats,,otfen,spraed,thier,betetr,resotring,caleld,ainmals,","p1,p3,p4,p5,p5,p6,p7,p7,p8,p10,p11,p11,p12,p13,p14,p15,p15,p17,p19,p21,p22,p22,p23,p24,p24,p25,p26,p27","19.743399999999905,96.32989999999991,114.3553999999999,148.12830000000028,149.40019999999973,168.83419999999973,199.17499999999953,214.57599999999954,253.04549999999952,315.8691999999997,364.8276999999997,378.54969999999975,394.32749999999953,449.38310000000007,477.65099999999956,514.7906,521.2396000000001,560.5174,601.2581000000001,645.5599999999995,662.2494999999996,665.2426999999997,679.8603999999999,736.4911000000001,745.0041999999997,800.0116999999997,823.8703999999999,909.4101","modeling,,archipelago’s,nonnative","p9,p23,p24","266.0076000000001,686.7888999999999,786.3938000000003","heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","1094517","0.0-5.0","","","25789.200000000186","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5d95dfca33f8930017e85486_1651690631795","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","1101879","0.0-6.0","","","7361.600000000559","While reading the article, how carefully did you pay attention?","","5d95dfca33f8930017e85486_1651690631795","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","heading","100","","","","","","","","","",""
"","html-slider-response","7","1108768","0.0-7.0","","","6887.700000000186","How well do you feel you understood the key points of the article?","","5d95dfca33f8930017e85486_1651690631795","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","heading","99","","","","","","","","","",""
"","html-slider-response","8","1118065","0.0-8.0","","","9295.699999999255","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5d95dfca33f8930017e85486_1651690631795","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","heading","100","","","","","","","","","",""
"","html-slider-response","9","1124746","0.0-9.0","","","6679.899999999441","How interesting did you find the topic of this article after the first few paragraphs?","","5d95dfca33f8930017e85486_1651690631795","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","heading","100","","","","","","","","","",""
