"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","13980","0.0-0.0","1536","864","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","30232","0.0-1.0","1536","864","16249.799999952316","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5dc2cbba034b451e7bd05f14_1651578616391","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","47719","0.0-2.0","","","17484.900000095367","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5dc2cbba034b451e7bd05f14_1651578616391","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","90249","0.0-3.0","","","42539.59999990463","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5dc2cbba034b451e7bd05f14_1651578616391","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","448199","0.0-4.0","","","357929.7000000477","","","5dc2cbba034b451e7bd05f14_1651578616391","test_trial","","","864","263478.40000009537","100","0","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","37.25559999990463,52.455400000095366,52.53859999990463,59.046,66.08670000004768,66.16979999995232,69.0235,77.24909999990463,77.34920000004769,78.634,85.54159999990463,86.30890000009536,86.39229999995231,93.28370000004769,93.91690000009537,94.0005,104.0285,111.55329999995232,111.65329999995231,112.25409999990464,117.50990000009537,121.14729999995231,121.23070000004769,125.469,132.00959999990462,132.10909999990463,133.07729999995232,139.0172000000477,139.117,140.16829999995232,142.3537000000477,145.708,145.80759999990462,153.3662999999523,159.03940000009536,159.13920000004768,164.21140000009538,169.06709999990463,171.01740000009536,171.11920000004767,174.65640000009537,181.51429999995233,181.61359999990464,183.18179999995232,184.0497999999523,184.15020000004768,191.39170000004768,195.39609999990464,196.04690000009538,196.14640000009535,215.75190000009536,216.33529999995233,216.43540000009537,217.42,219.97259999990465,220.07309999990463,224.2772999999523,225.045,226.36329999995232,226.4635,230.56820000004768,234.97279999995231,235.0565,236.40759999990462,241.6635,241.7637000000477,243.51520000004768,244.3332000000477,258.4647000000477,258.56509999990465,259.4325,264.7057999999523,264.7887999999523,267.12490000009535,267.9757999999523,268.0757999999523,278.12040000009534,279.25490000009535,283.6432999999523,283.74259999990466,284.7442999999523,287.04629999995234,287.1297999999523,291.08440000009534,297.8252000000477,297.9252000000477,302.94740000009534,310.6227000000477,316.11240000009536,316.1954000000954,321.05090000009534,325.456,325.5387999999523,326.2730999999046,331.7964000000954,331.8957999999523,334.9497000000477,343.8930999999046,344.4762999999523,344.57659999990466,464.2252999999523,464.2414000000954,464.2585,464.2752000000477,464.2915,464.3084000000954,464.32490000009534,464.34140000009535,464.3582999999523,464.3752999999523,464.3917999999523,464.4087999999523,464.42590000009534,475.77140000009535,475.7877999999523,475.8045,475.82140000009537,475.8375999999046,475.8545,475.8712999999523,475.8880999999046,475.90459999990463,475.9212000000477,478.55720000004766,478.5742000000477,478.59109999990466,478.60770000004766,478.62459999990466,478.6410999999046,478.658,478.6742999999523,478.69079999995233,478.70779999995233,482.5287999999523,482.56209999990466,482.58370000004766,482.5955999999046,482.6119000000954,482.6285,482.64529999995233,482.662,486.1997000000477,486.2325,486.2492999999523,486.26590000009537,486.2824000000954,486.29879999995234,486.31579999995233,486.333,486.34929999995234,488.3017999999523,488.3347000000477,488.368,488.3845,488.41859999990464,501.38240000009534,502.81779999995234,502.83440000009534,502.85090000009535,502.8672999999523,502.88440000009535,502.9012000000477,502.9175,502.9345,502.9512999999523,502.96790000009537,502.9845999999046,503.0014000000954,503.4015,503.43490000009535,503.45120000004766,503.4685,503.4852000000477,503.5017999999523,503.51870000004766,503.5352999999523,503.5519000000954,503.5684000000954,503.5849000000954,503.9185,503.9522000000477,503.96890000009535,503.98590000009534,504.0022999999523,504.019,504.0357000000477,504.0520999999046,504.069,504.08570000004767,504.1025,504.1192999999523,507.05559999990464,507.0887999999523,507.1057000000477,507.12240000009535,507.13890000009536,507.15570000004766,507.17220000004767,507.18920000004766,507.20640000009536,507.2225999999046,509.0277000000477,510.676,510.70959999990464,510.7265,510.74329999995234,510.75990000009534,510.77659999990465,510.79270000004766,510.8097999999523,511.37709999990466,511.39390000009536,511.4105,511.4275,511.44370000004767,511.4600999999046,511.47679999995233,511.4935,511.51029999995234,511.52729999995233,511.54409999990463,511.5612000000477,511.5772000000477,511.59390000009535,511.94440000009536,511.96090000009536,511.97790000009536,511.99470000004766,512.0109000000954,512.0279000000953,512.0440999999047,512.0610999999046,512.0772000000477,512.094,512.1110999999046,512.1277000000476,512.7987000000477,512.8119000000954,512.8285,512.8454000000954,512.8617999999523,512.8782999999523,512.8947999999523,512.9122999999523,512.9287999999523,512.9455,512.9620999999046,512.9785999999046,513.4795,513.4964000000954,513.5129000000953,513.5292000000477,513.5462999999523,513.5624000000954,513.5795,513.5962000000477,513.6124000000954,513.6292999999523,513.6462999999524","-94414.04439995241,15.199800000190734,0.08319999980926696,6.507400000095366,7.040700000047686,0.08309999990463268,2.853700000047681,8.225599999904631,0.10010000014305831,1.2847999999523125,6.907599999904633,0.7673000001907297,0.08339999985695101,6.8914000000953735,0.6332000000476796,0.08359999990463507,10.027999999999992,7.524799999952322,0.09999999999999432,0.6007999999523292,5.255800000190732,3.637399999856939,0.08340000009538073,4.238299999952304,6.540599999904629,0.09950000000000614,0.9682000000476876,5.939900000095378,0.09979999995229605,1.0512999999523345,2.1854000000953704,3.3542999999523033,0.0995999999046262,7.558700000047679,5.673100000143052,0.09979999995232447,5.072200000047701,4.8556999998092465,1.9503000001907367,0.1017999999523056,3.5372000000477044,6.857899999856954,0.09929999995230787,1.568200000047682,0.867999999999995,0.10040000009536243,7.241500000000002,4.0043999998569575,0.6508000001907419,0.09949999999997772,19.605500000000006,0.5833999998569652,0.1001000001430441,0.9845999999046171,2.5525999999046576,0.10049999999998249,4.204200000047678,0.7677000000476824,1.3182999999523304,0.10020000004769258,4.104700000047671,4.404599999904633,0.08370000004768485,1.3510999999046192,5.25590000009538,0.10020000004769258,1.751499999999993,0.818000000000012,14.131499999999988,0.10039999985696113,0.8674000000953583,5.2732999999523145,0.08299999999996999,2.3361000001430625,0.8508999998569493,0.10000000000002274,10.04460000014302,1.1345000000000027,4.388399999856972,0.0992999999523363,1.0017000000476628,2.302000000000021,0.08349999999995816,3.9546000001430457,6.740799999952344,0.10000000000002274,5.022200000047633,7.675299999952358,5.489700000047662,0.08300000000002683,4.8554999999999495,4.405099999904678,0.08279999995227172,0.7342999999523272,5.523300000190773,0.09939999985692793,3.053900000095382,8.943399999856922,0.5832000000476683,0.10029999995236949,119.64870000004765,0.016100000143069337,0.017099999904644392,0.016700000047649155,0.016299999952309463,0.016900000095404266,0.016499999999950887,0.01650000000000773,0.016899999856946124,0.016999999999995907,0.01650000000000773,0.016999999999995907,0.01710000014304569,11.345500000000015,0.016399999856957947,0.016700000047706,0.016900000095347423,0.01619999980925968,0.016900000095347423,0.016799999952354483,0.01679999995229764,0.01650000000000773,0.016600000143057514,2.6359999999999673,0.01700000000005275,0.016899999856946124,0.01660000014300067,0.016899999857002967,0.016499999999950887,0.016900000095404266,0.016299999952309463,0.01650000000000773,0.016999999999995907,3.8209999999999695,0.033299999952362214,0.021600000142996123,0.011899999856950672,0.016300000190767605,0.016599999904599372,0.016799999952354483,0.016700000047649155,3.537700000047721,0.032799999952317194,0.01679999995229764,0.016600000143057514,0.01650000000000773,0.016399999856957947,0.016999999999995907,0.017200000047694175,0.016299999952309463,1.9524999999999864,0.03290000009536698,0.03329999995230537,0.01650000000000773,0.0340999999046403,12.963800000190702,1.4353999998569975,0.01660000014300067,0.01650000000000773,0.016399999856957947,0.01710000014304569,0.016799999952354483,0.016299999952309463,0.016999999999995907,0.01679999995229764,0.016600000143057514,0.016699999809247856,0.01680000019075578,0.40009999990462575,0.03340000009535515,0.016299999952309463,0.01729999995234266,0.016700000047706,0.016599999904599372,0.016900000095347423,0.016599999904656215,0.016600000143057514,0.01650000000000773,0.01650000000000773,0.33359999990460665,0.033700000047701906,0.016700000047649155,0.016999999999995907,0.016399999856957947,0.016700000047706,0.016700000047706,0.016399999856901104,0.016900000095404266,0.016700000047649155,0.016799999952354483,0.01679999995229764,2.9362999999523254,0.033200000047656886,0.016900000095404266,0.016700000047649155,0.01650000000000773,0.01679999995229764,0.01650000000000773,0.016999999999995907,0.017200000047694175,0.01619999980925968,1.8051000001430566,1.6482999999523145,0.03359999990465212,0.016900000095347423,0.016799999952354483,0.01660000014300067,0.0166999998093047,0.016100000143012494,0.017099999904644392,0.567299999952354,0.016800000190698938,0.016599999904656215,0.016999999999995907,0.01620000004766098,0.016399999856957947,0.016700000047706,0.016700000047649155,0.016799999952354483,0.016999999999995907,0.01679999995229764,0.01710000014304569,0.016000000000019554,0.016700000047649155,0.3505000000000109,0.01650000000000773,0.016999999999995907,0.01679999995229764,0.016200000047717822,0.016999999999939064,0.016199999809373367,0.016999999999939064,0.016100000143069337,0.016799999952354483,0.017099999904530705,0.016600000143057514,0.6710000000000491,0.013200000047731919,0.01659999990454253,0.01690000009546111,0.01639999985684426,0.016500000000064574,0.016499999999950887,0.017500000000040927,0.016499999999950887,0.016700000047762842,0.01659999990454253,0.016500000000064574,0.5009000000953847,0.016900000095347423,0.016499999999950887,0.016299999952366306,0.017099999904644392,0.016100000143069337,0.017099999904644392,0.016700000047649155,0.01620000004766098,0.016899999856946124,0.01700000000005275","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,1,2,3,5,7,10,14,17,20,22,23,24,25,27,29,32,36,40,43,45,47,48,49,51,53,56,59,62,65,68,70,71,72,73,75,76,78,80,82,83,84,85,86,88,89,91,93,94,95,96,97,98,99,100,0,1,2,3,4,7,9,12,15,18,20,21,22,23,24,26,28,31,34,37,40,42,44,45,46,48,49,51,53,55,57,60,62,64,66,67,68,69,72,75,80,85,91,95,98,100,0,1,3,4,6,7,9,10,11,12,13,14,15,17,19,21,23,26,28,30,32,33,34,35,36,38,40,42,44,46,49,51,53,55,56,57,58,59,61,63,66,69,72,74,76,78,79,80,81,83,85,88,91,94,96,98,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p9)(p10),(p9)(p10)(p11),(p9)(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p12),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(p16),(p14)(p15)(p16),(p15)(p16),(p15)(p16),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17),(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p18)(p19)(p20),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","","0,5,8,12,16,18,21,25,28,32,36,41,47,51,55,60,62,67,68,71,74,76,79,84,87,91,96","anmial,signle,picners,thier,araes,thier,becasue,speices,mililons,insetcs,snga.,bteween,fniely,advanecd,sedes,tciks,petss,cuold,whcih,palnts,threateend,sedes,ecloogy,ecsoystems,ntaive,ainmals,benig,self-ssutaining,colud,envirnoment,natvie,tehir,betetr,vlaue,reevrsing,stlits,wloves’,palnts,alwyas","80,50,43,38,32,23,18,16,21,28,30,39,17,14,59,73,76,63,59,25,33,75,30,14,36,10,14,9,35,42,58,51,34,15,60,37,59,37,22","2,1,2,1,2,1,2,2,1,1,2,2,1,1,1,1,1,0,2,2,1,1,2,1,2,2,2","1,1,1,1,0,0,2,2,0,1,2,1,1,1,0,0,0,0,2,2,1,0,2,1,1,2,2","signle,picners,thier,thier,insetcs,snga.,fniely,bteween,sedes,tciks,petss,cuold,palnts,threateend,ainmals,ntaive,self-ssutaining,benig,colud,tehir,natvie,betetr,vlaue,stlits,wloves’,alwyas,palnts","p1,p2,p3,p4,p7,p7,p8,p8,p10,p11,p11,p12,p13,p14,p19,p19,p20,p20,p21,p23,p23,p24,p25,p26,p26,p27,p27","16.4965,45.65179999995232,61.37609999990463,71.774,102.05029999995232,102.64220000004768,116.69579999995231,119.574,144.8697000000477,162.4115,163.1797000000477,173.99340000009536,189.348,212.64390000009536,250.366,253.76009999990464,263.0415,264.1035,276.542,296.5357999999523,299.097,310.004,315.24670000004767,333.4017000000477,337.24379999995233,351.73,355.2777000000477","","","","no_heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","470390","0.0-5.0","","","22185.900000095367","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5dc2cbba034b451e7bd05f14_1651578616391","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","475897","0.0-6.0","","","5505.599999904633","While reading the article, how carefully did you pay attention?","","5dc2cbba034b451e7bd05f14_1651578616391","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","no_heading","94","","","","","","","","","",""
"","html-slider-response","7","480105","0.0-7.0","","","4206.599999904633","How well do you feel you understood the key points of the article?","","5dc2cbba034b451e7bd05f14_1651578616391","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","no_heading","100","","","","","","","","","",""
"","html-slider-response","8","488503","0.0-8.0","","","8396.400000095367","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5dc2cbba034b451e7bd05f14_1651578616391","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","no_heading","47","","","","","","","","","",""
"","html-slider-response","9","493529","0.0-9.0","","","5025.900000095367","How interesting did you find the topic of this article after the first few paragraphs?","","5dc2cbba034b451e7bd05f14_1651578616391","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","no_heading","77","","","","","","","","","",""
