"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","12589","0.0-0.0","1920","1080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","17010","0.0-1.0","1920","1080","4416.700000047684","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5dea7a7df87f5519e686ff7b_1651598221209","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","25168","0.0-2.0","","","8152.700000047684","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5dea7a7df87f5519e686ff7b_1651598221209","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","67998","0.0-3.0","","","42827.90000009537","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5dea7a7df87f5519e686ff7b_1651598221209","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","457286","0.0-4.0","","","389275","","","5dea7a7df87f5519e686ff7b_1651598221209","test_trial","","","1080","315947","100","0","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","37.02159999990463,37.10429999995232,37.338,37.988200000047684,38.12139999985695,38.28809999990463,38.521399999856946,54.31059999990463,54.47739999985695,54.69409999990463,67.21570000004769,67.33220000004768,67.41539999985694,67.49889999985695,76.67379999995232,76.93620000004768,77.06989999985694,77.31970000004769,96.38070000004768,96.49720000004768,96.63059999990463,96.86029999995232,120.25289999985695,120.95239999985695,122.83629999995232,137.22509999990464,137.3272000000477,137.41029999995231,137.5085,137.62529999995232,149.94639999985694,149.97970000004767,150.02959999990463,153.53109999990463,153.66459999990462,153.74779999995232,153.8312999999523,170.7207999999523,170.8707999999523,171.65459999990463,171.87120000004768,186.29359999990464,191.145,191.2447999999523,191.29489999985694,191.37839999985695,191.51159999990463,192.16239999985694,213.93739999985695,214.037,214.15370000004768,214.30389999985695,224.95759999990463,225.09089999985696,225.37479999995233,225.54139999985694,225.74139999985695,241.84729999995233,241.9305,242.06379999995232,242.1807999999523,242.2975,242.5975,254.085,254.35209999990462,254.5187999999523,261.03789999985696,261.2042999999523,267.30009999990466,267.4232000000477,267.5735999999046,267.757,286.7977000000477,290.83239999985693,290.9157000000477,305.071,305.17089999985694,305.2377999999523,305.3042000000477,305.3712000000477,305.6045,314.42470000004766,314.50779999995234,314.64120000004766,330.34679999995234,330.44670000004766,330.53039999985697,330.66359999990465,330.73020000004766,338.18329999995234,338.2830999999046,338.4665,349.85470000004767,349.98759999990466,353.0052000000477,353.1222999999523,364.6430999999046,364.8265,375.4967999999523,375.59679999995234,522.5215,522.5350999999047,522.5520999999046,522.5687999999523,522.5857000000477,522.6027000000477,522.6185,522.634899999857,522.6515999999046,522.6692000000477,522.6863999998569,553.9802000000477,553.9965999999047,554.0132000000477,554.03,554.0465999999046,554.0632999999523,554.0802999999523,554.097,554.1133999998569,554.129899999857,554.1465999999047,554.1632999999523,554.18,554.1967000000477,554.2132999999524,554.23,554.2467999999524,554.2633999998569,554.2802999999523,554.2967000000477,554.313399999857,554.3300999999046,554.3467000000477,554.3633999998569,554.3812999999523,554.3978999998569,554.4315999999046,556.8815,556.898,556.9147000000477,556.9312999999523,556.9477999999523,556.9645,556.9812000000477,556.998,557.0145999999046,557.0478999998569,557.0645999999047,557.0812000000477,557.097899999857,557.1148999998569,557.1315,557.1478999998569,557.1647000000477,557.1813999998569,557.198,564.4595,564.4680999999047,564.4852999999523,564.5022000000477,564.5187000000477,564.5352999999524,564.5525,564.5850999999046","-73290.9784000001,0.08270000004768718,0.23370000004768343,0.6502000000476826,0.1331999998092641,0.16670000004768326,0.23329999995231532,15.789200000047686,0.16679999995231753,0.21670000004768042,12.52160000014306,0.11649999999998784,0.08319999980926696,0.0835000000000008,9.174900000095377,0.26240000009535436,0.1336999998092665,0.24980000019074566,19.060999999999993,0.11650000000000205,0.13339999985694817,0.22970000004768565,23.392599999904633,0.6995000000000005,1.883900000095366,14.388799999952326,0.10210000014305365,0.08309999990461847,0.09820000004768303,0.11679999995232038,12.321099999904618,0.03330000019073509,0.049899999856961585,3.501499999999993,0.13349999999999795,0.08320000004769668,0.08349999999998658,16.889499999999998,0.15000000000000568,0.783799999952322,0.21660000014304615,14.422399999856964,4.851400000095367,0.09979999995229605,0.05009999990463143,0.083500000000015,0.13320000004767962,0.6507999999523122,21.775000000000006,0.09960000014305592,0.11670000004767189,0.15019999980927423,10.653700000047678,0.1332999999523281,0.28390000009537175,0.16659999990460506,0.20000000000001705,16.105900000095374,0.08320000004766825,0.1332999999523281,0.11699999999999022,0.11670000004770031,0.29999999999998295,11.487500000000011,0.26709999990461597,0.16670000004768326,6.519099999904654,0.1664000000953365,6.095799999952362,0.12310000014304023,0.15039999985691566,0.18340000009538926,19.040700000047707,4.03469999980922,0.08330000019077488,14.15529999995232,0.09989999985691611,0.06690000009535879,0.06640000009537061,0.06700000000000728,0.233299999952294,8.820200000047691,0.08309999990467531,0.13340000009532105,15.705599999904678,0.09990000009531741,0.08369999980931198,0.13320000004767962,0.06660000014301204,7.45309999990468,0.09979999995226763,0.18340000009538926,11.388200000047675,0.13289999985698842,3.017600000143034,0.11709999990461029,11.520799999952317,0.18340000009538926,10.670299999952306,0.10000000000002274,146.9247000000476,0.013599999904727156,0.016999999999939064,0.016700000047649155,0.01690000009546111,0.016999999999939064,0.01579999995237813,0.016399999856957947,0.016700000047649155,0.017600000143033867,0.017199999809236033,31.2938000001908,0.016399999856957947,0.016600000143057514,0.016799999952240796,0.016599999904656215,0.016700000047649155,0.01700000000005275,0.016700000047649155,0.016399999856957947,0.016500000000064574,0.016700000047649155,0.016700000047649155,0.016700000047649155,0.016700000047762842,0.016599999904656215,0.016700000047649155,0.016799999952354483,0.01659999990454253,0.016900000095347423,0.016400000095472933,0.016699999809247856,0.016700000047649155,0.016600000143057514,0.016699999809247856,0.017900000095323776,0.016599999904656215,0.033700000047701906,2.44990000009534,0.016500000000064574,0.016700000047649155,0.016599999904656215,0.016499999999950887,0.016700000047762842,0.016700000047649155,0.016799999952354483,0.01659999990454253,0.03329999995230537,0.016700000047762842,0.016600000143057514,0.016699999809247856,0.016999999999939064,0.016600000143057514,0.016399999856957947,0.01680000019075578,0.016699999809247856,0.016600000143057514,7.261500000000069,0.008599999904618016,0.01720000004763733,0.016900000095347423,0.016500000000064574,0.016599999904656215,0.01720000004763733,0.032599999904618926","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,1,2,4,5,7,10,11,13,14,15,16,17,18,20,22,24,26,27,29,30,31,33,35,37,39,40,42,44,46,48,50,52,54,56,57,58,59,60,61,62,64,66,68,70,72,73,74,75,76,78,80,82,84,85,87,88,90,91,92,94,96,97,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p9)(p10),(p9)(p10)(p11),(p9)(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p12),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(p16),(p14)(p15)(p16),(p15)(p16),(p15)(p16),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17),(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p18)(p19)(p20),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","","0,5,8,12,16,18,21,25,28,32,36,41,47,51,55,60,62,67,68,71,74,76,79,84,87,91,96","kilomeetrs,tusekd,digetsive,extrmee,plnat,loisng,sepcies,speceis,erosoin,aruond,porfound,dsicovered,sedes,fihsing,kilmoeters,wihch,plnats,disappear.,bidrs,threateend,lrage,carry,eoclogy,liimt,trees,hadrer,itnroduced,teres,porcess,lbaeled,plnats,arrivlas,probelm,ecsoystem,bteter,sitll,revesring,three,cna’t,speices.","62,40,10,18,44,22,16,31,15,48,11,36,59,66,27,101,25,35,29,33,27,73,30,57,62,13,43,31,10,22,25,22,48,11,34,68,60,9,21,9","1,2,2,1,1,2,1,1,1,1,2,1,2,2,2,1,2,0,2,2,1,2,1,2,2,1,2","0,1,2,1,0,2,1,1,0,1,1,0,1,2,1,0,0,0,0,1,1,1,0,1,2,1,2","tusekd,extrmee,plnat,loisng,erosoin,speceis,aruond,porfound,sedes,fihsing,plnats,bidrs,threateend,lrage,teres,lbaeled,arrivlas,bteter,revesring,sitll,three,speices.,cna’t","p2,p3,p3,p4,p6,p6,p7,p8,p10,p11,p13,p14,p14,p15,p20,p21,p22,p24,p25,p25,p26,p27,p27","30.8575,42.76079999995232,47.942,59.43259999990463,81.1355,85.91679999995232,99.60479999995232,107.86479999995231,152.25470000004768,168.79309999990463,201.13639999985696,220.4825,221.49739999985695,232.14270000004768,296.9707999999523,302.11439999985697,309.3007000000477,336.94889999985696,350.9487999999523,354.49039999985695,360.58889999985695,380.9405,384.03439999985693","","","","no_heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","475094","0.0-5.0","","","17800.299999952316","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5dea7a7df87f5519e686ff7b_1651598221209","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","478906","0.0-6.0","","","3810.5","While reading the article, how carefully did you pay attention?","","5dea7a7df87f5519e686ff7b_1651598221209","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","no_heading","100","","","","","","","","","",""
"","html-slider-response","7","482285","0.0-7.0","","","3376.9000000953674","How well do you feel you understood the key points of the article?","","5dea7a7df87f5519e686ff7b_1651598221209","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","no_heading","93","","","","","","","","","",""
"","html-slider-response","8","488362","0.0-8.0","","","6075.800000190735","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5dea7a7df87f5519e686ff7b_1651598221209","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","no_heading","44","","","","","","","","","",""
"","html-slider-response","9","493049","0.0-9.0","","","4685.300000190735","How interesting did you find the topic of this article after the first few paragraphs?","","5dea7a7df87f5519e686ff7b_1651598221209","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","no_heading","75","","","","","","","","","",""
