"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","16216","0.0-0.0","1920","1080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","27692","0.0-1.0","1920","1080","11473.199999999255","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5e5e0838e9e2ca119aff9e9b_1651655189047","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","48723","0.0-2.0","","","21032.800000000745","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5e5e0838e9e2ca119aff9e9b_1651655189047","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","100344","0.0-3.0","","","51620.199999999255","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5e5e0838e9e2ca119aff9e9b_1651655189047","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","717581","0.0-4.0","","","617174.8000000007","","","5e5e0838e9e2ca119aff9e9b_1651655189047","test_trial","","","1080","512864.6000000015","64","6","down,down,down,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,up,down,down,down,down,down,down,up,up,up,up,up,up,down,down,down,down,down,down","31.783800000000745,54.74839999999851,55.45469999999926,56.352599999997764,56.48289999999851,56.645,67.00139999999851,68.87630000000074,69.29209999999776,95.73769999999925,101.18989999999852,122.7445,127.63080000000075,144.12730000000076,144.53569999999925,157.4353999999985,158.12059999999775,180.22259999999775,187.52059999999776,200.41169999999926,200.90530000000075,223.60709999999776,223.97030000000075,255.19869999999926,255.6338999999985,272.37709999999777,291.18669999999923,308.70030000000077,324.1678999999985,324.52259999999774,325.35639999999853,338.1700999999978,338.75780000000077,339.8805,339.9603999999985,340.2915,350.9713999999985,351.4685,367.3718999999985,367.8436999999993,390.34230000000076,397.9163000000007,399.309,408.0433999999985,419.12680000000074,429.385,435.88119999999924,437.12569999999926,454.89730000000077,466.35180000000076,471.966,473.21980000000076,474.38459999999776,485.438,495.66859999999775,503.051,516.1713000000008,525.7603000000007,526.489,540.5416999999993,544.0356999999992,567.8828000000008,568.0365,597.3120999999977,770.5728999999985,771.581,804.5276999999993,805.5950999999977,809.9623000000007,816.611,825.5400999999978,827.2445,827.3218999999985,827.382,827.48,827.8098000000008,827.8458000000007,831.5680999999978,831.627,831.6740999999978,831.7938999999985,831.9938999999985,832.3228999999985,833.3815999999978,833.4060999999978,833.4168999999985,833.453,833.4708999999986,833.7790999999978","-104278.41619999925,22.964599999997766,0.7063000000007449,0.8978999999985078,0.13030000000074438,0.1621000000014945,10.356399999998509,1.8749000000022278,0.4157999999970201,26.44560000000149,5.452199999999266,21.554600000001486,4.886300000000745,16.49650000000001,0.40839999999849397,12.899699999999257,0.6851999999992415,22.102000000000004,7.298000000000002,12.8911000000015,0.49360000000149284,22.701799999997007,0.36320000000299046,31.228399999998516,0.4351999999992415,16.743199999999263,18.809600000001467,17.51360000000153,15.46759999999773,0.35469999999924084,0.8338000000007924,12.813699999999244,0.5877000000029966,1.122699999999213,0.07989999999853126,0.3311000000014701,10.679899999998497,0.49710000000152377,15.903399999998499,0.47180000000076916,22.49860000000149,7.573999999999955,1.3926999999993086,8.734399999998459,11.083400000002257,10.258199999999249,6.496199999999249,1.2445000000000164,17.771600000001513,11.454499999999996,5.614199999999244,1.2538000000007514,1.1647999999970011,11.053400000002227,10.230599999997764,7.382400000002235,13.120300000000782,9.588999999999942,0.7286999999993213,14.052699999999277,3.4939999999999145,23.847100000001547,0.15369999999927586,29.275599999997667,173.2608000000008,1.008100000001491,32.94669999999928,1.067399999998429,4.367200000002981,6.64869999999928,8.929099999997788,1.704400000002238,0.07739999999853353,0.06010000000139826,0.09800000000007003,0.32980000000077325,0.03599999999994452,3.7222999999970625,0.05890000000215423,0.047099999997840314,0.11980000000073687,0.1999999999999318,0.3290000000000646,1.0586999999992486,0.024499999999989086,0.010800000000699583,0.036100000001511034,0.017899999998576277,0.3081999999992604","2,4,6,4,2,0,2,4,6,8,10,12,14,16,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,48,47,45,47,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,74,76,78,79,81,83,85,87,89,91,93,95,97,99,100,19,38,57,76,95,100,0,18,35,53,71,89,100,82,65,47,29,11,0,18,35,53,71,89,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p1),(p2)(p3)(p1),(p2)(p3)(p1),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p4)(p5)(p6),(p4)(p5)(p6),(p5)(p6)(p7),(p5)(p6)(p7),(p6)(p7)(p8),(p6)(p7)(p8),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p9)(p10)(p11),(p9)(p10)(p11),(p10)(p11),(p10)(p11),(p11)(p12),(p11)(p12),(p12)(p13),(p12)(p13),(p12)(p13),(p13)(p14),(p13)(p12),(p13)(p12),(p13)(p12),(p13)(p14),(p13)(p14),(p13)(p14),(p14)(p15),(p14)(p15),(p14)(p15)(p16),(p15)(p16),(p15)(p16)(p17),(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21)(p22),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p20)(p21)(p22),(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p25)(p26),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,","","0,5,8,12,16,18,21,25,28,32,36,41,46,51,55,60,62,67,68,71,74,76,79,84,87,91,96","itnimate,mulitple,kilometres,clmiate,tehir,thier,hadrer,loop:,bewteen,aronud,fweer,fruit-lovnig,impcat,palnts,willdife,petss,watres,rouhgly,incresaed,anmials,wolrd,wev’e,easetrn,lvied,toelrate,cliamte,,tedns,ilsand,speices,natvie,invasiev,,thier,eovlve,wrties.,whree,someitmes,disperesrs,sitll,ltitle,alwyas,thrvies","45,60,50,35,48,23,36,10,30,48,24,30,21,50,51,76,53,21,40,34,65,24,10,57,13,16,55,32,29,42,23,27,54,46,12,23,66,68,102,22,28","1,1,2,2,2,1,2,1,2,1,2,2,2,1,2,2,1,0,1,1,2,1,2,2,2,1,2","1,0,1,2,0,0,2,1,1,0,2,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1","itnimate,clmiate,thier,tehir,fweer,aronud,fruit-lovnig,palnts,watres,petss,anmials,easetrn,toelrate,tedns,ilsand,speices,invasiev,,wrties.,whree,disperesrs,ltitle,thrvies","p1,p3,p4,p4,p7,p7,p8,p9,p11,p11,p13,p15,p16,p17,p19,p20,p21,p23,p24,p25,p26,p27","19.8715,83.93569999999926,114.37989999999851,121.5835,166.38480000000075,172.90159999999776,197.29789999999852,216.25730000000075,278.03109999999776,289.03969999999924,337.56230000000073,375.59359999999776,404.05669999999924,422.84930000000077,445.61980000000074,464.3628999999985,482.2748999999985,515.6858000000008,532.2078999999985,567.2330999999978,599.6383999999985,609.7151999999993","mackerel","p11","271.47609999999776","no_heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","736229","0.0-5.0","","","18641.400000002235","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5e5e0838e9e2ca119aff9e9b_1651655189047","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","742989","0.0-6.0","","","6757.800000000745","While reading the article, how carefully did you pay attention?","","5e5e0838e9e2ca119aff9e9b_1651655189047","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","no_heading","95","","","","","","","","","",""
"","html-slider-response","7","746962","0.0-7.0","","","3968.10000000149","How well do you feel you understood the key points of the article?","","5e5e0838e9e2ca119aff9e9b_1651655189047","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","no_heading","100","","","","","","","","","",""
"","html-slider-response","8","754393","0.0-8.0","","","7429.699999999255","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5e5e0838e9e2ca119aff9e9b_1651655189047","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","no_heading","100","","","","","","","","","",""
"","html-slider-response","9","759714","0.0-9.0","","","5318.699999999255","How interesting did you find the topic of this article after the first few paragraphs?","","5e5e0838e9e2ca119aff9e9b_1651655189047","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","no_heading","100","","","","","","","","","",""
