"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response"
"true","fullscreen","0","63122","0.0-0.0","1366","768","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","67758","0.0-1.0","1366","768","4630.899999999907","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5eaadc0a7adeb404eea9c3c0_1651690902902","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","107957","0.0-2.0","","","40204.89999999991","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5eaadc0a7adeb404eea9c3c0_1651690902902","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","166137","0.0-3.0","","","58176.80000000005","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5eaadc0a7adeb404eea9c3c0_1651690902902","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","672585","0.0-4.0","","","506362.19999999995","","","5eaadc0a7adeb404eea9c3c0_1651690902902","test_trial","","","768","336828.09999999986","110","5","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","46.3135,46.497,46.663,46.68,46.928800000000045,81.6356000000001,83.8531000000001,84.1695,84.65369999999996,100.99,101.23830000000005,101.32169999999995,101.5403999999999,101.92289999999991,110.45839999999991,124.41089999999991,124.91,125.443,132.3285,145.91480000000004,146.16480000000004,146.44780000000006,146.59630000000004,147.0143999999999,149.9148999999999,156.64969999999997,157.46669999999995,166.118,166.33460000000008,166.80080000000004,170.81680000000006,208.25969999999995,208.35889999999992,208.492,208.6921000000001,208.8593999999999,208.99280000000005,209.3096000000001,209.59230000000005,209.842,253.1503999999999,253.31660000000008,253.38280000000006,253.5998999999999,253.734,253.9008999999999,254.0003999999999,254.0835,254.4495,288.30680000000007,288.4735,288.7565,288.9555,289.0055,289.0721000000001,289.14,305.4761000000001,305.626,305.70969999999994,305.91030000000006,306.4426000000001,308.37669999999997,313.9448999999999,314.794,315.1283999999999,315.5608999999999,315.8451000000001,320.5951000000001,320.894,321.0623999999999,321.31280000000004,330.2976000000001,330.4988000000001,330.7305,331.014,331.164,333.27930000000003,338.4666000000001,343.4007,345.4172,368.3218999999999,368.9211000000001,369.1723999999999,370.9383,394.8262,395.30980000000005,395.56,395.8758999999999,396.0265,396.4942,398.69319999999993,398.7765,398.8263999999999,399.8938999999999,400.5771000000001,401.2933999999999,402.0445,402.4261000000001,409.2958999999999,413.77969999999993,415.1133999999999,418.28169999999994,426.3321000000001,426.8812,457.1381999999999,457.36969999999997,457.58719999999994,457.6378999999999,457.8535,457.9038999999999","-169487.7865000001,0.18350000000000222,0.16599999999999682,0.017000000000003013,0.24880000000004543,34.70680000000005,2.217500000000001,0.3163999999999021,0.48419999999995866,16.336300000000037,0.24830000000005725,0.083399999999898,0.2186999999999557,0.3825000000000074,8.535499999999999,13.9525,0.4991000000000838,0.5330000000000013,6.885499999999993,13.586300000000051,0.25,0.28300000000001546,0.1484999999999843,0.4180999999998676,2.900499999999994,6.734800000000064,0.8169999999999789,8.651300000000049,0.21660000000008495,0.466199999999958,4.0160000000000196,37.442899999999895,0.09919999999996776,0.13310000000006994,0.20010000000010564,0.1672999999998126,0.13340000000013674,0.3168000000000575,0.28269999999994866,0.24969999999996162,43.30839999999989,0.166200000000174,0.06619999999998072,0.21709999999984575,0.13410000000010314,0.16689999999988459,0.09950000000000614,0.083100000000087,0.36600000000001387,33.857300000000066,0.1666999999999348,0.28300000000001546,0.19899999999995543,0.05000000000001137,0.06660000000010768,0.06789999999989504,16.3361000000001,0.14989999999988868,0.0836999999999648,0.20060000000012224,0.5323000000000206,1.9340999999998871,5.568199999999933,0.8491000000000781,0.3343999999999028,0.43250000000000455,0.2842000000002258,4.75,0.2988999999998896,0.16839999999990596,0.25040000000012697,8.984800000000064,0.20119999999997162,0.23169999999993252,0.28350000000000364,0.14999999999997726,2.1153000000000475,5.18730000000005,4.934099999999887,2.0165000000000077,22.904699999999934,0.5992000000001667,0.2512999999998442,1.7659000000001015,23.887899999999945,0.48360000000008085,0.2501999999999498,0.3158999999998855,0.15060000000011087,0.46769999999997935,2.1989999999999554,0.08330000000006521,0.049899999999922784,1.0674999999999955,0.6832000000001699,0.7162999999998192,0.7511000000001218,0.38160000000004857,6.869799999999827,4.483800000000031,1.3336999999999648,3.1683000000000447,8.050400000000138,0.5490999999998962,30.256999999999948,0.23150000000003956,0.21749999999997272,0.05069999999994934,0.2156000000001086,0.05039999999991096","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,59,60,61,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(p7),(p4)(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p9)(p10),(p9)(p10)(p11),(p9)(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(p16),(p14)(p15)(p16),(p14)(p15)(p16),(p15)(p16),(p15)(p16),(p15)(p16),(p15)(p16),(p15)(p16)(p17),(p15)(p16),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27)","","0,5,8,12,16,19,21,25,28,32,36,41,46,51,54,60,62,67,68,71,73,76,79,84,87,90,96","imperssive,stoamch,conidtions,becomnig,wosren,cnocern,mililons,pecrent,mammlas,evolevd,rleationships,uttelry,discovreed,reigons,otehr,movnig,fweer,sedes,according,porvided,ecloogy,caapble,hnuters,whree,clsoe,colud,tehir,archipelag’os,naitve,speceis,negatiev,,colud,palnting,effetcs,multipleis,","75,37,58,44,30,11,21,50,71,19,20,52,36,41,75,84,44,41,57,30,30,78,70,33,38,35,27,18,82,40,21,54,97,19,30","1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,1,2,0,1,1,1,1,2,2,1,1,2","1,0,1,1,1,1,0,2,2,0,1,1,1,0,0,1,2,0,1,0,0,0,1,2,1,1,1","imperssive,conidtions,becomnig,wosren,cnocern,evolevd,rleationships,discovreed,uttelry,otehr,movnig,fweer,ecloogy,hnuters,caapble,whree,naitve,negatiev,,speceis,colud,palnting,effetcs","p1,p3,p4,p5,p6,p8,p8,p9,p9,p11,p12,p13,p16,p17,p17,p19,p23,p24,p24,p25,p26,p27","44.68369999999995,99.23330000000004,120.33730000000004,135.20710000000008,140.3393999999999,175.0375,177.2111000000001,195.04519999999997,203.288,251.59689999999992,281.78219999999993,300.053,324.8395,349.3725,351.2773,379.8011000000001,423.3295,433.2471000000001,440.1501999999999,453.57069999999993,494.1681000000001,503.2078","symbiotic,are,centuries,mackerel,changing","p1,p2,p9,p11,p13","21.995199999999954,67.463,201.73569999999995,229.8243999999999,302.723","no_heading",""
"","jo-html-keyboard-response","5","685003","0.0-5.0","","","12403.699999999953","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5eaadc0a7adeb404eea9c3c0_1651690902902","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","692145","0.0-6.0","","","7138.5","While reading the article, how carefully did you pay attention?","","5eaadc0a7adeb404eea9c3c0_1651690902902","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","no_heading","74"
"","html-slider-response","7","696999","0.0-7.0","","","4852.300000000047","How well do you feel you understood the key points of the article?","","5eaadc0a7adeb404eea9c3c0_1651690902902","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","no_heading","61"
"","html-slider-response","8","707761","0.0-8.0","","","10760.800000000047","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5eaadc0a7adeb404eea9c3c0_1651690902902","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","no_heading","34"
"","html-slider-response","9","714215","0.0-9.0","","","6453.199999999953","How interesting did you find the topic of this article after the first few paragraphs?","","5eaadc0a7adeb404eea9c3c0_1651690902902","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","no_heading","30"
