"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","573869","0.0-0.0","1366","768","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","577955","0.0-1.0","1366","768","4081.2999999523163","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5ed3fdbdb6ee6f39f590e455_1651598273686","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","682234","0.0-2.0","","","104272.5","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5ed3fdbdb6ee6f39f590e455_1651598273686","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","727931","0.0-3.0","","","45694","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5ed3fdbdb6ee6f39f590e455_1651598273686","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","1229133","0.0-4.0","","","501131","","","5ed3fdbdb6ee6f39f590e455_1651598273686","test_trial","","","768","-229619.5","63","0","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down","74.50070000004769,75.11790000009536,105.72779999995231,120.5235,127.80259999990463,128.42079999995232,128.518,155.87720000004768,156.415,156.5035,181.16629999995232,181.6555,181.80509999990463,182.94390000009537,183.9767999999523,184.0235,184.12120000004768,213.84159999990464,240.6362000000477,240.80890000009538,241.22740000009537,263.9465,264.02820000004766,264.559,264.6119000000954,265.2405,292.79379999995234,293.04720000004767,308.8005,312.8197000000477,319.455,322.6837999999523,322.782,323.2865,323.3987999999523,323.97859999990465,324.1479000000954,324.7677000000477,362.11920000004767,362.21729999995233,376.532,376.636,377.1907000000477,377.302,397.981,398.13620000004767,410.40459999990463,411.0907999999523,411.638,428.081,428.2060999999046,428.72970000004767,428.80509999990466,428.8712999999523,429.6227000000477,455.51279999995234,456.14409999990465,468.1295,468.25890000009537,468.8392999999523,490.3374000000954,490.4100999999046,490.47609999990465,596.518,596.5684000000954,611.0189000000954,612.5679000000954,616.3762000000477,617.1534000000954,617.2682000000477,623.4742999999523","-730675.9992999999,0.6172000000476743,30.60989999985695,14.795700000047688,7.279099999904631,0.6182000000476933,0.09720000004767826,27.35920000004768,0.5377999999523126,0.08850000000001046,24.662799999952313,0.48920000004767417,0.14959999990463757,1.1388000001907415,1.0328999998569373,0.046700000047707135,0.09770000004766644,29.720399999856966,26.79460000014305,0.1727000000476835,0.41849999999999454,22.719099999904643,0.08170000004764688,0.5307999999523645,0.05290000009534879,0.6285999999046226,27.553299999952344,0.2534000000953256,15.753299999952333,4.019200000047704,6.635299999952281,3.2287999999523436,0.09820000004765461,0.5045000000000073,0.1122999999523131,0.5797999999523427,0.16930000019073077,0.6197999999523063,37.35149999999999,0.09809999990466167,14.314700000047651,0.10400000000004184,0.5547000000476601,0.11129999995233675,20.678999999999974,0.15520000004767098,12.268399999856967,0.6862000000476769,0.5472000000476669,16.44300000000004,0.12509999990459164,0.5236000001430625,0.07539999985698387,0.06620000004767235,0.7514000000953729,25.890099999904635,0.6312999999523186,11.985400000095353,0.1294000000953588,0.5803999998569225,21.498100000143097,0.07269999980923103,0.06600000000003092,106.04190000009538,0.05040000009535106,14.450500000000034,1.5489999999999782,3.8082999999522826,0.7772000000477419,0.11479999995231083,6.206099999904609","2,3,5,6,8,10,11,13,14,16,18,19,21,22,24,26,27,29,30,32,34,35,37,38,40,42,43,45,46,48,49,51,53,54,56,57,59,61,62,64,65,67,69,70,72,73,75,77,78,80,81,83,85,86,88,89,91,93,94,96,97,99,100,13,25,38,50,63,76,88,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p6)(p7)(p8),(p6)(p7)(p8),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p9)(p10),(p9)(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p11)(p12),(p11)(p12),(p11)(p12),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p14)(p15),(p14)(p15)(p16),(p15)(p16),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p19)(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),,,,,,,,","","0,5,8,12,16,18,21,25,28,32,36,40,46,51,55,60,62,67,68,71,74,76,79,84,87,90,96","furit,rouhgly,suggetss,strnaded,wosren,shuold,sepcies,fweer,bidrs,between,wrost,brids,enadngered,classiifed,tenisons,milse),cenutry,teres,had’nt,affliiated,eelphant-like,ca’nt,dangeruos,animlas,lagre,ilsand,wihtout,grownig,cuold,inovlved,palnts,,tehse,aern’t,rveersing,returinng,ltitle,bneefits","27,17,41,39,30,10,31,24,33,39,65,38,24,22,63,29,53,16,71,13,54,12,24,75,81,32,9,32,35,51,35,72,19,60,17,102,32","1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,2,2,0,2,1,1,2,1,1,2,1,1","1,0,1,1,1,1,1,0,2,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1","furit,suggetss,strnaded,wosren,sepcies,fweer,brids,wrost,enadngered,teres,eelphant-like,ca’nt,ilsand,tehse,bneefits","p1,p3,p4,p5,p6,p7,p9,p9,p10,p12,p15,p16,p19,p23,p27","26.049400000095368,93.875,123.7855,139.739,153.99109999990463,167.02620000004768,205.397,212.18429999995232,220.65209999990464,272.1537999999523,341.44170000004766,355.6430999999046,388.9775999999046,443.7990999999046,498.30009999990466","disappear.","p10","223.947","no_heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","1246716","0.0-5.0","","","17566.5","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5ed3fdbdb6ee6f39f590e455_1651598273686","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","1250047","0.0-6.0","","","3327.5999999046326","While reading the article, how carefully did you pay attention?","","5ed3fdbdb6ee6f39f590e455_1651598273686","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","no_heading","100","","","","","","","","","",""
"","html-slider-response","7","1253228","0.0-7.0","","","3177.7000000476837","How well do you feel you understood the key points of the article?","","5ed3fdbdb6ee6f39f590e455_1651598273686","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","no_heading","95","","","","","","","","","",""
"","html-slider-response","8","1260431","0.0-8.0","","","7199.100000143051","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5ed3fdbdb6ee6f39f590e455_1651598273686","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","no_heading","64","","","","","","","","","",""
"","html-slider-response","9","1264241","0.0-9.0","","","3806.5","How interesting did you find the topic of this article after the first few paragraphs?","","5ed3fdbdb6ee6f39f590e455_1651598273686","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","no_heading","94","","","","","","","","","",""
