"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","4202","0.0-0.0","1920","1080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","12135","0.0-1.0","1920","1080","7930","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5eeb8896266efb0bd7fa42a3_1651673680832","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","27661","0.0-2.0","","","15522.90000000596","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5eeb8896266efb0bd7fa42a3_1651673680832","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","73884","0.0-3.0","","","46222.10000000149","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5eeb8896266efb0bd7fa42a3_1651673680832","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","506416","0.0-4.0","","","432452.200000003","","","5eeb8896266efb0bd7fa42a3_1651673680832","test_trial","","","1080","353154.50000000745","253","75","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,up,up,up,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down","29.351900000005962,29.71760000000149,31.535,49.9695,50.38510000000149,63.88760000000149,69.36940000000597,69.61970000000298,70.93560000000149,71.76880000000448,84.9025,85.28570000000298,105.6871000000015,105.8361000000015,105.93670000000299,106.16970000000298,114.78720000000298,115.20290000000595,116.9695,117.38530000000448,140.90410000000148,141.0205,142.153,152.68880000000448,164.9885,165.68580000000446,167.88630000000447,177.12930000000446,178.05410000000148,178.28740000000596,178.65440000000595,179.3201000000015,179.60420000000298,180.32080000000448,180.83680000000447,182.48640000000597,183.25340000000597,184.17,196.87130000000448,197.63670000000297,198.821200000003,199.08780000000448,199.43730000000448,199.67080000000448,199.7546000000015,199.8381000000015,199.88730000000447,199.937700000003,199.97090000000597,200.03830000000448,200.18730000000448,200.23720000000299,200.30380000000446,200.33740000000597,200.36990000000597,200.4035,200.42020000000298,200.4535,200.487,200.5365,200.73730000000447,200.76980000000447,200.82110000000148,200.87160000000148,200.887,200.9365,200.953200000003,200.988200000003,201.0376000000015,201.054200000003,201.13680000000448,201.28720000000297,201.322,201.37160000000148,201.38730000000447,201.40470000000298,201.43740000000597,201.4545,201.47070000000298,201.50320000000298,201.53930000000446,201.55410000000148,201.60380000000447,201.63790000000597,201.70340000000596,201.80640000000597,201.96990000000596,202.02120000000298,202.07070000000297,202.104,202.12080000000446,202.15410000000148,202.18760000000148,202.22030000000447,202.25390000000596,202.28740000000596,202.35380000000447,202.43660000000148,202.66960000000148,202.72130000000448,202.77090000000595,202.8045,202.83690000000595,202.85390000000595,202.88690000000597,202.92170000000297,203.75440000000597,203.78820000000297,203.80390000000597,203.83680000000447,203.8701000000015,203.88780000000446,203.905,203.92230000000447,203.937700000003,203.95390000000597,203.97120000000297,203.9875,204.00470000000297,204.03780000000447,204.05340000000595,204.07,204.08740000000597,204.12040000000596,204.15340000000597,204.22040000000595,204.23670000000297,204.25420000000298,204.30370000000298,204.3206000000015,204.33740000000597,204.35360000000148,204.37090000000597,204.38710000000148,204.404,204.42030000000446,204.4375,204.45370000000298,204.47110000000148,204.503700000003,204.52060000000148,204.55310000000148,204.57030000000447,204.6875,204.72040000000595,204.75340000000597,204.78690000000597,204.82030000000447,204.83790000000596,204.85380000000447,204.87030000000448,204.8881000000015,204.904200000003,204.93730000000448,205.05780000000448,205.1211000000015,205.7036000000015,205.73730000000447,205.77090000000595,205.8035,205.82020000000298,205.8371000000015,205.85430000000446,205.87090000000597,205.88680000000448,205.92120000000298,206.02020000000297,206.30410000000148,206.37120000000297,206.40340000000597,206.4541000000015,206.48720000000299,206.62730000000448,206.9876000000015,207.25440000000597,207.2871000000015,207.321,207.37130000000448,207.5871000000015,207.77040000000596,207.82190000000597,207.8715,208.2881000000015,208.3535,211.52040000000596,211.62120000000297,215.17130000000446,215.90390000000596,226.755200000003,226.937,227.5221000000015,227.6546000000015,228.25420000000298,228.505,243.1055,245.55480000000446,247.47180000000446,247.822,249.23780000000448,252.604700000003,259.32280000000446,259.787700000003,260.68840000000597,277.824200000003,278.33790000000596,278.521900000006,279.806700000003,280.02290000000596,284.1055,290.7716000000015,291.5051000000015,293.7556000000015,306.7075,306.9895,307.989200000003,308.3215,308.60490000000596,320.5735,320.8061000000015,331.2895,331.4225,331.607,331.8238000000045,332.20610000000147,332.38980000000447,332.924,343.1911000000015,344.089400000006,344.6395,344.82280000000446,355.89030000000446,359.5566000000015,367.97490000000596,368.157200000003,369.60760000000147,382.3415,383.0403000000045,383.1231000000015,383.456900000006,383.657,383.92440000000596,384.024400000006,384.274,386.2911000000015,386.622900000006,386.657200000003,386.6731000000015,387.2568000000045,387.306700000003,387.3895,387.6571000000015,396.4753000000045,396.5743000000045,492.471,492.47480000000445,492.491200000003,492.5085,492.5255,492.54130000000447,492.55880000000445,492.575200000003,492.592200000003,492.6083000000045,492.6256000000015,492.657700000003,492.675200000003,492.69240000000593,516.276700000003,516.292,516.3088000000045,516.3257000000029,516.3426000000015,516.358900000006,516.3755,516.392700000003,516.408200000003,516.425,516.459400000006,516.474900000006,516.5248000000045,518.9752000000029,518.9923000000044,519.0085,519.0249000000059,519.041700000003,519.0583000000045,519.074900000006,519.091700000003,519.1097000000029,519.124700000003,519.1423000000045,519.159200000003,519.1918000000045,526.028700000003,526.041700000003,526.0586000000014,526.0755,526.0921000000014,535.279200000003,536.4436000000015,536.4586000000015,536.4759000000059,536.4925,536.5093000000045,536.5253000000044,536.541900000006,536.5589000000059,536.5757000000029,536.5926000000015,536.6092000000029,536.6261000000015,536.6426000000015","-79268.34809999552,0.3656999999955275,1.8173999999985107,18.434499999999996,0.415600000001497,13.502499999999998,5.481800000004476,0.25029999999701147,1.315899999998507,0.8332000000029893,13.133699999995528,0.3832000000029723,20.401399999998517,0.1490000000000009,0.10060000000149216,0.23299999999998988,8.617500000000007,0.41570000000297114,1.7665999999940425,0.4158000000044808,23.518799999997,0.1163999999985208,1.1324999999999932,10.535800000004485,12.29969999999551,0.6973000000044749,2.2005000000000052,9.242999999999995,0.9247999999970204,0.23330000000447626,0.3669999999999902,0.6656999999955531,0.28410000000147306,0.716600000001506,0.5159999999999911,1.6496000000014988,0.7669999999999959,0.9165999999940198,12.701300000004494,0.7653999999984933,1.184500000000014,0.266600000001489,0.34950000000000614,0.23349999999999227,0.08379999999701226,0.083500000000015,0.04920000000296909,0.0503999999985183,0.03320000000297796,0.0673999999985142,0.1490000000000009,0.0498999999985017,0.06660000000147193,0.03360000000151331,0.03249999999999886,0.0335999999940384,0.016700000002970228,0.03329999999701272,0.03350000000000364,0.04949999999999477,0.2008000000044774,0.03249999999999886,0.0512999999970134,0.050499999999999545,0.015399999998521707,0.04949999999999477,0.01670000000299865,0.03499999999999659,0.04939999999851352,0.01660000000148898,0.08260000000149148,0.1503999999984842,0.03479999999703409,0.04960000000147602,0.015700000002993875,0.017399999998502835,0.03270000000298978,0.017099999994030668,0.01620000000298205,0.03249999999999886,0.03610000000148261,0.01479999999702386,0.04970000000298569,0.034100000001501485,0.0654999999999859,0.10300000000000864,0.1634999999999991,0.0512999999970134,0.04949999999999477,0.03329999999704114,0.016800000004451476,0.03329999999701272,0.03350000000000364,0.03270000000298978,0.033600000001484887,0.03350000000000364,0.06639999999850943,0.08279999999700749,0.2330000000000041,0.05170000000299524,0.04960000000147602,0.0335999999940384,0.0324000000059641,0.016999999999995907,0.03300000000001546,0.03479999999700567,0.8327000000030012,0.033799999997000896,0.015700000002993875,0.03289999999850579,0.03329999999701272,0.017700000002975003,0.017199999995540338,0.017300000004468075,0.015399999998521707,0.01620000000298205,0.017299999996993165,0.016299999997045234,0.017200000002958404,0.03310000000149671,0.015600000001484204,0.01659999999404249,0.017400000005977745,0.03299999999998704,0.03300000000001546,0.06699999999997885,0.016299999997016812,0.017500000000012506,0.04949999999999477,0.01689999999851466,0.016800000004479898,0.01619999999550714,0.017300000004496496,0.01619999999550714,0.01689999999851466,0.0163000000044633,0.017199999995540338,0.01620000000298205,0.017399999998502835,0.03260000000150853,0.016899999998486237,0.03249999999999886,0.017200000002986826,0.11719999999553465,0.03290000000595228,0.03300000000001546,0.03350000000000364,0.03339999999849397,0.017600000001493754,0.015899999998509884,0.01650000000000773,0.017799999997009763,0.016100000001500803,0.03310000000149671,0.12049999999999272,0.06329999999701386,0.5825000000000102,0.033700000002966135,0.033600000001484887,0.032599999994062046,0.016700000002970228,0.01689999999851466,0.017200000002958404,0.0166000000015174,0.015899999998509884,0.03439999999849874,0.09899999999998954,0.28389999999851057,0.06710000000148852,0.032200000003001605,0.050699999995515554,0.03310000000149671,0.14010000000149603,0.3602999999970109,0.2668000000044799,0.03269999999551487,0.033899999998510566,0.050300000004483536,0.21579999999701727,0.1833000000044649,0.05150000000000432,0.04959999999402953,0.41660000000149466,0.06539999999850465,3.166900000005967,0.10079999999700817,3.5501000000014926,0.7326000000014972,10.851299999997025,0.18179999999702545,0.5851000000014892,0.13249999999999318,0.5996000000014874,0.25079999999701386,14.600500000000011,2.449300000004456,1.9170000000000016,0.35019999999553875,1.4158000000044808,3.366899999998509,6.718100000001471,0.46489999999852216,0.9007000000029848,17.135799999997005,0.5137000000029843,0.18400000000002592,1.2847999999970057,0.21620000000297068,4.082599999994045,6.6661000000015065,0.7334999999999923,2.250499999999988,12.951899999998489,0.2820000000000391,0.9997000000029743,0.3322999999970193,0.28340000000594046,11.968599999994069,0.23260000000146874,10.483399999998483,0.1330000000000382,0.1845000000000141,0.21680000000446853,0.38229999999697384,0.18370000000300024,0.5341999999955078,10.267100000001506,0.8983000000044967,0.5500999999940177,0.1833000000044649,11.067499999999995,3.6662999999970225,8.418300000004479,0.18229999999704205,1.4503999999984671,12.733899999998528,0.6988000000044963,0.08279999999700749,0.3338000000044872,0.20009999999399497,0.26740000000597774,0.10000000000002274,0.24959999999401816,2.0171000000015056,0.3318000000044776,0.034299999997017494,0.015899999998509884,0.5837000000029775,0.0498999999985017,0.08279999999700749,0.26760000000149375,8.818200000003003,0.09899999999998954,95.89669999999552,0.0038000000044462467,0.016399999998554904,0.017299999997021587,0.016999999999995907,0.0158000000044467,0.017499999999984084,0.016399999998554904,0.016999999999995907,0.01610000000147238,0.017299999997021587,0.032100000001491935,0.017499999999984084,0.017200000002958404,23.58429999999703,0.01529999999706888,0.016800000004423055,0.016899999998486237,0.016899999998599924,0.016300000004434878,0.01659999999401407,0.017200000002958404,0.015500000000088221,0.016799999996919723,0.034400000006030496,0.015499999999974534,0.0498999999985017,2.450399999998467,0.017100000001505578,0.016199999995592407,0.016400000005887705,0.01679999999703341,0.0166000000015174,0.0166000000015174,0.01679999999703341,0.017999999999915417,0.015000000000100044,0.017600000001493754,0.016899999998486237,0.03260000000148011,6.836899999998536,0.012999999999919964,0.016899999998486237,0.016899999998599924,0.016600000001403714,9.187100000001578,1.1643999999985226,0.014999999999986358,0.01730000000441123,0.01659999999401407,0.01680000000453674,0.01599999999996271,0.0166000000015174,0.016999999999939064,0.01679999999703341,0.016899999998599924,0.016600000001403714,0.016899999998599924,0.016499999999950887","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,34,33,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,99,98,97,96,95,94,93,92,90,89,88,87,86,85,84,83,82,81,80,79,78,77,75,74,73,72,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,97,98,99,100,99,98,97,98,99,100,0,1,2,3,5,9,11,13,14,15,16,17,18,20,22,23,26,30,33,36,39,41,42,43,44,45,46,47,48,50,53,56,59,61,64,66,68,69,71,72,73,74,79,87,100,0,2,7,14,19,26,28,37,48,61,73,85,96,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(h1)(p7)(p8),(h1)(p7)(p8),(h1)(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11)(p9),(p10)(h2)(p9)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(h2)(p11),(h2)(p11)(p12),(h2)(p11)(p12),(p11)(p12),(p11)(p12)(h3),(p11)(p12)(h3),(p12)(h3),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(h4)(p16)(p17),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),(p26)(p27),(p26)(p27)(p25),(p26)(p27)(p25),(p26)(p25),(p26)(p25)(p24),(p26)(p25)(p24),(p26)(p25)(p24),(p25)(p24),(p25)(p24)(p23),(p25)(p24)(p23),(p25)(p24)(p23),(p24)(p23),(p24)(p23)(p22),(p24)(p23)(p22),(p23)(p22)(p21),(p23)(p22)(p21),(p23)(p22)(p21)(h5),(p23)(p22)(p21)(h5),(p22)(p21)(h5)(p20),(p22)(p21)(h5)(p20),(p22)(p21)(h5)(p20),(p22)(p21)(h5)(p20),(p21)(h5)(p20)(p19),(p21)(h5)(p20)(p19)(p18),(p21)(h5)(p20)(p19)(p18),(h5)(p20)(p19)(p18)(p17),(p20)(p19)(p18)(p17),(p20)(p19)(p18)(p17),(p19)(p18)(p17)(p16),(p19)(p18)(p17)(p16),(p18)(p17)(p16)(h4),(p18)(p17)(p16)(h4),(p18)(p17)(p16)(h4),(p17)(p16)(h4)(p15),(p17)(p16)(h4)(p15),(p16)(h4)(p15),(p16)(h4)(p15),(p16)(h4)(p15),(p16)(h4)(p15)(p14),(h4)(p15)(p14),(h4)(p15)(p14),(p15)(p14),(p15)(p14)(p13),(p15)(p14)(p13),(p14)(p13),(p14)(p13)(h3),(p14)(p13)(h3),(p14)(p13)(h3),(p14)(p13)(h3),(p13)(h3)(p12),(p13)(h3)(p12),(p13)(h3)(p12),(p13)(h3)(p12),(h3)(p12),(h3)(p12),(h3)(p12)(p11),(h3)(p12)(p11),(p12)(p11),(p12)(p11)(h2),(p11)(h2),(p11)(h2)(p10),(p11)(h2)(p10),(p11)(h2)(p10),(p11)(h2)(p10),(p11)(h2)(p10)(p9),(h2)(p10)(p9),(h2)(p10)(p9),(h2)(p10)(p9),(h2)(p10)(p9),(h2)(p10)(p9),(h2)(p10)(p9),(h2)(p10)(p9)(p11),(h2)(p10)(p11),(h2)(p10)(p11),(h2)(p10)(p11),(h2)(p10)(p11),(h2)(p11),(h2)(p11)(p12),(h2)(p11)(p12),(p11)(p12),(p11)(p12)(h3),(p11)(p12)(h3),(p12)(h3),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p13)(p14)(p15),(p14)(p15),(p14)(p15)(h4),(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(h4)(p16)(p17),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),(p26)(p27),(p26)(p27)(p25),(p26)(p25),(p26)(p25),(p26)(p25)(p27),(p26)(p25)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","20,35,46,60,74","0,5,8,12,15,17,21,25,28,32,37,41,48,51,55,61,63,68,69,72,75,77,80,85,87,91,96","milse),beofre,mammla,,tarvel,palnts,hrader,haelthy,popluations,aorund,poleln,unpredicatble,utetrly,currenlty,disappera.,speices,prodcue,meetrs,chanigng,researcehrs,bidrs,losess,ecolgoy,stroe,whree,fweer,craetures,diseprse,thsee,introduecd,betetr,thier,abuot,fcees,prefectly,thrievs,reverebrate","64,62,41,49,20,36,38,36,48,38,9,52,21,29,14,60,23,30,38,29,25,30,64,33,28,18,26,72,25,34,24,42,89,85,28,34","1,2,1,1,1,1,2,2,1,2,1,2,2,1,1,1,1,0,1,1,1,1,2,2,1,2,2","1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1","milse),mammla,,tarvel,palnts,hrader,haelthy,poleln,utetrly,disappera.,researcehrs,bidrs,stroe,whree,fweer,craetures,introduecd,betetr,fcees,thrievs","p1,p2,p3,p4,p5,p6,p8,p9,p10,p13,p14,p17,p19,p20,p21,p23,p24,p26,p27","22.136900000005962,43.74070000000298,62.86840000000596,77.17530000000447,103.75510000000149,116.04290000000596,153.63530000000446,171.45280000000446,185.57430000000448,239.94240000000596,253.877,304.9935,316.36710000000147,330.02390000000594,337.71170000000296,362.112700000003,380.7895,416.0081000000015,427.31840000000597","","","","heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","520503","0.0-5.0","","","14062.90000000596","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5eeb8896266efb0bd7fa42a3_1651673680832","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","524944","0.0-6.0","","","4439.29999999702","While reading the article, how carefully did you pay attention?","","5eeb8896266efb0bd7fa42a3_1651673680832","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","heading","66","","","","","","","","","",""
"","html-slider-response","7","529670","0.0-7.0","","","4724.60000000149","How well do you feel you understood the key points of the article?","","5eeb8896266efb0bd7fa42a3_1651673680832","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","heading","62","","","","","","","","","",""
"","html-slider-response","8","535540","0.0-8.0","","","5869.10000000149","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5eeb8896266efb0bd7fa42a3_1651673680832","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","heading","27","","","","","","","","","",""
"","html-slider-response","9","539275","0.0-9.0","","","3733.7000000029802","How interesting did you find the topic of this article after the first few paragraphs?","","5eeb8896266efb0bd7fa42a3_1651673680832","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","heading","26","","","","","","","","","",""
