"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","14818","0.0-0.0","1280","800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","25802","0.0-1.0","1280","800","10976.699999988079","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5f0a5a99dbbf721316f118e2_1651598258122","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","42266","0.0-2.0","","","16443","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5f0a5a99dbbf721316f118e2_1651598258122","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","84531","0.0-3.0","","","42256.09999999404","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5f0a5a99dbbf721316f118e2_1651598258122","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","518247","0.0-4.0","","","433450.90000000596","","","5f0a5a99dbbf721316f118e2_1651598258122","test_trial","","","800","339004.90000000596","132","15","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down","25.72309999999404,25.95570000001788,26.477300000011923,26.906,42.75090000000596,42.94459999999404,43.141700000017885,43.38890000000596,61.65320000001788,62.36020000001788,62.64030000001192,62.75540000000596,79.72059999999404,79.76709999999404,79.81720000001788,79.8665,79.91590000000596,79.99830000001192,80.3445,80.49309999999404,114.192,115.10830000001192,115.78720000001788,119.21309999999404,119.64409999999404,120.23640000000596,122.16659999999403,125.03130000001192,133.39209999999403,138.389,139.15630000001192,148.5813000000119,148.80820000001788,149.07,152.29009999999403,197.66020000001788,197.7215,197.75440000000597,197.81,197.858,197.92209999999403,198.00230000001193,198.12180000001192,198.36980000001194,220.27140000000597,220.30359999999405,220.3588000000119,220.4387000000179,220.55120000001787,233.80409999999404,234.546,239.83920000001788,244.90170000001788,246.52890000000596,247.63420000001787,247.99880000001193,248.622,251.09409999999403,252.87530000001192,270.153599999994,270.57720000001785,273.6457000000179,279.46209999999405,280.7645,281.341099999994,285.3472000000179,286.55020000001787,287.32540000000597,289.7015,292.5168000000119,295.30559999999406,296.25859999999403,297.694599999994,303.39920000001786,303.9723000000119,305.47440000000597,305.4942000000179,305.509900000006,305.5248000000119,305.5408000000119,305.55640000000597,305.57309999999404,305.58920000001785,307.3368000000119,307.3687000000179,307.4335,308.69090000000597,308.7215,308.739599999994,308.7698000000119,308.78590000000594,308.8182000000179,309.1855,309.2172000000179,309.24930000001194,309.29770000001787,309.807,314.8517000000179,315.06559999999405,315.3785,317.57140000000595,319.5197000000179,320.92020000001787,322.15370000001786,322.74990000000594,331.2365,334.05390000000597,338.2082000000179,340.38690000000594,344.0302000000179,344.1952000000179,344.32690000000593,344.48790000000594,352.9117000000179,354.2143000000119,355.7145,359.72080000001193,360.797,361.0377000000179,363.002,363.5297000000179,363.9367000000179,366.98980000001194,368.0927000000179,375.23030000001194,375.8225,377.78759999999403,381.609,382.66340000000594,389.94920000001787,390.1792000000179,392.3715,494.2265,494.242,494.27420000001786,494.29,494.3062000000179,494.3223000000119,494.3385,494.3543000000119,494.386,796.2980999999941,796.3120999999941,796.3269000000059,796.3442000000178,796.3605,796.3765,796.3932000000178,796.4087000000179,796.424599999994,796.4425,796.459099999994,796.4760999999941,796.4927000000179,796.5087000000178,796.524800000012,796.9708000000119,797.052,797.085,797.1015,797.1175,797.1340999999941,797.1499000000059,797.166599999994,797.184099999994,797.2002000000178,797.2167000000179,797.2332000000179,797.2497000000179,797.265599999994,797.282099999994,797.2987000000179,797.315099999994,797.3314000000059,797.348,797.3643000000119,797.381099999994,797.4297000000179,803.121599999994,803.1532000000179,803.169,803.201400000006,803.2652000000179,803.3335,803.416599999994,803.513099999994,803.5964000000059,803.679,803.728,810.0575,810.0734000000059,810.089599999994,810.1059000000059,818.4178000000119,819.737099999994,819.7663000000119,819.7833000000119,819.799599999994,819.8162000000178,819.8324000000059,819.8493000000119,819.8654000000059,819.8818000000119,819.8978000000119,819.9144000000059","-94420.27690000001,0.23260000002384018,0.5215999999940415,0.4286999999880763,15.844900000005964,0.19369999998807685,0.19710000002384476,0.2471999999880765,18.26430000001192,0.7070000000000007,0.2800999999940359,0.11509999999404386,16.965199999988073,0.04650000000000887,0.05010000002383208,0.04929999998212509,0.04940000000596001,0.08240000000596126,0.34619999998807316,0.1485999999940475,33.69890000000595,0.9163000000119297,0.6789000000059531,3.425899999976167,0.4309999999999974,0.5923000000119174,1.9301999999880763,2.8647000000178906,8.360799999982106,4.996900000005979,0.7673000000119146,9.424999999999983,0.2269000000059691,0.26179999998211656,3.2200999999940336,45.370100000023854,0.06129999998211133,0.0329000000059807,0.05559999999402976,0.04800000000000182,0.06409999999402771,0.0802000000178964,0.11949999999998795,0.24800000000001887,21.901599999994033,0.03219999998808021,0.055200000017862294,0.07990000000597774,0.11249999999998295,13.252899999976165,0.7419000000059555,5.29320000001789,5.0625,1.627199999988079,1.1053000000119084,0.3645999999940557,0.6231999999880884,2.4720999999940148,1.7812000000178898,17.278299999982096,0.42360000002383913,3.0685000000000286,5.81639999997617,1.302400000005946,0.5765999999940163,4.006100000023878,1.2029999999999745,0.7751999999881036,2.3760999999940395,2.8153000000119164,2.788799999982132,0.9529999999999745,1.4359999999999786,5.704600000023845,0.5730999999940423,1.5020999999940727,0.01980000001191229,0.0156999999881009,0.014900000005923175,0.016000000000019554,0.015599999994037717,0.016699999988077252,0.016100000023811845,1.7475999999940655,0.031900000005975926,0.06479999998208541,1.2574000000059868,0.030599999994024074,0.018099999994035443,0.03020000001788503,0.016099999994025893,0.032300000011957763,0.3672999999820945,0.031700000017906405,0.03209999999404545,0.04840000000592681,0.5092999999821473,5.044700000017883,0.2138999999761495,0.312900000005925,2.1929000000059773,1.9483000000119546,1.4004999999999654,1.2334999999999923,0.5961999999880732,8.486599999994041,2.817400000005989,4.154300000011915,2.178699999988055,3.6433000000119478,0.16500000000002046,0.1316999999880295,0.16100000000000136,8.423800000011965,1.3025999999940154,1.5001999999880695,4.006300000011947,1.0761999999880913,0.24070000001785274,1.9642999999821313,0.5277000000178873,0.40699999999998226,3.0530999999940605,1.1029000000059455,7.137599999994052,0.5921999999880541,1.9650999999940382,3.8214000000059514,1.0544000000059555,7.285800000011932,0.2300000000000182,2.19229999998214,101.85499999999996,0.015500000000031378,0.03220000001783774,0.01579999998216408,0.016200000017875027,0.016099999994025893,0.016199999988089075,0.01580000001189319,0.03169999998812045,301.91209999999404,0.014000000000010004,0.014800000011859993,0.017300000011914562,0.016299999982152258,0.01599999999996271,0.016700000017863204,0.015500000000088221,0.015899999976113577,0.01790000000596592,0.01659999999401407,0.01700000000005275,0.01660000002380002,0.01599999999996271,0.01609999999413958,0.4459999999999127,0.08119999998814365,0.03300000000001546,0.016499999999950887,0.01599999999996271,0.016599999994127757,0.015800000011836346,0.016699999988077252,0.017500000000040927,0.016100000023811845,0.016500000000064574,0.016499999999950887,0.016500000000064574,0.015899999976113577,0.016499999999950887,0.016600000023913708,0.016399999976101753,0.01630000001193821,0.01659999999401407,0.01630000001193821,0.016799999982140434,0.04860000002383913,5.691899999976158,0.031600000023900066,0.015799999982050394,0.0324000000059641,0.06380000001195185,0.06829999998205949,0.08309999999403317,0.09649999999999181,0.08330000001194549,0.08259999999404499,0.04899999999997817,6.329500000000053,0.01590000000589953,0.016199999988089075,0.01630000001193821,8.311900000005949,1.3192999999821495,0.02920000001790868,0.016999999999939064,0.016299999982152258,0.01660000002380002,0.016199999988089075,0.01690000000598957,0.016099999994025893,0.016400000006001392,0.01599999999996271,0.01659999999401407","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,17,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,70,68,66,65,64,63,62,61,60,59,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,88,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,1,2,3,4,6,7,8,9,11,17,26,35,45,54,62,70,77,83,89,94,97,99,100,99,98,97,96,95,94,93,92,91,89,88,86,85,83,82,80,79,78,77,76,75,74,75,76,77,78,79,80,81,82,83,84,85,86,89,94,100,0,1,4,8,16,28,43,62,79,92,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p3)(p4)(p5)(p6),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p5),(p6)(h1)(p7)(p5),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(h1)(p7)(p8)(p9),(h1)(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10)(h2),(p8)(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(h2)(p11)(p12),(h2)(p11)(p12),(h2)(p11)(p12),(p11)(p12)(h3),(p11)(p12)(h3),(p11)(p12)(h3),(p12)(h3),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(p13)(p14)(p15),(p13)(p14)(p15),(p14)(p15),(p14)(p15)(h4),(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p14)(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p16),(p17)(p18)(p19)(p16)(h4),(p17)(p18)(p16)(h4),(p17)(p18)(p16)(h4),(p17)(p16)(h4)(p15),(p17)(p16)(h4)(p15),(p17)(p16)(h4)(p15),(p16)(h4)(p15),(p16)(h4)(p15)(p14),(p16)(h4)(p15)(p14),(p16)(h4)(p15)(p14),(p16)(h4)(p15)(p14),(p16)(h4)(p15),(p16)(h4)(p15),(p16)(h4)(p15)(p17),(p16)(h4)(p15)(p17),(p16)(h4)(p15)(p17),(p16)(h4)(p17)(p18),(p16)(h4)(p17)(p18),(p16)(h4)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(h5),(p17)(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21)(p22),(p19)(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(p21)(p22)(p23)(p24),(p21)(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24)(p25),(p22)(p23)(p24)(p25),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","19,35,46,60,74","0,4,8,11,14,17,20,24,27,31,36,41,47,52,55,61,63,68,69,72,75,77,80,84,87,91,96","stfuf,dveeloped,fianl,tsuked,tehir,aorund,logner,sepcies,mmamals,relationsihps,palnts,mamamls,bidrs,marcihng,grownig,fete),wpied,cliamte,amuont,climaets,partciular,proefssor,poacihng,wtihout,tree,,grownig,otfen,creautres,dispesre,palnts,ddin’t,speceis,betetr,sepcies,ladnscape,examlpe.,fnuky,benfeits,ripple","21,43,66,40,20,14,22,31,71,20,50,18,16,78,18,25,73,47,39,86,15,31,54,9,24,32,21,18,26,25,53,20,34,40,21,31,28,32,18","2,2,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,0,2,1,2,2,2,2,2,1,2","2,2,1,1,1,1,1,0,1,2,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1","stfuf,dveeloped,tsuked,fianl,tehir,aorund,logner,sepcies,mmamals,palnts,bidrs,mamamls,marcihng,grownig,wpied,creautres,ddin’t,betetr,examlpe.,fnuky,benfeits","p1,p1,p2,p2,p3,p4,p5,p6,p7,p9,p10,p10,p11,p12,p13,p21,p23,p24,p25,p26,p27","7.705700000017881,15.360200000017882,33.76609999999404,41.44609999999404,51.13159999999404,70.10609999999404,106.55359999999403,118.61180000001193,137.77609999999405,162.9095,185.16370000001788,186.97209999999404,219.70359999999403,229.88659999999405,267.521,350.331099999994,373.75180000001194,387.1747000000179,394.5243000000119,407.15290000000596,428.0553000000119","","","","heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","533597","0.0-5.0","","","15295.90000000596","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5f0a5a99dbbf721316f118e2_1651598258122","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","537254","0.0-6.0","","","3654.4000000059605","While reading the article, how carefully did you pay attention?","","5f0a5a99dbbf721316f118e2_1651598258122","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","heading","69","","","","","","","","","",""
"","html-slider-response","7","543378","0.0-7.0","","","6119.199999988079","How well do you feel you understood the key points of the article?","","5f0a5a99dbbf721316f118e2_1651598258122","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","heading","73","","","","","","","","","",""
"","html-slider-response","8","550560","0.0-8.0","","","7173.0999999940395","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5f0a5a99dbbf721316f118e2_1651598258122","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","heading","52","","","","","","","","","",""
"","html-slider-response","9","554822","0.0-9.0","","","4254.4000000059605","How interesting did you find the topic of this article after the first few paragraphs?","","5f0a5a99dbbf721316f118e2_1651598258122","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","heading","59","","","","","","","","","",""
