"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","15179","0.0-0.0","1366","768","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","56839","0.0-1.0","1366","768","41656.10000000056","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5f0a686635f72917e94c7a63_1651595826649","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","78894","0.0-2.0","","","22049.900000000373","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5f0a686635f72917e94c7a63_1651595826649","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","137024","0.0-3.0","","","58128.59999999963","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5f0a686635f72917e94c7a63_1651595826649","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","683885","0.0-4.0","","","546834.3000000007","","","5f0a686635f72917e94c7a63_1651595826649","test_trial","","","768","406573.30000000075","102","1","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,up,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","27.902700000000188,28.1025,28.635800000000746,28.81910000000056,29.61860000000056,43.73080000000075,43.86420000000019,44.530200000000185,45.46340000000037,61.707800000000745,61.824100000000556,62.423800000000746,63.123700000000184,77.63560000000057,77.71880000000074,77.85170000000019,88.46480000000075,88.81470000000019,89.59770000000019,101.6435,101.76010000000056,102.44330000000075,102.85960000000055,130.38340000000036,130.5835,130.69990000000038,131.2165,131.48290000000037,135.1152000000002,144.39530000000076,165.0715,165.2214000000004,165.35440000000037,165.821,166.0042000000002,184.248,184.38130000000075,184.88090000000037,185.06410000000056,212.5882000000002,212.63830000000075,212.67140000000038,212.70460000000057,213.2377000000002,213.38760000000056,214.05410000000055,237.446,237.54590000000036,237.91230000000076,238.06230000000073,238.16230000000076,238.91190000000037,239.16210000000055,273.8834000000004,274.49980000000073,274.7995,274.94960000000054,276.04930000000076,276.5656000000006,276.96530000000075,279.5312000000002,314.43580000000077,314.56910000000056,314.66920000000016,314.7522000000002,315.23540000000037,315.45240000000035,346.3248000000007,346.50770000000017,347.0575,347.45740000000035,348.52360000000056,407.1202000000002,407.76990000000035,407.83630000000073,407.8864000000004,407.93630000000076,408.2863000000007,408.36960000000056,408.4194000000004,408.5193000000007,408.91920000000016,409.68570000000017,432.97760000000056,433.0441000000006,433.09420000000017,433.4274000000004,433.6107000000002,433.67730000000074,434.2605,446.9227000000002,447.72230000000076,448.63860000000057,457.06960000000055,458.419,458.60280000000074,458.6852000000002,478.8119000000004,478.97810000000055,480.2109000000004,495.889,496.03860000000054,625.1273000000008,625.1937000000001,625.2436000000006,625.2769000000004,625.3107000000002,625.3436000000006,625.3603000000007,625.3772000000001,625.3937000000002,625.4104000000003,625.4437000000001,625.4772000000002,726.9609000000004,726.9934000000004,727.011,727.0272000000002,727.0454000000004,727.0603000000008,727.0791000000006,727.11,727.1181000000006,727.1271000000006,727.1585,727.375,727.392,727.4083000000007,727.4246000000005,727.4415,727.4582000000001,727.475,727.4914000000003,728.1095,728.1257000000002,728.1426000000006,728.1591000000005,728.1755,728.1922000000002,728.2086000000006,728.2254000000004,729.4241000000005,729.4738000000008,729.4908000000007,729.5072000000002,729.5242000000002,729.5405,729.5571000000006,729.5741000000006,729.5904000000004,729.6075,729.6243000000007,729.641,729.6576000000006,729.6738000000007,729.6905,729.707,729.7577000000002,729.9904000000004,730.0238000000007,730.0406000000006,730.0575,730.0737000000001,730.0908000000007,730.1081000000006,730.1238000000008,730.1405,730.1572000000002,730.174,730.1907000000002,730.2072000000002,730.2236000000006,730.4901000000006,730.5901000000006,730.6401000000005,730.69,730.7401000000006,730.7733000000007,730.8905,730.9743000000008,731.9398000000008,731.9732000000001,731.9895,732.0062000000001,732.0232000000002,732.0396000000005,732.0562000000002,732.0729000000003,732.0896000000006,732.1064000000003,732.1229000000004,732.1565,737.2544000000004,737.2878000000007,737.3212000000002,737.3381000000005,737.3712000000002,737.4046000000005,737.4378000000007,739.1203000000007,739.1704000000004,739.2038000000008,739.221,739.2372000000001,739.2537000000002,739.2705,739.2871000000006,739.3038000000007,739.3204000000004,739.3373000000007,739.354,739.3708000000007,739.3873000000008,739.404,739.4374000000004,771.7102000000002,771.7653000000007,771.7758000000008,771.7928000000007,771.8256000000006,771.8422000000002,771.859,771.8758000000007,771.9092000000002","-140233.0973,0.19979999999981146,0.5333000000007466,0.1832999999998144,0.7994999999999983,14.11220000000019,0.1333999999994404,0.6659999999999968,0.9332000000001841,16.244400000000375,0.11629999999981067,0.5997000000001904,0.6998999999994382,14.51190000000038,0.08320000000017558,0.13289999999945223,10.613100000000557,0.3498999999994368,0.7830000000000013,12.045799999999815,0.11660000000055959,0.6832000000001841,0.4162999999998078,27.52379999999981,0.20009999999962247,0.11640000000039663,0.5165999999996131,0.2664000000003739,3.632299999999816,9.280100000000573,20.676199999999227,0.14990000000040027,0.13299999999998136,0.4665999999996302,0.18320000000019832,18.243799999999794,0.1333000000007587,0.49959999999961724,0.18320000000019832,27.524099999999635,0.0501000000005547,0.03309999999962088,0.03320000000019263,0.5330999999996209,0.14990000000037185,0.666499999999985,23.391899999999453,0.09990000000036048,0.36640000000039663,0.14999999999997726,0.10000000000002274,0.7495999999996172,0.25020000000017717,34.72129999999984,0.6164000000003398,0.29969999999929087,0.1501000000005206,1.0997000000002117,0.5162999999998306,0.39970000000016626,2.5658999999994307,34.904600000000585,0.13329999999979236,0.10009999999959973,0.08300000000002683,0.48320000000018126,0.21699999999998454,30.87240000000037,0.1828999999994494,0.5497999999998342,0.3999000000003434,1.066200000000208,58.596599999999626,0.6497000000001663,0.06640000000038526,0.050099999999645206,0.04990000000037753,0.3499999999999659,0.08329999999983784,0.0497999999998342,0.09990000000033206,0.39989999999943393,0.7665000000000077,23.291900000000396,0.0665000000000191,0.05009999999958836,0.333200000000204,0.18329999999980373,0.06660000000056243,0.5831999999992377,12.662200000000212,0.7996000000005665,0.9162999999998078,8.430999999999983,1.3493999999994344,0.18380000000075825,0.08239999999943848,20.1267000000002,0.166200000000174,1.232799999999827,15.678099999999631,0.14960000000053242,129.08870000000024,0.06639999999936208,0.049900000000434375,0.03329999999982647,0.033799999999814645,0.032900000000381624,0.016700000000128057,0.01689999999939573,0.016500000000064574,0.016700000000128057,0.03329999999982647,0.03350000000000364,101.48370000000023,0.032500000000027285,0.017599999999561078,0.016200000000253567,0.018200000000206273,0.01490000000035252,0.018799999999828287,0.030899999999405736,0.008100000000581531,0.009000000000014552,0.03139999999939391,0.21649999999999636,0.01700000000005275,0.016300000000683212,0.016299999999773718,0.01689999999950942,0.016700000000128057,0.01679999999987558,0.01640000000031705,0.6180999999996857,0.01620000000013988,0.016900000000418913,0.016499999999950887,0.016399999999521242,0.016700000000128057,0.016400000000430737,0.016799999999761894,1.1987000000001444,0.049700000000257205,0.016999999999939064,0.016399999999521242,0.016999999999939064,0.016299999999773718,0.016600000000607906,0.01700000000005275,0.016299999999773718,0.0170999999995729,0.016800000000785076,0.016699999999218562,0.016600000000607906,0.01620000000013988,0.01669999999933225,0.016499999999950887,0.05070000000023356,0.23270000000013624,0.0334000000003698,0.01679999999987558,0.01689999999939573,0.01620000000013988,0.017100000000596083,0.017299999999863758,0.015700000000151704,0.016699999999218562,0.016700000000241744,0.016799999999761894,0.016700000000241744,0.016499999999950887,0.016400000000430737,0.2664999999999509,0.10000000000002274,0.049999999999954525,0.04989999999952488,0.05010000000049786,0.03320000000019263,0.11719999999922948,0.08380000000079235,0.96550000000002,0.03339999999934662,0.016299999999887405,0.016700000000128057,0.01700000000005275,0.01640000000031705,0.01659999999969841,0.016700000000128057,0.016700000000241744,0.016799999999761894,0.016500000000064574,0.033599999999637475,5.0979000000003225,0.0334000000003698,0.033399999999460306,0.016900000000305226,0.0330999999996493,0.0334000000003698,0.03320000000019263,1.6825000000000045,0.05009999999970205,0.0334000000003698,0.01719999999920674,0.01620000000013988,0.016500000000064574,0.016799999999761894,0.016600000000607906,0.016700000000128057,0.01659999999969841,0.016900000000305226,0.01669999999933225,0.01680000000067139,0.016500000000064574,0.016699999999218562,0.0334000000003698,32.27279999999985,0.05510000000049331,0.010500000000092768,0.016999999999939064,0.03279999999983829,0.016599999999584725,0.01679999999987558,0.01680000000067139,0.033399999999460306","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,92,93,94,95,96,97,98,99,100,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,20,21,22,23,24,25,28,38,55,76,92,99,100,97,87,71,56,43,34,29,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,49,51,52,54,56,58,60,61,62,63,64,65,66,67,68,69,70,71,72,71,70,69,68,67,65,64,63,62,61,60,59,60,61,62,63,64,65,66,67,68,69,71,72,74,76,78,80,82,84,86,88,89,90,91,92,93,94,95,96,97,98,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(h1)(p7)(p8),(h1)(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(h2)(p11),(h2)(p11)(p12),(h2)(p11)(p12),(p11)(p12),(p11)(p12)(h3),(p11)(p12)(h3),(p12)(h3),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p13)(p14)(p15),(p14)(p15),(p14)(p15)(h4),(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","20,35,46,60,74","0,5,8,12,15,17,21,25,27,31,36,41,47,51,55,61,63,67,68,72,75,77,80,85,87,91,96","dveeloped,rieds,hicth,scroched,greaetr,srtanded,animlas,hadrer,heatlhy,sohuld,mmamals,looikng,plolen,centuires,fuond,thsee,kilomteers,towrad,icnreased,cilmate,w’eve,mgiht,tolreate,praticular,resluts,nealry,examlpe,,w’ere,platns,effectviely,disprese,tehse,beneifts,retsore,cerating,aobut,three,ltitle,ca’nt","43,58,57,12,53,39,41,36,38,10,71,26,38,47,31,34,27,85,40,56,24,89,13,15,25,34,30,20,46,32,26,72,25,37,24,42,9,102,21","1,2,1,2,2,2,2,1,1,2,1,2,1,1,1,2,1,0,2,1,1,2,1,2,2,2,1","1,2,1,2,1,2,1,1,1,2,0,0,0,0,0,2,0,0,2,1,0,1,1,1,1,2,1","dveeloped,hicth,rieds,scroched,srtanded,greaetr,hadrer,sohuld,heatlhy,looikng,plolen,centuires,fuond,thsee,tolreate,praticular,examlpe,,nealry,w’ere,disprese,tehse,retsore,aobut,three,ltitle,ca’nt","p1,p2,p2,p3,p4,p4,p5,p6,p6,p7,p8,p9,p10,p10,p16,p16,p19,p19,p20,p22,p23,p24,p25,p26,p26,p27","18.10310000000056,39.870900000000375,40.43890000000037,47.39090000000037,71.87090000000038,76.50260000000056,87.45470000000019,92.8865,100.6785,112.19060000000056,143.06260000000057,156.07890000000037,173.5825,175.1187000000002,335.5505,336.4225,385.9269000000004,389.1507000000002,403.35080000000073,428.04640000000035,453.15080000000074,476.07080000000076,489.2067000000002,499.9824000000004,524.7988000000007,539.6867000000002","savanna.,species","p1,p24","8.262700000000187,461.84690000000035","heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","707054","0.0-5.0","","","23161.60000000056","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5f0a686635f72917e94c7a63_1651595826649","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","710866","0.0-6.0","","","3809.800000000745","While reading the article, how carefully did you pay attention?","","5f0a686635f72917e94c7a63_1651595826649","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","heading","100","","","","","","","","","",""
"","html-slider-response","7","714865","0.0-7.0","","","3997.600000000559","How well do you feel you understood the key points of the article?","","5f0a686635f72917e94c7a63_1651595826649","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","heading","100","","","","","","","","","",""
"","html-slider-response","8","722099","0.0-8.0","","","7231.299999999814","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5f0a686635f72917e94c7a63_1651595826649","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","heading","100","","","","","","","","","",""
"","html-slider-response","9","726242","0.0-9.0","","","4142","How interesting did you find the topic of this article after the first few paragraphs?","","5f0a686635f72917e94c7a63_1651595826649","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","heading","100","","","","","","","","","",""
