"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","9403","0.0-0.0","1230","820","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","57110","0.0-1.0","1230","820","47705.400000572205","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5f1706f865c091025bfe44d1_1651655754591","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","78459","0.0-2.0","","","21343.10000038147","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5f1706f865c091025bfe44d1_1651655754591","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","162346","0.0-3.0","","","83882.39999961853","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5f1706f865c091025bfe44d1_1651655754591","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","715551","0.0-4.0","","","553169.5","","","5f1706f865c091025bfe44d1_1651655754591","test_trial","","","820","387052","104","2","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","39.09689999961853,56.716,56.93260000038147,57.0665,57.48289999961853,82.70480000019073,89.85489999961852,92.18910000038147,103.33730000019074,103.61969999980927,103.73589999961852,109.98830000019073,125.25580000019073,125.82089999961853,137.92880000019073,142.36230000019074,144.22919999980925,144.86210000038147,145.162,164.11589999961853,173.01639999961853,177.2845,183.75989999961854,191.0165,205.11789999961854,215.00160000038147,215.25280000019075,215.50130000019072,222.80930000019075,225.2765,225.4595,225.85980000019075,232.1655,249.26389999961853,251.89780000019073,252.03030000019072,260.82280000019074,264.9225,267.65630000019075,273.09619999980924,276.3465,290.13,293.36310000038145,294.39610000038147,299.3011000003815,303.7775,308.14389999961855,309.5105,324.7448000001907,334.9846000003815,342.86010000038146,344.42839999961853,344.62730000019076,366.8736999998093,404.3881000003815,404.48830000019075,404.6041000003815,404.68760000038145,404.7536000003815,404.78830000019076,404.804,404.8213000001907,404.83910000038145,404.85389999961853,404.8705,422.65369999980925,428.68830000019074,429.3376999998093,429.455,429.6383999996185,429.7708000001907,439.89819999980926,452.6648999996185,453.348,461.844,468.77569999980926,469.24269999980925,469.476,469.626,469.7925,469.97580000019076,470.1598999996185,470.3086000003815,484.43080000019074,491.4798000001907,495.7626999998093,496.69539999961853,496.91180000019074,497.3958999996185,497.5291999998093,497.6121000003815,497.879,516.6163999996186,516.6848999996186,516.7351999998093,516.7858999996186,516.834,516.934,517.0176000003814,517.1838999996186,517.3173000001907,517.6341000003815,518.5178000001907,523.6273000001908,652.5591999998093,652.5703000001907,652.5918999996185,652.6076000003815,652.6215,652.6408000001908,652.6561999998092,652.6721000003814,652.6903999996185,652.7061999998093,676.5506000003815,676.585,676.6208000001907,676.6356000003815,680.1451999998093,680.1608000001908,680.1775,680.1946000003815,680.2101999998092,680.5273000001907,680.5603999996185,680.5781999998093,680.6281000003814,681.6603000001908,681.6778999996185,681.6938000001908,681.712,681.7273000001908,685.3508999996185,685.3701000003815,685.3861000003815,685.4033999996185","-166078.40310000037,17.619100000381472,0.21660000038146876,0.13389999961852794,0.4163999996185339,25.221900000572198,7.150099999427795,2.334200000762948,11.148199999809265,0.28239999961853357,0.116199999809254,6.252400000572209,15.267499999999998,0.565099999427801,12.1079000005722,4.433500000000009,1.8668999996185107,0.6329000005722207,0.29989999961853187,18.95389999961853,8.900499999999994,4.26810000038148,6.475399999618531,7.256600000381468,14.101399999618536,9.883700000762929,0.2511999998092733,0.24849999999997863,7.308000000000021,2.467199999809253,0.18299999999999272,0.40030000019075374,6.3056999998092635,17.098399999618522,2.633900000572197,0.13249999999999318,8.792500000000018,4.099699999809275,2.7338000001907403,5.43989999961849,3.250300000190748,13.783500000000004,3.233100000381455,1.0330000000000155,4.90500000000003,4.476399999618479,4.366399999618579,1.3666000003814247,15.234300000190728,10.239800000190769,7.875499999999988,1.5682999992370696,0.19890000057222323,22.246399999618518,37.51440000057221,0.10019999980926286,0.11580000019074532,0.08349999999995816,0.06600000000003092,0.03469999980927696,0.01569999980921466,0.017300000190743958,0.017800000190732135,0.014799999237084194,0.016600000381458813,17.783199999809256,6.034600000381488,0.649399999618538,0.11730000019070985,0.18339999961852982,0.13240000057220414,10.127399999618547,12.766699999809248,0.6831000003815006,8.495999999999981,6.931699999809268,0.46699999999998454,0.23330000019075214,0.14999999999997726,0.16650000000004184,0.18330000019074077,0.18409999942775812,0.14870000076297174,14.122199999809254,7.048999999999978,4.282899999618564,0.9326999998092447,0.21640000057220732,0.4840999994277695,0.13330000019078625,0.08290000057218094,0.2668999996185448,18.73739999961856,0.0684999999999718,0.05030000019075942,0.05069999980923967,0.04810000038139606,0.10000000000002274,0.08360000038146609,0.16629999923713967,0.13340000057212364,0.316800000190824,0.8836999998092097,5.1095000000000255,128.9318999996185,0.011100000381475184,0.021599999427735384,0.015700000762990385,0.013899999618502079,0.01930000019081035,0.015399999618466609,0.015900000572173667,0.018299999237115117,0.01580000019077943,23.844400000572136,0.03439999961858575,0.03580000019064755,0.014800000190803075,3.5095999994277918,0.01560000038148246,0.016699999809247856,0.01710000038144699,0.015599999427763578,0.3171000003815152,0.033099999427804505,0.017800000190732135,0.04990000057216548,1.032199999809336,0.017599999427716284,0.015900000572287354,0.018199999809212386,0.015300000190791252,3.623599999427711,0.019200000763021308,0.01599999999996271,0.017299999237025077","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,36,37,38,39,40,41,42,43,44,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,4,8,12,22,27,28,36,43,48,51,53,55,59,61,62,63,64,65,66,67,68,70,71,73,76,80,83,84,91,96,98,100","(p1)(p2)(p3),(p1)(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4)(p5),(p2)(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p3)(p4)(p5)(p6),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(p7),(p4)(p5)(p6)(p7),(p4)(p5)(p6)(p7),(p4)(p5)(p6)(p7),(p5)(p6)(p7)(p8),(p5)(p6)(p7)(p8),(p5)(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8)(p9),(p6)(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9)(p10),(p7)(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10)(p11),(p9)(p10)(p11),(p9)(p10)(p11),(p9)(p10)(p11),(p9)(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11)(p12),(p10)(p11)(p12),(p10)(p11)(p12),(p10)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13)(p14),(p12)(p13)(p14),(p12)(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p13)(p14)(p15),(p13)(p14)(p15),(p13)(p14)(p15),(p14)(p15)(p16),(p14)(p15)(p16),(p14)(p15)(p16),(p14)(p15)(p16),(p14)(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17)(p18),(p15)(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(p21),(p17)(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21)(p22),(p18)(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p20)(p21)(p22)(p23),(p20)(p21)(p22)(p23),(p20)(p21)(p22)(p23),(p20)(p21)(p22)(p23),(p21)(p22)(p23)(p24),(p21)(p22)(p23)(p24),(p21)(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24)(p25),(p22)(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","","0,5,8,12,16,18,21,25,28,32,36,40,46,51,55,60,62,67,68,71,74,76,79,84,87,90,96","ainmal,sotmach,rouglhy,extinctoin,maens,platns,htich,sceintists,fweer,bewteen,fniely,thier,especailly,yaers,accroding,rainafll,avergae,curretnly,extinciton,lsoses,prfoessor,sohwn,hadrer,ilsand,porcess,platns,effectviely,palnts,,smlal,outewigh,whree,cerating,tomaotes,beteles,thrievs","80,37,17,25,18,20,23,24,24,39,17,56,47,33,72,95,58,32,35,25,31,52,13,32,10,46,32,35,64,27,12,24,49,82,28","1,2,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,0,2,1,1,2,1,2,1,2,1","1,2,1,2,0,0,1,2,0,1,1,2,1,1,1,0,0,0,2,0,0,0,1,1,0,0,0","ainmal,rouglhy,sotmach,extinctoin,maens,platns,fweer,fniely,bewteen,especailly,yaers,accroding,rainafll,avergae,curretnly,lsoses,hadrer,ilsand,smlal,whree","p1,p2,p2,p3,p4,p4,p7,p8,p8,p10,p11,p12,p12,p13,p14,p15,p19,p19,p23,p24","33.183800000190736,44.26510000038147,49.01689999961853,69.96260000038147,98.07010000038147,99.38819999980926,158.50069999980926,187.38460000038148,199.19660000038147,246.58189999961854,270.2208000001907,330.7245,338.6288999996185,358.9723999996185,402.07619999980926,412.0376000003815,459.1881000003815,463.62289999961854,507.8675,514.4728000001908","feces","p26","544.5048000001907","no_heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","740331","0.0-5.0","","","24772.5","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5f1706f865c091025bfe44d1_1651655754591","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","745280","0.0-6.0","","","4944.800000190735","While reading the article, how carefully did you pay attention?","","5f1706f865c091025bfe44d1_1651655754591","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","no_heading","85","","","","","","","","","",""
"","html-slider-response","7","750199","0.0-7.0","","","4916.800000190735","How well do you feel you understood the key points of the article?","","5f1706f865c091025bfe44d1_1651655754591","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","no_heading","67","","","","","","","","","",""
"","html-slider-response","8","755539","0.0-8.0","","","5338.200000762939","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5f1706f865c091025bfe44d1_1651655754591","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","no_heading","27","","","","","","","","","",""
"","html-slider-response","9","759312","0.0-9.0","","","3771.0999994277954","How interesting did you find the topic of this article after the first few paragraphs?","","5f1706f865c091025bfe44d1_1651655754591","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","no_heading","65","","","","","","","","","",""
