"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","2772","0.0-0.0","2240","1260","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","11304","0.0-1.0","2240","1260","8528.199999999255","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5f2d5df22fa9352f3f2c4ca6_1651673730044","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","31687","0.0-2.0","","","20380","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5f2d5df22fa9352f3f2c4ca6_1651673730044","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","61791","0.0-3.0","","","30102.800000000745","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5f2d5df22fa9352f3f2c4ca6_1651673730044","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","682366","0.0-4.0","","","620564.6000000015","","","5f2d5df22fa9352f3f2c4ca6_1651673730044","test_trial","","","1260","556994.9000000022","100","0","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","32.917199999999255,33.10089999999851,33.36839999999851,34.80139999999851,55.80169999999926,56.06680000000075,78.60289999999851,78.75189999999851,78.91719999999926,79.0855,79.30180000000074,79.58530000000074,80.02,100.9526000000015,101.26939999999851,114.53619999999925,116.5858999999985,124.32039999999851,124.58569999999925,124.93419999999925,146.73569999999924,146.9008999999985,147.1853999999985,154.03619999999927,154.23519999999925,171.3026000000015,171.401,171.45210000000148,171.519,171.6013999999985,171.73580000000075,196.95310000000148,197.12,197.98630000000074,198.2688999999985,222.4035,222.5865,222.78680000000074,238.97089999999852,239.17069999999924,250.75360000000148,250.93660000000148,251.15410000000148,272.5876000000015,273.004,273.78619999999927,274.82080000000076,284.6876000000015,284.97119999999927,285.4538999999985,310.3028999999985,310.42030000000074,310.6708000000007,311.62080000000077,327.30469999999923,327.5048000000007,327.72169999999926,327.988,352.03869999999927,352.5041000000015,362.4216000000015,362.60519999999923,362.7381000000015,363.972,377.08830000000074,378.18880000000075,378.75519999999926,395.85480000000075,396.3555,414.7045,414.97030000000075,416.2038999999985,416.40469999999925,432.8723999999985,433.3058000000008,433.7386000000015,434.2385,435.3711000000015,463.839,464.4048999999985,473.906,474.1393999999985,484.07280000000077,488.7553000000008,488.92319999999927,489.20610000000147,506.0563999999985,506.4231000000015,520.0403000000008,520.2731999999993,531.3398000000008,531.4726000000015,531.573,531.7048000000008,532.0226000000015,532.7898000000007,553.4903000000007,553.5898999999985,553.7406999999993,556.5731999999992,712.7576999999992,712.7748000000007,712.7916000000015,712.8081999999993,712.8251000000015,712.8413999999985,712.8581999999992,712.8746000000015,712.8916000000015,712.9253000000008,712.9418999999986,712.9571000000014,712.9746999999993,712.9911000000014,713.0088000000007,713.0266000000015,713.0413000000008,713.0573000000007,713.0745,713.0908999999986,713.1083000000008,713.1251000000015,713.1421999999992,713.1583000000007,713.1756999999992,713.1918999999986,713.2083999999985,713.8761000000015,713.8918999999985,713.9076999999993,713.926,713.9421999999993,713.9746999999993,713.9915,714.4921000000015,714.5255,714.5416999999993,714.5586000000014,714.5915,714.6083999999985,714.9413999999986,729.492,729.5086000000015,729.5248000000007,729.5413000000008,729.5585,729.5743999999985,729.5916000000014,729.608,729.6248999999985,729.6416999999992,729.6751999999992,729.6918000000007,729.7068999999985,729.7248999999985,729.7411999999993,729.758,729.7746999999993,729.7913000000008,729.8078000000007,729.8251000000015,729.842,729.8578999999985,729.8733000000008,729.8905,765.2433999999985,765.5581000000014,784.4766999999993,784.4928000000008,784.5083000000008,784.5258000000008,784.5423000000008,784.5588000000007,784.5753999999985,784.5918000000007,784.609,784.643,784.6593000000007,784.676,784.6923000000007,784.7093000000008,784.7256999999993,784.7426000000015,784.7588999999986,784.7748999999985,784.7921000000015,784.8088000000007,784.8425,784.8578000000008,784.8756999999993,784.8923000000008,784.9256000000015,784.9428000000007,784.976,785.0256000000015,785.0583999999985,785.1593999999985,790.1091000000015,790.1253000000007,790.1425,790.1576000000015,790.1761999999992,790.1921000000015,790.2083000000007,790.2583000000008,790.2751999999992,790.2915,790.3086000000014,790.3255,790.3425,790.3595,790.3745,790.3916000000015,790.4071999999993,790.4251000000015","-63536.78279999926,0.18369999999925568,0.2674999999999983,1.4329999999999998,21.00030000000075,0.2651000000014889,22.536099999997766,0.1490000000000009,0.16530000000074097,0.16830000000074108,0.2163000000007429,0.28350000000000364,0.43469999999925335,20.9326000000015,0.31679999999701636,13.266800000000742,2.0496999999992482,7.734500000000011,0.2653000000007353,0.34850000000000136,21.80149999999999,0.16519999999925972,0.2845000000000084,6.85080000000076,0.19899999999998386,17.067400000002237,0.09839999999852012,0.05110000000146897,0.06689999999852603,0.08239999999850056,0.13440000000224472,25.217300000000733,0.16689999999852034,0.8663000000007344,0.28259999999775687,24.134600000001512,0.18299999999999272,0.20030000000073755,16.184099999997784,0.19980000000072096,11.58290000000224,0.18299999999999272,0.21750000000000114,21.43350000000001,0.41639999999853217,0.7821999999992499,1.0346000000014897,9.866800000000751,0.28359999999776164,0.48269999999922675,24.84899999999999,0.11740000000224882,0.2504999999999882,0.9500000000000455,15.68389999999846,0.2001000000014983,0.2168999999985317,0.26630000000074006,24.050699999999267,0.46540000000220516,9.917500000000018,0.1835999999977389,0.1329000000022802,1.2338999999984708,13.116300000000763,1.100500000000011,0.5663999999985094,17.099600000001487,0.5006999999992559,18.34899999999999,0.2658000000007519,1.2335999999977503,0.20080000000075415,16.46769999999924,0.43340000000227974,0.43280000000072505,0.49989999999849033,1.1326000000015028,28.467899999998508,0.5658999999985213,9.501100000001486,0.2333999999984826,9.93340000000228,4.6825000000000045,0.1678999999984967,0.2829000000022006,16.85029999999705,0.36670000000299297,13.617199999999286,0.23289999999849442,11.066600000001472,0.13280000000077052,0.1003999999984444,0.13180000000079417,0.31780000000071595,0.7671999999992067,20.700500000000034,0.09959999999773572,0.15080000000079963,2.832499999999982,156.18449999999996,0.017100000001505578,0.016800000000785076,0.016599999997765735,0.016900000002237903,0.016299999997045234,0.01680000000067139,0.016400000002249726,0.01700000000005275,0.03369999999927131,0.016599999997765735,0.015200000002892011,0.017599999997855775,0.01640000000213604,0.017699999999308602,0.01780000000076143,0.014699999999265856,0.01599999999996271,0.01719999999920674,0.016399999998611747,0.01740000000222608,0.01680000000067139,0.017099999997753912,0.016100000001529224,0.017399999998474414,0.016199999999344072,0.016499999999950887,0.6677000000030375,0.01579999999694337,0.015800000000808723,0.018300000000749606,0.016199999999230386,0.032500000000027285,0.01680000000067139,0.5006000000015547,0.033399999998437124,0.016199999999344072,0.016900000002124216,0.032899999998562635,0.016899999998486237,0.3330000000000837,14.550600000001396,0.0166000000015174,0.016199999999230386,0.016500000000064574,0.01719999999920674,0.015899999998509884,0.017200000002958404,0.01639999999849806,0.016899999998599924,0.01680000000067139,0.03350000000000364,0.0166000000015174,0.015099999997801206,0.017999999999915417,0.0163000000007969,0.016800000000785076,0.016699999999218562,0.0166000000015174,0.016499999999950887,0.017300000000773252,0.016899999998486237,0.015899999998509884,0.015400000002273373,0.01719999999920674,35.3528999999985,0.31470000000297205,18.91859999999781,0.016100000001529224,0.015499999999974534,0.017500000000040927,0.016499999999950887,0.016499999999950887,0.016599999997765735,0.016400000002249726,0.017199999999320426,0.033999999999991815,0.016300000000683212,0.01669999999933225,0.016300000000683212,0.01700000000005275,0.01639999999849806,0.016900000002237903,0.016299999997045234,0.01599999999996271,0.017200000002958404,0.016699999999218562,0.03369999999927131,0.015300000000820546,0.01789999999846259,0.0166000000015174,0.03330000000073596,0.01719999999920674,0.033199999999283136,0.04960000000153286,0.03279999999699612,0.10099999999999909,4.949700000002963,0.016199999999230386,0.017199999999320426,0.015100000001439184,0.01859999999771844,0.01590000000226155,0.016199999999230386,0.05000000000006821,0.016899999998486237,0.0163000000007969,0.01710000000139189,0.016899999998599924,0.016999999999939064,0.01700000000005275,0.014999999999986358,0.017100000001505578,0.015599999997789382,0.017900000002214256","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,2,5,8,11,15,19,21,23,27,30,33,37,40,43,46,49,52,55,57,59,61,63,65,67,68,70,71,74,79,86,91,98,100,99,97,96,95,94,93,92,86,82,78,74,69,63,59,55,52,50,46,42,37,33,29,26,22,18,14,11,8,5,2,0,1,2,4,8,12,14,16,19,20,21,22,23,25,26,27,29,30,31,32,34,35,36,37,38,39,40,41,42,43,44,45,46,48,50,54,57,61,64,66,69,73,76,80,83,86,89,92,95,98,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p9)(p10),(p9)(p10)(p11),(p9)(p10)(p11),(p9)(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13)(p14),(p12)(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(p16),(p14)(p15)(p16),(p15)(p16),(p15)(p16),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17),(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","","0,5,8,12,16,18,21,26,28,32,36,41,47,51,55,60,62,67,68,71,73,76,79,84,87,90,96","elepahnt,transporetrs,rdies,wehre,conidtions,dispapearing,whcih,bodns,sepcies,percnet,helepd,poleln,uanble,imapct,consdiered,tnesions,dgerees,chnaging,brids,mmamals,epsecially,lievd,ca’nt,clmiate,,resaerch,rseults,daeth,sefl-sustaining,teres,ofetn,palnts,arrivlas,spraed,eovlved,dispesrers,restoraiton,”,foexs,riplpe,platns","11,77,58,33,58,13,33,29,31,50,61,38,53,21,10,63,46,30,68,31,15,57,12,16,49,25,20,9,31,21,46,22,11,42,66,36,35,18,37","2,1,2,1,1,2,2,1,2,1,1,1,2,1,2,2,2,0,1,2,2,1,1,1,2,1,2","1,1,2,0,0,1,1,1,2,1,1,0,2,0,1,1,2,0,1,2,2,1,1,1,1,1,2","transporetrs,rdies,wehre,conidtions,bodns,percnet,poleln,imapct,uanble,consdiered,tnesions,chnaging,brids,lievd,ca’nt,rseults,resaerch,daeth,sefl-sustaining,teres,ofetn,palnts,arrivlas,spraed,eovlved,restoraiton,”,foexs,riplpe,platns","p1,p2,p3,p3,p6,p7,p8,p9,p9,p10,p11,p13,p13,p15,p16,p17,p17,p19,p20,p20,p21,p21,p22,p23,p24,p25,p26,p27,p27","32.27260000000149,53.7065,67.9733999999985,76.08819999999926,122.8066000000015,146.14030000000074,170.78930000000074,178.77330000000075,189.17330000000075,201.39060000000148,245.02480000000074,295.87519999999927,308.0075,354.809,368.8755,390.89280000000076,400.0433000000007,423.09330000000074,438.8765,446.0771000000015,461.8595,472.2266000000015,480.49419999999924,494.1608999999985,530.4768999999985,545.1771999999993,569.8108999999985,606.6283000000008,613.3781999999993","","","","no_heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","711288","0.0-5.0","","","28915.699999999255","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5f2d5df22fa9352f3f2c4ca6_1651673730044","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","715481","0.0-6.0","","","4189.699999999255","While reading the article, how carefully did you pay attention?","","5f2d5df22fa9352f3f2c4ca6_1651673730044","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","no_heading","88","","","","","","","","","",""
"","html-slider-response","7","719980","0.0-7.0","","","4496.89999999851","How well do you feel you understood the key points of the article?","","5f2d5df22fa9352f3f2c4ca6_1651673730044","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","no_heading","65","","","","","","","","","",""
"","html-slider-response","8","726314","0.0-8.0","","","6330.60000000149","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5f2d5df22fa9352f3f2c4ca6_1651673730044","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","no_heading","56","","","","","","","","","",""
"","html-slider-response","9","731064","0.0-9.0","","","4747","How interesting did you find the topic of this article after the first few paragraphs?","","5f2d5df22fa9352f3f2c4ca6_1651673730044","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","no_heading","56","","","","","","","","","",""
