"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","6856","0.0-0.0","1536","864","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","11350","0.0-1.0","1536","864","4493.5","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5f68cb292206110444d6f70f_1651595696654","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","16893","0.0-2.0","","","5541.100000023842","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5f68cb292206110444d6f70f_1651595696654","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","56427","0.0-3.0","","","39533.5","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5f68cb292206110444d6f70f_1651595696654","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","471732","0.0-4.0","","","415289.3000000119","","","5f68cb292206110444d6f70f_1651595696654","test_trial","","","864","357651.10000002384","106","3","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","32.76459999999404,33.13240000000596,33.229599999994036,50.67359999999404,50.74290000000596,68.88130000001192,68.97840000000596,70.96440000000597,71.02690000000597,71.52690000000597,71.63109999999403,86.08209999999404,86.3945,100.4705,100.53980000001192,100.56780000001191,100.59530000001192,109.255,109.35909999999404,109.65759999999403,110.70609999999404,126.74730000001192,126.85140000000597,127.54580000001192,127.60840000000596,128.38619999998807,128.49030000001193,137.76790000000597,137.83030000001193,147.1771999999881,147.28130000001192,147.3785,147.73959999999403,148.35080000001193,148.44790000000597,180.05809999999403,180.10669999998808,181.9955,182.09259999999404,182.60659999999405,204.38369999998807,204.46690000000595,204.54330000001193,204.7655,227.8203000000119,227.855,227.8758000000119,227.89659999999404,227.9105,228.41059999999405,228.5076999999881,245.63930000001193,245.87519999998807,245.9585,246.03490000000596,247.36140000000597,247.882,247.9306999999881,247.9863000000119,248.28490000000596,248.38209999999404,258.72909999999405,258.8053000000119,258.8608000000119,259.1595,279.895,279.957400000006,279.99909999999403,280.027,280.5893000000119,280.69340000000597,291.4433000000119,291.49180000001195,291.85280000001194,291.957,312.15790000000595,312.33130000001194,326.2893000000119,326.3725,326.42109999999406,334.14309999999404,334.191599999994,334.2403000000119,334.518,334.545900000006,334.5666999999881,334.5875,334.6151999999881,335.156900000006,336.01790000000597,350.03159999999406,350.08709999999405,350.12180000001194,350.15659999999406,350.58,363.6285,363.70459999999406,363.7461999999881,364.09340000000594,364.14890000000594,364.2115,372.0376999999881,372.0793000000119,386.46090000000595,386.551,386.61359999999405,536.9766999999881,536.997400000006,537.0113000000119,537.0183000000119,537.0251999999881,537.032099999994,537.0391999999881,537.046099999994,537.0529000000059,537.06,537.066900000006,537.0738000000119,537.080900000006,537.087800000012,537.094699999988,537.1015,537.1085,537.1155,537.122400000006,537.1363000000119,537.594599999994,537.6155,537.6223000000119,537.6361999999881,537.6433000000119,537.657099999994,537.664,537.671,537.684900000006,537.6918000000119,537.7126999999881,537.7335,540.483400000006,540.4971999999881,540.5111999999881,540.5180999999941,540.525,540.532,540.5389000000059,540.5458000000119,540.5528000000119,540.5598000000119,540.566699999988,540.573900000006,540.580699999988,540.587599999994,540.5945,540.6015,540.608400000006,540.6153000000119,540.6223000000119,540.6433000000119,546.768,546.7818000000119,546.8025999999941,546.8165,546.8235,546.8374000000059,546.8443000000119,546.8581999999881,546.8650999999941,546.8790999999941,546.8859000000059,546.9,546.9206999999881","-57605.435399988084,0.36780000001191837,0.09719999998807793,17.444000000000003,0.06930000001192127,18.13840000000596,0.09709999999404317,1.9860000000000042,0.0625,0.5,0.10419999998806873,14.451000000000008,0.31240000000595103,14.076000000000008,0.06930000001192127,0.027999999999991587,0.02750000000000341,8.659699999988078,0.10409999999404818,0.29849999999999,1.0485000000000042,16.04120000001788,0.10409999999404818,0.694400000005956,0.06259999999403476,0.7777999999821077,0.10410000002386255,9.277599999994038,0.06240000000596524,9.34689999997616,0.10410000002383413,0.09719999998807793,0.36109999999402476,0.6112000000179023,0.09709999999404317,31.610199999988055,0.04859999999405318,1.888800000011912,0.09709999999404317,0.51400000000001,21.77709999999402,0.0832000000178823,0.07640000000597524,0.22219999998807793,23.05480000001191,0.034699999988077934,0.020800000011917064,0.020799999982131112,0.013900000005975244,0.5000999999940348,0.09709999999404317,17.131600000023838,0.23589999997614086,0.08330000001191706,0.07640000000597524,1.32650000000001,0.5205999999940332,0.04869999998808794,0.05560000002381571,0.2985999999940532,0.09719999998807793,10.347000000000008,0.0762000000178773,0.055499999999995,0.2986999999880595,20.735500000000002,0.06240000000599366,0.041699999988054515,0.027900000005956826,0.5623000000119305,0.10409999999404818,10.749900000005937,0.04850000000004684,0.36099999999999,0.10419999998805451,20.20090000000596,0.17340000000598366,13.95799999999997,0.08319999998809635,0.04859999999405318,7.72199999999998,0.048499999999989996,0.04870000001790231,0.2776999999880445,0.02790000000601367,0.02079999998210269,0.020800000011888642,0.027699999988101354,0.5417000000178973,0.86099999999999,14.013699999988091,0.055499999999995,0.03470000001789231,0.034799999982112695,0.4234000000059268,13.04849999999999,0.07609999999408501,0.041599999994048176,0.34720000001783546,0.055499999999995,0.06259999999406318,7.826199999988091,0.04160000002383413,14.381599999994023,0.09009999999403817,0.06259999999406318,150.36309999999406,0.020700000017882303,0.013900000005946822,0.006999999999948159,0.006899999976212712,0.006900000005884976,0.007099999994125028,0.006900000005884976,0.006800000011935481,0.007099999994011341,0.006900000005998663,0.006900000005998663,0.007099999994011341,0.006900000005998663,0.006899999976099025,0.006800000011935481,0.007000000000061846,0.006999999999948159,0.006900000005998663,0.013900000005946822,0.45829999998204585,0.020900000006008668,0.006800000011935481,0.01389999997616087,0.007100000023797293,0.013799999982097688,0.006900000005998663,0.007000000000061846,0.013900000005946822,0.006900000005884976,0.020899999976222716,0.020800000011945485,2.749900000005937,0.013799999982097688,0.014000000000010004,0.006900000005998663,0.006900000005884976,0.007000000000061846,0.006900000005884976,0.006900000005998663,0.006999999999948159,0.007000000000061846,0.006899999976099025,0.007200000017974162,0.0067999999820358425,0.006900000005998663,0.006900000005998663,0.006999999999948159,0.006900000005998663,0.006900000005884976,0.007000000000061846,0.020999999999958163,6.124699999988138,0.01380000001188364,0.020799999982159534,0.013900000005946822,0.006999999999948159,0.013900000005946822,0.006900000005998663,0.01389999997616087,0.006900000005998663,0.014000000000010004,0.006800000011821794,0.014099999994073187,0.02069999998809635","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,58,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,1,2,3,5,7,9,12,15,19,23,28,32,36,40,43,46,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,70,71,73,74,76,78,79,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p6)(h1)(p7),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(h1)(p7)(p8),(h1)(p7)(p8),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(h2)(p11),(h2)(p11),(h2)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12)(h3),(p12)(h3),(p12)(h3),(p12)(h3),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(h3)(p13),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p14)(p15)(h4)(p16),(p14)(p15)(h4),(p14)(p15)(h4),(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(h4)(p16)(p17),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(p21)(p22)(p23)(h5),(p21)(p22)(p23)(h5),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","20,35,47,60,74","0,4,8,12,15,17,21,25,27,31,36,41,48,52,55,61,63,68,69,72,75,78,81,85,88,91,96","tehir,elpehant,fianl,digesitve,knwon,araes,aorund,cliamte,chagne,,heatlhy,hepled,yaers,,brids,finley,sektch,wildilfe,ditsributing,kilmoeters,cuold,anmials,disappear.,affliiated,climtae,mammohts,cna’t,liimt,traget,sohuld,bieng,cretaures,alnog,aivan,tyipcally,reevrsing,vlaue,foexs,hrams","36,53,66,10,66,32,14,31,32,38,61,35,33,17,18,51,58,27,63,34,35,13,47,55,12,57,73,60,14,18,43,19,32,60,15,35,15","2,2,2,1,2,1,2,2,1,2,1,1,2,2,1,1,2,0,1,1,1,1,1,1,2,1,1","1,1,2,1,2,1,1,0,0,0,1,1,0,1,1,1,2,0,1,0,0,0,0,0,2,1,1","tehir,fianl,araes,knwon,aorund,cliamte,chagne,,heatlhy,yaers,,kilmoeters,cuold,climtae,mammohts,cna’t,liimt,traget,sohuld,vlaue,reevrsing,foexs,hrams","p1,p2,p3,p3,p4,p5,p5,p6,p7,p11,p12,p14,p15,p16,p17,p17,p19,p25,p25,p26,p27","17.17140000000596,50.16330000001192,60.94459999999404,70.23680000001193,75.869,95.45509999999403,98.03059999999404,108.41719999998809,120.5185,188.63790000000597,220.84959999999404,257.0765,274.93240000000594,289.476400000006,304.30609999999405,310.172,327.508,376.83559999999403,385.8835,395.88969999998807,411.711099999994","","","","heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","483637","0.0-5.0","","","11902.90000000596","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5f68cb292206110444d6f70f_1651595696654","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","487897","0.0-6.0","","","4259.4000000059605","While reading the article, how carefully did you pay attention?","","5f68cb292206110444d6f70f_1651595696654","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","heading","69","","","","","","","","","",""
"","html-slider-response","7","492898","0.0-7.0","","","5000","How well do you feel you understood the key points of the article?","","5f68cb292206110444d6f70f_1651595696654","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","heading","66","","","","","","","","","",""
"","html-slider-response","8","498733","0.0-8.0","","","5834.700000017881","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5f68cb292206110444d6f70f_1651595696654","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","heading","16","","","","","","","","","",""
"","html-slider-response","9","501943","0.0-9.0","","","3209.2999999821186","How interesting did you find the topic of this article after the first few paragraphs?","","5f68cb292206110444d6f70f_1651595696654","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","heading","23","","","","","","","","","",""
