"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","23386","0.0-0.0","1280","720","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","42043","0.0-1.0","1280","720","18650.79999998212","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5f76884e077186131e17d851_1651690921654","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","63431","0.0-2.0","","","21380.69999998808","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5f76884e077186131e17d851_1651690921654","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","105784","0.0-3.0","","","42351.90000000596","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5f76884e077186131e17d851_1651690921654","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","592839","0.0-4.0","","","487033.1999999881","","","5f76884e077186131e17d851_1651690921654","test_trial","","","720","369870.59999996424","100","2","down,down,down,down,down,down,down,down,down,down,down,down,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down","89.29089999997616,89.35779999998212,89.424,98.25109999999404,98.48389999997616,98.58869999998808,98.66739999997615,98.78379999998212,98.85059999999405,99.03489999997616,99.20029999998212,99.76639999997616,101.11609999999403,101.44879999998211,102.33129999998212,102.38119999998808,102.49789999997616,119.63569999998808,120.01879999998212,134.38469999998807,134.42479999998213,134.47469999998808,134.62459999999405,152.94529999998213,172.81429999998213,173.03059999999405,173.11379999998212,173.21389999997615,173.31369999998807,173.44689999997615,173.64669999998807,200.67729999998213,211.02069999998807,211.38709999999404,224.34259999999404,224.39439999997614,224.42769999998808,224.49439999997617,224.62769999998807,224.71069999998807,224.84439999997616,225.0606999999881,225.41029999998213,276.04109999999406,276.50729999998214,282.653,282.66919999998805,282.6863999999762,282.703,282.7186999999881,282.73539999997615,282.9527999999821,283.768599999994,283.985,306.48609999999405,306.569,306.6025,306.61869999998805,306.63889999997616,306.6527999999821,313.7636999999881,314.23,342.27689999997614,342.526099999994,351.004099999994,351.054,351.2035,363.89489999997613,364.0452999999821,364.2608999999762,371.1226999999881,383.947,384.1797999999821,384.31359999999404,384.36329999998213,384.3965,384.8295,384.9631999999881,385.113,402.43409999999403,408.79579999998214,409.0285,409.14559999999403,409.312,409.42859999999405,425.83389999997615,425.91589999997615,426.3328999999762,426.3832999999821,426.43289999997614,426.48339999997614,426.5665,426.6332999999821,448.4508999999762,448.550099999994,448.71719999998805,448.85,449.13359999999403,449.1503999999762,449.18339999997613,601.844599999994,601.8575,601.8753999999761,601.8927999999821,601.9088999999761,601.9243999999761,601.9427999999821,601.958,601.9750999999941,601.9925,614.4157999999821,614.4318999999762,614.4498999999762,614.4647999999821,614.4832999999821,614.498699999988,614.515099999994,614.5323999999762,614.5481999999881,614.8977999999821,614.916,614.9326999999881,614.95,614.9647999999821,614.9816999999881,614.9993999999762,615.0325,615.0491999999881,615.0817999999821,615.1645,615.7311999999881,615.7997999999822,615.8805,615.9808999999761,616.1635999999941,616.263699999988,616.3645,616.463599999994,616.5316999999881,616.5803999999762,617.0465,617.0968999999761,617.1296999999881,631.1702999999821,631.1865999999941,631.2031999999881,631.219699999988,631.2362999999821,631.2537999999821,631.2705,631.2865,631.3041999999881,650.448,651.7932999999821,651.8046999999881,651.8235,651.838099999994,651.8553999999762,651.8728999999762,651.8883999999762,651.906099999994,651.9231999999881,651.955099999994,652.1878999999761","-117073.30910002386,0.0669000000059583,0.0662000000178864,8.827099999994033,0.2327999999821202,0.10480000001192025,0.07869999998807486,0.11640000000596729,0.06680000001192354,0.184299999982116,0.16540000000595967,0.5660999999940373,1.3497000000178758,0.33269999998807975,0.8825000000000074,0.0499000000059624,0.11669999998807157,17.13780000001192,0.38309999999404454,14.36590000000595,0.040099999994055224,0.049900000005948186,0.14990000000597092,18.32069999998808,19.869,0.21630000001192684,0.08319999998806793,0.10009999999402908,0.0998000000119248,0.1331999999880793,0.1998000000119191,27.030599999994052,10.343400000005943,0.3664000000059673,12.9555,0.0517999999821086,0.03330000001193412,0.06669999998808862,0.1333000000119,0.08299999999999841,0.1336999999880959,0.21630000001192684,0.3495999999940409,50.63080000001193,0.4661999999880777,6.145700000017882,0.016199999988032232,0.017199999988122272,0.01660000002380002,0.0156999999881009,0.016699999988077252,0.21740000000596638,0.8158000000119046,0.21640000000599002,22.50109999999404,0.08290000000596365,0.03350000000000364,0.016199999988032232,0.020199999988108175,0.013900000005946822,7.110900000005984,0.46630000001192684,28.04689999997612,0.24920000001787912,8.478000000000009,0.049900000005948186,0.14950000000004593,12.691399999976113,0.1504000000059591,0.2155999999940832,6.861800000011897,12.824300000011931,0.23279999998209178,0.13380000001194503,0.04969999998809271,0.033200000017870934,0.4329999999999927,0.1336999999880959,0.14980000001190774,17.321099999994033,6.3616999999881045,0.2327000000178714,0.11709999999402498,0.16640000000597865,0.11659999999403681,16.405299999982105,0.08199999999999363,0.41700000000003,0.05040000000593636,0.04959999999402953,0.050499999999999545,0.08310000002387596,0.06679999998209496,21.81759999999406,0.09920000001784501,0.16709999999403635,0.13280000001196868,0.28359999999401,0.016799999982140434,0.03299999999995862,152.66120000001786,0.012900000005970469,0.01789999997617997,0.017400000005977745,0.016099999994025893,0.015499999999974534,0.018400000005954098,0.015200000017898674,0.017099999994115933,0.017400000005864058,12.423299999982191,0.016099999994025893,0.018000000000029104,0.014900000005923175,0.01850000000001728,0.015400000005911352,0.016400000006001392,0.01729999998212861,0.015800000011950033,0.34959999999398406,0.01820000001794142,0.016699999988077252,0.017300000011914562,0.014799999982074041,0.01690000000598957,0.017699999988053605,0.033100000023864595,0.016699999988077252,0.03259999999397678,0.08270000001789413,0.5666999999881455,0.06859999999403499,0.08070000001782773,0.10039999997616178,0.18270000001791686,0.10009999999397223,0.10080000001198641,0.09909999999399588,0.06809999999404681,0.04869999998811636,0.4661000000238573,0.05039999997609357,0.032800000012002783,14.040599999994015,0.01630000001193821,0.01659999999401407,0.016499999999950887,0.01659999999401407,0.017500000000040927,0.016700000017863204,0.016000000000076398,0.017699999988053605,19.14380000001188,1.3452999999821031,0.01140000000600594,0.018800000011879092,0.014599999994061363,0.01729999998212861,0.017500000000040927,0.015499999999974534,0.017700000017839557,0.017099999994115933,0.03190000000586224,0.23279999998214862","1,2,3,4,5,6,7,8,9,10,11,12,11,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47,48,49,50,51,52,53,54,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,98,99,100,1,3,8,13,20,24,28,29,31,32,35,41,45,46,48,49,51,52,53,55,57,61,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,86,90,94,95,97,98,99,100,0,3,11,21,29,50,75,85,94,98,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(p3),(p4)(p5)(p6)(p3),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p7)(p8),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p9)(p10),(p9)(p10),(p9)(p10)(p11),(p9)(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p12),(p12)(p13),(p12)(p13),(p12)(p13),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p14)(p15),(p14)(p15)(p16),(p14)(p15)(p16),(p15)(p16),(p15)(p16),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17),(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","","0,5,8,12,16,18,21,25,28,32,36,40,46,51,55,60,62,67,68,71,74,76,79,84,87,90,96","soemwhere,trnasporters,sotmach,tusekd,reamin,phenmoenon,hospitbale,gretaer,lonegr,relatoinships,feewr,tuend,palnts,mammlas,curretnly,seeds,tensinos,grownig,syurp,,had’nt,hrader,shfiting,lagre,eoclogy,capbale,mid-02th,gorwing,otfen,palnts,ivnolved,natvie,thier,aern’t,evovled,ladnscape,pertty,wonderufl,trhives,otehrs","13,77,37,40,54,65,46,53,22,17,17,18,50,10,21,59,63,18,62,71,23,44,27,30,78,46,32,21,46,51,58,12,19,42,21,12,13,28,16","2,2,2,2,1,1,1,1,2,2,1,2,2,1,1,1,1,0,1,1,2,1,2,2,1,2,2","2,2,2,2,1,1,1,1,2,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,2,2","soemwhere,trnasporters,sotmach,tusekd,reamin,phenmoenon,hospitbale,gretaer,lonegr,relatoinships,feewr,tuend,mammlas,palnts,curretnly,grownig,hrader,capbale,gorwing,otfen,natvie,aern’t,ladnscape,pertty,wonderufl,otehrs,trhives","p1,p1,p2,p2,p3,p3,p4,p4,p5,p6,p7,p8,p9,p9,p10,p12,p13,p17,p20,p21,p23,p24,p25,p26,p26,p27,p27","5.8716999999880795,37.778,47.471,64.45729999998211,93.13839999997616,95.68219999998809,115.48889999997616,117.70389999997616,128.7452999999821,144.33369999998808,155.99259999999404,178.74239999997616,188.97019999998807,196.46429999998213,218.56339999997616,270.07769999998806,289.63109999999403,365.78409999999405,391.7275,397.9863999999762,422.1507999999821,435.11609999999405,443.72339999997615,453.6857999999821,455.0427999999821,481.21129999998215,484.2072999999821","savanna.","p1","10.198299999982119","no_heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","616862","0.0-5.0","","","24006.59999999404","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5f76884e077186131e17d851_1651690921654","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","621373","0.0-6.0","","","4496.199999988079","While reading the article, how carefully did you pay attention?","","5f76884e077186131e17d851_1651690921654","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","no_heading","85","","","","","","","","","",""
"","html-slider-response","7","625330","0.0-7.0","","","3954.7000000178814","How well do you feel you understood the key points of the article?","","5f76884e077186131e17d851_1651690921654","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","no_heading","70","","","","","","","","","",""
"","html-slider-response","8","630339","0.0-8.0","","","5008.300000011921","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5f76884e077186131e17d851_1651690921654","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","no_heading","57","","","","","","","","","",""
"","html-slider-response","9","635610","0.0-9.0","","","5269.5999999940395","How interesting did you find the topic of this article after the first few paragraphs?","","5f76884e077186131e17d851_1651690921654","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","no_heading","53","","","","","","","","","",""
