"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","198727","0.0-0.0","1536","864","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","207200","0.0-1.0","1536","864","8466.600000023842","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5fb57ec2517a3e0b16afae3a_1651673672817","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","785310","0.0-2.0","","","578107.8999999762","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5fb57ec2517a3e0b16afae3a_1651673672817","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","1035341","0.0-3.0","","","250029.89999997616","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5fb57ec2517a3e0b16afae3a_1651673672817","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","1486247","0.0-4.0","","","450825.40000009537","","","5fb57ec2517a3e0b16afae3a_1651673672817","test_trial","","","864","-591958.5999999046","100","0","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","82.28260000002385,82.33210000002384,82.4245,82.57380000007153,82.82330000007153,83.09030000007152,83.5395,84.05560000002384,112.6625,112.7955,112.89530000007153,113.02860000002384,137.93910000002384,138.18870000004767,138.55480000007154,139.1207000000477,157.265,157.5042000000477,157.73690000009537,158.60320000004768,177.11980000007154,177.21880000007152,177.4515,204.0462000000477,204.14590000009537,204.21120000004768,204.49310000002384,204.86090000009537,225.62330000007154,226.14060000002385,245.4725,245.57140000009537,245.6712000000477,245.92080000007152,246.105,263.771,264.004,264.3372000000477,264.6866000000238,290.6383000000715,290.729,290.87890000009537,290.9955,291.17860000002383,291.87780000007155,307.01370000004766,309.1116000000238,316.98790000009535,321.7335,322.6157000000477,323.2985,323.9146000000238,338.8179000000954,339.0337000000477,339.18360000002383,339.43360000002383,339.86610000002383,354.5527000000477,354.6524000000954,354.8355,356.76710000002385,368.4398000000715,378.43990000009535,378.5802000000477,378.7133000000715,378.8136000000238,378.963,391.0686000000238,391.48470000004767,411.48290000009536,411.59930000007154,411.7824000000954,411.949,412.29830000007155,415.49560000002384,428.25030000007155,436.30960000002386,436.592,437.4418000000715,438.6075,438.6623000000715,438.7267000000477,438.79330000007155,438.8596000000238,438.9099000000954,438.95940000009534,439.026,439.1094000000954,439.20980000007154,439.29240000009537,439.35880000007154,439.44240000009535,439.509,440.0398000000715,440.0894000000954,440.1393000000715,440.20590000009537,440.2724000000954,440.3723000000715,440.42240000009537,718.8616000000238,718.8951000000238,718.912,718.9287000000477,718.9448000000715,718.9783000000715,719.4114000000953,719.4285,719.4446000000238,719.4618000000715,719.4783000000715,719.4947000000477,719.5111000000238,719.5279000000953,719.5447000000477,719.5613000000715,719.578,719.5946000000239,719.6481000000239,719.6627000000477,719.6784000000954,719.6943000000715,719.711,719.7275,719.744,719.7607000000477,720.1771000000239,720.2106000000239,720.2268000000715,720.2519000000954,720.2619000000954,720.6952000000476,720.7268000000715,720.7434000000953,720.7601000000238,720.7931000000239,721.5759000000953,721.6095,721.626,721.6429000000953,721.6756000000238,722.5775,722.6084000000953,722.6416000000238,722.6585,722.6753000000715,748.0846000000239,748.1177000000476,748.1342000000477,748.1509000000954,748.1676000000239,748.4679000000954,748.5009000000954,748.5177000000477,748.5344000000954,748.5674000000954,748.667,748.7004000000953,748.7175,748.7336000000239,748.7504000000954,748.8336000000238,748.8667000000477,748.8833000000715,748.9001000000238,748.9337000000477,749.0502000000477,749.0669000000954,749.0836000000238,749.1011000000238,749.1333000000715,749.2666000000238,767.2327000000477,770.797,770.8302000000477,770.8463000000716,770.8635,770.8977000000477,771.3127000000477,771.3298000000715,771.3461000000239,771.3633000000715,771.3794000000954,771.3961000000238,771.4135,771.4291000000238,771.4461000000239,771.4625,771.4793000000715,771.4958000000715,771.5125,771.551,771.5638000000715,771.5801000000239,771.5969000000954,771.6136000000239,771.6315,771.6469000000953,771.6633000000716,771.6797000000477,771.6969000000954,771.7137000000477,771.7303000000716,771.747,771.7636000000239,771.779,771.7958000000715,771.8126000000238,771.829,771.8459000000954,772.131,772.1627000000477,772.1786000000238,772.1953000000715,772.2287000000476,772.4976000000238,772.5307000000477,772.5454000000954,772.5629000000954,772.5952000000477,772.7447000000477,772.7777000000477,772.7946000000238,772.811,773.0611000000239,773.0945,773.1115,773.1447000000477,773.161,773.2275,773.2777000000477","-1042701.7174,0.04949999999999477,0.092399999976152,0.1493000000715341,0.2494999999999976,0.2669999999999959,0.4491999999284815,0.5161000000238403,28.60689999997615,0.13300000000000978,0.09980000007152512,0.1332999999523139,24.9105,0.24960000002383254,0.366100000023863,0.5658999999761534,18.144299999952295,0.2392000000477026,0.23270000004768576,0.8662999999523038,18.516600000023857,0.09899999999998954,0.2326999999284851,26.59470000004768,0.09970000004767599,0.06529999995231606,0.28189999997616155,0.3678000000715258,20.762399999976168,0.5172999999523142,19.331899999976144,0.09890000009536948,0.09979999995232447,0.24960000002383254,0.1841999999284667,17.666000000000025,0.2330000000000041,0.33320000004766825,0.3493999999761286,25.95170000004771,0.09069999992846078,0.14990000009538562,0.11659999990462211,0.18310000002384186,0.6992000000477105,15.135899999976118,2.097899999976164,7.876300000071524,4.745599999904641,0.8822000000477033,0.6827999999522945,0.6161000000238346,14.903300000071567,0.21579999995230992,0.14989999997612813,0.25,0.43250000000000455,14.686600000023873,0.09970000004767599,0.1830999999046412,1.9316000000238205,11.672700000047655,10.00010000002385,0.1402999999523331,0.1331000000238305,0.10029999995231265,0.1493999999761968,12.105600000023799,0.41610000002384595,19.99820000004769,0.11639999997618133,0.18310000002384186,0.16659999990463348,0.34930000007153694,3.1972999999522926,12.754700000047706,8.059299999952316,0.2823999999761213,0.8498000000715251,1.1656999999285063,0.0548000000715092,0.06439999997616042,0.06660000002386823,0.06629999995226399,0.05030000007155877,0.04949999999996635,0.06659999990466758,0.08340000009536652,0.10039999997616178,0.08260000002383094,0.06639999997616997,0.0836000000238073,0.06659999990466758,0.5308000000715083,0.049600000023872326,0.04989999997610539,0.06660000002386823,0.0665000000000191,0.09989999997611676,0.0501000000238605,278.43919999992846,0.03350000000000364,0.016899999976203617,0.016700000047649155,0.016100000023811845,0.03350000000000364,0.43310000002384186,0.017099999904644392,0.016100000023811845,0.01720000004775102,0.016499999999950887,0.01639999997621544,0.016399999976101753,0.01680000007149829,0.016799999952354483,0.01660000002380002,0.01669999992850535,0.016600000023913708,0.05349999999998545,0.014600000023847315,0.015700000047672802,0.015899999976113577,0.01669999992850535,0.016499999999950887,0.016500000000064574,0.016700000047649155,0.4163999999761927,0.03350000000000364,0.01620000004766098,0.025100000023826397,0.009999999999990905,0.43329999995228263,0.031600000023900066,0.01660000002380002,0.01669999992850535,0.03300000000001546,0.782800000071461,0.033599999904708966,0.016499999999950887,0.016900000095347423,0.03269999992846806,0.9018999999761945,0.030900000095357427,0.033199999928456236,0.016899999976203617,0.01680000007149829,25.409299999952395,0.03310000002375091,0.016500000000064574,0.016700000047649155,0.01669999992850535,0.3003000000715019,0.03300000000001546,0.016799999952354483,0.016700000047649155,0.03300000000001546,0.0995999999046262,0.03340000009529831,0.017099999904644392,0.01610000002392553,0.01680000007149829,0.08319999992841076,0.033100000023864595,0.01660000002380002,0.016799999952354483,0.03360000002385277,0.11649999999997362,0.016700000047762842,0.016699999928391662,0.017500000000040927,0.03220000004762369,0.1332999999523281,17.966100000023857,3.564299999952368,0.03320000004771373,0.016100000023811845,0.017199999928493526,0.03420000004769008,0.4149999999999636,0.017100000023788198,0.016299999952366306,0.01720000004763733,0.01610000002392553,0.016699999928391662,0.017399999976191793,0.015600000023823668,0.01700000000005275,0.016399999976101753,0.01680000007149829,0.016500000000064574,0.01669999992850535,0.03849999999999909,0.01280000007147919,0.016299999952366306,0.01680000007149829,0.01669999992850535,0.017899999976066283,0.015400000095382893,0.01639999997621544,0.016399999976101753,0.01720000004775102,0.016799999952240796,0.016600000023913708,0.016699999928391662,0.016600000023913708,0.0153999999761254,0.01680000007149829,0.016799999952354483,0.016399999976101753,0.01690000009546111,0.2850999999045598,0.0317000000477492,0.015899999976113577,0.016700000047649155,0.033399999976154504,0.2688999999761563,0.033100000023864595,0.014700000047696449,0.017500000000040927,0.03229999995232902,0.14949999999998909,0.03300000000001546,0.01689999997608993,0.01639999997621544,0.25010000002384913,0.033399999976154504,0.016999999999939064,0.03320000004771373,0.01629999995225262,0.0665000000000191,0.05020000004776648","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,1,2,3,4,5,6,7,8,10,12,14,16,19,21,24,27,30,33,41,44,46,49,51,52,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,1,2,3,4,5,6,7,8,9,11,13,15,18,20,23,26,29,32,37,40,42,45,47,50,52,55,57,60,62,65,68,70,73,75,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p9)(p10),(p9)(p10)(p11),(p9)(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(p16),(p14)(p15)(p16),(p15)(p16),(p15)(p16),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17),(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p18)(p19)(p20),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","","0,5,8,12,16,18,21,25,28,32,36,41,47,51,55,60,62,67,68,71,74,76,79,84,87,91,96","devleoped,symibotic,digestvie,mulitple,cnoditions,menas,maeks,millinos,eorsion,feewr,averaeg,,betewen,rceent,anmials,mlies),lrage,moevd,prodcue,reserachers,capbale,wlidlife,sedes,long-distnace,ecolgoy,ca’nt,sotre,taregt,flalen,benig,canpoy,starilngs,arrvials,two-tihrds,arne’t,resotre,shwos,vaule,prefectly,eaxmples,rpiple","43,47,10,60,58,18,34,21,15,12,52,39,46,36,29,42,20,60,38,42,23,75,31,30,12,64,73,53,14,25,27,22,15,19,37,13,15,85,14,18","2,2,1,1,1,2,2,1,1,1,2,2,1,2,2,2,2,0,1,2,1,1,1,2,2,2,1","1,1,1,1,1,2,2,0,1,0,1,1,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0","devleoped,digestvie,cnoditions,menas,maeks,eorsion,millinos,feewr,averaeg,,rceent,lrage,moevd,sedes,ca’nt,sotre,taregt,flalen","p1,p2,p3,p4,p5,p6,p6,p7,p7,p9,p11,p12,p15,p16,p17,p17,p19","22.03540000009537,47.219200000047685,106.46280000007152,123.27880000007153,154.11630000007153,165.8597000000477,169.8467000000477,184.713,196.831,238.22240000009538,279.1144000000954,301.26930000007155,374.7368000000715,384.92160000002383,404.2395,409.19780000007154,433.1263000000715","","","","no_heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","1539447","0.0-5.0","","","53192.60000002384","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5fb57ec2517a3e0b16afae3a_1651673672817","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","1546019","0.0-6.0","","","6517.100000023842","While reading the article, how carefully did you pay attention?","","5fb57ec2517a3e0b16afae3a_1651673672817","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","no_heading","73","","","","","","","","","",""
"","html-slider-response","7","1551802","0.0-7.0","","","5735.099999904633","How well do you feel you understood the key points of the article?","","5fb57ec2517a3e0b16afae3a_1651673672817","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","no_heading","77","","","","","","","","","",""
"","html-slider-response","8","1559496","0.0-8.0","","","7691.699999928474","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5fb57ec2517a3e0b16afae3a_1651673672817","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","no_heading","41","","","","","","","","","",""
"","html-slider-response","9","1568252","0.0-9.0","","","8752.299999952316","How interesting did you find the topic of this article after the first few paragraphs?","","5fb57ec2517a3e0b16afae3a_1651673672817","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","no_heading","28","","","","","","","","","",""
