"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","33133","0.0-0.0","1536","864","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","77344","0.0-1.0","1536","864","44199.5","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","608069ed5ce99ea156285118_1651580758098","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","108075","0.0-2.0","","","30725.399999976158","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","608069ed5ce99ea156285118_1651580758098","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","175226","0.0-3.0","","","67162.30000007153","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","608069ed5ce99ea156285118_1651580758098","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","863767","0.0-4.0","","","688500.8999999762","","","608069ed5ce99ea156285118_1651580758098","test_trial","","","864","494103.89999997616","161","31","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","48.96739999997616,49.04410000002384,49.44239999997616,50.54339999997616,92.2325,92.37789999997617,92.59210000002385,92.75889999997615,92.85830000007152,93.45860000002384,93.69189999997616,94.00870000004768,136.3915,136.62439999997616,137.258,137.4248000000715,138.05839999997616,138.24170000004767,160.8835,161.0335,161.384,162.30060000002385,191.62820000004768,191.71170000004767,191.84480000007153,192.44510000002384,192.67880000007153,194.02910000002385,230.4095,245.515,245.61539999997615,245.74810000002384,245.88180000007154,246.4985,246.79939999997615,247.24910000002384,258.053,258.4527000000477,258.71960000002383,297.218,297.38389999997617,298.1046000000238,298.2348000000715,298.402,336.1153000000715,336.21570000004766,336.86970000004766,336.9488000000715,337.03189999997613,337.73360000002384,339.685,339.94980000007155,342.2008000000715,383.9998000000715,384.2998000000715,385.01639999997616,386.5172000000477,409.7428000000715,410.20939999997614,414.7448000000715,421.96939999997613,422.23010000002387,423.04760000002386,423.364,424.58160000002385,429.2867000000477,429.5998000000715,432.6236000000238,432.6515,432.6678000000715,432.6845,432.7175,432.7511000000238,432.85110000002385,433.21839999997616,433.33489999997613,433.35139999997614,433.36810000002384,433.38460000002385,433.43460000002386,433.4511000000238,433.48539999997615,433.55130000007154,433.6182000000477,433.735,433.902,433.9852000000477,434.0016000000238,434.018,434.0351000000238,434.052,434.08510000002383,434.23489999997616,434.6182000000477,434.6517000000477,434.66830000007155,434.70210000002385,435.86860000002383,435.8855,435.90230000007153,435.919,435.9352000000477,435.952,435.98560000002385,436.00210000002386,436.0357000000477,436.06870000004767,436.1021000000238,436.1385,436.1857000000477,436.25210000002386,436.3353000000715,436.38539999997613,436.40230000007153,436.419,436.4357000000477,436.4522000000477,436.48580000007155,436.55239999997616,436.75260000002385,436.936,436.95230000007155,436.969,436.98589999997614,437.0023000000715,437.0192000000477,437.0527000000477,437.61920000004767,458.06080000007154,458.22739999997617,458.994,459.14389999997616,486.8377000000477,486.97089999997615,487.60470000004767,487.888,488.52160000002385,488.95660000002385,521.2006000000239,521.2835,521.4003999999761,522.0341000000238,522.0838999999762,522.701,541.3936000000239,541.6247000000477,542.3913999999761,581.6397000000477,581.8228999999761,582.4731000000238,582.6735,588.8591000000239,589.1086000000239,594.4112000000476,594.7112000000477,616.6862000000477,616.7357000000477,617.4858999999761,631.9252000000477,632.1748999999761,632.6752000000477,809.0521000000239,809.0736000000238,809.0907000000477,809.1073999999761,809.1243000000716,809.1581000000239,809.1923000000716,809.2082000000477,809.2248000000716,809.2908999999762,809.3241000000238,809.375,809.4238000000715,809.7586000000239,809.7912000000476,809.8072000000477,809.8243000000715,809.8408999999762,809.8573999999761,809.8737000000477,809.8905,809.9073000000715,809.9237000000477,809.9575,827.1332000000477,827.1473000000715,827.1638000000715,827.1806000000238,827.1976000000238,827.2138999999762,827.2308000000716,827.2478000000715,827.2646000000238,827.2817000000476,827.298,827.3151000000238,827.3311000000239,827.3475,831.5503999999762,831.5822000000477,831.5985,831.6153999999761,831.6321000000238,831.6487000000477,831.6652000000477,831.6822000000477,831.6988999999761,831.7158999999762,831.7323999999761,831.7656000000238,831.7825,848.4246000000238,848.4552000000477,848.4716000000238,848.4883999999762","-194348.03260000004,0.07670000004767985,0.39829999995232157,1.100999999999999,41.68910000002384,0.14539999997616349,0.2142000000476827,0.16679999995230332,0.09940000009537187,0.6002999999523126,0.23329999995232242,0.31680000007152387,42.382799999952326,0.23289999997615496,0.6336000000238471,0.16680000007150397,0.6335999999046464,0.1833000000715117,22.641799999952326,0.15000000000000568,0.3504999999999825,0.9166000000238625,29.327600000023835,0.08349999999998658,0.1331000000238589,0.6002999999523126,0.23370000004769054,1.3502999999523126,36.38039999997616,15.105499999999978,0.10039999997616178,0.13270000004769145,0.13370000004769622,0.6166999999284712,0.3008999999761386,0.4497000000476987,10.803899999976153,0.39970000004768735,0.2668999999761468,38.498399999976186,0.16589999997614768,0.7207000000476569,0.13020000004769372,0.1671999999284708,37.71330000007151,0.10039999997616178,0.6539999999999964,0.07910000002385686,0.08309999990461847,0.7017000000477083,1.9513999999761609,0.2648000000715456,2.2509999999999764,41.79899999999998,0.30000000000001137,0.7165999999046448,1.5008000000715356,23.225600000023803,0.46659999990464485,4.535400000095365,7.224599999904626,0.2607000000477342,0.8174999999999955,0.3163999999761131,1.2176000000238787,4.705100000023833,0.3131000000238373,3.0237999999523026,0.027899999976170875,0.016300000071510112,0.01669999992850535,0.03299999999995862,0.03360000002385277,0.10000000000002274,0.36729999995230855,0.11649999999997362,0.01650000000000773,0.016700000047706,0.01650000000000773,0.05000000000001137,0.016499999999950887,0.03429999995233857,0.06590000009538244,0.06689999997615814,0.11679999995232038,0.16699999999997317,0.0832000000477251,0.016399999976101753,0.016399999976158597,0.01710000002384504,0.016899999976203617,0.03310000002380775,0.14979999995233584,0.38330000007152876,0.03350000000000364,0.016600000023856865,0.03379999995229355,1.166499999999985,0.016899999976146773,0.016800000071555132,0.016699999928448506,0.016200000047717822,0.01679999995229764,0.03360000002385277,0.01650000000000773,0.03360000002385277,0.03299999999995862,0.033399999976154504,0.03639999997619725,0.04720000004766689,0.06639999997616997,0.08320000004766825,0.05009999990460301,0.016900000095404266,0.016699999928448506,0.016700000047706,0.01650000000000773,0.03360000002385277,0.06659999990461074,0.2002000000476869,0.18339999997613177,0.016300000071566956,0.016699999928448506,0.016899999976146773,0.016400000095359246,0.016899999976203617,0.03350000000000364,0.5664999999999623,20.44160000002387,0.16659999990463348,0.7666000000238569,0.14989999997612813,27.69380000007152,0.13319999992847897,0.6338000000715169,0.28329999995230537,0.6336000000238755,0.4350000000000023,32.24400000000003,0.08289999997612085,0.11689999997611267,0.6337000000477246,0.049799999952369944,0.6171000000238109,18.692600000023845,0.23110000002384368,0.7666999999283917,39.248300000071595,0.1831999999284335,0.6502000000476755,0.20039999997618452,6.185600000023896,0.24950000000001182,5.3026000000237445,0.3000000000000682,21.975000000000023,0.04949999999996635,0.7501999999284408,14.439300000071512,0.2496999999284526,0.5003000000715474,176.37689999997622,0.02149999999994634,0.017100000023901885,0.016699999928391662,0.01690000009546111,0.03379999995229355,0.03420000004769008,0.015899999976113577,0.016600000023913708,0.06609999990462256,0.03320000004760004,0.05089999997619543,0.0488000000715374,0.3347999999523381,0.03260000002376273,0.016000000000076398,0.017100000023788198,0.016599999904656215,0.016499999999950887,0.0163000000716238,0.016799999952240796,0.01680000007149829,0.01639999997621544,0.03379999995229355,17.175700000047755,0.014100000023745451,0.016500000000064574,0.016799999952240796,0.01700000000005275,0.016299999952366306,0.016900000095347423,0.016999999999939064,0.016799999952354483,0.017100000023788198,0.016299999952366306,0.017100000023788198,0.016000000000076398,0.016399999976101753,4.202899999976239,0.031800000071484646,0.01629999995225262,0.016899999976203617,0.016700000047649155,0.016600000023913708,0.016499999999950887,0.01700000000005275,0.016699999928391662,0.01700000000005275,0.016499999999950887,0.03320000004771373,0.016899999976203617,16.642100000023788,0.030600000023923712,0.016399999976101753,0.016799999952354483","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,73,74,75,76,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,97,98,99,100,99,97,96,95,93,92,91,90,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,68,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,22,24,25,26,27,28,30,34,37,41,44,47,49,51,53,54,55,57,58,59,62,65,69,71,73,75,76,77,79,80,81,82,83,88,94,98,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p6)(h1)(p7),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(h1)(p7)(p8),(h1)(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(h2)(p11),(h2)(p11),(h2)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12)(h3),(p12)(h3),(p12)(h3),(p12)(h3),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(h3)(p13),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(h4)(p16)(p17),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),(p26)(p27),(p26)(p27)(p25),(p26)(p25),(p26)(p25)(p24),(p26)(p25)(p24),(p25)(p24),(p25)(p24),(p25)(p24)(p23),(p25)(p24)(p23),(p24)(p23),(p24)(p23)(p22),(p24)(p23)(p22),(p24)(p23)(p22),(p23)(p22)(p21),(p23)(p22)(p21),(p23)(p22)(p21)(h5),(p23)(p22)(p21)(h5),(p23)(p22)(p21)(h5),(p22)(p21)(h5)(p20),(p22)(p21)(h5)(p20),(p22)(p21)(h5)(p20)(p19),(p21)(h5)(p20)(p19),(p21)(h5)(p20)(p19)(p18),(p21)(h5)(p20)(p19)(p18),(h5)(p20)(p19)(p18),(h5)(p20)(p19)(p18),(h5)(p20)(p19)(p18)(p17),(p20)(p19)(p18)(p17),(p19)(p18)(p17),(p19)(p18)(p17)(p16),(p19)(p18)(p17)(p16)(h4),(p18)(p17)(p16)(h4)(p19),(p18)(p17)(p16)(p19),(p18)(p17)(p16)(p19),(p18)(p17)(p19)(p20),(p18)(p17)(p19)(p20),(p18)(p17)(p19)(p20)(h5),(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","20,35,47,60,74","0,4,8,12,15,17,21,25,27,31,36,41,48,52,55,61,63,68,69,72,75,78,81,85,88,91,96","thier,anmials,climtae,srpead,aorund,anmials,ancinet,scientitss,looikng,bidrs,felolw,sceintists,bidrs,currnetly,fsihing,numbres,ainmals,half-cenutry,,capbale,wev’e,crary,lnog-distance,dangreous,tirgger,tohse,teres,faleln,speceis,feewr,platns,effectievly,palnts,,porblem,arne’t,beenfits,wehre,lnoger,maend,effetcs,bneefits","36,61,35,29,14,41,28,24,26,33,23,70,38,21,66,43,82,12,47,24,73,31,24,22,41,54,53,29,28,46,32,35,48,81,25,12,47,25,19,32","1,1,2,1,1,2,1,2,2,1,2,2,1,1,2,2,1,0,2,2,1,2,2,2,1,1,2","1,0,1,1,0,2,1,2,1,0,1,0,1,0,1,0,1,0,2,2,1,1,2,2,0,0,1","thier,climtae,aorund,scientitss,ancinet,looikng,felolw,bidrs,bidrs,fsihing,capbale,lnog-distance,tohse,faleln,teres,feewr,speceis,platns,palnts,,porblem,arne’t,wehre,beenfits,bneefits","p1,p3,p4,p6,p6,p7,p8,p8,p9,p11,p13,p15,p17,p19,p19,p20,p20,p21,p22,p23,p23,p24,p24,p27","17.617300000071527,77.59020000004769,98.21310000002384,143.71170000004767,150.369,169.4585,198.51410000002383,205.12230000007153,225.208,290.16560000002386,359.4868999999762,412.0072000000477,464.2248999999762,503.88230000007155,504.8562000000477,518.0068000000715,519.072,539.3037000000477,551.1103999999762,576.4693999999762,591.3165,602.1136000000239,609.674,682.5001000000238","The","p23","575.4808000000716","heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","884045","0.0-5.0","","","20269.700000047684","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","608069ed5ce99ea156285118_1651580758098","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","889489","0.0-6.0","","","5440.299999952316","While reading the article, how carefully did you pay attention?","","608069ed5ce99ea156285118_1651580758098","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","heading","69","","","","","","","","","",""
"","html-slider-response","7","895574","0.0-7.0","","","6082.899999976158","How well do you feel you understood the key points of the article?","","608069ed5ce99ea156285118_1651580758098","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","heading","91","","","","","","","","","",""
"","html-slider-response","8","904319","0.0-8.0","","","8742.899999976158","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","608069ed5ce99ea156285118_1651580758098","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","heading","42","","","","","","","","","",""
"","html-slider-response","9","910295","0.0-9.0","","","5973.300000071526","How interesting did you find the topic of this article after the first few paragraphs?","","608069ed5ce99ea156285118_1651580758098","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","heading","61","","","","","","","","","",""
