"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","27932","0.0-0.0","1920","1080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","40551","0.0-1.0","1920","1080","12616.600000023842","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","60c52df5ae57d6d7918e76f0_1651598336806","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","52206","0.0-2.0","","","11651.099999964237","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","60c52df5ae57d6d7918e76f0_1651598336806","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","94750","0.0-3.0","","","42543.09999996424","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","60c52df5ae57d6d7918e76f0_1651598336806","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","481694","0.0-4.0","","","386924.10000002384","","","60c52df5ae57d6d7918e76f0_1651598336806","test_trial","","","1080","288285.10000002384","126","13","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,up,up,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","19.106,19.12219999998808,19.13030000001192,19.13930000001192,19.156899999976158,19.1625,19.1725,19.1815,19.19139999997616,19.20489999997616,19.214600000023843,19.2235,19.23139999997616,19.238,19.25539999997616,19.26269999998808,19.48780000001192,19.504600000023842,19.51269999998808,19.522600000023843,19.530399999976158,19.53719999998808,19.54630000001192,19.555,19.56330000001192,19.57989999997616,19.58869999998808,19.595600000023843,19.612899999976158,36.42230000001192,36.4375,36.4465,36.45580000001192,36.47180000001192,36.488,66.84639999997616,66.85530000001192,66.863,66.88760000002384,87.87939999997616,87.89569999998808,87.90269999998807,87.9205,87.93060000002384,87.94630000001192,112.61969999998809,112.63710000002384,112.64539999997616,112.66189999997616,112.68710000002385,124.94410000002384,124.96080000001191,124.96989999997616,124.97889999997616,125.00339999997615,152.05080000001192,152.06939999997616,152.0788000000119,152.09380000001192,152.1121999999881,152.11930000001192,169.16889999997616,169.177,169.1943000000119,169.20180000001193,169.219,169.22689999997615,190.89439999997614,190.91119999998807,190.91930000001193,190.92689999997617,190.952,190.9685,197.92789999997615,197.9355,197.95230000001192,197.95989999997616,197.96839999997616,221.51669999998808,221.53369999998807,221.5525,221.55989999997615,221.569,221.58489999997616,239.08430000001192,239.10010000002384,239.11019999998808,239.11860000002383,239.13419999998808,239.15139999997615,239.376,239.384,239.39319999998807,239.41810000002386,276.81819999998805,276.83439999997614,276.85139999997614,276.859,276.8666999999881,276.88439999997615,299.10780000001193,299.1255,299.13389999997617,299.14210000002385,299.15860000002385,299.1755,320.3248000000119,320.33160000002385,320.3411999999881,320.3588000000119,320.366,340.114,340.13269999998806,340.1408000000119,340.15789999997617,340.1656999999881,340.1915,355.50819999998805,355.52360000002386,355.5323000000119,355.54039999997616,355.5505,355.57389999997616,355.67369999998806,355.69989999997614,355.73310000002385,453.238,466.6475,466.65539999997617,466.6626999999881,466.67260000002386,466.6816999999881,466.68960000002386,466.6985,466.70580000001195,466.7155,466.72210000002383,466.7308000000119,466.73860000002384,466.7488000000119,466.75660000002387,476.9073000000119,478.25489999997615,478.26239999997614,478.2726999999881,478.2801000000238,478.2888000000119,478.297,478.30610000002383,478.315,478.3233000000119,478.3306000000238,478.3398000000119,478.34839999997615,478.6216999999881,478.6311999999881,478.63939999997615,478.64689999997614,478.65639999997614,478.6645,478.6725,478.67980000001194,478.68760000002385,478.6975,478.7041999999881,478.715,478.72169999998806","-98619.894,0.016199999988078417,0.008100000023841147,0.009000000000000341,0.017599999964236446,0.005600000023843421,0.00999999999999801,0.009000000000000341,0.009899999976159535,0.013500000000000512,0.009700000047683233,0.008899999976158313,0.00789999997615709,0.0066000000238410905,0.01739999997615982,0.007300000011920105,0.2251000000238399,0.016800000011922833,0.00809999996423727,0.009900000035763412,0.007799999952315062,0.00680000001192127,0.00910000002384237,0.008699999988078133,0.008300000011921327,0.016599999964238776,0.008800000011920162,0.0069000000357632985,0.017299999952314238,16.809400000035765,0.015199999988077195,0.009000000000000341,0.009300000011918996,0.015999999999998238,0.01619999998808197,30.358399999976157,0.008900000035765743,0.007699999988076911,0.02460000002383822,20.99179999995232,0.016300000011924,0.006999999999990791,0.01780000001193116,0.010100000023840039,0.015699999988072477,24.67339999997617,0.017400000035749486,0.008299999952328108,0.01649999999999352,0.02520000004768974,12.25699999999999,0.016699999988077252,0.00909999996424915,0.009000000000000341,0.024499999999989086,27.047400000035765,0.018599999964237668,0.00940000003575392,0.01500000000001478,0.018399999976168147,0.007100000023825714,17.049599999964244,0.00810000002383049,0.017300000011914562,0.0075000000000216005,0.01719999998806543,0.007899999976160643,21.66749999999999,0.016800000011926386,0.008100000023858911,0.007599999964241988,0.025100000023826397,0.01650000000000773,6.959399999976142,0.007600000023842313,0.016800000011926386,0.007599999964241988,0.008499999999997954,23.54830000001192,0.016999999999995907,0.018800000011935936,0.007399999976144045,0.009100000023835264,0.01589999997617042,17.499400000035763,0.01580000001192161,0.010099999964239714,0.008400000035749144,0.015599999964251765,0.01719999998806543,0.22460000002385527,0.007999999999981355,0.009199999988084073,0.024900000035785297,37.4000999999642,0.016199999988089075,0.016999999999995907,0.007600000023842313,0.0076999999881195436,0.017699999988053605,22.22340000003578,0.017699999988053605,0.008399999976177241,0.008200000047679623,0.01650000000000773,0.016899999976146773,21.14930000001192,0.006800000011935481,0.009599999964223116,0.017600000023833218,0.007199999988074524,19.74799999999999,0.018699999988086802,0.00810000002383049,0.017099999964273138,0.007800000011911834,0.025800000011940938,15.316699999988032,0.01540000003581099,0.008699999988039053,0.008099999964258586,0.010100000023840039,0.0233999999761636,0.09980000001189637,0.02619999998807998,0.03320000004771373,97.50489999997615,13.40949999999998,0.007899999976189065,0.0073000000119236574,0.009900000035770518,0.00909999996423494,0.007900000035760968,0.008899999976165418,0.0073000000119236574,0.00969999998807225,0.006600000023809116,0.008699999988095897,0.007800000011911834,0.010199999988060426,0.007800000011968677,10.150699999988035,1.3475999999642454,0.007499999999993179,0.010300000011966404,0.007400000035715948,0.008699999988095897,0.00819999998810772,0.009100000023806842,0.008899999976165418,0.00830000001190001,0.0073000000119236574,0.009199999988084073,0.008599999964246763,0.2733000000119432,0.009500000000002728,0.008199999988050877,0.007499999999993179,0.009500000000002728,0.00810000002383049,0.008000000000038199,0.0073000000119236574,0.007800000011911834,0.009899999976141771,0.006699999988086347,0.010800000011897737,0.006699999988086347","1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,16,15,14,13,12,10,9,8,6,3,2,1,0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,60,61,63,65,68,72,76,80,84,88,92,95,97,99,100,0,1,3,7,13,21,28,36,44,49,53,55,56,57,58,61,65,69,75,81,86,91,95,98,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p4),(p5)(p6)(h1)(p4),(p5)(p6)(h1)(p4),(p5)(p6)(p4),(p5)(p4)(p3),(p5)(p4)(p3),(p4)(p3)(p2),(p4)(p3)(p2),(p3)(p2),(p3)(p2)(p1),(p3)(p2)(p1),(p3)(p2)(p1),(p3)(p2),(p3)(p2),(p3)(p2)(p4),(p3)(p2)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(h1)(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(h2)(p11),(h2)(p11)(p12),(h2)(p11)(p12),(p11)(p12),(p11)(p12)(h3),(p11)(p12)(h3),(p12)(h3),(p12)(h3),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(h3)(p13),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p13)(p14)(p15),(p14)(p15),(p14)(p15)(h4),(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(h4)(p16)(p17),(h4)(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","20,35,47,60,74","0,4,8,12,15,17,21,25,27,31,36,41,48,52,55,61,63,68,69,72,75,78,81,85,88,91,96","srpead,dupming,rdies,popluations,jouranl,transportatino,,palnts,feebdack,sholud,reltaionships,dcelined,isnects,realtionships,evovled,skecth,vulneralbe,miels),psets,coloer,researhcers,wildilfe,ecologsit,mmamals,migraotry,praticular,cna’t,paoching,naitve,trees,colse,thsoe,ofetn,otfen,disperisng,evovled,dispersres,cuold,depsoit,platns,spceies.","35,57,58,45,35,26,39,9,10,17,46,28,20,19,18,26,29,76,87,38,23,9,28,69,15,12,54,36,54,38,24,21,37,76,42,66,54,68,37,9","2,1,1,2,2,2,2,2,1,1,2,1,1,2,2,2,1,0,2,2,1,1,1,1,2,1,2","1,1,0,2,0,2,1,0,0,1,1,1,0,0,1,2,1,0,0,2,1,1,0,0,2,0,1","dupming,rdies,transportatino,,jouranl,sholud,reltaionships,isnects,vulneralbe,psets,coloer,mmamals,cna’t,praticular,paoching,thsoe,colse,ofetn,otfen,cuold,dispersres,platns","p1,p2,p4,p4,p6,p6,p7,p10,p11,p12,p15,p16,p16,p17,p20,p20,p21,p22,p25,p25,p27","15.511100000023841,32.807100000023844,59.333,63.06080000001192,79.98669999998808,83.78080000001192,95.35080000001192,142.05489999997616,172.73280000001193,189.25260000002385,229.21260000002385,245.30489999997616,246.38860000002384,266.7283000000119,295.3726999999881,298.4243999999762,306.84860000002385,317.6266000000238,350.91730000001195,354.8845,383.9386999999881","","","","heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","491319","0.0-5.0","","","9621.100000023842","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","60c52df5ae57d6d7918e76f0_1651598336806","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","494451","0.0-6.0","","","3131.5","While reading the article, how carefully did you pay attention?","","60c52df5ae57d6d7918e76f0_1651598336806","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","heading","100","","","","","","","","","",""
"","html-slider-response","7","497589","0.0-7.0","","","3136.300000011921","How well do you feel you understood the key points of the article?","","60c52df5ae57d6d7918e76f0_1651598336806","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","heading","29","","","","","","","","","",""
"","html-slider-response","8","501913","0.0-8.0","","","4323.399999976158","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","60c52df5ae57d6d7918e76f0_1651598336806","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","heading","8","","","","","","","","","",""
"","html-slider-response","9","505583","0.0-9.0","","","3668.199999988079","How interesting did you find the topic of this article after the first few paragraphs?","","60c52df5ae57d6d7918e76f0_1651598336806","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","heading","66","","","","","","","","","",""
