"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","10876","0.0-0.0","2560","1440","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","30422","0.0-1.0","2560","1440","19544.699999999997","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","60e6ed7ed08fe0762ae2f290_1651671327604","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","46185","0.0-2.0","","","15761.5","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","60e6ed7ed08fe0762ae2f290_1651671327604","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","94911","0.0-3.0","","","48725.30000000001","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","60e6ed7ed08fe0762ae2f290_1651671327604","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","522445","0.0-4.0","","","427527.8","","","60e6ed7ed08fe0762ae2f290_1651671327604","test_trial","","","1440","329240.1","100","0","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","29.35529999999999,29.421899999999994,34.87879999999999,42.013699999999986,42.09129999999999,52.015899999999995,52.076899999999995,63.81289999999999,63.85739999999999,63.89069999999998,84.112,84.1786,99.0319,99.0986,100.799,101.11019999999998,101.1879,110.29560000000001,110.36219999999999,111.6014,111.66810000000001,127.68839999999999,129.7333,129.80549999999997,137.56830000000002,137.6294,143.1029,149.4877,149.57649999999998,162.8074,162.87399999999997,179.15559999999996,179.22769999999994,180.70019999999997,186.63489999999996,186.70159999999998,191.33039999999997,191.39709999999997,192.6918,192.77509999999998,201.26049999999995,210.84599999999995,210.91259999999997,212.60739999999996,212.67409999999998,215.54699999999994,219.7868,219.85899999999995,227.50519999999995,227.57189999999997,232.93989999999997,233.02309999999997,234.40669999999994,236.6906,236.75719999999995,247.80419999999995,247.87079999999997,268.66459999999995,274.0046,274.0823,279.0834,279.1223,279.15009999999995,279.1946,291.25839999999994,292.8476,292.91439999999994,296.5318,296.58729999999997,296.6261999999999,308.58459999999997,308.6623,310.8572,310.92389999999995,324.3993,324.47139999999996,325.3383,326.67189999999994,326.73859999999996,334.45709999999997,334.52369999999996,342.7589,346.0596,346.1429999999999,356.9676,357.0343,357.7566,357.8288,360.95739999999995,371.22639999999996,371.29859999999996,377.14989999999995,377.21659999999997,380.13949999999994,380.2227,392.7367,393.6202,393.6869,411.6243,411.69089999999994,477.52239999999995,477.53349999999995,477.55009999999993,477.5555999999999,477.5667,477.5723,477.57789999999994,477.58349999999996,477.58899999999994,477.5944999999999,477.60009999999994,477.6055999999999,477.6112,477.61670000000004,477.6223,477.62789999999995,477.63339999999994,477.6389,477.6500999999999,477.6612,477.6724,574.3885,574.405,574.4106999999999,574.4217,574.4272,574.4328999999999,574.4383999999999,574.444,574.4495,574.4550999999999,574.4605999999999,574.4662,574.4718999999999,574.4773,574.4828999999999,574.4884,574.4995,574.5050999999999,574.5161999999999,574.5273000000001,575.433,575.4497,575.4553000000001,575.4663,575.4718999999999,575.4773999999999,575.4830999999998,575.4885999999999,575.4940999999999,575.4998999999999,575.5053,575.5108999999999,575.5163999999999,575.5219,575.5275999999999,575.5330999999999,575.5441999999999,575.5498,575.5609,575.5718999999999,576.611,576.6277,576.6332,576.6443,576.6498999999999,576.6555,576.661,576.6665999999999,576.6722,576.6777,576.6833,576.6888,576.6943999999999,576.6999,576.7055,576.711,576.7221999999999,576.7276999999999,576.7389,576.75,581.9623,581.9789,581.99,582.0010999999998,582.0065999999998,582.0177,582.0233999999999,582.0288,582.0345,582.0400999999998,582.0512,582.0567,582.0678,582.0733999999999,582.0844,582.1066999999999","-98258.34470000002,0.06660000000000466,5.456899999999997,7.134899999999995,0.07760000000000389,9.924600000000005,0.06099999999999994,11.735999999999997,0.04449999999999932,0.03329999999998989,20.221300000000014,0.06660000000000821,14.85329999999999,0.06670000000001153,1.700400000000002,0.31119999999997106,0.07770000000002142,9.107700000000008,0.06659999999997979,1.239200000000011,0.06670000000001153,16.020299999999978,2.044900000000027,0.07219999999995252,7.762800000000055,0.061099999999981947,5.473500000000001,6.384799999999984,0.088799999999992,13.23090000000002,0.06659999999996558,16.281599999999997,0.07209999999997763,1.472500000000025,5.934699999999992,0.06670000000002574,4.628799999999984,0.06669999999999732,1.2947000000000344,0.08329999999997995,8.48539999999997,9.585499999999996,0.06660000000002242,1.6947999999999865,0.06670000000002574,2.8728999999999587,4.239800000000059,0.07219999999995252,7.646199999999993,0.06670000000002574,5.367999999999995,0.08320000000000505,1.3835999999999729,2.2839000000000453,0.06659999999996558,11.046999999999997,0.06660000000002242,20.793799999999976,5.340000000000032,0.077699999999993,5.001100000000008,0.03890000000001237,0.027799999999956526,0.04450000000002774,12.063799999999958,1.5892000000000621,0.0667999999999438,3.617400000000032,0.055499999999995,0.038899999999955526,11.95840000000004,0.07770000000004984,2.1948999999999614,0.0666999999999689,13.475400000000036,0.07209999999997763,0.8669000000000437,1.333599999999933,0.06670000000002574,7.718500000000006,0.066599999999994,8.23520000000002,3.300700000000006,0.08339999999992642,10.824600000000089,0.0666999999999689,0.7223000000000184,0.07220000000000937,3.128599999999949,10.269000000000005,0.07220000000000937,5.851299999999981,0.06670000000002574,2.92289999999997,0.08320000000003347,12.51400000000001,0.8835000000000264,0.0666999999999689,17.937400000000025,0.06659999999993715,65.8315,0.011099999999999,0.01659999999998263,0.005499999999983629,0.011100000000112686,0.005599999999958527,0.005599999999958527,0.0056000000000153705,0.005499999999983629,0.005499999999983629,0.0056000000000153705,0.005499999999983629,0.005600000000072214,0.0055000000000404725,0.005599999999958527,0.005599999999958527,0.005499999999983629,0.0055000000000404725,0.011199999999917054,0.011100000000112686,0.011199999999973898,96.71610000000004,0.016499999999950887,0.005699999999933425,0.011000000000080945,0.005499999999983629,0.005699999999933425,0.005499999999983629,0.005600000000072214,0.005499999999983629,0.005599999999958527,0.005499999999983629,0.005600000000072214,0.005699999999933425,0.005400000000122418,0.00559999999984484,0.005500000000097316,0.011100000000055843,0.00559999999984484,0.011100000000055843,0.01110000000016953,0.9056999999999107,0.01670000000001437,0.005600000000072214,0.010999999999967258,0.00559999999984484,0.005499999999983629,0.005699999999933425,0.005500000000097316,0.005499999999983629,0.00580000000002201,0.005400000000122418,0.00559999999984484,0.005499999999983629,0.005500000000097316,0.005699999999933425,0.005499999999983629,0.011100000000055843,0.005600000000072214,0.011099999999942156,0.010999999999967258,1.0391000000000759,0.01670000000001437,0.005499999999983629,0.011100000000055843,0.00559999999984484,0.005600000000072214,0.005499999999983629,0.005599999999958527,0.005600000000072214,0.005499999999983629,0.005600000000072214,0.005499999999983629,0.00559999999984484,0.005500000000097316,0.005600000000072214,0.005499999999983629,0.011199999999917054,0.005499999999983629,0.011200000000030741,0.011100000000055843,5.2123000000000275,0.016599999999925785,0.011100000000055843,0.01109999999982847,0.005499999999983629,0.01110000000016953,0.005699999999933425,0.005400000000122418,0.005699999999933425,0.00559999999984484,0.01110000000016953,0.005499999999983629,0.011100000000055843,0.00559999999984484,0.011000000000080945,0.022299999999972897","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p9)(p10),(p9)(p10)(p11),(p9)(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p12),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(p16),(p14)(p15)(p16),(p15)(p16),(p15)(p16),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17),(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","","0,5,8,12,16,18,21,25,28,32,36,40,46,51,55,60,62,67,68,71,74,76,79,84,87,91,96","mlies),multpile,roguhly,avodiing,tehir,stduy,cuold,spceies,accordnig,looknig,thier,hleps,vulenrable,endangreed,miels),monutain,mkaes,resileince,,wildilfe,lagre,mammtohs,toelrate,stlil,hnuters,naitve,faleln,teres,gvien,creatrues,ofetn,arriavls,naitve,sometmies,exsit,”,restroing,aplpes,revreberate","64,60,17,24,23,31,29,31,53,26,22,17,26,50,29,105,13,9,23,27,55,13,35,70,36,53,31,15,18,37,22,82,23,14,63,44,34","1,2,1,2,1,1,2,1,1,2,1,1,2,1,2,1,2,0,2,1,2,2,1,2,1,1,1","1,1,1,2,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,2,1,2,1,0,1","mlies),roguhly,avodiing,tehir,stduy,cuold,spceies,accordnig,hleps,monutain,mkaes,lagre,toelrate,hnuters,faleln,creatrues,arriavls,ofetn,naitve,exsit,”,sometmies,restroing,revreberate","p1,p2,p3,p4,p4,p5,p6,p7,p9,p12,p13,p15,p16,p17,p19,p21,p22,p22,p23,p24,p24,p25,p27","24.7585,31.76829999999999,53.4554,71.41419999999998,74.44119999999998,98.49419999999998,108.47710000000001,124.5741,144.28499999999997,211.82289999999998,217.59099999999995,246.90289999999996,273.0558,290.8721,307.7446,323.35869999999994,332.79859999999996,337.8836,359.24769999999995,365.86359999999996,369.5886,388.30559999999997,425.33739999999995","journal,Science,,modeling,","p4,p4,p9","81.7655,82.13019999999999,146.6981","no_heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","540542","0.0-5.0","","","18094.199999999953","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","60e6ed7ed08fe0762ae2f290_1651671327604","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","544431","0.0-6.0","","","3889","While reading the article, how carefully did you pay attention?","","60e6ed7ed08fe0762ae2f290_1651671327604","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","no_heading","100","","","","","","","","","",""
"","html-slider-response","7","546764","0.0-7.0","","","2331.1999999999534","How well do you feel you understood the key points of the article?","","60e6ed7ed08fe0762ae2f290_1651671327604","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","no_heading","100","","","","","","","","","",""
"","html-slider-response","8","550896","0.0-8.0","","","4131.400000000023","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","60e6ed7ed08fe0762ae2f290_1651671327604","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","no_heading","100","","","","","","","","","",""
"","html-slider-response","9","555381","0.0-9.0","","","4484.300000000047","How interesting did you find the topic of this article after the first few paragraphs?","","60e6ed7ed08fe0762ae2f290_1651671327604","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","no_heading","90","","","","","","","","","",""
