"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","14703","0.0-0.0","1920","1080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","24277","0.0-1.0","1920","1080","9570.5","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","60f1512d87b47c00d42c82fa_1651655174194","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","39867","0.0-2.0","","","15587.899999999907","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","60f1512d87b47c00d42c82fa_1651655174194","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","95214","0.0-3.0","","","55350","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","60f1512d87b47c00d42c82fa_1651655174194","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","754949","0.0-4.0","","","659716","","","60f1512d87b47c00d42c82fa_1651655174194","test_trial","","","1080","545151.3000000003","100","0","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","170.31540000000038,170.38120000000018,170.41480000000027,170.44820000000018,170.48180000000028,175.6963000000003,177.65190000000038,178.31870000000018,178.4685,192.6985,192.97540000000038,206.4295,206.80520000000018,218.20420000000018,218.3041000000001,226.3265,232.76790000000037,236.967,237.25740000000036,238.1963000000003,238.2966000000001,266.3441000000001,270.0815,270.1813000000003,270.28170000000017,270.515,304.6166000000006,307.6862999999998,311.054,313.2564000000004,316.28110000000055,320.299,322.7969000000004,326.0056000000006,329.9115,336.97279999999984,337.0722000000002,338.0025,338.0859000000004,347.7305,347.8815,383.28590000000037,384.42370000000017,385.0922999999998,418.8289000000004,431.6397999999998,436.7005,437.89440000000036,438.5047999999998,465.0562999999998,465.9914000000004,468.9051000000006,472.771,477.2965,477.3967000000002,477.5134000000004,479.6782000000002,480.403,486.30090000000035,486.3677999999998,489.2725,494.135,498.1356000000006,498.5085,499.8152999999998,499.982,500.3232999999998,500.4062999999998,530.3815,531.0632000000002,534.7526000000006,534.9024000000004,541.1602999999998,542.0972000000002,542.4682999999998,542.6515,567.8352999999998,570.0642000000001,571.3046000000005,577.0831000000005,577.8665,578.1887999999998,584.2732999999998,584.4731000000006,585.7007999999998,585.8009000000004,591.236,591.3859000000003,591.9097999999998,594.2884000000004,599.3937000000002,605.3117999999998,612.7239000000004,616.0512999999999,616.3589000000004,619.0434000000004,619.2937000000002,628.418,628.7682000000002,633.2096000000006,721.4457999999998,721.4474000000004,721.481,721.4979000000004,721.5142999999998,721.5312000000002,721.5479000000004,721.5646000000006,721.581,721.5977000000001,721.6145,721.6307000000002,721.65,721.6644000000003,747.2061000000006,747.2325,747.2569000000004,747.2732000000002,747.2902000000001,747.3065,747.3235,747.34,747.3755,747.5097000000002,747.527,747.5432000000002,747.5597999999998,747.5761000000006,747.5929000000003,747.6097000000002,747.6261000000005,747.6425,747.6597999999998,747.6765,747.6927000000002,779.9081000000006,779.9245,779.9412000000002,779.9579000000003,779.9762000000002,779.9914000000003,780.0077999999999,780.0247000000002,780.041,781.6337000000002,781.6501000000005,781.6671000000006,781.6837999999998,781.7007999999998,781.7172000000002,781.7337999999999,781.7506000000005,781.7672000000002,781.7841000000005,781.8007000000002,781.8171000000006,781.8337000000001,781.8506000000006,790.3767000000001,790.3932999999998,790.4099000000003,790.427,790.4434000000003,790.46,790.4767999999998,790.4934000000004,790.51","-114394.38459999971,0.06579999999979691,0.03360000000009222,0.03339999999991505,0.03360000000009222,5.214500000000015,1.9556000000000893,0.666799999999796,0.14979999999982851,14.22999999999999,0.2769000000003814,13.454099999999613,0.37570000000019377,11.399000000000001,0.09989999999990573,8.02239999999992,6.441400000000357,4.199099999999646,0.2904000000003464,0.9388999999999328,0.10029999999980532,28.047499999999985,3.737399999999923,0.09980000000030032,0.10039999999986549,0.2332999999998151,34.10160000000059,3.069699999999216,3.367700000000184,2.2024000000004094,3.0247000000001663,4.017899999999429,2.4979000000004135,3.208700000000192,3.9058999999994057,7.0612999999998465,0.09940000000034388,0.9302999999998178,0.08340000000038117,9.644599999999627,0.15100000000001046,35.40440000000035,1.1377999999997996,0.6685999999996284,33.73660000000058,12.810899999999435,5.060700000000168,1.193900000000383,0.6103999999994585,26.551499999999976,0.9351000000006024,2.9137000000001763,3.865899999999442,4.525499999999965,0.1002000000001999,0.11670000000020764,2.1647999999997865,0.7247999999998456,5.897900000000334,0.06689999999946394,2.9047000000001617,4.862500000000011,4.000600000000588,0.3728999999994471,1.3067999999997824,0.166700000000219,0.34129999999976235,0.08300000000002683,29.975200000000143,0.6817000000002054,3.6894000000004326,0.1497999999998001,6.257899999999381,0.936900000000378,0.37109999999961474,0.18320000000028358,25.183799999999792,2.2289000000002943,1.2404000000003634,5.778500000000008,0.7833999999994603,0.32229999999981374,6.084500000000048,0.1998000000007778,1.2276999999992313,0.10010000000056607,5.435099999999579,0.14990000000034343,0.5238999999994576,2.3786000000005743,5.105299999999829,5.91809999999964,7.412100000000578,3.327399999999443,0.3076000000005479,2.6844999999999573,0.250299999999811,9.124299999999835,0.3502000000001999,4.441400000000385,88.23619999999926,0.0016000000005078618,0.033599999999637475,0.016900000000418913,0.016399999999407555,0.016900000000418913,0.016700000000128057,0.016700000000241744,0.016399999999407555,0.016700000000128057,0.01679999999987558,0.01620000000013988,0.019299999999816464,0.014400000000364344,25.54170000000022,0.02639999999939846,0.024400000000468935,0.016299999999773718,0.016999999999939064,0.016299999999887405,0.016999999999939064,0.016500000000064574,0.035499999999956344,0.13420000000019172,0.017299999999863758,0.01620000000013988,0.016599999999584725,0.0163000000007969,0.016799999999761894,0.01679999999987558,0.01640000000031705,0.016399999999521242,0.01729999999975007,0.016700000000241744,0.01620000000013988,32.215400000000386,0.016399999999407555,0.016700000000241744,0.016700000000128057,0.01829999999984011,0.015200000000163527,0.016399999999521242,0.016900000000305226,0.016299999999887405,1.5927000000001499,0.01640000000031705,0.01700000000005275,0.016699999999218562,0.01700000000005275,0.01640000000031705,0.01659999999969841,0.01680000000067139,0.01659999999969841,0.016900000000305226,0.01659999999969841,0.01640000000031705,0.016599999999584725,0.016900000000418913,8.526099999999587,0.01659999999969841,0.01660000000049422,0.017099999999686588,0.01640000000031705,0.01659999999969841,0.016799999999761894,0.016600000000607906,0.016599999999584725","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,1,3,4,6,8,10,12,14,16,18,20,21,22,23,24,26,27,29,30,32,33,34,35,37,38,40,42,45,47,50,52,53,55,56,57,58,59,60,62,63,65,66,67,68,69,70,72,74,76,78,81,83,85,87,88,89,90,91,92,93,94,96,97,98,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p6)(h1)(p7),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(h1)(p7)(p8),(h1)(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(h2)(p11),(h2)(p11),(h2)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12)(h3),(p11)(p12)(h3),(p12)(h3),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(h3)(p13),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(h4),(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(h4)(p16)(p17),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","20,35,47,60,74","0,4,8,12,15,17,21,25,27,31,36,41,48,52,55,61,63,68,69,72,75,78,81,85,88,91,96","elpehant,tehir,palnt,phneomenon,tehir,srtanded,lopo:,hicth,sholud,decliend,profonud,bewteen,uttelry,mammlas,fuond,espeically,kiloemters,incresaed,wrold,willdife,roaemd,particualr,ecloogy,tneds,becuase,phsyical,naitve,benig,huamns,ceratures,ivnolved,effectivley,doctroal,thier,speceis,retsore,dispesrers,sadi.,perfetcly,sedes,cna’t","53,65,44,65,48,39,10,23,10,46,11,39,52,10,31,47,27,40,65,23,40,15,30,55,69,49,36,14,10,18,51,32,39,51,40,37,66,38,85,100,21","1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,2,2,0,2,1,2,2,2,2,2,2,1","1,1,1,2,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1","elpehant,tehir,palnt,srtanded,tehir,hicth,sholud,decliend,fuond,kiloemters,incresaed,wrold,willdife,roaemd,particualr,tneds,benig,cna’t","p1,p2,p3,p4,p4,p5,p6,p7,p10,p11,p12,p13,p14,p15,p16,p17,p20,p27","17.328600000000094,49.07830000000028,71.69240000000038,205.62660000000008,208.5006000000001,223.486,231.8085,258.223,328.5642000000002,343.25690000000037,427.382,476.6537999999998,484.2862000000002,493.04360000000054,528.3042999999998,539.1622999999998,572.7782000000002,655.1412999999998","","","","heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","769975","0.0-5.0","","","15021.5","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","60f1512d87b47c00d42c82fa_1651655174194","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","774858","0.0-6.0","","","4880.799999999814","While reading the article, how carefully did you pay attention?","","60f1512d87b47c00d42c82fa_1651655174194","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","heading","70","","","","","","","","","",""
"","html-slider-response","7","781326","0.0-7.0","","","6466.700000000186","How well do you feel you understood the key points of the article?","","60f1512d87b47c00d42c82fa_1651655174194","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","heading","42","","","","","","","","","",""
"","html-slider-response","8","791940","0.0-8.0","","","10611.900000000373","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","60f1512d87b47c00d42c82fa_1651655174194","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","heading","20","","","","","","","","","",""
"","html-slider-response","9","796549","0.0-9.0","","","4608.200000000186","How interesting did you find the topic of this article after the first few paragraphs?","","60f1512d87b47c00d42c82fa_1651655174194","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","heading","16","","","","","","","","","",""
