"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","10623","0.0-0.0","1680","1050","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","26113","0.0-1.0","1680","1050","15488.300000011921","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","60f5ddfa65461f3460082a4b_1651655328148","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","38687","0.0-2.0","","","12571.59999999404","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","60f5ddfa65461f3460082a4b_1651655328148","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","97340","0.0-3.0","","","58652.70000001788","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","60f5ddfa65461f3460082a4b_1651655328148","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","634687","0.0-4.0","","","537308.7999999821","","","60f5ddfa65461f3460082a4b_1651655328148","test_trial","","","1050","431692.59999996424","102","1","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","17.41840000000596,18.68409999999404,25.56769999998808,26.485,40.48459999999404,41.11759999999404,45.46729999998212,46.81729999998212,52.034599999994036,67.11740000000596,70.5,75.65059999999404,78.60009999999404,80.41669999998808,83.567,94.36709999999404,100.5165,110.0005,117.0165,124.283,125.2655,127.9005,132.7332999999821,135.69990000000595,138.4327999999821,143.4832999999821,152.29890000000597,154.64909999999404,156.91619999998807,163.2495,165.766,174.54879999998212,175.8665,181.86609999999405,191.398,193.4315,194.4991999999881,197.1485,200.4991999999881,203.19790000000597,209.8655,214.04859999999405,224.5807999999821,227.0975,228.68159999999403,231.464,241.96440000000595,248.59779999998213,257.18109999999405,262.44709999999407,263.84629999998214,265.66369999998807,269.98119999998806,273.8302999999821,277.59659999999405,280.780599999994,284.96419999998807,289.864,306.18069999998806,307.61359999999405,313.8302999999821,314.39590000000595,315.78090000000594,321.33,322.1461999999881,326.8132999999821,330.4622999999821,338.579900000006,339.562900000006,341.3622999999821,341.945400000006,348.495900000006,350.8456999999881,359.062099999994,361.6626999999881,364.61279999998214,373.946,379.8291999999881,381.877900000006,383.97790000000595,398.82790000000597,399.528099999994,401.07890000000594,404.9285,409.16169999998806,410.2107999999821,413.2951999999881,414.72829999998214,422.8786999999881,435.7107999999821,436.160599999994,436.5112999999821,438.3277999999821,441.27790000000596,445.9767999999821,450.894900000006,455.31059999999405,465.3432999999821,467.06009999999407,467.84340000000594,474.7106999999881,479.059599999994,672.007400000006,672.022599999994,672.0395,672.056199999988,672.073,672.0905,672.1065,672.1242999999821,672.1406999999881,672.1572999999821,672.174099999994,672.1902999999821,672.2066999999881,672.223,672.2397999999821,672.2562999999822,672.2739000000059,672.3062999999821,672.323599999994,672.3395,672.3571999999881,672.373099999994,672.3906999999881,672.407199999988,672.4239000000059,672.4397999999821,672.4566999999881,672.472900000006,672.4895,672.5071999999881,672.5237999999821,672.5395,672.5565,672.573900000006,672.5895,672.6072999999822,672.6237999999821,672.6397999999821,672.657199999988,672.6731999999881,697.4567999999821,697.489199999988,697.523400000006,697.5392999999821,697.5567999999821,697.5726999999881,697.5900999999941,697.6059000000059,697.6225,697.6395999999941,697.6557999999822,697.6725999999941,697.6892999999822,700.6237999999821,700.6395999999941,700.657199999988,700.6725999999941,700.6901999999881,700.706199999988,700.723099999994,700.7390999999941,700.7561999999881,700.7727999999821,700.7897999999822,700.8056999999881,700.839,700.8892999999821,705.9731999999881,705.9885,706.006,706.0227999999821,706.039,706.056400000006,706.072599999994,706.089400000006,706.1055,723.877599999994,725.5720999999941,725.5887999999821,725.6052999999821,725.622900000006,725.638699999988,725.655400000006,725.6730999999941,725.689900000006,725.7064000000059,726.3562999999821,726.372,726.4056999999881,726.4212999999821,726.4396999999881,726.472,726.489699999988,726.809099999994,726.855400000006,726.888699999988,726.9220999999941,726.9552999999821,727.022,727.0887999999821,727.122599999994,727.138199999988,727.155400000006,727.172,727.2057999999821,727.2219000000059,727.239,727.2565,727.272099999994,727.289,727.306400000006,727.323,727.3397999999821,727.3556999999881,727.3731999999881,727.3899000000059,727.4057999999822,727.5061999999881,727.522400000006,727.5386999999881,727.555900000006,727.5735,727.589,727.6066999999881,727.6395,727.656099999994,727.672400000006,727.69,727.7064000000059","-105598.78160001787,1.2656999999880796,6.88359999999404,0.9173000000119202,13.99959999999404,0.6330000000000027,4.349699999988076,1.3500000000000014,5.217300000011917,15.082800000011922,3.382599999994042,5.150599999994043,2.9495000000000005,1.8165999999940396,3.15030000001191,10.800099999994046,6.149400000005954,9.484000000000009,7.015999999999991,7.266500000000008,0.9825000000000017,2.634999999999991,4.8327999999821145,2.9666000000238455,2.732899999976155,5.0504999999999995,8.815600000023863,2.350199999988064,2.2670999999940307,6.3333000000119455,2.5164999999999793,8.782799999982132,1.3177000000178793,5.999599999994047,9.531900000005948,2.0335000000000036,1.0676999999880934,2.6493000000119196,3.3506999999880804,2.6987000000178796,6.6675999999940245,4.183099999994056,10.532199999988052,2.5167000000178916,1.584099999994038,2.782400000005964,10.500400000005953,6.633399999976177,8.583300000011917,5.2660000000000196,1.3991999999880704,1.8174000000059323,4.3174999999999955,3.8490999999940527,3.766300000011938,3.183999999999969,4.183599999994044,4.899800000011908,16.31669999998809,1.4329000000059864,6.216699999988066,0.565600000023835,1.384999999999991,5.549099999994041,0.8161999999881004,4.667099999994036,3.649000000000001,8.117600000023856,0.9830000000000041,1.7993999999761172,0.583100000023876,6.5504999999999995,2.3497999999821104,8.216400000005933,2.600599999994074,2.950099999994052,9.333200000017882,5.883199999988051,2.0487000000179023,2.099999999999966,14.850000000000023,0.7001999999880582,1.5508000000119182,3.849599999994041,4.233199999988074,1.0490999999940414,3.084400000005985,1.433099999994056,8.150400000005959,12.832099999994,0.4498000000119191,0.35069999998808044,1.816500000000019,2.9501000000238378,4.698899999976163,4.9181000000238555,4.415699999988078,10.03269999998804,1.7168000000119719,0.7833000000118773,6.867299999982151,4.348900000005926,192.94780000001197,0.015199999987999036,0.01690000000598957,0.016699999988077252,0.016800000011926386,0.017500000000040927,0.01599999999996271,0.017799999982116788,0.016400000006001392,0.01659999999401407,0.016800000011926386,0.016199999988089075,0.016400000006001392,0.016300000011824523,0.016799999982140434,0.016500000000064574,0.017600000023776374,0.03239999997617815,0.017300000011914562,0.015900000006013215,0.017699999988053605,0.01590000000589953,0.01759999999410411,0.016499999999950887,0.016700000017863204,0.015899999976227264,0.01690000000598957,0.016200000017875027,0.01659999999401407,0.017699999988053605,0.01659999999401407,0.01570000001788685,0.01700000000005275,0.017400000005977745,0.015599999994037717,0.017799999982116788,0.016499999999950887,0.01599999999996271,0.017400000005977745,0.016000000000076398,24.783599999993953,0.0324000000059641,0.03420000001790413,0.015899999976113577,0.017500000000040927,0.015900000006013215,0.017400000005977745,0.015800000011836346,0.01659999999401407,0.017099999994115933,0.016199999988089075,0.016800000011926386,0.016699999988077252,2.9344999999999573,0.015800000011950033,0.017599999993990423,0.015400000006025039,0.017599999993990423,0.01599999999996271,0.01690000000598957,0.016000000000076398,0.017099999994002246,0.01659999999401407,0.01700000000005275,0.01590000000589953,0.03330000001199096,0.050299999982030386,5.083900000005997,0.015300000011961856,0.01749999999992724,0.016799999982140434,0.016200000017875027,0.017400000005977745,0.016199999988089075,0.016800000011926386,0.016099999994025893,17.772099999993998,1.6945000000000618,0.016699999988077252,0.016499999999950887,0.01760000002389006,0.015799999982050394,0.01670000001797689,0.017699999988053605,0.016800000011926386,0.016499999999950887,0.6498999999761281,0.01570000001788685,0.03369999998813,0.015599999994037717,0.018400000005954098,0.03230000001190092,0.017699999988053605,0.31940000000599866,0.046300000011910925,0.03329999998209132,0.03340000000605414,0.03319999998802814,0.06670000001793142,0.06679999998209496,0.03380000001186545,0.015599999994037717,0.017200000017965067,0.01659999999401407,0.0337999999820795,0.016100000023811845,0.017099999994115933,0.01749999999992724,0.015599999994037717,0.01690000000598957,0.017400000005977745,0.01659999999401407,0.016799999982140434,0.015900000006013215,0.01749999999992724,0.016700000017863204,0.015899999976227264,0.10040000000594773,0.016200000017875027,0.016299999982152258,0.01720000001785138,0.017599999993990423,0.015500000000088221,0.017699999988053605,0.0328000000118891,0.01659999999401407,0.01630000001193821,0.01759999999410411,0.016400000005887705","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,1,2,3,4,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30,31,32,34,35,37,38,40,41,43,44,46,47,48,49,50,51,52,54,56,58,59,61,62,63,64,65,66,68,70,72,74,77,79,81,83,84,85,86,87,88,89,90,92,94,95,97,98,100,0,1,4,5,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,31,33,35,37,39,41,44,46,49,52,54,57,59,61,63,65,67,69,70,73,76,79,82,84,87,90,94,98,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(p7),(p4)(p5)(p6)(p7),(p4)(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7)(p8),(p5)(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p9)(p10)(p11),(p9)(p10)(p11),(p9)(p10)(p11),(p9)(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11)(p12),(p10)(p11)(p12),(p10)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12)(p13),(p11)(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13)(p14),(p12)(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p13)(p14)(p15),(p13)(p14)(p15),(p14)(p15),(p14)(p15)(p16),(p14)(p15)(p16),(p14)(p15)(p16),(p14)(p15)(p16),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17)(p18),(p15)(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21)(p22),(p18)(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p20)(p21)(p22)(p23),(p20)(p21)(p22)(p23),(p20)(p21)(p22)(p23),(p20)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","","0,5,8,12,16,18,21,26,28,32,36,41,47,51,55,60,62,67,68,71,73,76,79,84,87,90,96","sedes,rouglhy,arriving,exrteme,plnat,becmoing,climtae,animlas,anicent,speices,prfoound,elehpants,tehir,carreis,petss,malpe,compeitng,copmared,ecloogist,cliamte,coloer,trgiger,ecoysstems,liimt,lrage,tohse,platns,introdcued,csots,are’nt,outwegih,worires,siad.,pertty,othres,hrams","58,17,63,18,44,44,31,41,28,44,11,31,56,52,76,61,97,62,9,47,85,22,14,57,23,24,46,12,39,81,27,41,38,12,16,15","1,2,2,1,2,1,1,2,1,1,1,2,1,2,1,1,2,0,1,1,2,1,1,1,2,1,2","1,1,2,1,2,1,1,2,1,1,1,2,1,2,1,0,1,0,1,1,1,1,1,1,2,0,2","sedes,rouglhy,exrteme,plnat,becmoing,climtae,animlas,anicent,speices,prfoound,elehpants,tehir,carreis,petss,malpe,compeitng,copmared,ecloogist,cliamte,coloer,liimt,lrage,tohse,platns,csots,are’nt,outwegih,siad.,worires,hrams,othres","p1,p2,p3,p3,p4,p5,p5,p6,p7,p8,p8,p9,p10,p11,p12,p12,p13,p14,p14,p15,p17,p19,p20,p21,p22,p23,p24,p25,p25,p27,p27","20.688299999982117,31.59319999998808,53.80119999998808,72.298,92.524,114.30469999998807,118.86679999998212,129.69690000000597,148.60709999999403,161.30290000000596,168.1616999999881,188.79190000000597,206.98209999999403,235.1651999999881,258.7486999999881,268.1807999999821,288.0045,296.65419999998807,310.9305,335.9177999999821,368.7127999999821,385.95179999998214,407.107599999994,420.57709999999406,432.10440000000597,457.3625,469.725599999994,485.1785,488.0365,528.4895,530.0629000000059","","","","no_heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","649922","0.0-5.0","","","15230.899999976158","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","60f5ddfa65461f3460082a4b_1651655328148","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","655731","0.0-6.0","","","5808.9000000059605","While reading the article, how carefully did you pay attention?","","60f5ddfa65461f3460082a4b_1651655328148","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","no_heading","89","","","","","","","","","",""
"","html-slider-response","7","659611","0.0-7.0","","","3878.7000000178814","How well do you feel you understood the key points of the article?","","60f5ddfa65461f3460082a4b_1651655328148","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","no_heading","94","","","","","","","","","",""
"","html-slider-response","8","665298","0.0-8.0","","","5686.200000017881","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","60f5ddfa65461f3460082a4b_1651655328148","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","no_heading","77","","","","","","","","","",""
"","html-slider-response","9","670801","0.0-9.0","","","5502.600000023842","How interesting did you find the topic of this article after the first few paragraphs?","","60f5ddfa65461f3460082a4b_1651655328148","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","no_heading","97","","","","","","","","","",""
