"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","2089","0.0-0.0","1920","1080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","8485","0.0-1.0","1920","1080","6393.800000011921","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","610be0e8e3da02b00364c65c_1651580175566","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","28546","0.0-2.0","","","20056.69999998808","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","610be0e8e3da02b00364c65c_1651580175566","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","336461","0.0-3.0","","","307911.5","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","610be0e8e3da02b00364c65c_1651580175566","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","936291","0.0-4.0","","","599776.5","","","610be0e8e3da02b00364c65c_1651580175566","test_trial","","","1080","261944.69999998808","153","26","down,down,down,down,down,up,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","1.4038000000119208,1.4701000000238418,1.503800000011921,1.5354000000357628,1.569800000011921,1.869,1.8871000000238418,1.902100000023842,1.9196000000238418,1.9371000000238419,34.0695,54.93680000001192,55.02019999998808,55.90390000003576,56.88580000001192,74.35419999998808,75.23719999998808,98.53640000003577,98.68619999998808,99.1035,99.2195,99.437,99.68690000003576,100.35190000003577,100.7705,101.31980000001192,150.30280000001193,238.65340000003576,238.75269999998807,239.40190000003577,259.07,259.18690000003573,259.253,273.4533000000119,273.57010000002384,273.6528000000119,297.20360000002387,298.0373000000119,300.77010000002383,300.85280000001194,318.787,318.8355,318.8855,318.9365,319.7533000000119,319.80369999998805,319.8378000000119,319.854,319.8708000000119,319.8885,319.9038000000119,319.93680000001194,320.23690000003575,320.25410000002387,320.2695,320.286,320.30319999998807,320.3208000000119,320.5376000000238,320.5705,320.5855,320.6023000000119,320.6203000000119,320.63740000003577,320.65440000003576,320.85240000003574,320.8696999999881,320.8856000000238,320.90360000002386,320.9204000000358,320.93760000002385,320.9523000000119,320.9701000000238,320.9865,321.2041999999881,321.21990000003575,321.237,321.2524000000358,321.27010000002383,321.28690000003576,321.32090000003575,321.5533000000119,321.57040000003576,321.5876999999881,321.60419999998805,321.62010000002385,322.3024000000358,322.36960000002387,322.4034000000358,322.437,342.3699000000358,343.11960000002387,343.5579000000358,343.68710000002386,343.77010000002383,359.6191999999881,361.252,367.32060000002383,367.8875,367.9705,368.9201999999881,369.00340000003575,375.9871999999881,388.07090000003575,388.17110000002384,400.22080000001193,401.4038000000119,403.2546999999881,403.3704000000358,403.43540000003577,421.0033000000119,421.96910000002384,424.65440000003576,425.086,425.1535,425.2209000000358,436.80310000002385,436.9023000000119,444.5375,447.50260000002385,457.1046999999881,458.3543000000119,461.33630000001193,476.105,476.2541999999881,478.3704000000358,478.47030000001195,486.62069999998806,486.72080000001193,487.15469999998805,487.2215,487.27130000001193,488.1863000000119,500.00510000002384,500.17110000002384,512.171699999988,512.2543000000119,518.8711999999881,522.1714000000358,525.3876000000239,525.5369000000358,531.4216000000239,532.2526999999881,541.2549000000357,542.7036999999881,549.955,550.2044000000358,561.0221999999881,562.753,562.9539000000358,563.354699999988,581.7869000000358,581.8866000000238,1187.3676999999882,1187.3715,1187.3886000000239,1187.4058000000118,1187.422,1187.4373000000119,1187.4545,1187.4714000000358,1187.4873000000118,1187.5053000000119,1187.5209000000357,1187.5379000000357,1187.554800000012,1187.5716999999881,1237.973600000024,1237.9873000000118,1238.005800000012,1238.022300000012,1238.037,1238.055,1238.0723000000119,1238.088300000012,1238.1051000000239,1238.1216000000238,1238.137300000012,1238.155600000024,1238.171699999988,1238.1883000000118,1238.2051000000238,1240.732600000024,1240.7549000000358,1240.7719000000357,1240.7885,1240.8056000000238,1240.8215,1240.8378000000118,1240.8546000000238,1240.8704000000357,1240.888199999988,1240.904600000024,1240.9215,1240.938100000024,1249.272,1249.2881999999881,1249.3051999999882,1249.3221000000237,1249.3384000000358,1249.355300000012,1249.3719000000358,1249.388300000012,1249.404300000012,1249.421699999988,1249.4373000000119,1249.472","-337830.3962000119,0.06630000001192093,0.033699999988079155,0.03160000002384189,0.03439999997615817,0.299199999988079,0.018100000023841822,0.015000000000000124,0.01749999999999985,0.01750000000000007,32.13239999997616,20.867300000011923,0.08339999997615877,0.883700000047682,0.9818999999761573,17.468399999976164,0.8829999999999956,23.29920000004769,0.14979999995230742,0.41730000001192025,0.11599999999999966,0.21750000000000114,0.2499000000357654,0.6650000000000063,0.41859999996422914,0.5493000000119252,48.983000000000004,88.35060000002383,0.09929999995230787,0.6492000000476992,19.668099999964227,0.11690000003574141,0.06609999996425131,14.200300000011907,0.11680000001194912,0.08269999998805133,23.550800000011975,0.8336999999880277,2.7328000000119346,0.08269999998810817,17.93419999998804,0.04850000000004684,0.049999999999954525,0.051000000000044565,0.8168000000118809,0.05039999997615041,0.03410000002384095,0.016199999988089075,0.016800000011926386,0.01769999998811045,0.015300000011905013,0.03300000000001546,0.30010000002380366,0.017199999988122272,0.0153999999761254,0.01650000000000773,0.01719999998806543,0.017600000023833218,0.21680000001191502,0.03289999997616633,0.015000000000043201,0.016800000011869543,0.018000000000029104,0.01710000002384504,0.016999999999995907,0.19799999999997908,0.01729999995234266,0.015900000035742323,0.018000000000029104,0.016800000011926386,0.01719999998806543,0.014699999988067702,0.01780000001190274,0.016399999976158597,0.21769999998809908,0.015700000047672802,0.017099999964273138,0.015400000035754147,0.017699999988053605,0.016800000011926386,0.033999999999991815,0.23239999997616678,0.01710000002384504,0.01729999995234266,0.016499999999950887,0.015900000035799167,0.682300000011935,0.0671999999880768,0.03380000001192229,0.033599999964224025,19.932900000035772,0.7496999999880813,0.43830000001190683,0.12919999998808862,0.08299999999996999,15.849099999964267,1.6328000000119118,6.068600000023821,0.5668999999761581,0.08300000000002683,0.94969999998807,0.08320000004766825,6.983799999952339,12.083700000047656,0.10019999998809226,12.049699999988093,1.1829999999999927,1.85089999997615,0.11570000004769554,0.06499999999999773,17.567899999976134,0.9658000000119387,2.685300000011921,0.4315999999642486,0.06749999999999545,0.06740000003577507,11.582199999988063,0.09919999998805906,7.635199999988117,2.965100000023824,9.602099999964253,1.2496000000238041,2.9820000000000277,14.768699999988087,0.14919999998807043,2.1162000000476837,0.0998999999761736,8.150399999976116,0.10010000002387187,0.43389999997611994,0.06680000001193775,0.04980000001194185,0.9149999999999636,11.818800000011947,0.16599999999999682,12.000599999964209,0.08260000002383094,6.616899999976226,3.300200000047653,3.2161999999881346,0.14930000001186272,5.884699999988129,0.8310999999641808,9.002200000047651,1.4487999999523709,7.251300000011952,0.2494000000357346,10.817799999952285,1.7308000000119819,0.2009000000357446,0.40079999995225535,18.432200000047715,0.09969999998804724,605.4810999999644,0.0038000000117790478,0.017100000023901885,0.017199999987951742,0.016199999988202762,0.01530000001184817,0.017199999988179115,0.01690000003577552,0.01589999997599989,0.018000000000029104,0.015600000023823668,0.01700000000005275,0.016899999976203617,0.016899999976203617,50.401900000035766,0.013699999987920819,0.018500000000130967,0.016499999999950887,0.014699999988124546,0.018000000000029104,0.017300000011800876,0.016000000000076398,0.016800000011926386,0.016499999999950887,0.0156999999881009,0.018300000012004602,0.016099999964126255,0.01660000002380002,0.016800000011926386,2.5275000000001455,0.022300000011910015,0.016999999999825377,0.016599999964455492,0.01710000002367451,0.015899999976227264,0.016300000011824523,0.016800000011926386,0.015800000011950033,0.017799999952330836,0.01640000003590103,0.016899999975976243,0.016600000024027395,8.333899999975984,0.016199999988202762,0.01700000000005275,0.016900000035548146,0.016300000012051896,0.016899999976203617,0.01660000002380002,0.016399999976101753,0.016000000000076398,0.017399999976078107,0.015600000023823668,0.034699999988106356","1,2,3,4,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,39,40,41,42,43,44,46,48,50,51,52,53,54,56,58,60,62,63,62,61,59,57,54,52,51,50,49,48,46,45,43,41,39,38,37,36,35,34,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,1,2,3,4,6,8,11,13,16,18,20,22,23,24,25,26,28,30,32,35,38,41,45,49,52,55,57,58,59,60,61,63,65,67,70,73,76,78,80,81,82,83,85,86,88,89,91,93,95,96,98,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3),(p2)(p3),(p2)(p3)(p1),(p2)(p3)(p1),(p2)(p3)(p1),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(h1)(p7)(p8),(h1)(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(h2)(p11),(h2)(p11),(h2)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12)(h3),(p12)(h3),(p12)(h3),(p12)(h3)(p13),(p12)(h3)(p13),(h3)(p13)(p14),(h3)(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p14)(p15),(p14)(p15)(h4),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16)(p17),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16)(p14),(p15)(h4)(p14),(p15)(p14)(p13),(p14)(p13),(p14)(p13)(h3),(p14)(p13)(h3),(p14)(p13)(h3),(p13)(h3)(p12),(p13)(h3)(p12),(p13)(h3)(p12),(h3)(p12),(p12)(p11),(p12)(p11)(h2),(p11)(h2),(p11)(h2),(p11)(h2)(p10),(p11)(h2)(p10),(p11)(h2)(p10),(p11)(h2)(p10),(p11)(h2)(p10),(p11)(h2)(p10),(p11)(h2)(p10),(p11)(h2),(p11)(h2)(p12),(p11)(p12),(p11)(p12),(p11)(p12)(h3),(p12)(h3),(p12)(h3),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(h3)(p13),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p14)(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(h4)(p16)(p17),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","20,35,47,60,74","0,4,8,12,15,17,21,25,27,31,36,41,48,52,55,61,63,68,69,72,75,78,81,85,88,91,96","elephnat,saavnna,befroe,palnts,evovled,stranedd,diyng,lopo:,anmials,evloved,cocnern,accodring,averaeg,,whteher,comupter,unbale,classifeid,fuond,sepcies,rihgts.,meetrs,colud,avergae,brids,wildlfie,avearge,,bidrs,ca’nt,cylce,,reseacrh,stuyd.,teres,teres,grownig,intorduced,laebled,naitve,muoths,ofetn,lnadscape,pertty,effectively,effcets,mutliplies,","11,52,62,10,62,39,56,10,41,19,11,53,52,25,15,53,22,31,14,67,23,63,58,68,23,56,70,12,25,49,11,54,31,32,12,22,34,61,18,21,12,96,19,30","2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,0,1,2,2,1,1,1,1,2,2","2,1,2,2,1,1,1,1,0,2,2,1,1,2,0,2,2,0,1,1,1,1,1,1,1,0,1","elephnat,saavnna,befroe,palnts,evovled,stranedd,diyng,anmials,cocnern,averaeg,,whteher,classifeid,fuond,sepcies,rihgts.,colud,avergae,wildlfie,avearge,,ca’nt,cylce,,stuyd.,reseacrh,teres,teres,intorduced,naitve,muoths,ofetn,lnadscape,effcets","p1,p1,p2,p3,p3,p4,p4,p5,p6,p7,p8,p10,p10,p11,p11,p12,p13,p14,p14,p16,p16,p17,p17,p19,p20,p21,p22,p23,p24,p25,p27","13.203900000035762,26.91660000002384,53.95569999998808,59.075800000011924,72.54880000001192,92.60369999998808,97.14830000001191,145.10780000001193,152.0198000000119,254.1558000000119,271.7718000000119,308.48440000003575,310.9879000000358,328.812,340.6196999999881,358.8918000000119,384.1559000000358,393.964,402.7879000000358,430.77190000003577,434.964,440.50010000002385,450.588,475.572,485.764,493.43590000003576,508.53240000003575,528.14,537.0441999999881,548.5801000000239,594.708","stilts","p26","570.6841999999881","heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","962953","0.0-5.0","","","26648.200000047684","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","610be0e8e3da02b00364c65c_1651580175566","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","967006","0.0-6.0","","","4050.199999988079","While reading the article, how carefully did you pay attention?","","610be0e8e3da02b00364c65c_1651580175566","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","heading","82","","","","","","","","","",""
"","html-slider-response","7","970558","0.0-7.0","","","3551.199999988079","How well do you feel you understood the key points of the article?","","610be0e8e3da02b00364c65c_1651580175566","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","heading","84","","","","","","","","","",""
"","html-slider-response","8","975949","0.0-8.0","","","5390.699999988079","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","610be0e8e3da02b00364c65c_1651580175566","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","heading","35","","","","","","","","","",""
"","html-slider-response","9","981982","0.0-9.0","","","6032.199999988079","How interesting did you find the topic of this article after the first few paragraphs?","","610be0e8e3da02b00364c65c_1651580175566","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","heading","67","","","","","","","","","",""
