"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","8611","0.0-0.0","1440","900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","21773","0.0-1.0","1440","900","13158.099999964237","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","610c9459dff6149cf0de51ee_1651595828712","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","38673","0.0-2.0","","","16895.30000001192","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","610c9459dff6149cf0de51ee_1651595828712","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","77671","0.0-3.0","","","38996.60000002384","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","610c9459dff6149cf0de51ee_1651595828712","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","526258","0.0-4.0","","","448557.89999997616","","","610c9459dff6149cf0de51ee_1651595828712","test_trial","","","900","366322.59999996424","136","18","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","56.15310000002384,56.22089999997616,56.502100000023844,56.787199999988076,56.9365,56.97080000001192,57.03619999998808,57.12,57.1865,57.25260000002384,57.38689999997616,57.44069999998808,57.53760000002384,57.65310000002384,57.71989999997616,57.8205,58.00439999997616,58.13560000002384,58.28730000001192,58.32010000002384,58.38719999998808,58.404,58.41980000001192,58.453399999976156,58.47010000002384,58.486,58.503600000023845,58.53710000002384,58.55360000002384,58.58689999997616,58.62080000001192,58.75330000001192,58.95360000002384,59.07,59.13560000002384,59.20319999998808,59.73639999997616,59.98719999998808,60.202300000011924,60.43610000002384,60.5025,60.62019999998808,60.80389999997616,60.987100000023844,61.0205,61.071,61.21980000001192,61.38669999998808,61.53589999997616,61.7365,90.75510000002384,91.42169999998808,93.90530000001192,95.37280000001192,95.48939999997616,95.65589999997616,95.78760000002384,96.03889999997615,96.32269999998807,96.69010000002385,110.34030000001192,110.54069999998808,110.64130000001192,110.75710000002384,110.95760000002385,138.42489999997616,138.476,138.5425,138.64239999997616,138.85969999998807,139.04160000002383,139.10780000001193,139.42569999998807,148.6593000000119,148.76,148.8765,149.07489999997617,166.15969999998808,166.27669999998807,166.39330000001192,166.54310000002386,167.10930000001193,167.37689999997616,213.78110000002386,213.8295,213.8975,213.96489999997615,214.06269999998807,214.11360000002384,214.16439999997615,214.19739999997617,214.26360000002384,214.54819999998807,214.71419999998807,267.4668000000119,268.1001000000238,268.3166999999881,268.61810000002384,268.68489999997615,268.80039999997615,268.85119999998807,268.9171999999881,269.1345,269.40089999997616,275.48480000001194,275.60119999998807,275.83460000002384,311.82039999997613,311.87110000002383,311.92039999997615,312.0211999999881,312.08610000002386,312.21969999998805,312.2871000000238,312.41980000001195,312.57069999998805,312.90389999997615,314.5206000000238,374.425,374.475,374.5075,374.5401999999881,374.59080000001194,374.658,374.75810000002383,374.82430000001193,374.87489999997615,375.0236999999881,375.0918000000119,375.1915,375.3231000000238,376.57439999997615,418.3116999999881,418.41089999997615,418.54489999997617,418.66030000001194,575.9491000000238,575.9708000000119,575.9886999999881,576.0045,576.0206000000238,576.0383999999761,576.0553000000119,576.0721000000239,576.0888999999762,576.1056000000239,576.1216000000238,576.139,576.1551000000238,576.1875,576.2713000000119,576.3048999999762,576.3371000000238,576.3713999999761,576.4215,576.4543999999762,578.1166000000238,578.138,578.1548999999761,578.1721000000239,578.1885,578.2056000000239,578.2218999999761,578.2381000000238,578.2543999999762,578.288800000012,578.3556000000239,578.3723000000119,578.404,578.4206999999881,578.455699999988,578.4886000000239,580.871300000012,580.8875,580.9051000000238,580.9218999999762,580.9388999999761,580.9548000000119,581.0048999999761,584.1318999999762,584.1548999999761,584.1716000000239,584.1886999999881,584.2056000000239,584.2213000000119,584.239,584.2551000000238,584.273,584.321699999988,584.3385,584.922,584.9385,584.9546000000238,584.9723999999761,588.8363999999762,591.6545,591.6735,591.689,591.705699999988,591.7226000000238,591.7386999999881,591.755800000012,591.7723000000119,591.7891000000238,591.823,591.8553000000119,592.1551999999881,592.1728000000119,592.1891000000238,592.205,592.2226000000238,592.2388000000119,592.2565,592.2728999999762,592.289,592.3226999999881,592.6556000000238,592.6723000000119,592.6881000000238,592.7058999999762,592.7226000000238,592.7381000000238,592.7558999999761,592.773,592.8061000000239,592.8553999999762,592.872,592.8898999999761,592.9056000000238,592.922199999988,592.9398000000119,592.9543999999762,592.9723999999761,592.9883000000119,593.3558000000119,593.3728999999762,593.390300000012,593.4063999999762,593.4223000000119,593.438800000012,593.4561000000239,593.472800000012,593.4893999999762,593.5393999999761,593.5553000000119,593.5723000000119,593.5893000000119,593.6058000000119,595.499699999988,595.5401999999881","-82179.1469000119,0.06779999995232089,0.28120000004768286,0.2850999999642312,0.14930000001192667,0.034300000011917575,0.06539999997615809,0.08380000001191945,0.06650000000000489,0.06610000002383742,0.13429999995231867,0.053800000011918314,0.09690000003576671,0.11549999999999727,0.06679999995231611,0.10060000002384584,0.18389999997615547,0.13120000004768428,0.15169999998807526,0.032800000011924624,0.06709999996423477,0.016800000011926386,0.015800000011914506,0.033599999964238236,0.016700000047684682,0.01589999997615621,0.01760000002384743,0.03349999999999653,0.016500000000000625,0.03329999995231958,0.033900000035757216,0.13250000000000028,0.2003000000119215,0.11639999997616002,0.06560000002384214,0.06759999996423716,0.5331999999880779,0.25080000001192104,0.21510000002384544,0.23380000001191803,0.06639999997615575,0.11769999998808345,0.18369999998807884,0.1832000000476839,0.033399999976154504,0.050499999999999545,0.14880000001192428,0.16689999997615956,0.14919999998807754,0.20060000002384015,29.018600000023845,0.6665999999642338,2.4836000000238414,1.4675000000000011,0.11659999996423664,0.1664999999999992,0.13170000004768667,0.2512999999523089,0.2838000000119223,0.3674000000357722,13.650199999988075,0.2003999999761561,0.10060000002384584,0.11580000001191593,0.20050000000000523,27.467299999952317,0.051100000023836856,0.06649999999999068,0.0998999999761736,0.2173000000119032,0.18190000003576756,0.06619999998810044,0.3178999999761345,9.233600000023841,0.10069999998808044,0.11650000000000205,0.19839999997617497,17.08480000001191,0.11699999999999022,0.11660000002385118,0.14980000001193616,0.566199999988072,0.2675999999642329,46.404200000047695,0.04839999997614086,0.06800000000001205,0.06739999997614632,0.09780000001191524,0.050900000035767334,0.050799999952317876,0.03300000000001546,0.06620000004767235,0.2845999999642288,0.16599999999999682,52.75260000002385,0.6333000000119,0.2165999999642736,0.3014000000357555,0.06679999995230901,0.11549999999999727,0.0508000000119182,0.06600000000003092,0.2173000000119032,0.2663999999761586,6.083900000035783,0.11639999997612449,0.23340000003577188,35.98579999995229,0.05070000004769781,0.049299999952324924,0.10080000001192957,0.06490000003577734,0.13359999996418992,0.06740000003577507,0.13269999998811954,0.15089999997610448,0.33319999998809635,1.616700000047672,59.90439999997619,0.05000000000001137,0.03249999999997044,0.032699999988096806,0.05060000002384868,0.0671999999880768,0.10010000002381503,0.06619999998810044,0.05059999996421993,0.1488000000119314,0.06810000002383276,0.09969999998810408,0.13160000002380912,1.251299999952323,41.73730000001194,0.09919999998805906,0.13400000000001455,0.11540000003577688,157.28880000001186,0.021699999988072705,0.01789999997617997,0.015800000011950033,0.016100000023811845,0.017799999952330836,0.01690000003577552,0.016800000011926386,0.016799999952354483,0.016700000047649155,0.01599999999996271,0.017399999976191793,0.016100000023811845,0.03239999997617815,0.08380000001193366,0.03359999996428087,0.03220000004762369,0.03429999995228172,0.050100000023917346,0.03289999997616633,1.6622000000476191,0.021399999976210893,0.01689999997608993,0.01720000004775102,0.016399999976101753,0.017100000023901885,0.01629999995225262,0.01620000004766098,0.016299999952366306,0.03440000003581645,0.06680000001188091,0.016699999988077252,0.03169999998806361,0.016699999988077252,0.03499999999996817,0.03290000003585192,2.3826999999880627,0.016199999988089075,0.017600000023776374,0.016799999952354483,0.016999999999939064,0.015900000035799167,0.050099999964231756,3.1270000000000664,0.02299999999991087,0.016700000047762842,0.017099999964216295,0.01690000003577552,0.015699999987987212,0.017699999988167292,0.016100000023811845,0.01789999997617997,0.048699999988002673,0.016800000011926386,0.5835000000000719,0.016499999999950887,0.016100000023811845,0.017799999952330836,3.8640000000000327,2.8181000000238328,0.019000000000005457,0.015499999999974534,0.016699999988077252,0.01690000003577552,0.01609999996423994,0.017100000023901885,0.016499999999950887,0.016800000011926386,0.03389999997614268,0.03230000001190092,0.2998999999762191,0.017600000023776374,0.01630000001193821,0.015899999976227264,0.017600000023776374,0.016199999988089075,0.017699999988053605,0.01639999997621544,0.016100000023811845,0.03369999998813,0.33290000003569276,0.016699999988077252,0.015800000011950033,0.017799999952330836,0.016700000047649155,0.015499999999974534,0.017799999952330836,0.017100000023901885,0.033100000023864595,0.04929999995226808,0.01660000002380002,0.01789999997617997,0.015700000047672802,0.016599999964228118,0.01760000002389006,0.014599999964275412,0.017999999999915417,0.015900000035799167,0.36749999999995,0.01709999996432998,0.017400000035763696,0.01609999996423994,0.01590000003568548,0.016500000000064574,0.017300000011914562,0.016699999988077252,0.016599999964228118,0.049999999999954525,0.015900000035799167,0.016999999999939064,0.01700000000005275,0.016499999999950887,1.8938999999761563,0.040500000000065484","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,1,2,4,7,12,16,20,23,26,29,30,32,33,34,35,36,37,38,39,40,41,44,47,50,52,53,54,55,56,57,58,59,60,61,62,64,66,68,70,72,73,74,75,76,79,81,83,86,88,89,90,92,93,94,96,99,100,0,1,2,5,7,10,13,15,16,18,19,20,21,23,25,28,30,32,33,34,35,36,37,38,41,44,47,50,51,53,54,55,56,57,59,60,61,62,64,65,67,71,76,80,83,85,87,88,89,91,93,94,96,98,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(p7),(p4)(p5)(p6)(p7),(p4)(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7)(p8),(p5)(p6)(p7)(p8),(p5)(p6)(p7)(p8),(p5)(p6)(p7)(p4),(p5)(p6)(p7)(p4),(p5)(p6)(p7)(p4),(p5)(p6)(p4),(p5)(p6)(p4),(p5)(p6)(p4)(p3),(p5)(p6)(p4)(p3),(p5)(p6)(p4)(p3),(p5)(p4)(p3),(p5)(p4)(p3)(p2),(p5)(p4)(p3)(p2),(p4)(p3)(p2),(p4)(p3)(p2),(p4)(p3)(p2),(p3)(p2)(p1),(p3)(p2)(p1),(p3)(p2)(p1),(p3)(p2)(p1),(p3)(p2)(p4),(p3)(p2)(p4),(p3)(p2)(p4),(p3)(p2)(p4),(p3)(p2)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(p7),(p4)(p5)(p6)(p7),(p4)(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7)(p8),(p5)(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p9)(p10)(p11),(p9)(p10)(p11),(p9)(p10)(p11),(p9)(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11)(p12),(p10)(p11)(p12),(p10)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12)(p13),(p11)(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13)(p14),(p12)(p13)(p14),(p12)(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p13)(p14)(p15),(p13)(p14)(p15),(p14)(p15),(p14)(p15)(p16),(p14)(p15)(p16),(p14)(p15)(p16),(p14)(p15)(p16),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17)(p18),(p15)(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21)(p22),(p18)(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p20)(p21)(p22)(p23),(p20)(p21)(p22)(p23),(p20)(p21)(p22)(p23),(p20)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23)(p24),(p21)(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","","0,5,8,12,16,18,21,26,28,32,36,41,47,51,55,60,62,67,68,71,73,76,79,84,87,90,96","fcaes,intiamte,fnial,graet,exitnction,gretaer,stduy,haredr,baiss,ancinet,holwing,looknig,fruit-lvoing,brids,mmamals,distirbuting,classified,spurrnig,reporst.,ohter,nroth,chagning,spraeding,caapble,stduy,,sedes,lievd,trgiger,anmials,sohuld,seieng,tohse,stralings,dispesre,brids,dipsersing,ofetn,lansdcape,konwn,rveerberate","23,45,66,30,25,53,31,36,35,28,19,26,30,33,40,58,22,61,40,99,65,30,49,42,16,75,57,22,75,60,21,24,27,26,26,76,18,21,21,34","2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1,0,1,2,1,1,2,1,1,1,1","2,2,1,2,1,2,2,2,0,1,2,2,1,1,2,1,0,0,1,2,0,1,2,1,0,1,1","fcaes,intiamte,graet,fnial,exitnction,stduy,gretaer,haredr,ancinet,baiss,holwing,looknig,fruit-lvoing,brids,distirbuting,reporst.,spurrnig,nroth,ohter,spraeding,stduy,,lievd,sedes,trgiger,sohuld,seieng,tohse,dispesre,brids,dipsersing,ofetn,konwn,rveerberate","p1,p1,p2,p2,p3,p4,p4,p5,p6,p6,p7,p7,p8,p8,p10,p11,p11,p12,p12,p13,p14,p15,p15,p16,p19,p20,p20,p22,p23,p23,p24,p26,p27","9.408100000023842,14.658300000011922,26.16239999997616,33.66339999997616,39.996100000023844,72.21710000002385,75.86239999997616,86.2545,92.96610000002384,94.73389999997616,100.831,102.3995,118.31430000001193,120.53239999997616,147.9695,156.60139999997617,162.21780000001192,188.15239999997615,194.32089999997615,208.75510000002384,224.79260000002384,248.6943000000119,254.6415,274.07910000002386,311.22869999998807,317.93239999997616,318.7125,338.54739999997616,355.8651999999881,369.06639999997617,380.3336999999881,426.439,447.21","","","","no_heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","540033","0.0-5.0","","","13768.300000011921","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","610c9459dff6149cf0de51ee_1651595828712","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","542891","0.0-6.0","","","2856.800000011921","While reading the article, how carefully did you pay attention?","","610c9459dff6149cf0de51ee_1651595828712","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","no_heading","92","","","","","","","","","",""
"","html-slider-response","7","545475","0.0-7.0","","","2581.900000035763","How well do you feel you understood the key points of the article?","","610c9459dff6149cf0de51ee_1651595828712","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","no_heading","87","","","","","","","","","",""
"","html-slider-response","8","551391","0.0-8.0","","","5914.899999976158","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","610c9459dff6149cf0de51ee_1651595828712","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","no_heading","64","","","","","","","","","",""
"","html-slider-response","9","555042","0.0-9.0","","","3648.699999988079","How interesting did you find the topic of this article after the first few paragraphs?","","610c9459dff6149cf0de51ee_1651595828712","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","no_heading","81","","","","","","","","","",""
