"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","15431","0.0-0.0","1396","785","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","42836","0.0-1.0","1396","785","27400.600000023842","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","613a415ae2f1292f97385a12_1651690670649","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","70480","0.0-2.0","","","27636.300000071526","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","613a415ae2f1292f97385a12_1651690670649","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","158389","0.0-3.0","","","87907.70000004768","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","613a415ae2f1292f97385a12_1651690670649","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","481987","0.0-4.0","","","323571.89999997616","","","613a415ae2f1292f97385a12_1651690670649","test_trial","","","785","162402.60000002384","87","8","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","41.88589999997616,42.8155,44.014299999952314,49.677700000047686,49.71870000004768,49.9935,54.828,54.93889999997616,60.318,61.51720000004769,71.458,71.607,80.805,91.33960000002384,92.22189999997616,92.28739999997616,92.7865,110.03839999997616,113.28539999997616,113.80260000002384,130.3552000000477,136.7217000000477,138.7635,139.8287999999523,155.36610000002383,155.81460000002383,179.49410000002385,179.6615,180.0942000000477,180.17710000002384,196.2295,196.613,196.66439999997615,197.64610000002384,198.64420000004768,212.39870000004768,213.48110000002384,215.49589999997616,216.49589999997616,217.0112999999523,223.47210000002383,227.8192000000477,241.141,241.50879999995232,242.3735,266.6522000000477,266.70660000002385,266.73610000002384,266.88529999995234,267.01889999997616,267.1517000000477,267.35060000002386,291.2636000000238,291.49689999997616,292.1462999999523,293.22860000002385,299.6732000000477,300.189,300.63889999997616,303.4361000000238,303.7865,310.42989999997616,312.1947999999523,318.3895,318.4067000000477,318.4285,318.445,318.4575,318.47410000002384,318.4927999999523,318.5065,318.5245,318.54010000002387,318.55760000002385,318.78929999995233,318.8063999999762,318.8233999999762,318.83910000002385,318.85760000002387,319.6732999999523,319.68920000004766,319.7053999999762,319.72339999997615,319.7382999999523,319.77339999997616,319.7887000000477,319.80489999997616,408.60510000002387,408.6311000000238,408.64729999995234,408.66429999995233,408.6813999999762,408.69739999997614,408.71339999997616,408.73039999997616,408.74670000004767,408.76439999997615,408.7787999999523,419.28520000004767,419.30339999997614,419.321,419.3522000000477,419.3702000000477,419.6515,419.66989999997617,419.70360000002387,419.71979999995233,419.7355,419.7537000000477,419.7703999999762,419.78539999997616,419.8018999999762,419.82460000002385,419.83639999997615,419.8521000000238,419.887,419.9512999999523,422.31560000002384,422.3835,422.8997000000477,423.01489999997614,432.2597000000477,432.276,432.29339999997615,432.3272999999523,432.3432999999523,432.35970000004767,432.375,432.39370000004766,432.41060000002386,432.42710000002387,432.44329999995233,432.492,432.50939999997615,432.52710000002384,432.6085,433.2912000000477,433.30920000004767,433.3412000000477,433.38960000002385,433.4747000000477,433.49129999995233,433.50939999997615,433.5422999999523,433.60839999997614,440.0862999999523,442.52570000004766,442.54989999997616,442.567,442.58239999997613,442.60889999997613,442.61989999997616,442.6337999999523,442.6682000000477,442.88060000002383,442.8982999999523,442.91770000004766,442.93129999995233,442.9482000000477,442.9673999999762,442.9977999999523,443.03310000002386,443.2805,443.3165,443.33160000002385,443.3662000000477,443.3811000000238,443.4012999999523,443.4168999999762,443.43089999997613,443.44889999997616,443.4857000000477,443.4986000000238,443.76660000002386,443.7822000000477,443.79789999997615,443.81689999997616,443.8332999999523,443.8485,443.8663999999762,443.881,443.8997000000477,443.91639999997614,443.93089999997613,443.98110000002384,444.0162999999523,444.048,444.116,444.39689999997614,444.4307000000477,444.47929999995233,444.5298999999762,444.5477999999523,444.59810000002386","-161127.41409995235,0.9296000000238394,1.198799999952314,5.663400000095372,0.04099999999999682,0.2747999999523145,4.834500000000006,0.11089999997615507,5.37910000002384,1.1992000000476892,9.940799999952311,0.1490000000000009,9.198000000000008,10.53460000002383,0.8822999999523233,0.06550000000000011,0.49910000002384436,17.25189999997616,3.247,0.51720000004768,16.552600000023844,6.366500000000002,2.0417999999523033,1.065299999952316,15.537300000071525,0.4484999999999957,23.67950000000002,0.16739999997614063,0.4327000000477028,0.08289999997614927,16.05239999997616,0.38349999999999795,0.051399999976155186,0.981700000047681,0.9981000000238396,13.754500000000007,1.082399999976161,2.0147999999523165,1,0.5153999999761538,6.460800000071515,4.3471000000238575,13.321799999952304,0.36779999995232515,0.8647000000476908,24.278700000047678,0.05439999997616951,0.02949999999998454,0.14919999992849853,0.13360000002381867,0.13280000007154058,0.19889999997616314,23.912999999999954,0.23329999995235084,0.64939999997614,1.082300000071541,6.444600000023854,0.5157999999523213,0.4498999999761395,2.797200000047667,0.3503999999761618,6.643399999976168,1.7648999999761372,6.194700000047703,0.017200000047694175,0.021799999952293092,0.01650000000000773,0.012499999999988631,0.016600000023856865,0.018699999928458055,0.013700000047720096,0.01799999999997226,0.015600000023880511,0.017499999999984084,0.23169999992848034,0.01710000002384504,0.016999999999995907,0.015700000047672802,0.01850000000001728,0.8156999999284267,0.01590000009537107,0.016199999928517173,0.01799999999997226,0.014899999976137224,0.035100000023874145,0.01530000007153376,0.01619999992846033,88.80020000004771,0.025999999999953616,0.016199999928517173,0.016999999999995907,0.01710000002384504,0.01599999999996271,0.016000000000019554,0.016999999999995907,0.016300000071510112,0.017699999928481702,0.014399999976149047,10.506400000095368,0.01819999992846988,0.01760000002389006,0.031200000047647336,0.018000000000029104,0.2812999999522958,0.018399999976168147,0.033700000047701906,0.01619999992846033,0.015700000047672802,0.018200000047670528,0.01669999992850535,0.014999999999986358,0.01650000000000773,0.022700000047677804,0.011799999952302187,0.015700000047672802,0.03489999997617588,0.06429999995231128,2.3643000000715233,0.06789999997619134,0.516200000047661,0.11519999992844987,9.244800000071564,0.016299999952309463,0.01739999997613495,0.03389999997614268,0.016000000000019554,0.016400000095359246,0.01529999995233311,0.018700000047658705,0.016899999976203617,0.01650000000000773,0.01619999992846033,0.04870000004768826,0.01739999997613495,0.01770000004768235,0.08139999997615632,0.6827000000477028,0.01799999999997226,0.03200000000003911,0.04839999997614086,0.08510000002382867,0.016599999904656215,0.018100000023821394,0.03289999997616633,0.06610000002382321,6.4778999999761595,2.439400000095361,0.024199999928498528,0.01710000002384504,0.0153999999761254,0.026499999999998636,0.011000000000024102,0.01389999997616087,0.03440000009538835,0.21239999997612813,0.017699999928481702,0.01940000009534515,0.013599999904670312,0.016900000095347423,0.019199999928503075,0.030399999976111758,0.03530000007157241,0.24739999997615314,0.036000000000001364,0.015100000023835491,0.034600000023829125,0.014899999976137224,0.02019999992847943,0.015600000023880511,0.013999999999953161,0.018000000000029104,0.03680000007153694,0.012899999976127674,0.2680000000000291,0.015600000023823668,0.015699999928472153,0.019000000000005457,0.016399999976158597,0.015200000047684625,0.01789999997617997,0.014600000023790471,0.018700000047715548,0.016699999928448506,0.014499999999998181,0.050200000047709636,0.035199999928465786,0.031700000047692356,0.06799999999998363,0.2808999999761568,0.03380000007155104,0.04859999990463848,0.05060000002384868,0.017899999976123127,0.05030000007155877","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,67,70,73,74,76,78,79,81,82,83,84,93,97,100,99,92,88,85,78,76,75,74,3,5,10,20,23,27,31,32,34,36,37,39,40,41,44,45,46,49,50,54,55,56,59,61,62,63,64,65,66,67,68,69,70,71,72,73,75,76,78,80,81,82,83,85,86,87,89,90,91,92,93,94,95,96,97,98,99,100,0,1,3,5,9,11,12,13,14,15,17,23,31,43,45,46,47,48,51,53,55,57,59,61,63,64,65,67,68,70,75,77,80,83,84,85,87,88,89,90,91,92,93,94,95,96,97,98,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p9)(p10),(p9)(p10)(p11),(p9)(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(p16),(p14)(p15)(p16),(p15)(p16),(p15)(p16),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17),(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p24)(p25),(p25)(p26),(p26)(p27),(p26)(p27)(p25),(p25)(p24),(p24)(p23),(p24)(p23)(p22),(p22)(p20)(p21)(p19),(p22)(p20)(p21)(p19),(p20)(p21)(p19)(p18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","","0,5,8,12,16,18,21,25,28,32,36,41,47,51,55,60,62,67,68,71,74,76,79,84,87,91,96","thier,eelphant,ainmals,kilomeetrs,aruond,colud,bsais,shuold,accordnig,bidrs,wehther,reecnt,brids,endnagered,mvoed,butterfly,teres,hadrer,dispapear,epsecially,cna’t,stlil,snaeks,froest,ainmals,involevd,sedes,platns.,exclusviely,sadi.,vaule,foexs,bteween,prdeict.","36,11,61,50,14,29,35,10,53,13,25,46,38,24,48,16,16,23,36,15,12,35,42,13,43,51,77,59,20,16,15,35,35,23","2,1,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,0,1,1,1,1,2,2,1,1,2","0,0,1,1,1,2,2,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0","kilomeetrs,aruond,colud,shuold,bsais,bidrs,accordnig,wehther,brids,reecnt,endnagered,mvoed,teres,hadrer","p3,p4,p5,p6,p6,p7,p7,p8,p9,p9,p10,p11,p12,p13","66.29689999997616,77.505,106.39829999995231,118.024,128.328,134.28510000002385,148.50120000004767,165.10089999997615,183.09089999997616,186.2715,205.31439999997616,231.64610000002384,246.34410000002384,274.73860000002384","modeling,","p9","175.2745","no_heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","499138","0.0-5.0","","","17142","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","613a415ae2f1292f97385a12_1651690670649","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","503254","0.0-6.0","","","4112.5","While reading the article, how carefully did you pay attention?","","613a415ae2f1292f97385a12_1651690670649","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","no_heading","100","","","","","","","","","",""
"","html-slider-response","7","508253","0.0-7.0","","","4995.899999976158","How well do you feel you understood the key points of the article?","","613a415ae2f1292f97385a12_1651690670649","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","no_heading","52","","","","","","","","","",""
"","html-slider-response","8","514142","0.0-8.0","","","5885.799999952316","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","613a415ae2f1292f97385a12_1651690670649","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","no_heading","30","","","","","","","","","",""
"","html-slider-response","9","517086","0.0-9.0","","","2941.7999999523163","How interesting did you find the topic of this article after the first few paragraphs?","","613a415ae2f1292f97385a12_1651690670649","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","no_heading","24","","","","","","","","","",""
