"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","3728","0.0-0.0","1440","900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","8459","0.0-1.0","1440","900","4727.70000000298","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","613f82fc82d93614c23ff1d7_1651673668818","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","21873","0.0-2.0","","","13410.5","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","613f82fc82d93614c23ff1d7_1651673668818","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","79437","0.0-3.0","","","57564.09999999404","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","613f82fc82d93614c23ff1d7_1651673668818","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","655872","0.0-4.0","","","576421.599999994","","","613f82fc82d93614c23ff1d7_1651673668818","test_trial","","","900","492730.9999999851","100","0","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","47.39069999998808,48.290599999994036,49.224,50.45759999999404,51.49029999999702,52.62389999999106,84.99219999998807,85.37489999999106,86.0915,86.44229999999702,97.09269999998808,98.143,121.87569999998809,123.14209999999404,123.342,124.50839999999106,136.21,136.82669999998808,137.39359999999405,156.94309999999405,158.71039999999107,159.05939999999106,159.82569999998807,160.12589999999105,160.926,162.16,162.69259999999403,192.159799999997,192.36079999999703,193.09459999999405,194.32789999999105,208.627,209.20989999999105,210.6275,211.6265,226.76,229.04459999999403,229.89409999999404,230.11069999998807,231.0606999999881,231.67769999998808,231.97669999998809,262.845599999994,263.1601999999881,263.92739999999105,264.34459999999405,292.42869999998805,293.228799999997,293.9453999999911,294.66109999999406,294.9946999999881,295.94429999999704,309.3791999999881,310.34469999998805,311.2125,312.179599999994,312.79529999999704,326.3616999999881,334.3121999999881,335.2126999999881,347.52959999999405,348.14639999999105,348.89589999999106,363.0956999999881,363.862,367.59539999999106,367.84539999999106,368.579,391.36339999999103,391.9305,400.6475,410.4796999999881,411.1473999999911,412.5136999999881,413.414299999997,414.3625,417.44609999999403,419.013299999997,430.863299999997,431.4801999999881,433.94639999999106,435.63109999999403,437.3965,452.7313999999911,453.7305,464.69809999999404,465.7476999999881,470.26389999999105,473.298,474.88109999999403,479.95269999998806,481.28139999999104,497.265299999997,497.932099999994,498.9815,508.8655,512.5145,512.898299999997,528.148799999997,528.697599999994,688.834599999994,688.867599999994,688.8845,688.901,688.917,688.9337999999971,688.951,688.967599999994,688.983599999994,688.999899999991,689.017299999997,689.0330999999941,689.067799999997,689.083299999997,689.100799999997,689.116599999994,689.149899999991,689.1675,689.184299999997,689.2005,689.2336999999881,689.251,689.2668999999911,689.3005,689.350299999997,689.382299999997,689.416699999988,689.4498999999911,689.5556999999881,689.599799999997,689.6171999999881,689.633199999988,689.6502999999971,689.6675,689.683599999994,689.701,689.7166999999881,717.7228999999911,717.767099999994,717.784599999994,717.801099999994,717.817,717.834099999994,717.851399999991,717.8676999999881,717.8840999999941,717.9015,717.9346999999881,717.9508999999911,717.966399999991,718.017299999997,718.067899999991,718.1011999999881,718.116799999997,718.133699999988,718.1513999999911,718.1670999999941,718.1846999999881,718.2005,718.2345999999941,718.251,718.267,718.2841999999881,718.3003999999911,718.3175999999941,718.3345,718.3505,718.3676999999881,718.3833999999911,718.400599999994,718.4180999999941,718.450099999994,718.467399999991,718.501,718.533799999997,718.8003999999911,718.851399999991,718.917799999997,718.9845,726.0511999999881,726.0670999999941,726.084299999997,726.117799999997,726.134199999988,726.168299999997,726.201399999991,726.218,726.250899999991,726.317399999991,726.367799999997,726.4011999999881","-83643.20930000895,0.8999000000059567,0.9334000000059604,1.2335999999940412,1.0327000000029827,1.1335999999940398,32.368299999997014,0.3827000000029841,0.7166000000089383,0.3507999999970224,10.650399999991066,1.0503000000119158,23.732699999988085,1.2664000000059588,0.19990000000595387,1.1663999999910573,11.701600000008952,0.6166999999880716,0.5669000000059725,19.549499999999995,1.7672999999970216,0.34899999999998954,0.7662999999970168,0.30020000000297387,0.8001000000089391,1.2340000000000089,0.5325999999940336,29.467200000002975,0.20100000000002183,0.733799999997018,1.2332999999970014,14.299100000008963,0.5828999999910423,1.417600000008946,0.9989999999999952,15.133499999999998,2.284599999994043,0.8495000000000061,0.21659999999403112,0.950000000000017,0.6169999999999902,0.2990000000000066,30.868900000005937,0.31459999999407273,0.7672000000029584,0.4172000000029925,28.08409999999401,0.8001000000089675,0.7165999999940595,0.7157000000029825,0.33359999999402135,0.9496000000089566,13.434899999991046,0.9654999999999632,0.8678000000119255,0.9670999999940477,0.6157000000030166,13.566399999991063,7.950499999999977,0.9005000000000223,12.316900000005944,0.6167999999969993,0.7495000000000118,14.199799999997026,0.7663000000119382,3.733399999991036,0.25,0.7336000000089484,22.784399999991024,0.5671000000089634,8.716999999999985,9.83219999998812,0.6677000000029807,1.3662999999970111,0.9006000000089216,0.9482000000029984,3.0835999999940213,1.5672000000029698,11.850000000000023,0.6168999999910625,2.4662000000029707,1.6847000000029766,1.7654000000059682,15.33489999999108,0.999100000008923,10.967599999994036,1.0495999999940295,4.516200000002982,3.034100000008948,1.5830999999940332,5.071599999994021,1.328700000002982,15.983900000005974,0.6667999999970107,1.04940000000596,9.884000000000015,3.649000000000001,0.3837999999969952,15.250499999999988,0.5487999999970725,160.13699999999994,0.03300000000001546,0.01690000000598957,0.016499999999950887,0.016000000000076398,0.01679999999703341,0.017200000002958404,0.01659999999401407,0.01599999999996271,0.016299999997045234,0.017400000005977745,0.015799999997057057,0.034700000002885645,0.015500000000088221,0.01749999999992724,0.015799999997057057,0.0332999999969843,0.017600000008997085,0.01679999999703341,0.01620000000298205,0.03319999998802814,0.017300000011914562,0.01589999999112024,0.033600000008959796,0.049799999996935185,0.03200000000003911,0.03439999999102383,0.0332000000030348,0.1057999999969752,0.04410000000893888,0.01739999999108477,0.01599999999996271,0.01710000000900891,0.017200000002958404,0.016099999994025893,0.017400000005977745,0.0156999999881009,28.00620000000299,0.04420000000288837,0.017500000000040927,0.016499999999950887,0.015900000006013215,0.017099999994002246,0.017299999997021587,0.016299999997045234,0.016400000006001392,0.017400000005977745,0.03319999998802814,0.01620000000298205,0.015499999999974534,0.05090000000598138,0.050599999994005884,0.033299999997097984,0.015600000008930692,0.016899999990982906,0.017700000003060268,0.015700000002993875,0.017599999993990423,0.015800000011950033,0.034099999994055,0.016400000005887705,0.016000000000076398,0.01719999998806543,0.01620000000298205,0.017200000002958404,0.01690000000598957,0.01599999999996271,0.01719999998806543,0.015700000002993875,0.017200000002958404,0.017500000000040927,0.03199999999992542,0.017299999997021587,0.033600000008959796,0.03279999999699612,0.26659999999412776,0.05099999999993088,0.06640000000595592,0.06670000000303844,7.066699999988032,0.015900000006013215,0.017200000002958404,0.03350000000000364,0.01639999999099473,0.03410000000894797,0.033099999994078644,0.016600000008907045,0.0328999999910593,0.0665000000000191,0.050400000005993206,0.03339999999104748","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,1,2,3,5,6,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,36,39,40,42,43,42,43,44,45,46,47,48,49,51,52,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,91,92,93,94,95,96,97,98,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(p7),(p4)(p5)(p6)(p7),(p4)(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7)(p8),(p5)(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p9)(p10)(p11),(p9)(p10)(p11),(p9)(p10)(p11),(p9)(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11)(p12),(p10)(p11)(p12),(p10)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12)(p13),(p11)(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13)(p14),(p12)(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p13)(p14)(p15),(p13)(p14)(p15),(p14)(p15),(p14)(p15)(p16),(p14)(p15)(p16),(p14)(p15)(p16),(p14)(p15)(p16),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17)(p18),(p15)(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21)(p22),(p18)(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p20)(p21)(p22)(p23),(p20)(p21)(p22)(p23),(p20)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","","0,5,8,12,16,18,21,26,28,32,36,41,47,51,55,60,62,67,68,71,73,76,79,84,87,90,96","intimtae,arrivnig,tehir,whree,hospiatble,maeks,evloved,bsais,inescts,finley,creatuers,,impcat,wildilfe,classified,gepoolitical,moevd,sguar,mapels,,precent,changnig,disappaer,mihgt,lagre,toelrate,braek,sohwn,faleln,feewr,ainmals,invasiev,,tehir,archipealgo’s,ntaive,evloved,exclsuively,palnts,creatrues,saavnna,,revebrerate,awlays","45,63,38,33,46,34,19,35,28,17,24,21,51,22,62,48,57,58,43,55,36,89,27,13,15,52,53,28,43,23,27,18,58,42,20,43,29,73,34,22","1,1,2,1,1,2,1,2,1,2,2,2,2,1,2,1,2,0,1,1,2,1,2,2,1,2,2","1,1,1,1,1,0,0,2,1,0,2,1,1,1,1,1,2,0,1,1,1,1,1,1,0,0,0","intimtae,arrivnig,tehir,hospiatble,maeks,finley,creatuers,,impcat,moevd,gepoolitical,sguar,changnig,disappaer,mihgt,toelrate,braek,sohwn,faleln,feewr,invasiev,,tehir,ntaive,evloved","p1,p2,p3,p4,p5,p8,p8,p9,p11,p11,p12,p13,p14,p15,p16,p17,p17,p19,p20,p21,p22,p23,p24","18.9955,67.2965,83.214,104.91369999998808,128.24759999999404,180.23159999999405,187.615,198.53159999999403,247.28189999999105,256.44969999998807,284.20009999999405,307.266599999994,329.967,365.6175,386.850599999994,393.7511999999881,403.9176999999881,429.485,439.285299999997,450.0206999999881,467.5521999999881,490.5526999999881,511.2521999999881","","","","no_heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","673894","0.0-5.0","","","18016.10000000894","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","613f82fc82d93614c23ff1d7_1651673668818","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","678773","0.0-6.0","","","4875.0999999940395","While reading the article, how carefully did you pay attention?","","613f82fc82d93614c23ff1d7_1651673668818","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","no_heading","90","","","","","","","","","",""
"","html-slider-response","7","683122","0.0-7.0","","","4347.0999999940395","How well do you feel you understood the key points of the article?","","613f82fc82d93614c23ff1d7_1651673668818","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","no_heading","81","","","","","","","","","",""
"","html-slider-response","8","690506","0.0-8.0","","","7380.9000000059605","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","613f82fc82d93614c23ff1d7_1651673668818","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","no_heading","64","","","","","","","","","",""
"","html-slider-response","9","693973","0.0-9.0","","","3463.9000000059605","How interesting did you find the topic of this article after the first few paragraphs?","","613f82fc82d93614c23ff1d7_1651673668818","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","no_heading","67","","","","","","","","","",""
