"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","17938","0.0-0.0","1920","1080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","58232","0.0-1.0","1920","1080","40289.700000047684","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","6147752c21a4523f1ed70636_1651673667779","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","76002","0.0-2.0","","","17764.700000047684","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","6147752c21a4523f1ed70636_1651673667779","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","152001","0.0-3.0","","","75997.80000001192","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","6147752c21a4523f1ed70636_1651673667779","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","773760","0.0-4.0","","","621747.5","","","6147752c21a4523f1ed70636_1651673667779","test_trial","","","1080","464125.1999999881","118","9","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","83.55019999998808,83.61809999996424,83.668,144.24539999997617,144.281,177.51319999998807,177.58009999996423,177.6618000000119,177.7783000000119,189.52780000001192,189.6445,189.69409999996424,212.27859999996423,212.32769999998808,212.51080000001193,212.64539999997615,213.04319999998808,213.1775,213.2455,213.79509999996424,213.86009999996423,214.31009999996425,250.358,250.40859999996422,268.37409999996424,268.44039999997614,268.64059999996425,268.7243000000119,286.22330000001193,286.25659999996424,286.29039999997616,286.30680000001195,286.32289999997613,286.35639999997613,286.37289999997614,287.6735999999642,288.85389999997614,288.89189999997615,288.9241999999881,288.9565999999642,288.9905999999642,289.107,289.35639999997613,289.3903999999762,289.4241999999881,289.4566999999881,289.57359999996424,289.80730000001194,289.82469999998807,289.85789999997615,290.85639999997613,290.9065,292.05730000001194,292.12359999996426,297.223,297.27389999997615,298.7225,298.7893000000119,323.22209999996426,323.4048000000119,323.6046999999881,350.08669999998807,350.13659999996423,350.4698000000119,350.55319999998807,350.85309999996423,351.7365,351.78639999997614,352.16980000001195,352.2366999999881,376.45259999996426,376.5525,387.51839999997617,387.9181999999881,387.9685,414.417,414.4835,414.6333999999762,414.7835,414.9001999999881,415.03339999997615,415.0843000000119,415.667,415.7503000000119,416.03330000001193,459.61339999997614,459.6503000000119,460.3811999999881,460.44789999997613,460.51489999997614,460.6311999999881,461.4156999999881,500.54639999997613,500.5963000000119,500.71330000001194,500.7810999999642,501.4470999999642,501.5795999999642,527.0116999999881,528.3113000000119,528.361300000012,529.2613000000119,529.3278999999761,566.3603999999762,567.165,567.2093000000119,573.1925,573.259199999988,573.5258999999761,573.6256999999881,589.5090999999643,589.8583999999762,589.9083999999762,590.6416999999881,590.6920999999643,609.1655,609.2741999999881,609.5740999999642,777.710699999988,777.7165999999643,777.7330999999642,777.749199999988,777.7663000000119,777.7835999999643,777.8010999999642,777.8165999999642,777.8335,777.8498000000119,777.8670999999642,777.8825999999642,777.8996999999881,777.9178000000119,777.9340999999642,777.9833000000119,782.2325999999642,782.2493000000119,782.2661999999881,782.282199999988,782.2993999999761,782.3160999999642,782.332800000012,782.3493999999762,782.3828999999762,790.3898999999761,790.3985,790.4153999999761,790.432199999988,790.4491999999881,790.465199999988,790.482,790.4985,790.5320999999642,795.9973000000119,796.0175999999642,796.0316999999881,796.049,796.0648999999762,796.082,796.0983999999762,796.1148999999762,796.1318000000119,796.1488000000119,796.1651999999881,796.1818999999762,796.2320999999642","-157538.74980001192,0.06789999997616292,0.04990000003576256,60.577399999976166,0.0356000000238339,33.23219999998807,0.06689999997615814,0.0817000000476753,0.11650000000000205,11.749500000000012,0.11669999998807157,0.04959999996424358,22.58449999999999,0.04910000002385573,0.18310000002384186,0.13459999996422312,0.3978000000119266,0.1343000000119332,0.06799999999998363,0.5495999999642436,0.06499999999999773,0.45000000000001705,36.04790000003575,0.05059999996421993,17.96550000000002,0.06630000001189273,0.200199999988115,0.08370000004765643,17.499000000000024,0.03329999995230537,0.03380000001192229,0.016400000035787343,0.016099999964183098,0.03350000000000364,0.01650000000000773,1.300699999988069,1.1803000000119255,0.038000000000010914,0.032300000011957763,0.03239999997612131,0.033999999999991815,0.11640000003581008,0.24939999997610585,0.03400000000004866,0.03380000001192229,0.03249999999997044,0.11689999997616951,0.23370000004769054,0.01739999997613495,0.03319999998808498,0.9984999999999786,0.0501000000238605,1.150800000011941,0.06629999995232083,5.099400000035757,0.05089999997613859,1.4486000000238732,0.06680000001188091,24.43279999995235,0.18270000004764597,0.19989999997619634,26.48199999999997,0.049899999976162235,0.33320000004766825,0.08339999997616587,0.29989999997616223,0.8834000000357491,0.049899999976162235,0.383400000035806,0.06689999997615814,24.21589999997616,0.0999000000357455,10.965899999976159,0.39980000001190774,0.050300000011930024,26.448499999999967,0.0665000000000191,0.14989999997618497,0.1501000000238264,0.11669999998809999,0.13319999998805088,0.050900000035767334,0.5826999999880513,0.08330000001194549,0.28300000000001546,43.580099999964204,0.03690000003575733,0.7308999999762023,0.06669999998803178,0.06700000000000728,0.11630000001196095,0.78449999999998,39.13069999998805,0.04990000003579098,0.11700000000001864,0.06779999995228536,0.6659999999999968,0.13249999999999318,25.432100000023866,1.2996000000238155,0.05000000000006821,0.8999999999999773,0.06659999996418264,37.03250000000003,0.8046000000238109,0.04430000001195822,5.983199999988074,0.06669999998803178,0.26669999998807725,0.09980000001201006,15.883399999976177,0.3493000000119082,0.049999999999954525,0.7333000000119227,0.050399999976207255,18.473400000035667,0.10869999998817548,0.2998999999761054,168.1366000000238,0.005899999976236359,0.016499999999950887,0.016100000023811845,0.017100000023901885,0.01729999995234266,0.01749999999992724,0.015499999999974534,0.01690000003577552,0.01630000001193821,0.01729999995234266,0.015499999999974534,0.017100000023901885,0.01810000002376455,0.016299999952366306,0.04920000004767644,4.2492999999523136,0.016700000047649155,0.016899999976203617,0.01599999999996271,0.01719999998806543,0.016699999988077252,0.016700000047762842,0.016599999964228118,0.03350000000000364,8.006999999999948,0.00860000002387551,0.01689999997608993,0.016800000011926386,0.01700000000005275,0.01599999999996271,0.016800000011926386,0.016500000000064574,0.03359999996416718,5.46520000004773,0.02029999995227172,0.014100000023859138,0.017300000011914562,0.015899999976227264,0.017100000023788198,0.01639999997621544,0.016499999999950887,0.01690000003577552,0.016999999999939064,0.01639999997621544,0.016699999988077252,0.05019999998808089","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,27,26,25,24,23,22,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,39,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,1,5,9,12,13,14,15,18,23,26,29,30,31,32,33,34,35,39,43,45,47,48,49,50,51,52,56,60,62,64,65,66,67,68,69,77,79,81,84,89,93,95,96,97,98,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(h1)(p7)(p8),(h1)(p7)(p8),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9),(p8)(p9)(p7),(p8)(p9)(p7),(p8)(p9)(p7)(h1),(p8)(p7)(h1),(p8)(p7)(p9),(p8)(p7)(p9),(p8)(p7)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(h2)(p11),(h2)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12)(h2),(p11)(p12)(h2),(p11)(p12),(p11)(p12),(p11)(p12)(h3),(p11)(p12)(h3),(p12)(h3),(p12)(h3),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(h3)(p13),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p14)(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","20,35,47,60,74","0,4,8,12,15,17,21,25,27,31,36,41,48,52,55,61,63,68,69,72,75,78,81,85,88,91,96","kilomeetrs,sperad,tehir,phenoemnon,avioding,palnts,palnts,becuase,eovlved,fweer,sang.,relatoinships,uanble,disrtibuting,budren,macrhing,yeras,mounatin,dgerees,compaerd,resileince,,arleady,eatsern,romaed,dangreous,cna’t,lrage,teres,benig,porcess,natvie,aniamls,cotss,natvie,intrdouced,natvie,somteimes,evovled,wellc-onnected,vlaue,claled,ruond,awlays","62,35,65,65,24,20,39,18,19,24,30,20,53,58,56,78,33,105,46,62,9,25,10,40,24,12,81,54,14,10,42,43,39,34,25,58,23,42,25,15,42,86,22","2,1,2,1,2,1,2,1,1,2,2,2,2,1,2,2,1,0,1,2,2,2,2,2,2,2,1","0,1,1,0,0,1,2,0,0,0,1,0,1,0,2,1,0,0,1,0,0,1,0,0,0,0,0","tehir,avioding,eovlved,fweer,sang.,macrhing,compaerd,eatsern,romaed,cna’t,teres,cotss","p2,p3,p6,p7,p7,p11,p13,p15,p15,p16,p19,p22","81.39689999997616,118.80880000001193,205.7975,223.949,229.05289999997615,321.609,371.5323999999762,394.51309999996425,402.1283999999762,423.57659999996423,492.43319999998806,523.3605","kilometers,travel","p3,p3","132.55659999996425,135.2123000000119","heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","806481","0.0-5.0","","","32711.100000023842","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","6147752c21a4523f1ed70636_1651673667779","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","812141","0.0-6.0","","","5658.699999988079","While reading the article, how carefully did you pay attention?","","6147752c21a4523f1ed70636_1651673667779","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","heading","99","","","","","","","","","",""
"","html-slider-response","7","821502","0.0-7.0","","","9358.400000035763","How well do you feel you understood the key points of the article?","","6147752c21a4523f1ed70636_1651673667779","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","heading","51","","","","","","","","","",""
"","html-slider-response","8","828622","0.0-8.0","","","7118.899999976158","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","6147752c21a4523f1ed70636_1651673667779","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","heading","16","","","","","","","","","",""
"","html-slider-response","9","834100","0.0-9.0","","","5477.400000035763","How interesting did you find the topic of this article after the first few paragraphs?","","6147752c21a4523f1ed70636_1651673667779","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","heading","26","","","","","","","","","",""
