"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","6472","0.0-0.0","1920","1080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","10554","0.0-1.0","1920","1080","4079.89999999851","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","615a0c4124331c124b11feca_1651655470223","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","19140","0.0-2.0","","","8583.39999999851","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","615a0c4124331c124b11feca_1651655470223","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","46395","0.0-3.0","","","27255.89999999851","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","615a0c4124331c124b11feca_1651655470223","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","349718","0.0-4.0","","","303313.799999997","","","615a0c4124331c124b11feca_1651655470223","test_trial","","","1080","252138.79999999702","100","0","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","47.37989999999851,47.44569999999553,47.52889999999851,47.59560000000149,47.67889999999851,47.81229999999702,48.54539999999851,48.71189999999851,54.49319999999553,66.13939999999852,66.33989999999851,67.6225,67.68869999999553,93.59669999999554,93.63010000000149,93.68079999999702,93.713,93.76339999999851,93.84660000000149,93.9461000000015,94.26319999999554,94.3631000000015,95.58029999999702,104.74310000000149,104.8926000000015,104.943,113.15660000000149,113.32389999999852,113.53989999999851,137.26539999999852,137.315,137.3318999999985,137.36519999999553,137.4326000000015,137.46489999999852,137.51539999999852,137.81469999999553,137.84819999999553,137.88119999999552,137.9816000000015,158.07569999999552,158.17460000000148,158.32579999999703,169.45439999999851,169.52079999999702,169.77069999999554,169.88779999999701,169.98719999999554,170.23719999999554,170.4538999999985,186.0321000000015,186.13189999999852,186.1988999999985,186.28169999999554,186.7485,186.83179999999703,191.06379999999703,191.196799999997,191.33019999999553,204.17579999999703,204.259299999997,204.342299999997,204.459,204.5756000000015,220.70469999999554,220.7535,220.821,220.8701000000015,220.9551000000015,221.35360000000148,221.4363999999985,221.55289999999852,222.1195,222.15279999999703,222.2693999999985,223.05269999999553,223.9523999999985,244.52869999999552,244.59510000000148,244.712,247.94479999999703,249.0438999999985,249.1938999999985,249.3441000000015,249.8938999999985,250.1111000000015,250.5436000000015,251.42660000000149,251.9095,268.25419999999554,268.5373999999985,268.6376000000015,268.7373999999985,271.46969999999556,271.6031000000015,271.7691999999955,271.88619999999554,295.6615,295.76179999999704,295.8946999999955,391.4885,391.4951000000015,391.512299999997,391.5286999999955,391.54529999999704,391.5623999999985,391.5791000000015,391.5955,391.612,391.6291000000015,391.64569999999554,391.6623999999985,391.6788999999985,391.9118999999985,391.92839999999853,391.9451999999955,391.962,391.979,391.9953999999985,392.0118999999985,392.0286999999955,392.0455,392.061799999997,392.07869999999554,392.0958999999985,392.3786000000015,392.3955,392.4121000000015,392.428799999997,392.4451000000015,392.46189999999854,392.47829999999703,392.4951000000015,392.5116999999955,392.5281000000015,392.54519999999553,392.8125,392.82819999999555,392.845,392.862,392.8781000000015,392.8951000000015,392.9116999999955,392.9281999999955,392.9451000000015,392.9616000000015,392.978799999997,404.0411999999955,404.0581000000015,404.0745,407.8695,409.5888999999985,409.61839999999853,409.62289999999854,409.6391999999955,409.65629999999703,409.67260000000147,409.6896999999955,409.706,409.7228999999985,409.739299999997,409.756299999997,409.7728999999985,409.8578999999985,409.9061000000015,410.0231000000015,410.03969999999555,410.056,410.0736000000015,410.08939999999853,410.1065,410.12289999999854,410.1396999999955,410.1561000000015,410.1725,410.1895,410.4391000000015,410.4563999999985,410.4725,410.49,410.5061000000015","-51127.6201,0.0657999999970258,0.08320000000297512,0.0667000000029816,0.08329999999701698,0.1333999999985167,0.7331000000014853,0.1664999999999992,5.7812999999970245,11.646200000002985,0.20049999999999102,1.2826000000014943,0.06619999999553272,25.908,0.033400000005954666,0.050699999995529765,0.032200000002973184,0.0503999999985183,0.08320000000297512,0.09950000000000614,0.31709999999404204,0.09990000000595955,1.217199999995529,9.162800000004466,0.1495000000000033,0.050399999998504086,8.213600000001492,0.16729999999702727,0.21599999999999397,23.72550000000001,0.04960000000147602,0.01689999999851466,0.03329999999701272,0.06740000000596069,0.032299999997036366,0.050499999999999545,0.29929999999700385,0.03350000000000364,0.03299999999998704,0.10040000000597615,20.09409999999403,0.09890000000595478,0.1511999999955549,11.128600000001484,0.06639999999850943,0.24989999999851875,0.11710000000147147,0.09939999999852489,0.25,0.21670000000295886,15.578200000002994,0.09979999999703182,0.06699999999997885,0.08279999999703591,0.46680000000446853,0.08329999999702409,4.231999999999999,0.13299999999998136,0.1333999999985167,12.845600000001497,0.08349999999998658,0.08299999999999841,0.11670000000299297,0.1166000000014833,16.129099999994054,0.04880000000446216,0.06749999999999545,0.04910000000148784,0.08500000000000796,0.3984999999999843,0.08279999999703591,0.11650000000000205,0.5666000000014719,0.03329999999704114,0.1166000000014833,0.7832999999970127,0.89970000000298,20.57629999999702,0.06640000000595592,0.11689999999850897,3.2327999999970416,1.0991000000014708,0.15000000000000568,0.1502000000029966,0.549799999996992,0.21720000000300388,0.43250000000000455,0.8829999999999814,0.48289999999852284,16.344699999995527,0.28320000000297796,0.10020000000298523,0.0997999999970034,2.7322999999970534,0.1334000000059632,0.16609999999400316,0.11700000000001864,23.77530000000445,0.10029999999704842,0.13289999999847169,95.59380000000448,0.006600000001526496,0.017199999995511916,0.01639999999849806,0.0166000000015174,0.017100000001448734,0.01670000000302707,0.01639999999849806,0.01650000000000773,0.017100000001448734,0.016599999994070913,0.016700000002970228,0.01650000000000773,0.2330000000000041,0.01650000000000773,0.016799999996976567,0.016800000004479898,0.016999999999995907,0.01639999999849806,0.01650000000000773,0.01679999999703341,0.016800000004479898,0.01629999999698839,0.01689999999854308,0.017200000002958404,0.2827000000029898,0.01689999999854308,0.016600000001460558,0.01669999999552374,0.01630000000449172,0.01679999999703341,0.01639999999849806,0.016800000004479898,0.01659999999401407,0.01640000000594455,0.01709999999405909,0.2673000000044681,0.015699999995547387,0.016800000004479898,0.016999999999995907,0.01610000000147238,0.016999999999995907,0.01659999999401407,0.01650000000000773,0.01690000000598957,0.01650000000000773,0.017199999995511916,11.06239999999849,0.01690000000598957,0.01639999999849806,3.795000000000016,1.7193999999984726,0.029500000000041382,0.004500000000007276,0.01629999999698839,0.017100000001505578,0.016300000004434878,0.01709999999405909,0.01630000000449172,0.016899999998486237,0.01639999999849806,0.016999999999995907,0.0166000000015174,0.08499999999997954,0.04820000000302116,0.1169999999999618,0.016599999994070913,0.016300000004434878,0.017600000001493754,0.015799999997057057,0.017100000001448734,0.016399999998554904,0.016799999996976567,0.016400000006001392,0.01639999999849806,0.016999999999995907,0.24960000000146465,0.017299999997021587,0.016100000001529224,0.017499999999984084,0.01610000000147238","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,1,3,7,11,16,21,25,28,30,31,32,33,34,35,38,44,47,50,52,54,56,57,59,61,62,64,67,70,72,73,74,76,77,78,79,80,82,87,89,90,92,93,94,95,96,97,98,99,100,0,1,2,8,10,16,21,25,30,34,39,41,43,44,43,49,54,59,64,71,75,79,82,84,85,86,87,90,93,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p9)(p10),(p9)(p10),(p9)(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p12),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(p16),(p14)(p15)(p16),(p15)(p16),(p15)(p16),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17),(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p18)(p19)(p20),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","","0,5,8,12,16,18,21,25,28,32,36,41,47,51,55,60,62,67,68,71,74,76,79,84,87,91,96","thier,graet,suggsets,stlil,leavnig,disappeairng,hicth,wosren,erosoin,yaers,,signing,fweer,whetehr,discvoered,atuhors,,especailly,hpapen,watres,fisihng,muontain,avreage,capbale,mgiratory,lrage,dnagerous,ca’nt,tedns,teres,colse,seenig,starligns,csots,dispesre,evovle,whree,sometiems,sitll,aobut,claled,wondefrul,beenfits","22,30,41,36,37,13,23,30,15,23,14,24,25,36,26,47,13,53,66,105,58,42,69,27,24,12,55,54,38,21,27,39,26,54,12,23,68,42,42,13,32","1,1,2,2,2,2,2,1,2,2,2,1,1,1,2,2,1,0,1,2,1,2,1,2,2,2,1","1,1,0,1,2,1,0,0,1,0,2,1,1,0,1,1,0,0,0,2,0,0,0,0,0,2,1","thier,graet,leavnig,hicth,wosren,erosoin,discvoered,watres,fisihng,muontain,avreage,lrage,ca’nt,seenig,colse,wondefrul,claled,beenfits","p1,p2,p4,p5,p5,p6,p9,p11,p11,p12,p13,p15,p16,p20,p20,p26,p26,p27","10.5715,35.0425,69.36960000000148,80.47979999999701,82.1338999999985,87.9965,119.39760000000149,149.12419999999554,152.23669999999552,171.74389999999852,183.4455,195.7905,207.50919999999553,232.35229999999703,236.8961000000015,275.0721999999955,282.67019999999553,302.2333999999985","","","","no_heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","358486","0.0-5.0","","","8774.80000000447","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","615a0c4124331c124b11feca_1651655470223","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","363012","0.0-6.0","","","4525.10000000149","While reading the article, how carefully did you pay attention?","","615a0c4124331c124b11feca_1651655470223","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","no_heading","68","","","","","","","","","",""
"","html-slider-response","7","365506","0.0-7.0","","","2492.7999999970198","How well do you feel you understood the key points of the article?","","615a0c4124331c124b11feca_1651655470223","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","no_heading","70","","","","","","","","","",""
"","html-slider-response","8","369327","0.0-8.0","","","3820.10000000149","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","615a0c4124331c124b11feca_1651655470223","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","no_heading","59","","","","","","","","","",""
"","html-slider-response","9","372491","0.0-9.0","","","3162.3000000044703","How interesting did you find the topic of this article after the first few paragraphs?","","615a0c4124331c124b11feca_1651655470223","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","no_heading","58","","","","","","","","","",""
