"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","10777","0.0-0.0","1366","768","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","35120","0.0-1.0","1366","768","24336.90000152588","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","615c100bc96ed7f86c2ee521_1651673750214","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","54771","0.0-2.0","","","19641.89999961853","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","615c100bc96ed7f86c2ee521_1651673750214","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","138365","0.0-3.0","","","83590.39999961853","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","615c100bc96ed7f86c2ee521_1651673750214","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","878458","0.0-4.0","","","740039.0999984741","","","615c100bc96ed7f86c2ee521_1651673750214","test_trial","","","768","596642.6999969482","129","7","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down","81.53869999885559,81.63929999923707,81.7695,81.91759999847412,132.74419999885558,133.1775999984741,133.35359999847412,133.654,133.9451999988556,152.93779999923706,153.03719999885558,153.11759999847413,153.18729999923707,153.23569999885558,153.40589999961853,153.48819999885558,153.75629999923706,153.80659999847413,228.97839999961852,229.0235,229.10629999923705,229.323,229.5056999988556,229.5970999984741,229.79629999923705,229.96909999847412,271.205,271.4045,271.5290999984741,271.5778999996185,271.62929999923705,271.8247999992371,271.90689999961853,272.17709999847415,287.3958999996185,287.426,287.44659999847414,287.4640999984741,287.4895,287.51659999847413,287.5471999988556,288.7775999984741,288.8796999988556,288.9065999984741,288.938,288.95529999923707,288.9795,289.00629999923706,289.0367999992371,289.0551999988556,289.0865,289.10639999961853,289.13629999923705,289.1561999988556,289.99529999923703,290.14659999847413,290.34579999923704,293.4965999984741,293.6978999996185,293.8953999996185,312.5660999984741,312.7915,313.13379999923706,313.3545,360.18289999961854,360.2775999984741,360.6221999988556,380.38679999923704,380.51609999847415,380.7081999988556,380.90579999923705,381.03559999847414,392.947,392.97639999961854,393.0233999996185,393.0967999992371,393.12029999923703,393.19519999885557,393.2463999996185,393.3745,451.7835,451.9351999988556,452.2058999996185,452.3545999984741,452.4527999992371,452.62489999961855,478.5753999996185,478.9401999988556,490.58489999961853,490.7155,490.8135999984741,490.9070999984741,491.01519999885556,491.0565,491.1315,491.1835999984741,491.2341999988556,491.2633999996185,548.9557999992371,549.022299999237,549.2457999992371,549.3765,549.5926999988556,549.7225999984742,549.916299999237,586.5345,586.7297999992371,607.2156999988556,607.395,607.6340999984741,607.7942999992371,608.0347999992371,608.2095,637.9970999984741,638.0996999988556,638.2196999988556,638.3425999984742,638.5498999996186,672.9498999996185,674.6143999996185,675.0641999988555,675.4798999996185,677.7546999988556,677.8441999988556,677.9150999984741,678.117,678.3945999984742,678.6335,678.9128999996185,927.8647999992371,927.9055999984741,927.9301999988556,927.9633999996186,927.9806999988556,928.0052999992371,928.0305,928.055299999237,928.0816999988556,928.1073999996186,928.128,928.1538999996185,928.1820999984741,928.2022999992371,928.2313999996185,928.2565,928.2811999988556,928.3835999984741,928.402299999237,928.4285999984742,928.4503999996185,928.4828999996186,928.5025999984741,928.5270999984741,963.107,963.1627999992371,963.1823999996185,963.2088999996186,963.2316999988556,963.2628999996185,963.2815999984741,963.3053999996185,963.3312999992371,963.3852999992371,963.6505,1022.9315,1022.9898999996185,1023.0120999984741,1023.036,1023.0622999992371,1023.0916999988556,1023.1110999984742,1023.136799999237,1023.1623999996185,1023.1885,1036.590599998474,1038.6015,1038.631599998474,1038.6496999988556,1038.6815,1038.701299999237,1038.726,1038.7508999996185,1038.7766999988555,1038.801599998474,1038.8333999996185,1038.850599998474,1043.1688999996186","-143314.861301527,0.1006000003814762,0.13020000076292604,0.14809999847412314,50.82660000038146,0.4333999996185298,0.17600000000001614,0.30040000152587254,0.2911999988556033,18.992600000381458,0.09939999961852664,0.0803999996185496,0.06970000076293559,0.04839999961851049,0.1702000007629465,0.08229999923705122,0.2681000003814802,0.05029999923706896,75.17180000114439,0.04510000038149542,0.0827999992370394,0.21670000076295537,0.18269999885558263,0.09139999961851686,0.19920000076294286,0.17279999923707123,41.23590000152586,0.19950000000000045,0.12459999847413883,0.048800001144400085,0.051399999618524816,0.1955000000000382,0.08210000038144472,0.27019999885561674,15.21880000114436,0.03010000038148064,0.020599998474153836,0.017499999999984084,0.025400001525895277,0.027099998474113818,0.030600000381468817,1.2303999996184984,0.10210000038148337,0.02689999961853573,0.03140000152586708,0.01729999923708192,0.024200000762903073,0.02679999923708465,0.030500000000017735,0.018399999618509355,0.031300001144416,0.019899999618530728,0.029899999618521633,0.019899999618530728,0.8391000003814497,0.15129999923709647,0.19920000076291444,3.1507999992370515,0.20130000114443192,0.1974999999999909,18.670699998855582,0.2254000015258839,0.34229999923707055,0.22070000076291763,46.82839999961857,0.09469999885556035,0.3446000003814902,19.76460000038145,0.1292999992371051,0.19210000038145836,0.197600000381442,0.1297999992370933,11.911400001525863,0.029399999618533457,0.04699999999996862,0.07339999961857302,0.02349999999995589,0.07489999961853755,0.05120000076294673,0.12810000038149383,58.40899999999999,0.15169999885557672,0.270700000762929,0.14869999885559082,0.0982000007629722,0.17210000038147655,25.950499999999977,0.3647999992370501,11.644700000762953,0.13060000038149155,0.09809999847408335,0.09350000000000591,0.10810000038145517,0.04130000114446375,0.07499999999998863,0.05209999847409108,0.05060000038150747,0.029200000762898526,57.6923999996186,0.06649999999990541,0.2235000000000582,0.1307000007628858,0.21619999885558627,0.12989999961860121,0.19370000076287397,36.618200000762954,0.19529999923713603,20.485899999618482,0.1793000011443837,0.2390999984741029,0.16020000076298402,0.24049999999999727,0.1747000007629822,29.787599998474093,0.10260000038147155,0.12000000000000455,0.12289999961853937,0.20730000114440372,34.39999999999998,1.6644999999999754,0.4497999992370296,0.41570000076296765,2.274799999237075,0.08950000000004366,0.07089999961851845,0.20190000152581433,0.2775999984742157,0.2389000015258489,0.2793999996184766,248.9518999996186,0.04079999923703781,0.02460000038149701,0.033200000762917625,0.017299999237025077,0.02460000038149701,0.025200000762879426,0.0247999992370751,0.026399999618547554,0.02570000076298129,0.020600000381477912,0.02589999961844569,0.028199998855598096,0.02020000076299766,0.0291000003813906,0.025100000381485188,0.02469999885568086,0.1023999996184557,0.018700000762919444,0.026299999237153315,0.02180000114435643,0.032500000000027285,0.01969999885557172,0.024499999999989086,34.57990000152586,0.055799999237137854,0.019600000381387872,0.02650000000005548,0.022799999237008706,0.03120000076296492,0.018699998855595368,0.023800001144422822,0.025899999618559377,0.053999999999973625,0.2652000007628885,59.28100000000006,0.058399999618472975,0.02219999885562629,0.02390000152581706,0.026299999237153315,0.029399999618476613,0.019399999618599395,0.025700000762867603,0.025600000381473365,0.02610000038146154,13.402099998474114,2.010900001525897,0.030099998474042877,0.01810000038153703,0.031800001144347334,0.019799999237193333,0.024700000763004937,0.02489999961835565,0.025799999237051452,0.024899999618583024,0.031800001144347334,0.017199998855630838,4.318300001144507","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,33,32,26,17,11,9,8,9,10,11,12,14,16,18,19,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,1,2,3,4,5,6,8,9,11,12,13,14,15,16,17,18,19,20,21,24,27,33,36,37,38,39,42,45,50,58,68,75,78,79,78,79,80,83,85,88,92,94,96,98,100,0,1,4,16,37,55,71,85,92,95,97,98,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p9)(p10),(p9)(p10)(p11),(p9)(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11)(p9),(p9)(p8),(p5)(p6)(p7),(p5)(p6)(p3)(p4),(p5)(p3)(p4),(p5)(p3)(p4),(p5)(p3)(p4),(p5)(p3)(p4),(p5)(p3)(p4)(p6),(p5)(p4)(p6),(p5)(p4)(p6),(p5)(p6)(p7),(p5)(p6)(p7),(p6)(p7)(p8),(p6)(p7)(p8),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p9)(p10),(p9)(p10)(p11),(p9)(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p12),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(p16),(p14)(p15)(p16),(p15)(p16),(p15)(p16),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","","0,5,8,12,16,18,21,25,28,32,36,40,46,51,55,60,62,67,68,71,74,76,79,84,87,90,96","develpoed,barnch,gerat,wehre,palnt,leaivng,wihch,anceint,percnet,mnokeys,whteher,cmoputer,lsoing,mmamals,lrage,mpale,aniamls,plnats,afifliated,lagre,tloerate,cycel,,capalbe,cretaed,exampel,,wer’e,stalrings,alnog,arrivlas,aern’t,thsee,typcially,exclusivley,palnts,exhcange,called,trhives","43,27,30,33,44,37,33,28,50,18,25,15,33,18,42,61,82,25,13,27,13,25,78,51,30,20,27,43,22,81,72,32,20,43,62,42,28","1,2,2,1,1,1,2,1,1,2,1,2,1,1,1,2,1,0,2,1,1,2,2,2,1,2,1","1,1,2,0,0,0,0,1,1,2,1,1,1,0,0,2,1,0,1,1,0,1,1,0,1,0,1","develpoed,barnch,wehre,palnt,whteher,cmoputer,mmamals,lsoing,lrage,mpale,plnats,tloerate,cycel,,capalbe,exampel,,wer’e,alnog,thsee,palnts,trhives","p1,p2,p3,p3,p8,p9,p10,p10,p11,p12,p13,p16,p16,p17,p19,p20,p22,p23,p25,p27","26.366,58.203,98.488,106.5175,238.0931999988556,249.64979999923705,281.17779999923704,300.3510999984741,335.0713999996185,375.16889999961853,403.56289999961854,481.51379999923705,487.9195,519.4680999984741,537.1473999996185,559.766299999237,604.3690999984741,635.4350999984741,669.584299999237,737.814799999237","","","","no_heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","914857","0.0-5.0","","","36383.39999961853","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","615c100bc96ed7f86c2ee521_1651673750214","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","935448","0.0-6.0","","","20589.39999961853","While reading the article, how carefully did you pay attention?","","615c100bc96ed7f86c2ee521_1651673750214","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","no_heading","71","","","","","","","","","",""
"","html-slider-response","7","942328","0.0-7.0","","","6879.200000762939","How well do you feel you understood the key points of the article?","","615c100bc96ed7f86c2ee521_1651673750214","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","no_heading","87","","","","","","","","","",""
"","html-slider-response","8","950914","0.0-8.0","","","8585","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","615c100bc96ed7f86c2ee521_1651673750214","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","no_heading","81","","","","","","","","","",""
"","html-slider-response","9","957027","0.0-9.0","","","6110.89999961853","How interesting did you find the topic of this article after the first few paragraphs?","","615c100bc96ed7f86c2ee521_1651673750214","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","no_heading","77","","","","","","","","","",""
