"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","33710","0.0-0.0","1440","900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","57357","0.0-1.0","1440","900","23637.39999985695","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","615c77b19e8951f83ed4be3b_1651512926031","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","70525","0.0-2.0","","","13155.200000047684","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","615c77b19e8951f83ed4be3b_1651512926031","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","115914","0.0-3.0","","","45385.799999952316","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","615c77b19e8951f83ed4be3b_1651512926031","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","547235","0.0-4.0","","","431241.2999999523","","","615c77b19e8951f83ed4be3b_1651512926031","test_trial","","","900","308531.09999990463","100","0","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","36.826799999952314,39.475600000143054,49.92420000004768,50.742100000143054,58.64340000009537,58.95879999995232,59.47629999995232,61.5765,81.76020000004769,82.17690000009537,82.46090000009536,84.34470000004768,84.86210000014304,86.37840000009537,86.89429999995231,104.07979999995231,104.14529999995231,104.31220000004768,104.91329999995232,105.32929999995231,131.8645,131.93160000014305,132.0825,132.18020000004768,132.6987999999523,132.76410000014306,150.21590000009536,160.53340000009536,160.58270000004768,160.71740000009538,160.83270000004768,168.384,170.81810000014306,178.50060000014304,178.60060000014306,178.801,179.518,179.56820000004768,179.6342999999523,179.73640000009536,195.2857999999523,195.46840000009536,195.67020000004769,210.73810000014305,211.18729999995233,211.83810000014304,230.52190000009537,230.571,230.65379999995233,230.93790000009537,235.9885,236.48760000014306,237.88860000014304,238.07479999995232,238.27179999995232,238.47120000004767,239.1882000000477,239.40470000004768,239.67160000014306,239.92229999995232,269.50690000009536,269.9402000000477,270.12329999995234,270.2905,270.52340000009536,290.25890000009537,290.44310000014303,290.50910000014306,290.5414000000954,291.426600000143,291.52590000009536,295.6429000000954,295.7767999999523,296.00960000014305,296.27640000009535,297.0254000000954,324.9282000000477,325.0107000000477,325.1272000000477,325.19410000014307,336.4802999999523,336.64479999995234,336.862,351.8292000000477,352.12990000009535,352.41310000014306,363.43110000014303,363.8295,364.1157000000477,367.6142000000477,367.6802000000477,367.84710000014303,368.4637999999523,369.44810000014303,370.04790000009535,372.19740000009534,372.5312999999523,373.1815,418.6172999999523,419.0507999999523,544.2031000001431,544.2257000000477,544.2421000001431,544.259100000143,544.2762000000477,544.2957000000476,544.3129000000954,544.3272999999523,544.3431000001431,544.3762000000477,544.4269000000953,544.4757000000477,562.6116000001431,562.627600000143,562.6437999999523,562.6615,562.676600000143,562.6959000000953,562.710600000143,562.7261000001431,562.7617000000477,565.477,565.4967000000477,565.5127000000476,565.528100000143,565.5439000000954,565.5614000000953,565.5772000000477,565.5931000001431,565.6122999999524,565.6272000000477,565.6606000001431,565.7279000000954,565.7935,572.1289000000953,572.1445,572.1607000000477,572.1782999999523,572.1947999999524,572.2112999999523,572.2272000000477,572.2445,572.2952999999524,579.7792999999523,579.796,579.8122000000477,579.8287999999524,579.846100000143,579.863600000143,579.8784000000953,579.896600000143,579.913,579.9305,579.9452000000476","-122673.37320004773,2.6488000001907395,10.44859999990463,0.8179000000953707,7.901299999952315,0.31539999985695033,0.5174999999999983,2.1002000000476855,20.183700000047686,0.41670000004768326,0.2839999999999918,1.8837999999523163,0.517400000095364,1.5162999999523237,0.5158999998569413,17.185500000000005,0.06550000000000011,0.16690000009536732,0.6010999999046334,0.4159999999999968,26.53520000004768,0.06710000014305706,0.15089999985696068,0.09770000004766644,0.5185999999046373,0.06530000019074578,17.4517999999523,10.317499999999995,0.049299999952324924,0.134700000047701,0.115299999952299,7.551299999952306,2.4341000001430757,7.682499999999976,0.10000000000002274,0.20039999985692702,0.717000000000013,0.050200000047681215,0.06609999990462256,0.10210000014305365,15.549399999856945,0.18260000014305433,0.20179999995232833,15.067900000095364,0.4491999998092808,0.6508000001907135,18.683799999952328,0.04909999990462666,0.08279999995232856,0.2841000001430416,5.05059999990462,0.49910000014307343,1.400999999999982,0.1861999998092756,0.19700000000000273,0.19940000009535197,0.717000000000013,0.21649999999999636,0.26690000009537584,0.2506999998092567,29.58460000014304,0.4332999999523395,0.1830999999046412,0.16720000004767144,0.2329000000953556,19.735500000000002,0.18420000004766734,0.06600000000003092,0.03229999995232902,0.8852000000476323,0.0992999999523363,4.117000000000019,0.13389999985690793,0.23280000019076397,0.26679999995229764,0.7490000000000236,27.90279999995232,0.08249999999998181,0.11650000000003047,0.06690000009535879,11.286199999809241,0.1645000000000323,0.2172000000476828,14.967200000047683,0.30070000004764097,0.28320000004771373,11.017999999999972,0.39839999985696295,0.28620000004769963,3.4984999999999786,0.06600000000003092,0.16690000009532469,0.6166999998092706,0.9843000001907285,0.5997999999523245,2.149499999999989,0.3338999998569534,0.6502000000477324,45.43579999995228,0.4334999999999809,125.15230000019079,0.02259999990462802,0.016400000095359246,0.016999999999939064,0.017099999904644392,0.019499999999993634,0.01720000004775102,0.014399999856891554,0.01580000019077943,0.0330999999046071,0.05070000004764097,0.04879999995239359,18.135900000095376,0.01599999999996271,0.01619999980925968,0.017700000047739195,0.015100000142979297,0.019299999952295366,0.014700000047696449,0.015500000000088221,0.035599999904547985,2.7152999999523217,0.0197000000476919,0.01599999999996271,0.015400000095382893,0.01579999995237813,0.01749999999992724,0.01579999995237813,0.01590000009537107,0.019199999809302426,0.01490000009528103,0.033400000095412,0.06729999995229718,0.06559999990463439,6.335400000095319,0.015599999904679862,0.01620000004766098,0.01759999990463257,0.016500000000064574,0.016499999999950887,0.01590000009537107,0.01729999995234266,0.0507999999523463,7.483999999999924,0.016700000047762842,0.01620000004766098,0.016599999904656215,0.01730000019063027,0.017500000000040927,0.01479999995228809,0.01820000004772737,0.016399999856957947,0.017500000000040927,0.014700000047582762","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,2,5,9,12,15,16,17,18,19,20,21,23,28,31,37,39,41,42,43,44,45,46,47,49,51,53,54,55,56,57,58,59,60,62,63,66,68,70,72,73,74,75,76,77,78,79,82,85,89,94,97,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(p7),(p4)(p5)(p6)(p7),(p4)(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7)(p8),(p5)(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p9)(p10)(p11),(p9)(p10)(p11),(p9)(p10)(p11),(p9)(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11)(p12),(p10)(p11)(p12),(p10)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12)(p13),(p11)(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13)(p14),(p12)(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p13)(p14)(p15),(p13)(p14)(p15),(p14)(p15),(p14)(p15)(p16),(p14)(p15)(p16),(p14)(p15)(p16),(p14)(p15)(p16),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17)(p18),(p15)(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21)(p22),(p18)(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22)(p23),(p20)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","","0,5,8,12,16,18,21,26,28,32,36,41,47,51,55,60,62,67,68,71,73,76,79,84,87,90,96","stfuf,tehir,batteerd,suggetss,thier,hrader,logner,eovlved,fweer,fruit-lvoing,fellow,mammlas,wehre,distirbuting,geooplitical,spurirng,malpe,etsimate,reesarchers,acocunts,additional,sedes,cna’t,eoclogy,anmials,thsoe,witohut,dno’t,thsoe,naitve,creatuers,invloved,sedes,,palnts,bidrs,exclsuively,lnoger,potenital,fukny,betewen,otehrs","21,65,16,41,23,36,22,19,12,30,23,40,49,58,62,61,61,39,38,20,52,45,12,30,75,41,9,37,24,42,18,51,28,34,26,20,47,34,28,35,16","1,1,2,1,2,1,1,2,1,2,2,1,2,2,1,2,2,0,1,2,2,2,2,1,2,1,2","1,1,1,0,2,1,1,1,0,1,1,1,0,1,1,1,0,0,1,2,2,2,2,0,2,1,1","stfuf,tehir,batteerd,logner,hrader,eovlved,fweer,fruit-lvoing,wehre,spurirng,malpe,acocunts,sedes,cna’t,witohut,thsoe,dno’t,creatuers,naitve,sedes,,invloved,bidrs,palnts,potenital,lnoger,fukny,otehrs","p1,p2,p3,p5,p5,p6,p7,p8,p10,p11,p12,p14,p15,p16,p19,p20,p20,p21,p21,p22,p22,p23,p23,p25,p25,p26,p27","5.801,44.37090000009537,52.905200000047685,90.01510000014305,93.22629999995232,97.71820000004769,107.76760000014305,130.7132999999523,159.17790000009538,173.95,190.256,229.8612999999523,248.27720000004769,266.63660000014306,294.7992999999523,311.794,312.749,318.852100000143,323.839,331.9142000000477,335.2876000001431,344.2029000000954,347.6692000000477,375.5932999999523,378.76960000014304,392.8365,425.848","worst","p9","147.32510000014304","no_heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","570248","0.0-5.0","","","23003.200000047684","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","615c77b19e8951f83ed4be3b_1651512926031","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","577064","0.0-6.0","","","6804.100000143051","While reading the article, how carefully did you pay attention?","","615c77b19e8951f83ed4be3b_1651512926031","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","no_heading","87","","","","","","","","","",""
"","html-slider-response","7","582258","0.0-7.0","","","5191.799999952316","How well do you feel you understood the key points of the article?","","615c77b19e8951f83ed4be3b_1651512926031","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","no_heading","100","","","","","","","","","",""
"","html-slider-response","8","587863","0.0-8.0","","","5601.599999904633","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","615c77b19e8951f83ed4be3b_1651512926031","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","no_heading","40","","","","","","","","","",""
"","html-slider-response","9","591557","0.0-9.0","","","3692","How interesting did you find the topic of this article after the first few paragraphs?","","615c77b19e8951f83ed4be3b_1651512926031","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","no_heading","78","","","","","","","","","",""
