"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","14032","0.0-0.0","1280","720","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","27117","0.0-1.0","1280","720","13082.100000023842","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","62349b3af3a0703917f6e7dd_1651598228587","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","53108","0.0-2.0","","","25987","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","62349b3af3a0703917f6e7dd_1651598228587","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","121688","0.0-3.0","","","68579.40000003576","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","62349b3af3a0703917f6e7dd_1651598228587","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","823310","0.0-4.0","","","701598.2999999523","","","62349b3af3a0703917f6e7dd_1651598228587","test_trial","","","720","573929.9999999404","100","0","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","69.03059999996424,69.21379999995231,70.1955,92.227,92.79359999996424,94.32539999997616,94.975,113.77619999998808,114.99159999996424,119.57109999996423,141.96959999996423,143.00229999995233,146.08269999998808,147.26609999996424,149.66309999996423,178.84039999997617,179.0727999999523,179.3552999999523,179.63829999995232,182.55289999997615,183.83519999998808,185.41669999998808,211.91159999996424,212.195,212.4612999999523,212.89419999998807,214.97569999998808,239.106,239.5555,240.35479999995232,242.2535,254.11059999996425,254.36059999996425,254.74389999997615,277.0415,277.34169999998807,277.7910999999642,279.78909999996426,280.505,317.25859999996425,317.5252999999523,317.7918999999762,317.99129999995233,318.8737999999523,319.37329999995234,355.07739999997614,355.3767999999523,355.57739999997614,356.27639999997615,356.59259999996425,357.0595,358.1411999999881,384.38609999996424,384.7522999999523,386.251,387.0505999999642,388.24959999996423,409.44859999996424,409.9483999999762,410.9810999999642,432.8632999999523,433.59559999996424,434.27839999997616,436.06,441.2395,442.00519999998806,442.788,455.62779999995234,456.3435999999642,457.8925,484.60389999997614,484.9866999999881,486.119,486.7020999999642,490.19889999997616,491.91409999996426,509.3002999999523,514.5120999999642,528.6171999999881,530.4825999999642,531.2147999999523,532.6142999999523,533.196699999988,550.4828999999762,551.1487999999523,552.297699999988,571.8146999999881,572.3313999999762,572.7475,587.5355,596.4945,597.7768999999762,598.6763999999762,609.6670999999642,611.1987999999524,612.0650999999642,614.2796999999881,638.110199999988,638.51,639.026,843.6600999999642,843.674,843.7238999999762,843.7408999999761,843.7745999999643,843.7905,843.8075,843.8238999999761,843.8577999999524,843.8743999999762,843.8910999999642,843.9075,843.9240999999643,843.9403999999762,843.9570999999643,843.9740999999642,843.9905999999643,844.007,844.024,844.0406999999881,844.0568999999762,844.0755,844.0903999999762,844.1076999999881,844.123699999988,844.1570999999642,844.1735,844.1905999999642,844.2072999999523,844.2571999999881,845.3492999999523,886.6886999999881,886.7053999999762,886.7222999999523,886.7385,886.7556999999881,886.7720999999642,886.8053999999762,886.8220999999643,886.8385,886.855,886.8720999999642,886.905,886.921699999988,886.9386999999881,886.9715999999643,887.0050999999643,887.0382999999523,887.0735,887.0883999999761,887.105,887.122,887.1380999999642,887.1552999999523,887.1880999999643,887.2050999999642,887.2380999999642,887.2545999999643,887.2880999999643,887.3045999999642,887.3378999999761,887.3716999999881,939.224699999988,939.2451999999881,939.2618999999762,939.2783999999762,939.2955,939.3120999999643,939.3285,939.345199999988,939.362,939.3783999999762,939.395,939.4120999999642,939.4287999999523,939.4453999999762,939.4615999999643,939.4951999999881,939.5116999999881,939.5320999999642,939.5453999999762,939.5781999999881,939.595199999988,939.628199999988,939.6616999999881,939.6781999999881,939.7115999999643,947.8085,947.8545999999642,947.888,947.9212999999523,947.9380999999643,948.0046999999881,948.021,961.9012999999524,967.7855999999642,967.8052999999524,967.8217999999523,967.8385,967.8558999999761,967.872,967.8882999999523,967.9051999999881,967.9218999999762,967.9381999999881,967.955,967.9718999999761,967.9882999999523,968.0048999999761,968.0218999999762,968.0390999999643,968.0885,968.1050999999642,968.1215999999642,968.1383999999762,968.171699999988,968.521,968.571,968.604199999988,968.6206999999881,968.6376999999881,968.6542999999523,968.6706999999881,968.7045999999642,968.7372999999524,968.7710999999642,968.8208999999762,968.8372999999523,969.0541999999881,969.0721999999881,969.087,969.1037999999523,969.121,969.1370999999642,969.1535999999643,969.1705,969.187,969.2370999999642,969.253699999988,969.3868999999762,969.4203999999762,969.437,969.470199999988,969.5035,969.5367999999523,969.803,969.8196999999881,969.837,969.853,969.8695999999643,969.8865999999642,969.9032999999523,969.9196999999881,969.9362999999523,969.970199999988,970.003,970.0528999999761,970.1031999999881,970.1695,970.2030999999643","-127599.26940001195,0.18319999998807646,0.981700000047681,22.03150000000001,0.5665999999642395,1.5318000000119127,0.6496000000238382,18.801199999988086,1.2153999999761567,4.579499999999996,22.3985,1.0326999999880968,3.080400000035752,1.1833999999761602,2.3969999999999914,29.17730000001194,0.23239999997613836,0.28249999999999886,0.28300000000001546,2.9146000000238246,1.2823000000119293,1.5815000000000055,26.494899999976155,0.28340000003575483,0.26629999995230946,0.43290000003577234,2.0815000000000055,24.130300000011914,0.44950000000000045,0.7992999999523249,1.8987000000476826,11.857099999964248,0.25,0.3833000000119,22.297600000023834,0.3001999999880809,0.4493999999761513,1.9980000000000473,0.715900000035731,36.75359999996425,0.26669999998807725,0.26660000002385686,0.19939999997615132,0.8824999999999932,0.4995000000000118,35.7041000000238,0.29939999997617406,0.20060000002382594,0.6990000000000123,0.31619999998810044,0.46690000003576415,1.081699999988075,26.244899999976155,0.36619999998805497,1.498700000047677,0.7995999999642436,1.1990000000000123,21.199000000000012,0.4998000000119305,1.03269999998804,21.882199999988075,0.7323000000119464,0.6828000000119232,1.7816000000238432,5.179500000000019,0.765699999988044,0.7828000000119459,12.839799999952334,0.7158000000118818,1.5489000000357578,26.71139999997615,0.3828000000119687,1.1323000000119237,0.5830999999641904,3.4968000000119446,1.7151999999881014,17.386199999988037,5.21180000001192,14.105100000023867,1.8653999999761481,0.7321999999880973,1.399499999999989,0.5824000000357046,17.286199999988185,0.6658999999760908,1.1489000000357237,19.517000000000053,0.5166999999880773,0.4161000000237891,14.788000000000011,8.95900000000006,1.2823999999761782,0.8994999999999891,10.99069999998801,1.5316999999881773,0.8663000000118473,2.214600000023893,23.830499999999915,0.3998000000119646,0.5159999999999627,204.6340999999643,0.013900000035732774,0.04989999997621908,0.016999999999939064,0.03369999998813,0.01590000003568548,0.01700000000005275,0.016399999976101753,0.03389999997625637,0.01660000002380002,0.016699999988077252,0.016400000035787343,0.016599999964228118,0.01630000001193821,0.016699999988077252,0.016999999999939064,0.016500000000064574,0.016400000035673656,0.01700000000005275,0.016699999988077252,0.016199999988089075,0.018600000023866414,0.014899999976137224,0.017300000011914562,0.01599999999996271,0.033399999976154504,0.016400000035787343,0.017099999964216295,0.016699999988077252,0.04990000003579098,1.0920999999642618,41.339400000035766,0.016699999988077252,0.01689999997608993,0.016200000047774665,0.01719999998806543,0.016399999976101753,0.03330000001199096,0.016699999988077252,0.016400000035673656,0.016500000000064574,0.017099999964216295,0.03290000003573823,0.016699999988077252,0.01700000000005275,0.03289999997616633,0.03350000000000364,0.03319999998802814,0.035200000047666435,0.014899999976137224,0.016600000023913708,0.016999999999939064,0.01609999996423994,0.01719999998806543,0.032800000012002783,0.016999999999939064,0.03300000000001546,0.016500000000064574,0.03350000000000364,0.016499999999950887,0.03330000001187727,0.03380000001197914,51.85299999999995,0.020500000000083674,0.016699999988077252,0.016499999999950887,0.017100000023788198,0.016599999964341805,0.016400000035673656,0.016699999988077252,0.016800000011926386,0.01639999997621544,0.01660000002380002,0.017099999964216295,0.016699999988077252,0.016600000023913708,0.016199999988089075,0.03360000002385277,0.016499999999950887,0.020399999976120853,0.01330000001200915,0.0328000000118891,0.016999999999939064,0.03300000000001546,0.03350000000000364,0.016500000000064574,0.033399999976154504,8.096900000035703,0.04609999996421266,0.033400000035840094,0.03329999995230537,0.016800000011926386,0.06660000002386823,0.016300000011824523,13.880299999952399,5.884300000011876,0.01969999998812,0.016499999999950887,0.016700000047649155,0.017399999976191793,0.016100000023811845,0.016299999952366306,0.01690000003577552,0.016699999988077252,0.01630000001193821,0.016800000011926386,0.01689999997608993,0.01639999997621544,0.01660000002380002,0.01700000000005275,0.01719999998806543,0.04940000003568912,0.016599999964228118,0.016500000000064574,0.016800000011926386,0.03330000001187727,0.3493000000119082,0.05000000000006821,0.03319999998802814,0.016500000000064574,0.016999999999939064,0.016599999964228118,0.016400000035787343,0.03389999997614268,0.03269999998815365,0.03380000001186545,0.04980000001194185,0.016399999976101753,0.216900000035821,0.018000000000029104,0.014800000011859993,0.016799999952354483,0.01720000004763733,0.01609999996423994,0.016500000000064574,0.016900000035661833,0.016500000000064574,0.050099999964231756,0.01660000002380002,0.13319999998816456,0.03350000000000364,0.01660000002380002,0.03319999998802814,0.03330000001199096,0.03329999995230537,0.266200000047661,0.016699999988077252,0.017300000011914562,0.01599999999996271,0.016599999964341805,0.016999999999939064,0.016699999988077252,0.016400000035787343,0.016599999964228118,0.033900000035714584,0.032800000012002783,0.04989999997610539,0.050300000011930024,0.06630000001189273,0.03359999996428087","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,46,47,49,50,51,52,53,54,55,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,80,81,82,83,85,87,88,90,91,92,93,94,95,96,97,98,99,100,0,1,2,5,8,11,13,15,17,19,21,24,25,27,28,29,30,31,32,35,36,37,38,40,41,42,44,45,46,48,49,50,51,52,53,56,58,60,63,66,68,71,73,74,75,76,77,78,80,81,82,83,84,85,87,88,90,92,93,94,95,96,97,98,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p6)(h1)(p7),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(h1)(p7)(p8),(h1)(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(h2)(p11),(h2)(p11),(h2)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12)(h3),(p12)(h3),(p12)(h3),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(h3)(p13),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p13)(p14)(p15),(p14)(p15),(p14)(p15)(h4),(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(h4)(p16)(p17),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","20,35,46,60,74","0,4,8,11,15,17,21,25,27,31,36,41,47,52,55,61,63,67,68,72,75,77,80,84,87,91,96","stfuf,teres,graet,befroe,extinciton,accoridng,cuold,hrader,sholud,mnokeys,eelphants,advacned,loisng,yeras,mackreel,meetrs,avreage,dsiappear,widllife,proviedd,dangeruos,hnuters,introudced,fweer,cuold,otfen,arriavls,tehir,eovlve,sedes,speices,revesring,netwroks,wondreful,called,alwyas,thrievs","21,28,30,62,25,27,29,36,10,18,31,14,33,33,46,23,58,36,23,30,24,70,43,28,35,21,22,27,54,77,40,60,26,13,42,22,28","2,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,0,1,1,2,2,2,1,2,2,2","2,1,0,1,2,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,2,2,1,0,2,1,2","stfuf,teres,befroe,accoridng,cuold,hrader,sholud,mnokeys,advacned,loisng,yeras,meetrs,avreage,dsiappear,proviedd,dangeruos,hnuters,introudced,fweer,otfen,cuold,arriavls,tehir,sedes,netwroks,revesring,wondreful,alwyas,thrievs","p1,p1,p2,p4,p5,p5,p6,p7,p9,p10,p11,p12,p13,p14,p15,p16,p17,p19,p20,p21,p21,p22,p22,p23,p25,p25,p26,p27,p27","35.796899999976155,39.30839999997616,89.93739999997617,133.35609999996424,158.66369999998807,162.23309999996422,169.8382999999523,190.733,233.18659999996424,265.9131999999881,293.8211999999881,327.8116999999881,379.12089999997613,399.13529999995234,421.38909999996423,451.29789999997615,480.07409999996423,507.59959999996425,527.111,541.3485,547.294,558.652199999988,561.5106999999881,595.4842999999523,622.8605,634.7522999999524,645.100199999988,689.5810999999642,693.3033999999761"," ","p1","50.631099999964235","heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","849687","0.0-5.0","","","26369.80000001192","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","62349b3af3a0703917f6e7dd_1651598228587","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","853804","0.0-6.0","","","4115.099999964237","While reading the article, how carefully did you pay attention?","","62349b3af3a0703917f6e7dd_1651598228587","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","heading","100","","","","","","","","","",""
"","html-slider-response","7","857431","0.0-7.0","","","3625.5","How well do you feel you understood the key points of the article?","","62349b3af3a0703917f6e7dd_1651598228587","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","heading","100","","","","","","","","","",""
"","html-slider-response","8","866169","0.0-8.0","","","8736.5","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","62349b3af3a0703917f6e7dd_1651598228587","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","heading","84","","","","","","","","","",""
"","html-slider-response","9","870557","0.0-9.0","","","4386.399999976158","How interesting did you find the topic of this article after the first few paragraphs?","","62349b3af3a0703917f6e7dd_1651598228587","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","heading","90","","","","","","","","","",""
