"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","6963","0.0-0.0","1920","1080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","9335","0.0-1.0","1920","1080","2371","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5a4ffbc076d1c60001aa9438_1650912550130","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","15602","0.0-2.0","","","6264.5","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5a4ffbc076d1c60001aa9438_1650912550130","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","38173","0.0-3.0","","","22569.700000000186","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5a4ffbc076d1c60001aa9438_1650912550130","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","281526","0.0-4.0","","","243342.2000000002","","","5a4ffbc076d1c60001aa9438_1650912550130","test_trial","","","1080","201316.60000000056","100","0","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","19.620200000000185,19.702900000000373,19.769200000000186,29.304200000000186,29.386099999999626,29.47009999999963,38.98729999999981,39.03609999999963,39.06940000000037,39.102900000000375,49.770299999999814,49.85270000000018,52.812,52.936400000000376,53.03640000000037,62.586700000000185,62.63640000000037,63.1365,63.20320000000019,74.35379999999981,76.26970000000019,76.37009999999962,76.41990000000037,76.45309999999962,76.50359999999962,84.47040000000037,89.1705,89.23609999999962,89.28629999999981,89.33670000000019,92.20329999999981,92.2535,98.70279999999981,98.77,98.80309999999963,99.21959999999963,99.36979999999981,111.31940000000037,111.45329999999981,115.17,115.23659999999963,115.30320000000019,124.60290000000037,127.05329999999981,127.15329999999982,127.25309999999963,127.736,127.80320000000019,134.15259999999964,134.20259999999962,134.23590000000038,134.2697999999998,151.60390000000038,151.70240000000038,151.76920000000018,152.42,152.48670000000018,152.55379999999982,162.55279999999982,162.65340000000037,164.7362999999998,164.87,164.9857999999998,167.76940000000036,167.80320000000017,167.8532000000002,167.8865,177.5202000000002,178.7527999999998,178.86990000000037,178.9197999999998,178.98679999999982,182.8037000000002,182.92,187.66959999999963,187.71959999999962,187.77029999999982,187.787,187.8365,195.78709999999964,198.71979999999982,198.77,198.80340000000038,204.36920000000018,204.45359999999962,204.55390000000037,213.2205,213.25329999999983,213.28640000000038,213.30320000000017,213.33670000000018,213.35329999999982,223.62020000000018,223.67009999999962,223.6867999999998,223.7027000000002,223.7192000000002,223.73609999999962,223.7695,224.3862999999998,276.943,276.9527999999998,276.9695,276.9862999999998,277.003,277.0200999999996,277.03670000000017,277.0532000000002,277.06990000000036,277.0865,277.1032999999998,277.3192999999998,277.33609999999965,277.3529000000004,277.36959999999965,277.3867999999998,277.4034000000004,277.42,277.4365,277.4532999999998,277.47,277.4867999999998,277.5034000000004,277.5195,278.1524000000004,278.1860999999996,278.2032000000002,278.22,278.2365,278.2532999999998,278.2700999999996,278.28670000000017,278.30340000000035,278.3197999999998,278.33640000000037,278.35340000000036,278.5867000000002,278.6035,278.6202000000002,278.6367000000002,278.6535,278.67,278.6862999999998,278.7027999999998,278.71940000000035,278.73640000000034,278.7535,278.7705,278.7870999999996,278.8037999999998,278.8202999999998,290.7195999999996,290.736,290.7535999999996,290.77020000000016,290.78590000000037,290.80309999999963,290.8202999999998,290.8367999999998,290.85390000000035,290.8702000000002,290.8867999999998,293.3527000000002,293.3862000000002,293.4027999999998,293.4195,293.4362000000002,293.4527999999998,293.4695,293.4867000000002,293.5034000000004,293.5200999999996,293.5367999999998,293.55340000000035,295.7845999999996,295.8027999999998,295.8192999999998,295.83720000000017,295.8525,295.8702000000002,295.8867000000002,295.9032000000002,295.9197000000002,295.9365999999996,295.9532000000002,295.9695999999996,295.98620000000017","-42005.97979999963,0.0827000000001874,0.06629999999981351,9.535,0.08189999999943964,0.08400000000000318,9.517200000000184,0.04879999999981521,0.03330000000074307,0.03350000000000364,10.66739999999944,0.08240000000036929,2.959299999999814,0.12440000000037799,0.09999999999999432,9.550299999999815,0.04970000000018615,0.5000999999996267,0.06670000000018916,11.15059999999962,1.9159000000003772,0.10039999999943916,0.049800000000743694,0.033199999999254715,0.050499999999999545,7.966800000000745,4.700099999999637,0.06559999999961974,0.05020000000018854,0.05040000000037992,2.8665999999996217,0.05020000000018854,6.449299999999809,0.06720000000018445,0.03309999999963509,0.4164999999999992,0.15020000000018285,11.949600000000558,0.1338999999994428,3.7167000000001877,0.06659999999962452,0.06660000000056243,9.299700000000186,2.4503999999994335,0.10000000000000853,0.09979999999981715,0.48290000000037026,0.06720000000018445,6.349399999999449,0.04999999999998295,0.033300000000764385,0.03389999999942006,17.334100000000575,0.09850000000000136,0.06679999999980168,0.6507999999998049,0.06670000000019627,0.06709999999964111,9.998999999999995,0.10060000000055425,2.0828999999994267,0.13370000000020354,0.11579999999980828,2.783600000000547,0.033799999999814645,0.05000000000001137,0.03329999999982647,9.633700000000175,1.2325999999996213,0.11710000000056198,0.049899999999439615,0.06700000000000728,3.8169000000003734,0.11629999999979646,4.749599999999646,0.04999999999998295,0.050700000000205137,0.0167000000001849,0.04949999999999477,7.950599999999639,2.9327000000001817,0.05020000000018854,0.0334000000003698,5.565799999999797,0.08439999999944803,0.10030000000074324,8.666599999999619,0.03279999999983829,0.033100000000558794,0.016799999999790316,0.03350000000000364,0.016599999999641568,10.266900000000362,0.049899999999439615,0.0167000000001849,0.015900000000385717,0.01650000000000773,0.016899999999424153,0.0334000000003698,0.616799999999813,52.55670000000018,0.009799999999813735,0.0167000000001849,0.016799999999818738,0.0167000000001849,0.017099999999629745,0.016600000000551063,0.01650000000000773,0.0167000000001849,0.016599999999641568,0.016799999999818738,0.21600000000000819,0.016799999999818738,0.016800000000728232,0.016699999999275406,0.017200000000173077,0.016600000000551063,0.016599999999641568,0.01650000000000773,0.016799999999761894,0.016700000000241744,0.016799999999761894,0.016600000000607906,0.016099999999596548,0.6329000000004044,0.03369999999921447,0.017100000000596083,0.016799999999818738,0.016499999999950887,0.016799999999818738,0.016799999999818738,0.016600000000551063,0.0167000000001849,0.0163999999994644,0.016600000000551063,0.016999999999995907,0.2332999999998151,0.016799999999818738,0.0167000000001849,0.01650000000000773,0.016799999999818738,0.01650000000000773,0.016299999999773718,0.01650000000000773,0.016600000000551063,0.016999999999995907,0.017099999999629745,0.01700000000005275,0.016599999999584725,0.0167000000001849,0.01650000000000773,11.899299999999812,0.016400000000373893,0.01759999999961792,0.016600000000551063,0.015700000000208547,0.017199999999263582,0.017200000000173077,0.01650000000000773,0.01710000000053924,0.01629999999983056,0.016599999999641568,2.4659000000003743,0.03350000000000364,0.016599999999584725,0.016700000000241744,0.0167000000001849,0.016599999999584725,0.0167000000001849,0.01720000000022992,0.0167000000001849,0.016699999999218562,0.0167000000001849,0.016600000000551063,2.231199999999262,0.018200000000206273,0.01650000000000773,0.017900000000338423,0.015299999999854208,0.017700000000161253,0.01650000000000773,0.01650000000000773,0.01650000000000773,0.01689999999939573,0.016600000000607906,0.016399999999407555,0.016600000000551063","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,1,2,4,8,14,24,35,45,52,56,57,58,59,62,65,70,75,81,87,92,97,99,100,99,97,95,91,85,78,70,63,56,50,46,44,43,42,41,39,38,36,34,32,30,28,26,24,23,22,21,22,23,25,28,32,38,43,48,52,54,55,56,58,59,61,63,66,68,71,73,75,76,77,78,79,80,82,84,86,88,91,94,96,98,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p9)(p10),(p9)(p10)(p11),(p9)(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p12),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(p16),(p14)(p15)(p16),(p15)(p16),(p15)(p16),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p18)(p19)(p20),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22)(p23),(p20)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","","0,5,8,12,16,18,21,25,28,32,36,41,47,51,55,60,62,67,68,71,74,76,79,84,87,91,96","cpaable,fnial,bracnh,haetwaves,srpead,jounral,hadrer,woresn,relationhsips,looikng,bidrs,ainmals,rceent,bidrs,carires,kiloemters,exmaple,,suagr,wihch,hand’t,alraedy,lsoses,wriet,,ca’nt,hutners,plnats,sohuld,do’nt,bieng,anmials,satrlings,csots,ntaive,pirmary,tehir,typiaclly,resotring,platns,depoist,foexs,benfeits","55,66,27,14,29,35,36,30,17,26,33,15,46,38,52,27,20,57,59,71,25,25,19,12,70,37,60,37,14,43,27,39,34,29,51,32,63,43,68,35,32","1,2,2,1,2,1,1,2,2,1,2,2,1,1,2,1,2,0,1,2,2,2,2,1,2,2,1","1,2,1,1,1,1,0,1,1,1,1,1,0,1,2,1,2,0,1,2,2,2,1,0,0,1,1","cpaable,bracnh,fnial,haetwaves,jounral,woresn,relationhsips,bidrs,bidrs,carires,exmaple,,suagr,alraedy,wriet,,lsoses,ca’nt,plnats,hutners,sohuld,bieng,do’nt,satrlings,anmials,ntaive,csots,tehir,benfeits,depoist","p1,p2,p2,p3,p4,p5,p6,p8,p9,p10,p11,p12,p14,p15,p15,p16,p17,p17,p19,p20,p20,p21,p21,p22,p22,p23,p27,p26","14.8755,24.795200000000186,30.275299999999813,34.06240000000037,44.62429999999981,54.64029999999981,58.49429999999981,83.82020000000018,90.40520000000019,98.24509999999962,102.66029999999981,123.93129999999981,137.37809999999962,155.3612000000002,156.55920000000017,166.746,175.06209999999962,178.325,186.9802000000002,190.2302000000002,191.65809999999962,196.73320000000018,197.88709999999963,201.70709999999963,202.68479999999983,212.39820000000017,230.68620000000018,240.7207000000002","evolved","p6","57.9365","no_heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","286636","0.0-5.0","","","5104.700000000186","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5a4ffbc076d1c60001aa9438_1650912550130","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","290852","0.0-6.0","","","4214.5","While reading the article, how carefully did you pay attention?","","5a4ffbc076d1c60001aa9438_1650912550130","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","no_heading","24","","","","","","","","","",""
"","html-slider-response","7","295431","0.0-7.0","","","4578","How well do you feel you understood the key points of the article?","","5a4ffbc076d1c60001aa9438_1650912550130","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","no_heading","49","","","","","","","","","",""
"","html-slider-response","8","298821","0.0-8.0","","","3389","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5a4ffbc076d1c60001aa9438_1650912550130","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","no_heading","15","","","","","","","","","",""
"","html-slider-response","9","301682","0.0-9.0","","","2860.0999999996275","How interesting did you find the topic of this article after the first few paragraphs?","","5a4ffbc076d1c60001aa9438_1650912550130","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","no_heading","17","","","","","","","","","",""
