"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","2913","0.0-0.0","1920","1080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","6351","0.0-1.0","1920","1080","3432.7000000476837","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5da8b26395be5f0017360ad5_1650912553345","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","18495","0.0-2.0","","","12137.700000047684","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5da8b26395be5f0017360ad5_1650912553345","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","60058","0.0-3.0","","","41564.199999928474","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5da8b26395be5f0017360ad5_1650912553345","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","491926","0.0-4.0","","","431833.6999999285","","","5da8b26395be5f0017360ad5_1650912553345","test_trial","","","1080","368029.9999998808","106","3","down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","28.312599999904634,28.4455,28.678699999928476,28.895399999976156,45.03439999997616,46.600799999952315,46.701099999904635,64.37389999997616,64.48979999995231,64.58979999995232,64.70589999997615,65.42289999997615,66.44019999992848,66.507,67.7575,79.22809999990463,79.278,79.32769999992847,79.37769999992848,85.91309999990463,86.01329999995231,91.64829999995231,91.8815,96.63359999990463,100.43369999992848,100.70109999990463,106.40329999995231,115.75589999997615,115.92209999990463,131.7447999999523,131.878,132.02709999990464,132.29409999990463,132.62769999992847,141.98079999995232,147.46589999997616,148.41579999995233,161.45519999992848,161.55329999995232,161.81989999997614,173.93979999995233,174.05809999990464,174.174,178.05859999990463,178.15839999997615,212.25279999995232,212.36909999990462,212.4067999999523,212.46039999997615,212.50209999990463,212.5695,229.19139999997617,229.26339999997614,229.30709999990464,229.36769999992848,229.40759999990462,229.45809999990462,230.82389999997616,242.19559999990463,242.29419999992848,242.39529999995233,242.5455,260.5008999999762,260.5506999999285,260.60089999997615,260.65069999992846,260.71789999997617,260.81739999997615,263.90159999990465,282.62469999992845,282.7741999999285,282.9075999999046,290.24329999995234,290.3430999999046,290.47659999990464,296.828,296.9285,297.02839999997616,299.01259999990464,299.09539999997617,299.1792999999523,307.499,307.64869999992845,308.4482999999523,321.803,324.05359999990463,324.137,324.2202999999523,332.1065,332.223,332.40639999997614,347.8613999999762,347.9615,348.0778999999762,348.8615999999046,348.99469999992846,362.98359999990464,363.11579999995234,386.47339999997615,386.5565,396.1763999999762,396.2776999999285,396.4097999999523,396.8595,409.197,409.2966999999285,491.25,491.2556999999285,491.2726999999285,491.2895,491.30609999990463,491.3230999999046,491.33939999997614,491.3561999999285,491.3727999999523,491.38989999997614,491.406,491.42309999990465,491.4395,491.45639999997616,491.47289999997616,491.49089999997614,491.5075,491.52409999990465,491.54059999990466,510.24589999997613,510.26159999990466,510.2791999999285,510.2956999999285,510.311,510.32839999997617,510.34439999997613,510.36089999997614,510.37789999997614,510.39439999997614,510.41159999990464,510.42789999997615,510.44489999997614,510.46139999997615,510.4777999999523,515.163,515.1795999999047,515.1963999999762,515.2126999999284,515.2292999999523,515.2457999999523,515.2625,515.2795999999046,515.2962999999523,515.313,515.3296999999285,515.3462999999523,515.3628999999762,515.3796999999284,515.4128999999762,515.4295999999047,515.4465,515.4631999999285,515.4965999999047,515.5128999999762,515.5462999999523,536.8407999999523,538.9876999999285,539.005,539.0210999999047,539.0380999999046,539.055,539.072,539.0887999999524,539.105,539.1205999999046,539.1371999999285,539.3755999999046,539.3868999999762,539.4033999999762,539.4196999999285,539.4361999999285,539.4535999999047,539.4705999999046,539.4873999999761,539.5041999999285","-63775.38740004778,0.13290000009536485,0.23319999992847684,0.21670000004768042,16.139000000000003,1.5663999999761558,0.10029999995231975,17.672800000071526,0.11589999997615053,0.10000000000000853,0.11610000002383458,0.7169999999999987,1.0172999999523284,0.06680000007152387,1.2504999999999882,11.470599999904636,0.049900000095377095,0.04969999992846397,0.05000000000001137,6.53539999997615,0.10020000004767837,5.635000000000005,0.23320000004768815,4.75209999990463,3.8001000000238463,0.26739999997614916,5.702200000047682,9.352600000023841,0.16619999992848022,15.822700000047675,0.13320000004767962,0.1490999999046494,0.2669999999999959,0.3336000000238357,9.353100000023858,5.485100000023834,0.9498999999761679,13.039399999976155,0.0981000000238339,0.26660000002382844,12.119899999976184,0.11829999995231333,0.11590000009536539,3.884599999904623,0.09980000007152512,34.09439999997616,0.11629999995230378,0.03770000004769258,0.05360000002383458,0.04169999992848261,0.06740000009537539,16.621899999976165,0.0719999999999743,0.04369999992849216,0.060600000023839584,0.03989999997614291,0.050499999999999545,1.3658000000715447,11.371699999928467,0.0986000000238505,0.10110000002384822,0.15020000004767553,17.95539999997618,0.0497999999523131,0.05020000004765279,0.0497999999523131,0.06720000004770554,0.09949999999997772,3.084199999928501,18.723100000023805,0.14950000000004593,0.1333999999761204,7.335700000047723,0.09979999995226763,0.13350000000002638,6.351400000095339,0.10050000000001091,0.0998999999761736,1.984199999928478,0.08280000007152921,0.08389999997615405,8.319700000047703,0.14969999992842986,0.7996000000238723,13.354700000047671,2.2505999999046367,0.08340000009536652,0.08329999995231674,7.8862000000476655,0.11650000000003047,0.18339999997613177,15.455000000000041,0.10010000002381503,0.11639999997618133,0.7836999999284444,0.1331000000238305,13.988899999976184,0.13220000004770327,23.357600000023808,0.08310000002387596,9.619899999976155,0.101299999952289,0.13210000002385414,0.4497000000476987,12.337499999999977,0.09969999992847534,81.95330000007152,0.0056999999284812475,0.016999999999995907,0.01680000007149829,0.016599999904656215,0.016999999999995907,0.016300000071510112,0.016799999952354483,0.01660000002380002,0.01710000002384504,0.016100000023868688,0.017099999904644392,0.016400000095359246,0.016899999976146773,0.01650000000000773,0.01799999999997226,0.016600000023856865,0.016599999904656215,0.01650000000000773,18.705300000071475,0.015699999928528996,0.017600000023833218,0.01650000000000773,0.015300000071476916,0.017399999976191793,0.01599999999996271,0.01650000000000773,0.016999999999995907,0.01650000000000773,0.017199999928493526,0.016300000071510112,0.016999999999995907,0.01650000000000773,0.016399999976158597,4.6852000000477005,0.016599999904656215,0.01680000007149829,0.01629999995225262,0.016600000023913708,0.016499999999950887,0.016700000047762842,0.017099999904530705,0.016700000047762842,0.016700000047649155,0.01669999992850535,0.01660000002380002,0.016600000023913708,0.016799999952240796,0.03320000004771373,0.01669999992850535,0.016900000095347423,0.01669999992850535,0.033399999976154504,0.016300000071510112,0.033399999976154504,21.29449999999997,2.146899999976199,0.017300000071486465,0.01609999990466804,0.016999999999939064,0.016900000095347423,0.01700000000005275,0.016799999952354483,0.01620000004766098,0.015599999904566175,0.016600000023913708,0.23839999997608174,0.011300000071628347,0.016499999999950887,0.016299999952366306,0.016499999999950887,0.017399999976191793,0.016999999999939064,0.01680000007149829,0.016799999952354483","1,2,3,4,5,6,7,8,9,10,11,12,11,10,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,1,2,3,4,6,8,9,10,11,12,14,15,17,18,20,21,22,23,24,25,26,28,31,34,39,44,49,55,60,65,68,69,70,71,72,73,74,76,78,80,82,84,87,89,91,92,93,94,95,96,97,98,99,100,0,1,2,5,11,20,30,40,48,53,54,55,56,59,66,75,85,94,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6),(p4)(p5)(p6)(p3),(p4)(p5)(p3)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p6)(h1)(p7),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(h1)(p7)(p8),(h1)(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(h2)(p11),(h2)(p11),(h2)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12)(h3),(p11)(p12)(h3),(p12)(h3),(p12)(h3),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(h3)(p13),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(h4),(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(h4)(p16)(p17),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","20,35,47,60,74","0,4,8,12,15,17,21,25,27,31,36,41,48,52,55,61,63,68,69,72,75,78,81,85,88,91,96","mraulas,kiloemters,rieds,anmials,extinctoin,needs.,sutdy,wihch,milloins,aruond,bteween,sedes,brids,mlies),reoprts.,accodring,palnts,disappaer,elephant-lkie,souht,,tirgger,partciular,rseearch,fillnig,recovreing,do’nt,caonpy,starilngs,csots,smlal,motuhs,bneefits,shwos,retsoring,claled,othres,preditc.","30,62,58,61,25,39,31,33,21,48,39,57,16,29,40,72,25,36,54,79,22,15,49,56,15,37,25,27,39,64,61,25,13,63,42,16,23","2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,0,2,2,1,1,2,1,2,1,2","1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,0,0","mraulas,anmials,extinctoin,sedes,caonpy,do’nt,csots,motuhs,shwos,retsoring","p1,p2,p3,p9,p20,p20,p22,p23,p25,p25","14.751899999976159,39.807699999928474,77.15159999990463,159.0155,318.6070999999046,323.087,345.2315,384.41489999997617,399.38289999997613,408.31889999997617","savanna,pincers,avoiding,pass","p1,p2,p3,p8","21.727799999952317,42.983599999904634,72.71959999990463,137.42359999990464","heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","502918","0.0-5.0","","","10976.900000095367","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5da8b26395be5f0017360ad5_1650912553345","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","507003","0.0-6.0","","","4082.399999976158","While reading the article, how carefully did you pay attention?","","5da8b26395be5f0017360ad5_1650912553345","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","heading","100","","","","","","","","","",""
"","html-slider-response","7","510387","0.0-7.0","","","3383.1999999284744","How well do you feel you understood the key points of the article?","","5da8b26395be5f0017360ad5_1650912553345","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","heading","98","","","","","","","","","",""
"","html-slider-response","8","513251","0.0-8.0","","","2863.2999999523163","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5da8b26395be5f0017360ad5_1650912553345","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","heading","71","","","","","","","","","",""
"","html-slider-response","9","515659","0.0-9.0","","","2407","How interesting did you find the topic of this article after the first few paragraphs?","","5da8b26395be5f0017360ad5_1650912553345","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","heading","73","","","","","","","","","",""
