"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","input_text","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_final","resp_attention"
"true","fullscreen","0","35339","0.0-0.0","1280","720","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","52100","0.0-1.0","1280","720","16756.89999999106","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","6100beb515edd7768f6d5869_1649612853845","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","68095","0.0-2.0","","","15990.90000000596","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","6100beb515edd7768f6d5869_1649612853845","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","116848","0.0-3.0","","","48751.5","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","6100beb515edd7768f6d5869_1649612853845","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","571672","0.0-4.0","","","454807.299999997","<div style='text-align:left; margin-left: 30%; margin-right: 30%'><p id='p1'>The seeds of this story were planted in a steaming pile of elephant dung somewhere in the African savanna. Elephants love to stuff their faces with fruit, and fruit trees like marulas need a way to spread their seeds, so the two species have developed an intimate and symbiotic relationship. A single African savanna elephant is capable of dumping seeds up to 65 kilometers (40 miles) from the site of its feast, making them the most impressive seed transporters in the animal kingdom.<p id='p2'>It may not be a luxurious form of travel — via digestive tract, that is — but for roughly half of all plants, animals are a way to branch out over great distances. They can ride in the stomach of a tusked mammal, the pincers of an insect, or on the fur of your dog. Some seeds even hitch rides with multiple animals before arriving at their final destination.<p id='p3'>Movement is essential to survival, especially in a changing climate. As plants are scorched by heatwaves and battered by extreme rainfall, their best shot at avoiding extinction can be to spread to new areas where the climate still fits their needs. Research suggests that some plant populations may need to travel kilometers a year to remain in the same conditions in which they evolved — a phenomenon known as “climate tracking.”<p id='p4'>But this strategy has a major drawback: It rides on wildlife, and wildlife is disappearing around the world. That means many plants are losing their mode of transportation, according to a new study published in the journal Science, leaving them stranded in areas that are becoming less hospitable to their kind and at a greater risk of dying out.<p id='p5'>The ongoing decline of wildlife could also trigger a frightening feedback loop: If some tree and plant species wither because they can no longer hitch a ride on wildlife, that could worsen climate change, which makes it harder for both plants and animals to survive.<p id='p6'>When plants and animals die off, it’s not just extinction that should concern us, but the erosion of relationships that evolved over millions of years, scientists told Vox. These ancient bonds between species form the very basis of a healthy ecosystem.</p><h2 id='h1'>We’re emptying the environment of wildlife</h2><p id='p7'>Forests are a lot quieter today than they were centuries ago. There are fewer birds singing for mates, fewer monkeys howling in fig trees, and fewer frogs looking for insects to snag. Over the last 50 years, populations of mammal, bird, amphibian, reptile, and fish species have declined by around 68 percent on average, according to the World Wildlife Fund. Humans have helped erase more than half of all medium-sized and large mammals in Central and South America.<p id='p8'>Each animal we lose sends ripples through its ecosystem in unpredictable and profound ways. Plants and animals have finely tuned evolved relationships with their fellow creatures, whether in the form of fruit-loving elephants or birds and bees that pass pollen between flowers.<p id='p9'>This new research, built on thousands of studies of birds and mammals as well as advanced computer modeling, helps sketch out the impact of those losses. The authors, led by the ecologist Evan Fricke at Rice University, discovered that birds and mammals have suffered so greatly in recent centuries that many plants are utterly unable to spread their seeds like they used to. This problem is worst outside the tropics, the scientists found.<p id='p10'>To understand what we still have to lose, the authors also considered what would happen if all birds and mammals that are currently classified as endangered or vulnerable were to disappear. They found that losing these rare animals would hit plants in regions like Southeast Asia and Madagascar especially hard, where endangered wildlife carries much of the burden of distributing seeds over long distances.</p><h2 id='h2'>Plants and animals need to move to survive on a warming planet</h2><p id='p11'>Plants and animals are undertaking epic journeys as the planet warms. Atlantic cod and a species of butterfly in Europe, for example, have each migrated more than 200 kilometers (124 miles) in just 10 years or less, National Geographic’s Craig Welch reports. Meanwhile, large numbers of Atlantic mackerel have moved all the way from waters near the UK and Scandinavia to Iceland, spurring geopolitical tensions related to fishing rights. In the US and elsewhere, ticks and other pests are marching into new territory, too.<p id='p12'>Plants are likewise finding new places to put down roots. In the last half-century, the line where trees stop growing has moved roughly 150 meters (492 feet) higher in the Altai Mountains of Central and East Asia, where the temperature has increased by as much as 1.7 degrees Celsius. By the end of the century many species of sugar maples, which produce maple syrup, could move north by as much as 200 kilometers, according to the US Forest Service. Not all plants and animals are moving toward the cooler temperatures of the poles; some are chasing rainfall or competing with other species, which is why some mountain plants are actually moving downhill.</p><h2 id='h3'>Animals are shrinking. Blame climate change.</h2><p id='p13'>Many ecologists believe these climate-driven migrations are a sign of resilience, and that’s what makes this study especially bad news. It will only get harder for plants to survive in a changing climate as more animals disappear. Indeed, the researchers estimate that today 60 percent fewer seeds are capable of spreading far enough to follow the changing climate on average across the globe, compared to a world in which birds and mammals hadn’t been wiped out by humans.<p id='p14'>That’s a staggering figure, said Rodolfo Dirzo, a Stanford University ecologist who was not affiliated with the study, and it only accounts for the wildlife we’ve already harmed. If the birds and mammals currently threatened with extinction disappear too, the amount of seeds capable of shifting with the climate would drop by an additional 15 percent, on average, according to the paper.<p id='p15'>So far, the breakdown of these fundamental ecological relationships has hit eastern North America and Europe especially hard, the authors write, “as a result of past losses of large mammals that provided long-distance dispersal.” A type of elk, for example, once roamed the eastern US, spreading seeds in its dung and on its fur, and elephant-like mammoths once lived in Europe, North America, and elsewhere. And it doesn’t help that migratory birds in Europe carry the seeds of many plants south, where it’s warmer, not to cooler climates where they might find relief.</p><h2 id='h4'>What happens when plants get stranded</h2><p id='p16'>Plants store carbon dioxide that might otherwise warm the planet. But when they can’t tolerate a particular climate, they die and that can trigger a dangerous cycle, said William Ripple, an ecology professor at Oregon State University.<p id='p17'>“It’s a feedback loop,” said Ripple, who was not affiliated with the study. When natural ecosystems break down, he said, “we lose carbon sequestration, and that results in more climate change.” That, in turn, can cause still more plants to perish, especially those that have no way to migrate. Previous research has also shown that poaching tends to limit the growth of big trees that store a lot of carbon, because hunters tend to target larger animals that are capable of spreading large seeds.<p id='p18'>“We’re only beginning to really quantitatively wrestle with that vicious cycle,” Fricke said.<p id='p19'>Which brings us back to the idea of resilience. Forests without animals have a harder time recovering from disturbances like the death of a large tree, Fricke said. In Guam, for example, an island where nearly all native birds have been lost to snakes introduced in the mid-20th century, the physical gaps created by fallen trees aren’t filling in as they should be, he said.<p id='p20'>“Usually that’s a hotbed of regeneration that kicks off the self-sustaining process of a forest being a forest,” Fricke said. “What we’re seeing is that those canopy gaps have fewer species of trees growing up in them. They don’t close as quickly.”</p><h2 id='h5'>“A huge potential for restoration”</h2><p id='p21'>While many native animals are in dire straits, other species that humans have introduced to a given area — creatures that are often labeled invasive, such as European starlings in the US — are thriving. So could they take on the role of native animals and help plants migrate?<p id='p22'>Yes and no, said Yasmine Antonini, a biologist at the Federal University of Ouro Preto, in Minas Gerais, Brazil. It’s true that new arrivals can help plants disperse their seeds, but not as effectively as native plants, and often with costs to the environment along the way, said Antonini, who was not involved in the research.<p id='p23'>In Hawaii, for example, most native forest plants depend on birds to spread their seeds, yet two-thirds of the archipelago’s avian species have gone extinct. Now, introduced birds are the primary dispersers of many native plants there, Sam Case, a doctoral student at the University of Wyoming, writes. The problem is that their beaks didn’t evolve to peck at native plants. Their mouths are too small to transport many of the seeds, and these birds are also dispersing seeds of plants that aren’t native to the islands.<p id='p24'>“We should certainly not discount the benefits of nonnative species in the ecosystem where they exist,” Fricke said. “They often aren’t exclusively negative, and sometimes their benefits can outweigh the costs.” But it’s typically a better idea to restore the native species that evolved with the plants, he said.<p id='p25'>That’s one area where this study can chart a path for the future. It shows the value of returning wildlife to the landscape — by creating well-connected networks of protected areas, for example. “There’s huge potential for restoration,” Fricke said. While he worries about plants that can no longer move like they used to, “we could go a long way toward reversing that by restoring the seed dispersers we still have.”<p id='p26'>Helping even one creature can go a long way, and there are some pretty wonderful examples of this. In the Brazilian savanna, known as the Cerrado, maned wolves — funky creatures that look kind of like foxes on stilts — nosh on fruits called wolf apples that look like green tomatoes and make up as much as half of the wolves’ diet. In exchange for the snack, maned wolves deposit seed-rich poop throughout the savanna, to the delight of nearby dung beetles. The beetles then roll perfectly round balls of feces and will often bury them underground, effectively planting wolf apple seeds in little fertilized packets.<p id='p27'>Nature has cultivated all kinds of these remarkable connections between species. If you harm some, that harms others in ripple effects we can’t always predict. But when even one thrives and multiplies, the benefits can reverberate between many plants and animals, up and down the tree of life.</p><span id='exit_prompt' style='color:grey'>(You can't press q just yet! Please use this time to read the article.)</span></div><br>","","6100beb515edd7768f6d5869_1649612853845","test_trial","","","720","334703.799999997","53","0","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","54.754,67.73019999998807,79.39429999999702,82.46729999999702,83.51419999998808,86.88019999998808,89.64229999999702,97.0105,106.69819999998808,108.32219999998807,124.80219999998808,125.5385,131.689799999997,131.75469999998808,152.7301999999881,158.12909999999403,173.554,177.16159999999405,178.59409999999403,195.57609999999403,199.746,199.90619999998808,213.55189999999106,225.91379999999702,229.93769999998807,230.4015,263.72159999999405,266.53839999999104,279.08969999998806,286.11369999998806,290.32959999999406,292.194099999994,295.6981999999881,299.234,300.62439999999106,310.281799999997,319.43229999999704,321.511599999994,322.0016999999881,335.3461999999881,341.72989999999106,342.0976999999881,353.41609999999406,356.27219999998806,362.92159999999404,376.135299999997,386.7996999999881,387.0886999999881,391.464,406.70379999999705,408.66389999999103,431.285599999994,432.58389999999105","-120048.746,12.976199999988076,11.664100000008943,3.0730000000000075,1.046899999991055,3.3659999999999997,2.7621000000089424,7.368200000002972,9.687699999988084,1.6239999999999952,16.480000000000004,0.7363000000119229,6.151299999997008,0.06489999999106999,20.97550000000001,5.398900000005938,15.424900000005977,3.6075999999940507,1.4324999999999761,16.982,4.169900000005981,0.1601999999880661,13.64570000000299,12.36190000000596,4.023899999991045,0.4638000000119291,33.320099999994056,2.816799999996988,12.551299999997013,7.024000000000001,4.215900000006002,1.864499999999964,3.5040999999940823,3.535800000011875,1.3903999999910752,9.657400000005964,9.150500000000022,2.0792999999969766,0.4900999999940723,13.344499999999982,6.383700000002989,0.3677999999970325,11.318400000005965,2.856099999994001,6.649400000005983,13.213700000002973,10.664399999991076,0.28899999999998727,4.375300000011919,15.239799999997047,1.9600999999939859,22.62170000000299,1.2982999999970275","2,4,6,8,9,11,13,15,17,19,21,23,24,25,28,30,32,34,36,38,39,41,43,45,47,49,51,53,54,56,58,60,62,64,66,68,69,71,73,75,77,79,81,83,85,86,88,90,92,94,96,98,100","(p1)(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p3)(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(h1)(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9)(p10),(p7)(p8)(p9)(p10),(p8)(p9)(p10)(h2),(p9)(p10)(h2)(p11),(p9)(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11)(p12),(h2)(p11)(p12),(p11)(p12)(h3),(p11)(p12)(h3),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(p13)(p14)(p15),(p13)(p14)(p15)(h4),(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16)(p17),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18)(p19),(h4)(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(p21)(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27)","19,34,45,59,73","0,4,8,11,14,17,20,24,27,30,35,40,46,50,54,60,63,67,68,71,74,77,80,84,87,91,96","elehpant,sotmach,scroched,tehir,wolrd.,htich,whcih,acnient,accoridng,avreage,,plolen,wehther,tohse,classiifed,wuold,lagre,tmeperature,palnts,taht’s,wihch,amuont,wehre,ecoolgy,caapble,gorwth,wehre,canpoy,froest,”,gvien,ofetn,dispersnig,exitnct.,bteter,lnoger,wellc-onnected,geren,rpiple,hrams","53,37,12,48,16,23,33,28,53,52,38,25,23,22,12,42,38,106,11,67,39,80,30,78,59,33,25,16,15,37,76,23,34,47,25,48,18,15","1,1,1,2,2,1,2,2,1,2,1,2,2,1,1,1,2,0,1,2,1,1,2,1,2,1,2","1,1,1,1,2,1,2,2,1,1,0,2,0,1,1,0,2,0,1,0,1,1,2,0,1,0,2","elehpant,sotmach,scroched,tehir,htich,whcih,acnient,avreage,,accoridng,wehther,plolen,tohse,wuold,tmeperature,palnts,amuont,wehre,gorwth,caapble,wehre,gvien,ofetn,exitnct.,dispersnig,wellc-onnected,hrams,rpiple","p1,p2,p3,p4,p5,p5,p6,p7,p7,p8,p8,p9,p10,p12,p12,p14,p15,p17,p17,p19,p21,p22,p23,p23,p25,p27,p27","16.704799999997018,41.0965,57.2325,85.43169999998808,92.84039999999106,95.05639999999106,103.4235,120.0005,121.10429999999702,132.92839999999106,137.19229999999703,143.328,163.36019999998808,208.04829999999703,228.31239999999107,269.41619999998807,291.280299999997,314.304299999997,318.4555,328.88,348.392299999997,361.27159999999407,371.89559999999403,385.5831999999881,401.727299999997,445.1921999999881,447.5115","heatwaves,worst","p3,p9","63.05659999999404,156.46359999999405","<div style='text-align:left; margin-left: 30%; margin-right: 30%'><p id='p1'>The seeds of this story were planted in a steaming pile of elephant dung somewhere in the African savanna. Elephants love to stuff their faces with fruit, and fruit trees like marulas need a way to spread their seeds, so the two species have developed an intimate and symbiotic relationship. A single African savanna elephant is capable of dumping seeds up to 65 kilometers (40 miles) from the site of its feast, making them the most impressive seed transporters in the animal kingdom.<p id='p2'>It may not be a luxurious form of travel — via digestive tract, that is — but for roughly half of all plants, animals are a way to branch out over great distances. They can ride in the stomach of a tusked mammal, the pincers of an insect, or on the fur of your dog. Some seeds even hitch rides with multiple animals before arriving at their final destination.<p id='p3'>Movement is essential to survival, especially in a changing climate. As plants are scorched by heatwaves and battered by extreme rainfall, their best shot at avoiding extinction can be to spread to new areas where the climate still fits their needs. Research suggests that some plant populations may need to travel kilometers a year to remain in the same conditions in which they evolved — a phenomenon known as “climate tracking.”<p id='p4'>But this strategy has a major drawback: It rides on wildlife, and wildlife is disappearing around the world. That means many plants are losing their mode of transportation, according to a new study published in the journal Science, leaving them stranded in areas that are becoming less hospitable to their kind and at a greater risk of dying out.<p id='p5'>The ongoing decline of wildlife could also trigger a frightening feedback loop: If some tree and plant species wither because they can no longer hitch a ride on wildlife, that could worsen climate change, which makes it harder for both plants and animals to survive.<p id='p6'>When plants and animals die off, it’s not just extinction that should concern us, but the erosion of relationships that evolved over millions of years, scientists told Vox. These ancient bonds between species form the very basis of a healthy ecosystem.</p><h2 id='h1'>We’re emptying the environment of wildlife</h2><p id='p7'>Forests are a lot quieter today than they were centuries ago. There are fewer birds singing for mates, fewer monkeys howling in fig trees, and fewer frogs looking for insects to snag. Over the last 50 years, populations of mammal, bird, amphibian, reptile, and fish species have declined by around 68 percent on average, according to the World Wildlife Fund. Humans have helped erase more than half of all medium-sized and large mammals in Central and South America.<p id='p8'>Each animal we lose sends ripples through its ecosystem in unpredictable and profound ways. Plants and animals have finely tuned evolved relationships with their fellow creatures, whether in the form of fruit-loving elephants or birds and bees that pass pollen between flowers.<p id='p9'>This new research, built on thousands of studies of birds and mammals as well as advanced computer modeling, helps sketch out the impact of those losses. The authors, led by the ecologist Evan Fricke at Rice University, discovered that birds and mammals have suffered so greatly in recent centuries that many plants are utterly unable to spread their seeds like they used to. This problem is worst outside the tropics, the scientists found.<p id='p10'>To understand what we still have to lose, the authors also considered what would happen if all birds and mammals that are currently classified as endangered or vulnerable were to disappear. They found that losing these rare animals would hit plants in regions like Southeast Asia and Madagascar especially hard, where endangered wildlife carries much of the burden of distributing seeds over long distances.</p><h2 id='h2'>Plants and animals need to move to survive on a warming planet</h2><p id='p11'>Plants and animals are undertaking epic journeys as the planet warms. Atlantic cod and a species of butterfly in Europe, for example, have each migrated more than 200 kilometers (124 miles) in just 10 years or less, National Geographic’s Craig Welch reports. Meanwhile, large numbers of Atlantic mackerel have moved all the way from waters near the UK and Scandinavia to Iceland, spurring geopolitical tensions related to fishing rights. In the US and elsewhere, ticks and other pests are marching into new territory, too.<p id='p12'>Plants are likewise finding new places to put down roots. In the last half-century, the line where trees stop growing has moved roughly 150 meters (492 feet) higher in the Altai Mountains of Central and East Asia, where the temperature has increased by as much as 1.7 degrees Celsius. By the end of the century many species of sugar maples, which produce maple syrup, could move north by as much as 200 kilometers, according to the US Forest Service. Not all plants and animals are moving toward the cooler temperatures of the poles; some are chasing rainfall or competing with other species, which is why some mountain plants are actually moving downhill.</p><h2 id='h3'>Animals are shrinking. Blame climate change.</h2><p id='p13'>Many ecologists believe these climate-driven migrations are a sign of resilience, and that’s what makes this study especially bad news. It will only get harder for plants to survive in a changing climate as more animals disappear. Indeed, the researchers estimate that today 60 percent fewer seeds are capable of spreading far enough to follow the changing climate on average across the globe, compared to a world in which birds and mammals hadn’t been wiped out by humans.<p id='p14'>That’s a staggering figure, said Rodolfo Dirzo, a Stanford University ecologist who was not affiliated with the study, and it only accounts for the wildlife we’ve already harmed. If the birds and mammals currently threatened with extinction disappear too, the amount of seeds capable of shifting with the climate would drop by an additional 15 percent, on average, according to the paper.<p id='p15'>So far, the breakdown of these fundamental ecological relationships has hit eastern North America and Europe especially hard, the authors write, “as a result of past losses of large mammals that provided long-distance dispersal.” A type of elk, for example, once roamed the eastern US, spreading seeds in its dung and on its fur, and elephant-like mammoths once lived in Europe, North America, and elsewhere. And it doesn’t help that migratory birds in Europe carry the seeds of many plants south, where it’s warmer, not to cooler climates where they might find relief.</p><h2 id='h4'>What happens when plants get stranded</h2><p id='p16'>Plants store carbon dioxide that might otherwise warm the planet. But when they can’t tolerate a particular climate, they die and that can trigger a dangerous cycle, said William Ripple, an ecology professor at Oregon State University.<p id='p17'>“It’s a feedback loop,” said Ripple, who was not affiliated with the study. When natural ecosystems break down, he said, “we lose carbon sequestration, and that results in more climate change.” That, in turn, can cause still more plants to perish, especially those that have no way to migrate. Previous research has also shown that poaching tends to limit the growth of big trees that store a lot of carbon, because hunters tend to target larger animals that are capable of spreading large seeds.<p id='p18'>“We’re only beginning to really quantitatively wrestle with that vicious cycle,” Fricke said.<p id='p19'>Which brings us back to the idea of resilience. Forests without animals have a harder time recovering from disturbances like the death of a large tree, Fricke said. In Guam, for example, an island where nearly all native birds have been lost to snakes introduced in the mid-20th century, the physical gaps created by fallen trees aren’t filling in as they should be, he said.<p id='p20'>“Usually that’s a hotbed of regeneration that kicks off the self-sustaining process of a forest being a forest,” Fricke said. “What we’re seeing is that those canopy gaps have fewer species of trees growing up in them. They don’t close as quickly.”</p><h2 id='h5'>“A huge potential for restoration”</h2><p id='p21'>While many native animals are in dire straits, other species that humans have introduced to a given area — creatures that are often labeled invasive, such as European starlings in the US — are thriving. So could they take on the role of native animals and help plants migrate?<p id='p22'>Yes and no, said Yasmine Antonini, a biologist at the Federal University of Ouro Preto, in Minas Gerais, Brazil. It’s true that new arrivals can help plants disperse their seeds, but not as effectively as native plants, and often with costs to the environment along the way, said Antonini, who was not involved in the research.<p id='p23'>In Hawaii, for example, most native forest plants depend on birds to spread their seeds, yet two-thirds of the archipelago’s avian species have gone extinct. Now, introduced birds are the primary dispersers of many native plants there, Sam Case, a doctoral student at the University of Wyoming, writes. The problem is that their beaks didn’t evolve to peck at native plants. Their mouths are too small to transport many of the seeds, and these birds are also dispersing seeds of plants that aren’t native to the islands.<p id='p24'>“We should certainly not discount the benefits of nonnative species in the ecosystem where they exist,” Fricke said. “They often aren’t exclusively negative, and sometimes their benefits can outweigh the costs.” But it’s typically a better idea to restore the native species that evolved with the plants, he said.<p id='p25'>That’s one area where this study can chart a path for the future. It shows the value of returning wildlife to the landscape — by creating well-connected networks of protected areas, for example. “There’s huge potential for restoration,” Fricke said. While he worries about plants that can no longer move like they used to, “we could go a long way toward reversing that by restoring the seed dispersers we still have.”<p id='p26'>Helping even one creature can go a long way, and there are some pretty wonderful examples of this. In the Brazilian savanna, known as the Cerrado, maned wolves — funky creatures that look kind of like foxes on stilts — nosh on fruits called wolf apples that look like green tomatoes and make up as much as half of the wolves’ diet. In exchange for the snack, maned wolves deposit seed-rich poop throughout the savanna, to the delight of nearby dung beetles. The beetles then roll perfectly round balls of feces and will often bury them underground, effectively planting wolf apple seeds in little fertilized packets.<p id='p27'>Nature has cultivated all kinds of these remarkable connections between species. If you harm some, that harms others in ripple effects we can’t always predict. But when even one thrives and multiplies, the benefits can reverberate between many plants and animals, up and down the tree of life.</p><span id='exit_prompt' style='color:grey'>(You can't press q just yet! Please use this time to read the article.)</span></div><br>","heading","","","","","","","","","",""
"","jo-html-keyboard-response","5","599716","0.0-5.0","","","28039","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","6100beb515edd7768f6d5869_1649612853845","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","609801","0.0-6.0","","","10082.20000000298","While reading the article, how carefully did you pay attention?","","6100beb515edd7768f6d5869_1649612853845","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","","heading","38","","","","","","","","",""
"","html-slider-response","7","616152","0.0-7.0","","","6350.5999999940395","How well do you feel you understood the key points of the article?","","6100beb515edd7768f6d5869_1649612853845","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","","heading","15","","","","","","","","",""
"","html-slider-response","8","624905","0.0-8.0","","","8751.10000000894","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","6100beb515edd7768f6d5869_1649612853845","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","","heading","0","","","","","","","","",""
"","html-slider-response","9","629408","0.0-9.0","","","4502.600000008941","How interesting did you find the topic of this article after the first few paragraphs?","","6100beb515edd7768f6d5869_1649612853845","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","","heading","0","","","","","","","","",""
