"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","2220","0.0-0.0","2240","1260","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","3455","0.0-1.0","2240","1260","1230.5999999046326","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","jd_1649858640564","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","8822","0.0-2.0","","","5362.600000023842","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","jd_1649858640564","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","53647","0.0-3.0","","","44822.60000002384","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","jd_1649858640564","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","140542","0.0-4.0","","","86875.60000002384","","","jd_1649858640564","test_trial","","","1260","31860.400000095367","163","68","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","0.7014000000953674,0.7173000000715256,0.7342000000476837,0.751,0.7681000000238418,0.7847000000476837,0.8016000000238419,0.8185,0.8346000000238418,0.8513000000715256,0.8692000000476837,0.9005,0.9173000000715256,0.9338000000715255,0.951,0.9675,0.9847000000476838,1.0185,1.0343000000715257,1.1011000000238418,1.1171000000238418,1.1349000000953675,1.1687000000476837,1.1844000000953674,1.2011000000238419,1.218,1.235,1.2517000000476837,1.2681000000238418,1.2843000000715257,1.3012000000476838,1.3505,1.418600000023842,1.4349000000953673,1.4504000000953674,1.468600000023842,1.484,1.5012000000476837,1.5187000000476838,1.5349000000953674,1.5513000000715256,1.5678000000715255,1.5845,65.14090000009537,65.165,65.19930000007153,65.21520000004769,65.232,65.24830000007152,65.26520000004768,65.282,65.29880000007152,65.31540000009537,65.332,65.36540000009536,65.38170000004769,65.39830000007153,65.43210000002384,65.58090000009537,65.615,65.63220000004769,65.66520000004769,65.68190000009537,65.69990000009537,65.71510000002384,65.73080000007153,65.74870000004768,65.76520000004768,65.78080000007152,65.79910000002384,65.815,65.94890000009536,66.31480000007153,66.365,66.38260000002384,66.44910000002385,66.46480000007152,66.48230000007153,66.4985,66.51590000009537,66.53190000009536,66.54910000002384,66.5655,66.58180000007152,66.59820000004768,66.61560000002385,66.632,66.6985,66.71580000007152,66.76420000004768,66.78190000009536,66.79880000007152,66.8155,66.83220000004768,66.84830000007153,67.69880000007153,67.71530000007152,67.73190000009537,67.74890000009536,67.76640000009537,67.78230000007153,67.815,67.83240000009536,67.84870000004769,67.86580000007153,67.89930000007152,67.96530000007152,67.98240000009537,68.03260000002385,68.04890000009537,68.06570000004768,68.0825,68.09910000002384,68.11520000004768,68.13260000002384,68.14840000009536,68.16490000009537,68.21530000007152,68.23230000007153,68.24790000009537,68.28160000002384,68.29890000009537,68.36540000009536,68.38270000004768,68.39910000002384,68.41610000002385,68.43290000009537,68.44940000009537,68.46520000004769,68.48270000004769,68.49980000007153,68.51430000007153,68.53280000007153,68.54910000002384,69.01530000007152,69.04890000009537,69.11560000002385,69.13220000004769,69.14880000007153,69.1655,69.18240000009537,69.19890000009536,69.21630000007153,69.23270000004769,69.249,69.2655,69.2825,69.29880000007152,69.31580000007152,69.36610000002385,69.38320000004768,69.44920000004768,69.466,69.48260000002384,69.49870000004768,69.51560000002384,69.53230000007153,69.549,69.566,69.58260000002385,69.59880000007152,69.61580000007153,69.63280000007153","-55014.49859992838,0.015899999976158208,0.016899999976158098,0.01679999995231629,0.01710000002384182,0.016600000023841877,0.01689999997615821,0.016899999976158098,0.01610000002384182,0.016700000047683794,0.0178999999761581,0.03129999995231625,0.0168000000715256,0.01649999999999996,0.01719999992847443,0.01650000000000007,0.01720000004768374,0.033799999952316195,0.01580000007152571,0.06679999995231611,0.016000000000000014,0.017800000071525712,0.033799999952316195,0.015700000047683682,0.016699999928474485,0.016899999976158098,0.017000000000000126,0.016700000047683572,0.016399999976158153,0.01620000004768385,0.016899999976158098,0.049299999952316265,0.06810000002384187,0.016300000071525433,0.01550000000000007,0.01819999992847454,0.01539999997615804,0.01720000004768374,0.01750000000000007,0.016200000047683627,0.016399999976158153,0.01649999999999996,0.016699999928474485,63.55640000009537,0.024099999904635183,0.034300000071525005,0.01589999997615621,0.01679999995231185,0.016300000071524323,0.016899999976160984,0.01679999995231185,0.01680000007152671,0.016600000023842654,0.016599999904627794,0.033400000095369364,0.016299999952323674,0.016600000023842654,0.03379999995230776,0.1488000000715317,0.03409999990462609,0.017200000047694175,0.03300000000000125,0.016700000047677577,0.018000000000000682,0.015199999928469765,0.015700000047687013,0.017899999976151548,0.01650000000000773,0.015600000023837879,0.018299999952319013,0.01589999997615621,0.13390000009536607,0.36589999997616474,0.050199999928466355,0.01760000002384743,0.06650000000000489,0.015700000047672802,0.017500000000012506,0.01619999992847454,0.01740000009536402,0.015999999999991132,0.017199999928479315,0.016399999976158597,0.016300000071524323,0.016399999976158597,0.01739999997616337,0.016399999976158597,0.06649999999999068,0.017300000071529098,0.04839999997615507,0.01770000004768235,0.016899999976160984,0.016699999928476927,0.016700000047677577,0.016100000023854477,0.8504999999999967,0.01649999999999352,0.016600000023842654,0.016999999999995907,0.017500000000012506,0.01589999997615621,0.03269999992846806,0.01740000009536402,0.016299999952323674,0.01710000002384504,0.03349999999998943,0.0660000000000025,0.01710000002384504,0.050199999928480565,0.016300000071524323,0.01679999995231185,0.01679999995231185,0.016600000023842654,0.016100000023840266,0.01739999997616337,0.015800000071521936,0.01650000000000773,0.05039999997615041,0.017000000000010118,0.015600000023837879,0.033699999928472835,0.017300000071529098,0.06649999999999068,0.017299999952314238,0.016399999976158597,0.017000000000010118,0.01680000007152671,0.01649999999999352,0.015799999952321286,0.017499999999998295,0.01710000002384504,0.014499999999998181,0.01850000000000307,0.016299999952309463,0.46620000004767803,0.03360000002385277,0.06669999992847409,0.016600000023842654,0.016600000023842654,0.016699999928462717,0.016900000095375844,0.01649999999999352,0.01739999997616337,0.016399999976158597,0.016299999952309463,0.01650000000000773,0.016999999999995907,0.016300000071524323,0.016999999999995907,0.0502999999523297,0.01710000002383083,0.0660000000000025,0.01679999995231185,0.016600000023842654,0.016100000023840266,0.016899999976160984,0.016700000047691788,0.016699999928476927,0.016999999999995907,0.016600000023842654,0.01620000004767519,0.017000000000010118,0.016999999999995907","1,3,4,6,8,10,11,13,15,16,19,20,21,22,23,24,25,26,27,35,39,43,50,53,55,58,61,63,66,68,70,71,77,80,83,86,88,91,93,95,97,99,100,99,98,97,96,95,94,93,92,91,90,89,88,87,86,85,84,83,82,81,79,78,77,76,75,74,73,72,71,70,71,73,74,76,77,79,80,82,83,84,86,87,88,89,90,91,93,94,95,96,98,99,100,99,98,97,96,95,94,93,92,91,90,89,88,85,83,80,76,73,70,68,65,63,61,54,53,51,50,49,46,44,42,40,39,37,36,34,33,32,30,29,30,32,38,41,44,47,50,52,55,57,59,61,63,65,67,68,70,75,78,81,83,86,88,91,93,95,97,98,100","(p1)(p2)(p3),(p1)(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4)(p5),(p2)(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p3)(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(h1)(p7)(p8)(p9),(h1)(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p9)(p10)(h2)(p11),(p10)(h2)(p11)(p12),(p11)(p12)(h3),(p12)(h3)(p13)(p14),(h3)(p13)(p14),(p13)(p14)(p15),(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p15)(h4)(p16)(p17),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19)(h5)(p20),(p18)(p19)(h5)(p20)(p21),(p19)(h5)(p20)(p21)(p22),(h5)(p20)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),(p25)(p26)(p27),(p25)(p26)(p27),(p25)(p26)(p27),(p25)(p26)(p27),(p25)(p26)(p24),(p25)(p26)(p24),(p25)(p26)(p24),(p25)(p26)(p24),(p25)(p24),(p25)(p24)(p23),(p25)(p24)(p23),(p25)(p24)(p23),(p25)(p24)(p23)(p22),(p24)(p23)(p22),(p24)(p23)(p22),(p24)(p23)(p22)(p21),(p23)(p22)(p21),(p23)(p22)(p21)(h5),(p23)(p22)(p21)(h5),(p23)(p22)(p21)(h5)(p20),(p22)(p21)(h5)(p20),(p22)(p21)(h5)(p20),(p22)(p21)(h5)(p20)(p19),(p22)(p21)(h5)(p20)(p19),(p21)(h5)(p20)(p19)(p18),(p21)(h5)(p20)(p19)(p18),(p21)(h5)(p20)(p19)(p18),(h5)(p20)(p19)(p18)(p17),(h5)(p20)(p19)(p18)(p17),(h5)(p20)(p19)(p18)(p17),(h5)(p20)(p19)(p18)(p17),(h5)(p20)(p19)(p18)(p21),(h5)(p20)(p19)(p18)(p21),(h5)(p20)(p19)(p21)(p22),(h5)(p20)(p19)(p21)(p22),(h5)(p20)(p21)(p22),(h5)(p20)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(p21)(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),(p25)(p26)(p27),(p25)(p26)(p27),(p25)(p26)(p27),(p25)(p26),(p25)(p26)(p24),(p25)(p26)(p24),(p25)(p26)(p24),(p25)(p24),(p25)(p24)(p23),(p25)(p24)(p23),(p25)(p24)(p23),(p25)(p24)(p23),(p25)(p24)(p23)(p22),(p24)(p23)(p22),(p23)(p22)(h5)(p21),(p22)(h5)(p21)(p20),(p22)(h5)(p21)(p20)(p19),(h5)(p21)(p20)(p19)(p18),(h5)(p20)(p19)(p18)(p17),(p19)(p18)(p17)(p16),(p19)(p18)(p17)(p16)(h4),(p18)(p17)(p16)(h4)(p15),(p17)(p16)(h4)(p15),(h4)(p15)(p14),(p15)(p14)(p13),(p15)(p14)(p13)(h3),(p14)(p13)(h3),(p14)(p13)(h3),(p14)(p13)(h3)(p12),(p13)(h3)(p12),(p13)(h3)(p12),(h3)(p12)(p11),(h3)(p12)(p11)(h2),(p12)(p11)(h2),(p12)(p11)(h2)(p10),(p11)(h2)(p10),(p11)(h2)(p10),(p11)(h2)(p10)(p9),(p11)(h2)(p10)(p9),(p11)(h2)(p10)(p9),(p11)(h2)(p10)(p9),(p11)(h2)(p10),(p11)(h2)(p12),(p11)(p12)(h3),(p12)(h3)(p13),(p12)(h3)(p13)(p14),(h3)(p13)(p14),(p13)(p14)(p15),(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19)(h5)(p20),(p18)(p19)(h5)(p20)(p21),(p19)(h5)(p20)(p21)(p22),(h5)(p20)(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26)(p27)","19,34,45,59,73","0,4,8,11,14,16,20,24,27,30,35,40,46,50,54,60,62,66,67,71,74,77,80,84,87,91,96","fcaes,fesat,,stoamch,populatinos,socrched,graeter,mkaes,loop:,bodns,spceies,holwing,elehpants,betewen,uttelry,bidrs,macekrel,porduce,especailly,w’eve,mirgatory,spraeding,prfoessor,hunetrs,fililng,wer’e,naitve,naitve,arriavls,brids,dotcoral,evolevd,benfeits,wlidlife,abuot,claled,bewteen","23,70,37,45,12,53,34,10,29,31,19,31,39,52,16,46,60,16,24,69,44,31,70,56,20,42,34,22,26,39,42,25,18,42,42,35","2,1,2,1,2,2,1,2,1,1,1,1,1,1,2,1,1,0,1,1,1,2,2,2,2,1,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","","","","","","","heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","144709","0.0-5.0","","","4160.700000047684","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","jd_1649858640564","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","146485","0.0-6.0","","","1771.1999999284744","While reading the article, how carefully did you pay attention?","","jd_1649858640564","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","heading","35","","","","","","","","","",""
"","html-slider-response","7","147520","0.0-7.0","","","1029","How well do you feel you understood the key points of the article?","","jd_1649858640564","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","heading","63","","","","","","","","","",""
"","html-slider-response","8","148885","0.0-8.0","","","1363.5","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","jd_1649858640564","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","heading","34","","","","","","","","","",""
"","html-slider-response","9","150002","0.0-9.0","","","1113.8999999761581","How interesting did you find the topic of this article after the first few paragraphs?","","jd_1649858640564","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","heading","62","","","","","","","","","",""
