"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","11919","0.0-0.0","1366","768","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","20778","0.0-1.0","1366","768","8855.200000017881","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5ed4954aea62124652e189c9_1649962444265","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","35147","0.0-2.0","","","14364.699999988079","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5ed4954aea62124652e189c9_1649962444265","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","78049","0.0-3.0","","","42902.19999998808","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5ed4954aea62124652e189c9_1649962444265","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","500413","0.0-4.0","","","422333.59999999404","","","5ed4954aea62124652e189c9_1649962444265","test_trial","","","768","341710","167","34","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,up,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","23.13420000001788,23.184,31.11870000001788,31.168,37.10190000000596,37.13590000000596,46.67009999999404,46.70359999999404,53.021900000005964,53.05440000000596,62.93809999999404,62.97140000000596,70.37359999999404,70.40580000001192,79.38990000000597,79.42370000001789,85.32370000001788,85.35709999999403,93.12459999999405,93.158,94.90830000001192,94.92470000001788,94.95830000001192,94.97490000000596,94.99130000001192,95.02480000001192,95.75830000001191,95.77530000001192,95.79159999999403,95.80820000001788,95.82480000001192,95.84159999999405,95.85830000001192,95.89130000001192,96.40809999999404,96.44159999999404,96.45830000001192,96.475,96.4915,96.50830000001191,96.84159999999405,96.87509999999403,96.90820000001789,96.92509999999405,96.94130000001192,96.95830000001192,96.97509999999404,96.99159999999404,97.02490000000596,97.05809999999404,97.15859999999404,97.24170000001789,97.27490000000596,97.29180000001192,97.30840000000596,97.32509999999404,97.34180000001192,97.3585,97.37470000001788,97.408,97.47470000001788,97.95840000000597,97.97520000001788,98.00859999999403,98.02530000001192,98.04190000000597,98.10840000000596,101.30880000001193,101.32559999999404,101.342,101.35859999999404,101.37540000000595,101.40870000001789,102.392,102.4255,102.44209999999404,102.47559999999405,102.49220000001789,102.509,102.52540000000596,102.54230000001192,103.27559999999404,103.30930000001192,103.9255,103.95890000000595,114.67680000001192,114.71040000000596,119.92770000001788,119.944,127.57859999999404,127.59440000000596,138.59420000001788,138.6125,144.50409999999403,144.5295,148.8185,148.847,162.29830000001192,162.332,162.48180000001193,163.08159999999404,163.19830000001193,163.487,163.51530000001193,164.549,164.66580000001193,167.866,167.98270000001787,183.81809999999405,183.9178000000119,187.60080000001193,187.68420000001788,200.63580000001193,200.71859999999404,206.6032000000179,206.66970000001788,208.06990000000596,208.13659999999405,215.08790000000596,215.1545,225.98840000000595,226.0382000000179,226.5382000000179,226.58809999999403,236.92309999999404,236.97359999999404,239.67509999999405,239.73970000001788,256.1915,256.25809999999404,258.25920000001787,258.308400000006,258.39209999999406,258.4423000000119,263.2753000000119,263.32630000001194,277.2103000000119,277.260400000006,281.8608000000119,281.91080000001193,288.87930000001194,288.9288000000119,296.696,296.74559999999406,306.88059999999405,306.914,314.09859999999406,314.13130000001195,315.9808000000119,316.01420000001787,325.16530000001194,325.1987000000179,327.63180000001194,327.66540000000595,336.683400000006,336.71640000000593,342.93359999999404,342.9677000000179,351.2343000000119,351.26809999999404,352.468599999994,352.502099999994,363.7365,363.77009999999404,370.26959999999406,370.28690000000597,377.35440000000597,526.1835,526.1884000000059,526.2032000000179,526.2192000000178,526.2364000000059,526.2533000000119,526.2865,526.303,526.319599999994,526.3367000000179,526.3528000000119,526.3697000000179,526.3862000000179,526.436,552.9895,553.0059000000059,553.022400000006,553.039099999994,553.056099999994,553.072800000012,553.089400000006,553.1062000000179,553.1227000000179,553.1393000000119,553.1729000000059,553.222,557.5727000000179,557.5892000000179,557.6059000000059,557.622599999994,557.6392000000179,557.6725999999941,557.871,557.8722000000179,557.8897000000179,557.9065,557.9234000000059,557.9398000000119,557.9568000000119,558.023400000006,566.424300000012,566.4402000000179,566.457,566.473900000006,566.4900999999941,566.507099999994,566.5239000000059,566.5402000000179,566.5573000000119,566.5735,566.624","-80600.46579999402,0.04979999998212037,7.93470000001788,0.04929999998211798,5.933900000005963,0.03399999999999892,9.534199999988076,0.03350000000000364,6.318300000011924,0.03249999999999886,9.883699999988075,0.033300000011919906,7.402199999988085,0.03220000001788037,8.984099999994044,0.03380000001192229,5.8999999999999915,0.033399999976154504,7.7675000000000125,0.033400000005954666,1.7503000000119187,0.01640000000595876,0.0335999999940384,0.01659999999404249,0.01640000000595876,0.03350000000000364,0.7334999999999923,0.017000000000010118,0.016299999982109625,0.016600000023842654,0.01659999999404249,0.016799999982126224,0.016700000017877414,0.03300000000000125,0.516799999982112,0.03350000000000364,0.016700000017877414,0.016699999988077252,0.01650000000000773,0.016800000011912175,0.3332999999821311,0.03349999999998943,0.033100000023850384,0.016899999976160984,0.016200000017875027,0.016999999999995907,0.016799999982126224,0.01649999999999352,0.033300000011919906,0.03319999998808498,0.1004999999999967,0.08310000002384754,0.03319999998807077,0.016900000005961147,0.01659999999404249,0.016699999988077252,0.016700000017877414,0.016699999988091463,0.016200000017875027,0.03329999998211974,0.06670000001787457,0.4836999999880902,0.016800000011912175,0.033399999976154504,0.016700000017891625,0.01659999999404249,0.06649999999999068,3.2004000000059705,0.016799999982112013,0.01640000000595876,0.01659999999404249,0.016800000011912175,0.03330000001193412,0.9832999999821084,0.03350000000000364,0.01659999999404249,0.03350000000000364,0.016600000023842654,0.016799999982112013,0.01640000000595876,0.016900000005961147,0.7332999999821226,0.03370000001787332,0.6161999999880834,0.033400000005954666,10.717900000005969,0.0335999999940384,5.217300000011917,0.016299999982123836,7.6345999999940375,0.01580000001192161,10.999800000011916,0.018299999982133386,5.891599999994014,0.025400000005987522,4.288999999999987,0.028500000000008185,13.451300000011912,0.03369999998807316,0.14980000001193616,0.5997999999821104,0.11670000001788594,0.2886999999880686,0.028300000011938664,1.0336999999880732,0.1168000000119207,3.2001999999880866,0.11670000001785752,15.835399999976175,0.09970000001786161,3.683000000000021,0.08340000000595182,12.951599999994045,0.08279999998211451,5.884600000023852,0.06649999999999068,1.4001999999880752,0.06669999998808862,6.951300000011912,0.06659999999405386,10.83390000000594,0.04980000001194185,0.5,0.04989999997613381,10.335000000000008,0.050499999999999545,2.70150000000001,0.06460000002383026,16.451799999982143,0.06659999999402544,2.0011000000238255,0.04919999998810454,0.08369999998808453,0.05020000001786684,4.83299999999997,0.051000000000044565,13.883999999999958,0.05009999999407455,4.600400000005948,0.05000000000001137,6.968500000000006,0.04949999999996635,7.767199999988122,0.04959999999402953,10.134999999999991,0.033400000005940456,7.184599999994077,0.03270000001788276,1.8494999999999777,0.033400000005940456,9.151099999994074,0.033400000005940456,2.433099999994056,0.03359999999400998,9.018000000000029,0.03299999999995862,6.217199999988111,0.03410000002384095,8.266599999994014,0.03379999998213634,1.2004999999999768,0.03350000000000364,11.234400000005962,0.03359999999406682,6.499500000000012,0.017300000011914562,7.0674999999999955,148.829099999994,0.00490000000593227,0.01480000001197368,0.01599999999996271,0.01719999998806543,0.01690000000598957,0.033199999988141826,0.016499999999950887,0.01659999999401407,0.017100000023901885,0.016099999994025893,0.01690000000598957,0.016499999999950887,0.049799999982155896,26.553499999999985,0.016400000005887705,0.016500000000064574,0.016699999988077252,0.016999999999939064,0.01670000001797689,0.01659999999401407,0.016800000011926386,0.016499999999950887,0.01659999999401407,0.03359999999406682,0.049099999994041355,4.350700000017923,0.016499999999950887,0.016699999988077252,0.016699999988077252,0.016600000023913708,0.033399999976154504,0.19840000000590408,0.0012000000178886694,0.017500000000040927,0.016799999982140434,0.01690000000587588,0.016400000006001392,0.016999999999939064,0.06659999999408228,8.400900000006004,0.01590000000589953,0.016799999982140434,0.01690000000598957,0.016199999988089075,0.016999999999939064,0.016800000011926386,0.01630000001193821,0.017099999994002246,0.016199999988089075,0.05050000000005639","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,21,20,19,18,17,16,15,14,13,12,11,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,38,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,1,4,7,9,10,11,12,15,19,21,22,23,24,25,26,29,32,34,35,37,42,45,46,48,49,50,54,57,59,60,61,62,63,66,69,71,72,73,74,75,79,82,84,86,91,95,96,97,98,99,100","(p1)(p2)(p3),(p1)(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4)(p5),(p2)(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p3)(p4)(p5)(p6),(p3)(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8)(p9),(h1)(p7)(p8)(p9)(p6),(h1)(p7)(p8)(p6),(h1)(p7)(p8)(p6),(h1)(p7)(p8)(p6)(p5),(h1)(p7)(p8)(p6)(p5),(h1)(p7)(p6)(p5),(h1)(p7)(p6)(p5)(p4),(h1)(p7)(p6)(p5)(p4),(h1)(p7)(p6)(p5)(p4),(h1)(p6)(p5)(p4),(h1)(p6)(p5)(p4),(h1)(p6)(p5)(p4)(p3),(p6)(p5)(p4)(p3),(p5)(p4)(p3),(p5)(p4)(p3)(p2),(p5)(p4)(p3)(p2),(p4)(p3)(p2),(p4)(p3)(p2),(p4)(p3)(p2)(p1),(p3)(p2)(p1),(p3)(p2)(p1),(p3)(p2)(p1),(p3)(p2)(p4),(p3)(p2)(p4),(p3)(p2)(p4),(p3)(p2)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p3)(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1)(p7),(p4)(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(h1)(p7)(p8)(p9),(h1)(p7)(p8)(p9),(p7)(p8)(p9)(h1),(p7)(p8)(p9)(h1),(p7)(p8)(p9)(h1)(p6),(p7)(p8)(h1)(p6),(p7)(p8)(h1)(p6),(p7)(p8)(h1)(p6)(p5),(p7)(h1)(p6)(p5),(p7)(h1)(p6)(p5),(p7)(h1)(p6)(p5)(p4),(p7)(h1)(p6)(p5)(p4),(h1)(p6)(p5)(p4),(h1)(p6)(p5)(p4),(h1)(p6)(p5)(p4),(h1)(p6)(p5)(p4),(h1)(p6)(p5)(p4),(h1)(p6)(p5)(p4)(p7),(h1)(p6)(p5)(p7),(h1)(p6)(p5)(p7),(h1)(p6)(p5)(p7)(p8),(h1)(p6)(p5)(p7)(p8),(h1)(p6)(p7)(p8),(h1)(p6)(p7)(p8)(p9),(h1)(p7)(p8)(p9),(h1)(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9)(p10),(p7)(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10)(h2),(p8)(p9)(p10)(h2),(p8)(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2)(p11),(p9)(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(h2)(p11)(p12),(h2)(p11)(p12),(h2)(p11)(p12),(h2)(p11)(p12),(h2)(p11)(p12),(h2)(p11)(p12),(h2)(p11)(p12),(h2)(p11)(p12)(h3),(p11)(p12)(h3),(p11)(p12)(h3),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13)(p14),(p12)(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14)(p15),(p13)(p14)(p15),(p13)(p14)(p15),(p13)(p14)(p15)(h4),(p14)(p15)(h4),(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p14)(p15)(h4)(p16),(p14)(p15)(h4)(p16),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18)(p19),(h4)(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(h5),(p17)(p18)(p19)(p20)(h5),(p17)(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21)(p22),(p19)(p20)(h5)(p21)(p22),(p19)(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22)(p23),(p20)(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(p21)(p22)(p23)(p24),(p21)(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","19,34,45,59,73","0,4,8,11,14,17,20,24,27,30,35,40,46,50,54,60,63,67,68,71,74,77,80,84,87,91,96","elpehant,rouglhy,rdies,evovled,thier,strnaded,palnts,cuold,bsais,insetcs,unrpedictable,fruit-olving,mamamls,craries,classfiied,rleated,geopolitiacl,groiwng,researhcers,platns,amuont,prvoided,cooelr,particualr,dangeruos,traget,persih,,natvie,siad.,tohse,sadi.,animlas,inovlved,ddin’t,tpyically,creatnig,konwn,reverbertae,smoe,","11,17,58,62,20,39,20,29,35,28,9,30,10,52,22,64,62,18,38,25,39,30,85,15,24,73,39,36,26,24,18,43,51,53,32,24,21,34,13","1,2,2,2,1,1,1,2,1,2,2,1,2,1,2,2,2,0,2,2,1,1,1,1,1,1,2","1,1,2,1,1,1,1,2,0,0,2,0,1,1,1,2,1,0,1,1,0,0,0,1,1,0,2","elpehant,rdies,thier,evovled,strnaded,cuold,bsais,insetcs,unrpedictable,fruit-olving,geopolitiacl,rleated,platns,amuont,cooelr,particualr,dangeruos,traget,siad.,tohse,tpyically,creatnig,smoe,,reverbertae","p1,p2,p3,p3,p4,p5,p6,p7,p8,p8,p11,p11,p13,p14,p15,p16,p16,p17,p19,p20,p24,p25,p27,p27","7.65459999999404,35.430200000017884,43.75790000000596,51.52580000001192,67.86959999999404,78.51009999999404,92.14170000001788,110.33409999999404,123.26170000001788,130.08590000000595,181.7822000000179,183.0943000000119,217.18209999999405,236.09380000001192,257.4138000000119,266.533900000006,268.718099999994,285.014,299.34209999999405,313.12609999999404,360.7898000000119,368.766,408.49390000000597,413.8295","","","","heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","521692","0.0-5.0","","","21272.29999998212","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5ed4954aea62124652e189c9_1649962444265","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","525574","0.0-6.0","","","3879.4000000059605","While reading the article, how carefully did you pay attention?","","5ed4954aea62124652e189c9_1649962444265","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","heading","100","","","","","","","","","",""
"","html-slider-response","7","529134","0.0-7.0","","","3558","How well do you feel you understood the key points of the article?","","5ed4954aea62124652e189c9_1649962444265","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","heading","100","","","","","","","","","",""
"","html-slider-response","8","534790","0.0-8.0","","","5654.300000011921","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5ed4954aea62124652e189c9_1649962444265","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","heading","56","","","","","","","","","",""
"","html-slider-response","9","538510","0.0-9.0","","","3718.199999988079","How interesting did you find the topic of this article after the first few paragraphs?","","5ed4954aea62124652e189c9_1649962444265","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","heading","83","","","","","","","","","",""
