"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","2986","0.0-0.0","1440","900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","5830","0.0-1.0","1440","900","2840.7999999970198","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5f91fcd0d41fea101c469878_1649866557889","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","12612","0.0-2.0","","","6778.20000000298","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5f91fcd0d41fea101c469878_1649866557889","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","37438","0.0-3.0","","","24824.70000000298","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5f91fcd0d41fea101c469878_1649866557889","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","400270","0.0-4.0","","","362811.200000003","","","5f91fcd0d41fea101c469878_1649866557889","test_trial","","","900","321647.200000003","100","0","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","22.22259999999404,23.53779999999702,24.80379999999702,27.42059999999404,31.855,41.30429999999702,48.82290000000596,49.771,51.55409999999404,53.49,55.88809999999404,64.27370000000298,65.49070000000297,66.84220000000298,70.17209999999405,70.7555,76.623,76.85829999999702,77.956,78.58970000000298,84.20640000000596,85.97509999999404,88.70679999999702,94.241,96.40920000000298,96.87590000000596,100.22529999999702,114.76109999999404,115.75840000000596,122.02779999999701,125.89270000000298,126.678,130.5465,139.89740000000597,140.71140000000597,141.09559999999405,141.579,141.87779999999702,150.514299999997,161.68209999999405,164.76329999999703,165.72859999999403,169.96340000000595,172.613200000003,174.196799999997,181.89659999999404,189.01559999999404,189.81370000000297,190.04709999999403,190.165,190.848700000003,191.6,202.04809999999404,202.7145,203.76729999999702,204.31609999999404,207.48520000000298,209.39840000000595,213.634,216.13220000000297,218.21679999999702,224.58470000000298,225.16840000000596,226.301299999997,227.25190000000595,228.60170000000298,236.73390000000597,240.184,240.65240000000597,253.286200000003,256.4535,258.15170000000296,258.785,259.25190000000595,263.2045,265.302099999994,266.352599999994,279.257099999994,279.95509999999405,280.05320000000296,280.219799999997,282.404700000003,283.24040000000593,292.154299999997,294.004200000003,298.439700000003,298.62240000000594,298.83759999999404,305.43859999999404,306.17440000000596,308.60779999999704,315.189,315.7555,318.761,320.87259999999407,321.356,321.722700000003,330.493299999997,331.52340000000595,334.70720000000296,400.190799999997,400.212299999997,400.22959999999404,400.247200000003,400.263700000003,400.28040000000595,400.297200000003,400.329900000006,400.364599999994,400.380700000003,400.3975,400.413200000003,400.429599999994,400.44759999999405,400.479,400.61309999999406,400.66359999999406,400.7115,400.78079999999704,401.178400000006,401.24509999999407,431.63059999999405,431.647400000006,431.66590000000593,431.68029999999703,431.69890000000595,431.71579999999705,431.731299999997,431.747,431.7655,431.78209999999405,431.79709999999403,431.81359999999404,433.51640000000594,433.53159999999406,433.549799999997,433.563799999997,433.58309999999403,433.6,433.630700000003,433.66540000000595,433.68240000000594,433.716099999994,433.731400000006,433.7495,433.7825,436.531400000006,436.549700000003,436.566200000003,436.58220000000296,436.5995,436.632099999994,436.65,436.664,436.68259999999407,436.69970000000296,436.71620000000297","-41141.777400000006,1.3152000000029815,1.2659999999999982,2.6167999999970206,4.434400000005962,9.44929999999702,7.518600000008938,0.9480999999940423,1.783099999994036,1.9359000000059652,2.398099999994038,8.385600000008935,1.2169999999999987,1.3515000000000015,3.3298999999910706,0.5834000000059518,5.867500000000007,0.2352999999970109,1.0977000000029875,0.6337000000029747,5.616700000002979,1.7686999999880868,2.7317000000029736,5.534200000002983,2.168200000002983,0.46670000000297307,3.349399999991064,14.535799999997025,0.9973000000119185,6.269399999991052,3.86490000000596,0.7852999999970223,3.8685000000000116,9.350900000005964,0.813999999999993,0.3841999999880841,0.4834000000059575,0.2987999999970157,8.636499999999984,11.167799999997044,3.0812000000029798,0.9652999999970007,4.234800000011916,2.649799999997043,1.5835999999940213,7.699799999997026,7.119,0.7981000000089296,0.23339999999106453,0.11790000000596024,0.6837000000030002,0.751299999997002,10.448099999994042,0.6664000000059502,1.0527999999970348,0.5487999999970157,3.169100000008939,1.9132000000029734,4.235599999994037,2.4982000000029814,2.0845999999940545,6.36790000000596,0.5837000000029775,1.1328999999910536,0.950600000008933,1.3497999999970318,8.132200000002996,3.4500999999940234,0.46840000000597115,12.633799999997024,3.1672999999970273,1.6982000000029416,0.6332999999970639,0.46690000000592136,3.9525999999940495,2.0975999999940314,1.0504999999999995,12.904499999999985,0.6980000000000359,0.0981000000089125,0.16659999999404818,2.184900000005996,0.8357000000029302,8.913899999991088,1.8499000000059596,4.4354999999999905,0.18270000000296704,0.21519999998810135,6.600999999999999,0.7358000000119205,2.4333999999910816,6.58120000000298,0.5664999999999623,3.0055000000000405,2.1115999999940414,0.4834000000059291,0.36670000000299297,8.770599999994033,1.0301000000089289,3.1837999999970066,65.48359999999406,0.021500000000003183,0.017299999997021587,0.017600000008940242,0.01650000000000773,0.016700000002970228,0.01679999999703341,0.03270000000298978,0.03469999998804951,0.016100000008975712,0.016799999996976567,0.015700000002993875,0.016399999991051573,0.018000000000029104,0.031400000005930906,0.13409999999407773,0.050499999999999545,0.04790000000593864,0.0692999999970425,0.3976000000089357,0.06669999998808862,30.38549999999998,0.016800000011926386,0.018499999999960437,0.014399999991098866,0.018600000008916595,0.016899999991096593,0.015499999999974534,0.015700000002993875,0.018499999999960437,0.016599999994070913,0.014999999999986358,0.01650000000000773,1.702800000011905,0.015199999988112722,0.018200000002934758,0.014000000000010004,0.019299999997031136,0.01690000000598957,0.030700000002980232,0.03470000000294249,0.016999999999995907,0.03369999998807316,0.015300000011961856,0.018099999994035443,0.03300000000001546,2.7489000000059605,0.01829999999699794,0.01650000000000773,0.01599999999996271,0.017299999997021587,0.032599999994033624,0.01790000000596592,0.014000000000010004,0.018599999994080463,0.017100000008895222,0.01650000000000773","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,26,27,30,33,36,39,42,44,47,48,49,50,52,53,55,56,57,58,59,60,61,62,63,65,68,71,75,79,83,88,92,97,100","(p1)(p2)(p3)(p4),(p1)(p2)(p3)(p4),(p2)(p3)(p4)(p5),(p2)(p3)(p4)(p5),(p2)(p3)(p4)(p5),(p2)(p3)(p4)(p5)(p6),(p3)(p4)(p5)(p6),(p3)(p4)(p5)(p6)(h1),(p3)(p4)(p5)(p6)(h1),(p3)(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1)(p7),(p4)(p5)(p6)(h1)(p7),(p4)(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7)(p8),(p5)(p6)(h1)(p7)(p8),(p5)(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8)(p9),(p6)(h1)(p7)(p8)(p9),(h1)(p7)(p8)(p9),(h1)(p7)(p8)(p9),(p7)(p8)(p9)(p10),(p7)(p8)(p9)(p10),(p7)(p8)(p9)(p10),(p8)(p9)(p10)(h2),(p8)(p9)(p10)(h2),(p8)(p9)(p10)(h2),(p8)(p9)(p10)(h2)(p11),(p9)(p10)(h2)(p11),(p9)(p10)(h2)(p11),(p9)(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11)(p12),(p10)(h2)(p11)(p12),(p10)(h2)(p11)(p12),(h2)(p11)(p12),(h2)(p11)(p12)(h3),(h2)(p11)(p12)(h3),(p11)(p12)(h3),(p11)(p12)(h3)(p13),(p11)(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13)(p14),(p12)(h3)(p13)(p14),(p12)(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14)(p15),(h3)(p13)(p14)(p15),(h3)(p13)(p14)(p15),(p13)(p14)(p15)(h4),(p13)(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p14)(p15)(h4)(p16),(p14)(p15)(h4)(p16),(p14)(p15)(h4)(p16),(p14)(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17)(p18),(p15)(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18)(p19),(h4)(p16)(p17)(p18)(p19),(h4)(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19)(p20),(p16)(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(h5),(p17)(p18)(p19)(p20)(h5),(p17)(p18)(p19)(p20)(h5)(p21),(p17)(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21)(p22),(p18)(p19)(p20)(h5)(p21)(p22),(p19)(p20)(h5)(p21)(p22),(p19)(p20)(h5)(p21)(p22),(p19)(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22)(p23),(p20)(h5)(p21)(p22)(p23),(p20)(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23)(p24),(p21)(p22)(p23)(p24),(p21)(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24)(p25),(p22)(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","19,34,45,59,73","0,4,8,11,14,16,20,24,27,30,35,40,46,50,54,60,62,66,67,71,74,77,80,84,87,91,96","speices,rdies,arriving,heatwaevs,exterme,aronud,hicth,eovlved,sceintists,lagre,elephatns,tehir,uttelry,plnats,aniamls,losnig,makcerel,polse;,maplse,,avreage,widllife,disappear,raomed,ecoolgy,hnuters,teres,cretaed,colse,teres,humnas,cuold,invloved,ofetn,bekas,spceies,evloved,dispersres,platns,depsoit,througohut,effcets,perdict.","41,58,63,14,18,14,23,19,24,70,31,22,52,50,36,33,46,91,58,58,23,36,40,30,70,62,51,38,31,10,35,51,37,52,40,42,66,43,68,71,19,23","1,2,2,1,1,2,1,2,2,2,1,2,1,2,1,1,2,0,1,2,2,2,1,2,2,2,2","1,1,1,1,0,1,1,2,2,2,1,2,1,0,1,1,2,0,0,2,1,1,0,1,2,2,1","speices,rdies,heatwaevs,aronud,eovlved,lagre,tehir,elephatns,plnats,uttelry,losnig,aniamls,makcerel,maplse,,polse;,avreage,raomed,ecoolgy,teres,hnuters,teres,colse,cuold,ofetn,spceies,platns,dispersres,depsoit,througohut,perdict.","p1,p2,p3,p4,p6,p7,p8,p8,p9,p9,p10,p10,p11,p12,p12,p13,p15,p16,p17,p17,p20,p20,p21,p22,p24,p25,p25,p26,p26,p27","11.07190000000596,38.3135,44.50720000000298,57.08979999999702,74.46070000000299,95.28870000000298,103.52429999999703,106.49270000000298,118.03870000000298,119.84670000000298,133.93020000000297,135.56720000000297,156.12920000000298,176.17329999999703,184.84559999999405,200.79840000000596,219.95690000000596,237.6175,251.94890000000595,254.29759999999405,275.83420000000297,277.56270000000296,289.770799999997,296.50809999999404,319.967299999997,329.405599999994,332.722299999997,346.38190000000594,347.722200000003,357.610799999997","savanna.,pincers,worst","p1,p2,p9","5.28940000000596,34.44390000000596,124.836","heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","407336","0.0-5.0","","","7060.0999999940395","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5f91fcd0d41fea101c469878_1649866557889","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","411190","0.0-6.0","","","3852.2999999970198","While reading the article, how carefully did you pay attention?","","5f91fcd0d41fea101c469878_1649866557889","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","heading","100","","","","","","","","","",""
"","html-slider-response","7","413607","0.0-7.0","","","2414.9000000059605","How well do you feel you understood the key points of the article?","","5f91fcd0d41fea101c469878_1649866557889","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","heading","82","","","","","","","","","",""
"","html-slider-response","8","416428","0.0-8.0","","","2818.7999999970198","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5f91fcd0d41fea101c469878_1649866557889","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","heading","60","","","","","","","","","",""
"","html-slider-response","9","418768","0.0-9.0","","","2338.9000000059605","How interesting did you find the topic of this article after the first few paragraphs?","","5f91fcd0d41fea101c469878_1649866557889","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","heading","67","","","","","","","","","",""
