"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","9565","0.0-0.0","1366","768","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","14665","0.0-1.0","1366","768","5092.800000000745","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5fd298b32f6cb7062fd9aea0_1649959518136","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","24214","0.0-2.0","","","9535.799999998882","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5fd298b32f6cb7062fd9aea0_1649959518136","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","60844","0.0-3.0","","","36626.09999999963","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5fd298b32f6cb7062fd9aea0_1649959518136","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","455316","0.0-4.0","","","394420.4000000004","","","5fd298b32f6cb7062fd9aea0_1649959518136","test_trial","","","768","328701","100","0","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","18.667800000000746,22.28440000000037,26.987699999999254,39.93619999999925,45.682300000000744,45.799099999999626,45.99980000000075,46.98259999999963,60.54859999999963,63.948400000000376,66.81469999999925,76.6145,79.04819999999926,83.13090000000037,88.38130000000075,97.8135,98.0635,100.02990000000037,100.19680000000075,104.37980000000074,106.13069999999925,115.96309999999963,150.82830000000075,155.71080000000075,158.5285999999996,158.79480000000075,159.51080000000076,159.56109999999964,160.62709999999961,169.16030000000075,171.02669999999927,173.62659999999963,174.87640000000036,175.2265,175.34309999999962,175.5765,176.1265,176.27659999999963,176.477,176.94369999999927,187.80930000000075,190.59240000000037,195.60919999999925,196.47559999999962,199.70869999999925,211.25830000000076,217.8085,218.00790000000038,219.19109999999964,219.57459999999963,219.89109999999962,221.89090000000039,223.491,227.941,229.64059999999964,233.90740000000037,235.84059999999963,242.50680000000074,244.8405,245.20659999999964,247.68990000000036,248.723,255.37340000000037,255.72290000000038,256.6894000000004,257.90580000000074,261.28919999999925,265.3556999999993,265.87230000000073,266.15559999999965,283.5549000000004,284.48809999999963,284.68819999999926,286.138,288.32130000000075,289.3545,293.48790000000037,294.3209000000004,294.4715,294.55469999999923,294.671,295.22190000000035,295.40440000000035,295.5875999999996,302.0880999999996,314.6536999999993,315.32019999999926,316.38659999999965,319.78669999999926,320.95319999999924,324.5195999999996,326.1860999999996,329.08669999999927,330.8359000000004,348.2686999999992,349.93509999999964,353.45180000000073,354.2850999999996,355.3184000000004,355.8350999999996,475.9183000000007,475.92930000000075,475.94619999999924,475.96330000000074,475.9795,475.99619999999925,476.01269999999926,476.0293000000007,476.04630000000077,476.0628000000007,476.096,476.11259999999965,476.13,476.14640000000037,476.1799000000004,476.21330000000074,476.2465999999996,506.20130000000074,506.22830000000073,506.2615,506.29469999999924,506.39469999999926,516.1010999999996,516.1109000000004,516.1279000000004,516.1448000000007,516.1609000000004,516.1778000000007,516.1943000000008,516.211,516.2275999999996,516.2446999999993,516.2610999999996,516.2776999999993,516.2943000000007,516.3109000000004,516.3275,516.3445999999997,516.3615,516.3780999999997,516.3948000000007,516.4115,516.4281999999993,516.4448000000008,516.4780999999996,516.4948000000007,516.5280999999997,516.5445999999996,522.9774000000003,522.9940999999997,523.0109000000003,523.0273000000008,523.0443000000007,523.0605999999997,523.0771999999993,523.1443000000007,523.2109000000004,527.6944000000004,527.7105,527.7271999999992,527.7436999999993,527.7605999999996,527.7770999999997,527.7936999999993,527.8105,527.8273000000007,527.8439000000004,527.8615,527.8770999999996,534.6086999999992,536.0671999999993,536.0933000000008,536.1099000000004,536.1265999999996,536.1431999999993,536.1600999999996,536.1765,536.1935,536.2100999999997,536.2268000000007,536.2599000000004,536.2933000000007,536.31,536.3265999999996,536.3433000000008,536.3599000000004,536.3768000000008,536.3935999999997,536.4100999999996,536.4265999999997,536.4431999999993,536.4601999999993,536.4768000000007,536.4935,536.5103000000007,536.5268000000008,536.5435,536.5601999999992,536.5769000000004,536.5935,536.6269000000003,536.6436999999993,536.677,536.727,536.7770999999997,537.5278000000008,537.5434000000004,537.56,537.5765999999996,537.5930999999996,537.6098000000007,537.6265,537.6599000000003,537.6765,537.6930999999996,537.7099000000004,537.7264000000004,537.7596999999993,537.7765,537.8099000000004,537.8264000000004,537.8599000000004,537.8769000000003,537.8931999999993,537.9099000000003,537.9604000000004,537.9768000000007,537.9931999999992,538.0098000000007,538.0265,538.0601999999992,538.0766999999993,538.1113000000007,538.1438000000007,538.1601999999992","-65700.73220000038,3.6165999999996252,4.703299999998883,12.9485,5.746100000001491,0.11679999999888224,0.20070000000112032,0.9827999999988819,13.566000000000003,3.399800000000745,2.8662999999988727,9.799800000000758,2.4336999999992486,4.082700000001111,5.250400000000383,9.432199999999256,0.25,1.9664000000003625,0.16690000000038197,4.182999999999993,1.7508999999985093,9.832400000000376,34.865200000001124,4.882499999999993,2.8177999999988685,0.26620000000113464,0.7160000000000082,0.05029999999888446,1.065999999999974,8.53320000000113,1.8663999999985208,2.5999000000003605,1.2498000000007323,0.35009999999962815,0.11659999999963588,0.23340000000038685,0.549999999999983,0.15009999999963952,0.2004000000003714,0.46669999999926404,10.865600000001479,2.783099999999621,5.016799999998881,0.8664000000003682,3.233099999999638,11.549600000001504,6.550199999999251,0.19940000000036662,1.1831999999992604,0.38349999999999795,0.3164999999999907,1.9998000000007607,1.6000999999996282,4.449999999999989,1.6995999999996343,4.266800000000728,1.9331999999992604,6.666200000001112,2.3336999999992543,0.3660999999996477,2.4833000000007246,1.0330999999996493,6.65040000000036,0.34950000000000614,0.9664999999999964,1.2164000000003625,3.3833999999985167,4.066500000000019,0.5166000000014606,0.283299999998917,17.39930000000072,0.9331999999992604,0.20009999999962247,1.449800000000721,2.18330000000077,1.0331999999992263,4.1334000000003925,0.8330000000000268,0.15059999999959928,0.08319999999923766,0.1163000000007628,0.5509000000003539,0.18250000000000455,0.1831999999992604,6.500499999999988,12.565599999999677,0.666499999999985,1.0664000000003853,3.400099999999611,1.166499999999985,3.5664000000003853,1.666499999999985,2.900599999999656,1.7492000000011103,17.43279999999885,1.666400000000408,3.5167000000010944,0.8332999999988715,1.0333000000007928,0.5166999999992186,120.08320000000111,0.011000000000024102,0.016899999998486237,0.017100000001505578,0.016199999999230386,0.016699999999275406,0.01650000000000773,0.016600000001460558,0.01700000000005275,0.016499999999950887,0.033199999999283136,0.016599999999641568,0.017400000000350246,0.016400000000373893,0.03350000000000364,0.0334000000003698,0.03329999999886013,29.95470000000114,0.026999999999986812,0.033199999999283136,0.03319999999922629,0.10000000000002274,9.706400000000372,0.00980000000072323,0.01700000000005275,0.016900000000305226,0.016099999999710235,0.016900000000305226,0.016500000000064574,0.016699999999218562,0.016599999999584725,0.017099999999686588,0.01640000000031705,0.01659999999969841,0.016600000001403714,0.01659999999969841,0.016599999999584725,0.017099999999686588,0.016900000000305226,0.01659999999969841,0.01670000000103755,0.01669999999933225,0.016699999999218562,0.0166000000015174,0.03329999999880329,0.01670000000115124,0.033299999998916974,0.016499999999950887,6.432800000000725,0.01669999999933225,0.01680000000067139,0.016400000000430737,0.016999999999939064,0.01629999999897791,0.016599999999584725,0.0671000000014601,0.06659999999965294,4.483500000000049,0.016099999999596548,0.016699999999218562,0.016500000000064574,0.016900000000305226,0.016500000000064574,0.016599999999584725,0.016800000000785076,0.01680000000067139,0.01659999999969841,0.017599999999561078,0.015599999999608372,6.731599999999617,1.4585000000000719,0.02610000000152013,0.016599999999584725,0.016699999999218562,0.01659999999969841,0.016900000000305226,0.016400000000430737,0.016999999999939064,0.01659999999969841,0.01670000000103755,0.0330999999996493,0.0334000000003698,0.016699999999218562,0.01659999999969841,0.01670000000115124,0.016599999999584725,0.016900000000418913,0.0167999999988524,0.016499999999950887,0.016500000000064574,0.016599999999584725,0.01700000000005275,0.016600000001403714,0.01669999999933225,0.01680000000067139,0.016500000000064574,0.016699999999218562,0.016699999999218562,0.01670000000115124,0.016599999999584725,0.0334000000003698,0.016799999998966086,0.03330000000073596,0.049999999999954525,0.05009999999970205,0.7507000000010748,0.015599999999608372,0.016599999999584725,0.01659999999969841,0.016499999999950887,0.01670000000115124,0.016699999999218562,0.0334000000003698,0.01659999999969841,0.016599999999584725,0.016800000000785076,0.016499999999950887,0.033299999998916974,0.016800000000785076,0.0334000000003698,0.016499999999950887,0.03350000000000364,0.016999999999939064,0.01629999999897791,0.01670000000103755,0.05050000000005639,0.01640000000031705,0.01639999999849806,0.0166000000015174,0.01669999999933225,0.033699999999157626,0.016500000000064574,0.03460000000143282,0.032500000000027285,0.01639999999849806","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,1,2,3,4,5,6,8,11,12,14,15,16,17,18,19,20,21,22,24,25,26,27,28,32,36,41,43,45,47,48,49,50,52,53,55,56,58,59,60,61,63,64,65,66,67,68,69,70,71,75,76,78,80,81,82,83,84,85,86,88,90,92,93,94,95,96,97,99,100,0,1,4,7,13,19,22,24,26,27,28,29,30,32,33,35,37,39,40,42,43,44,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,63,65,66,68,69,71,74,78,80,81,82,83,84,85,86,87,88,89,90,91,92,93,95,96,97,98,99,100","(p1)(p2)(p3),(p1)(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4)(p5),(p2)(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p3)(p4)(p5)(p6),(p3)(p4)(p5)(p6)(h1),(p3)(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1)(p7),(p4)(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7)(p8),(p5)(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8)(p9),(h1)(p7)(p8)(p9),(h1)(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9)(p10),(p7)(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10)(h2),(p8)(p9)(p10)(h2),(p8)(p9)(p10)(h2),(p9)(p10)(h2)(p11),(p9)(p10)(h2)(p11),(p9)(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11)(p12),(h2)(p11)(p12),(h2)(p11)(p12),(h2)(p11)(p12)(h3),(p11)(p12)(h3),(p11)(p12)(h3),(p11)(p12)(h3),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13)(p14),(p12)(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14)(p15),(p13)(p14)(p15),(p13)(p14)(p15),(p13)(p14)(p15)(h4),(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p14)(p15)(h4)(p16),(p14)(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18)(p19),(h4)(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(h5),(p17)(p18)(p19)(p20)(h5),(p17)(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21)(p22),(p19)(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22)(p23),(p20)(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(p21)(p22)(p23)(p24),(p21)(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","19,34,45,59,73","0,4,8,11,14,16,20,24,27,30,35,40,46,50,54,60,62,66,67,71,74,77,80,84,87,91,96","thier,rieds,cilmate,plnats,palnt,whcih,eroison,isnects,mokneys,relatiosnhips,wosrt,sedes,mammlas,whree,spceies,platns,wehre,wpied,caapble,climtae,climtaes,tolreate,lagre,brids,teres,humnas,ntaive,thier,brids,typiclaly,netwokrs,lonegr,fcees,perfeclty,otehrs,alawys","22,58,35,20,15,33,15,28,18,20,65,57,18,49,14,80,15,73,42,47,86,13,81,37,31,10,34,27,9,32,26,47,89,85,16,22","1,1,1,1,2,1,2,1,2,2,1,2,1,2,1,1,1,0,1,1,1,2,1,1,2,2,2","0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1","rieds,isnects,wehre,humnas,lonegr,fcees,otehrs","p2,p7,p12,p21,p25,p26,p27","43.340599999999625,108.64840000000038,201.46,299.16480000000075,352.2575999999996,374.975,384.5664000000004","","","","heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","472426","0.0-5.0","","","17077.300000000745","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5fd298b32f6cb7062fd9aea0_1649959518136","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","476735","0.0-6.0","","","4305.5","While reading the article, how carefully did you pay attention?","","5fd298b32f6cb7062fd9aea0_1649959518136","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","heading","100","","","","","","","","","",""
"","html-slider-response","7","481660","0.0-7.0","","","4922.4000000003725","How well do you feel you understood the key points of the article?","","5fd298b32f6cb7062fd9aea0_1649959518136","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","heading","90","","","","","","","","","",""
"","html-slider-response","8","488856","0.0-8.0","","","7192.9000000003725","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5fd298b32f6cb7062fd9aea0_1649959518136","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","heading","19","","","","","","","","","",""
"","html-slider-response","9","495335","0.0-9.0","","","6474","How interesting did you find the topic of this article after the first few paragraphs?","","5fd298b32f6cb7062fd9aea0_1649959518136","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","heading","18","","","","","","","","","",""
