"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","12306","0.0-0.0","1440","900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","20021","0.0-1.0","1440","900","7711.400000002235","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","614138f0dcf847646058fc55_1649862575730","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","48472","0.0-2.0","","","28446.300000000745","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","614138f0dcf847646058fc55_1649862575730","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","224170","0.0-3.0","","","175691.29999999702","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","614138f0dcf847646058fc55_1649862575730","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","1132034","0.0-4.0","","","907810.8000000007","","","614138f0dcf847646058fc55_1649862575730","test_trial","","","900","679230.8000000007","100","0","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","45.91580000000074,46.43020000000298,47.43,48.76830000000074,52.69920000000298,70.16610000000149,70.33260000000149,71.649,102.46690000000224,102.569,102.71770000000298,103.1525,103.3345,103.80120000000298,127.57030000000074,128.81980000000075,129.17140000000222,132.63710000000148,132.86990000000225,143.00430000000074,143.204,229.81040000000223,229.92790000000224,231.247,231.44330000000073,232.42770000000297,232.62740000000224,303.0821000000015,318.38440000000224,360.71920000000296,360.9191000000015,365.03680000000077,366.01920000000297,366.186,366.436,367.51890000000225,373.5534000000022,373.7199000000022,374.1695,515.664200000003,516.112700000003,516.2641000000015,516.3808000000007,516.5464000000022,516.9479000000023,517.246,544.5655,544.6989000000023,544.7829000000022,544.982200000003,545.2826000000015,545.7151000000015,601.0854000000022,603.9029000000022,605.0696000000015,605.3358000000007,614.521200000003,614.671,614.871,620.170700000003,620.521,620.9374000000022,655.6242000000029,655.8559000000022,656.2895,656.422700000003,656.5393000000007,656.973200000003,683.257700000003,683.4245,683.641200000003,684.058,691.7428000000008,738.4619000000023,739.961700000003,740.8452000000029,741.062,741.6955,742.5634000000023,743.6465,744.6623000000008,744.9788000000008,745.2297000000029,745.7129000000023,746.8455,747.3956000000015,747.8955,749.4305,753.181,753.414200000003,755.0973000000007,762.7838000000007,763.198700000003,766.0144000000022,768.1306000000014,769.2481000000015,770.6473000000008,783.531700000003,784.982,785.5993000000008,1011.2869000000022,1011.314,1011.3478000000007,1011.381200000003,1011.3975,1011.4308000000008,1011.4808000000007,1011.548,1011.6973000000007,1011.7308000000007,1011.764,1011.8305,1011.8809000000023,1013.1339000000022,1013.1473000000008,1013.1648000000007,1013.1809000000022,1013.1978000000007,1013.2141000000015,1013.2311000000014,1013.2476000000015,1013.2643000000007,1013.2974000000022,1013.3301000000015,1013.3633000000008,1013.3808000000007,1013.397200000003,1013.415200000003,1013.4475,1013.4651000000015,1013.497700000003,1013.5141000000015,1020.564700000003,1020.5807000000029,1020.5985,1020.6155,1020.6318000000008,1020.6489000000022,1020.682200000003,1020.698,1020.7304000000022,1020.749,1020.764200000003,1020.7823000000008,1020.7989000000023,1020.8146000000015,1020.8336000000015,1020.848,1020.8645,1020.8813000000007,1020.9155,1020.9313000000008,1020.9646000000015,1020.9813000000007,1021.0154000000023,1021.0476000000015,1021.098,1021.1646000000015,1025.6484000000023,1025.6651000000015,1025.6994000000022,1025.7313000000008,1025.748,1025.781700000003,1025.7986000000014,1025.8159000000023,1025.8493000000008,1025.8672000000029,1025.8816000000015,1025.9149000000023,1025.9315,1025.9648000000007,1025.9996000000015,1026.0313000000008,1026.0828000000008,1026.1326000000015,1026.3986000000016,1026.415,1026.4513000000009,1026.465200000003,1026.4825,1026.5168000000008,1026.5484000000022,1026.5814000000023,1026.5989000000022,1026.6311000000014,1026.6654000000021,1026.699,1026.7163000000007,1026.7486000000015,1026.782,1026.85,1026.9153000000008,1032.5153000000007,1032.5488000000007,1032.582","-228534.0842,0.5144000000022402,0.9997999999970162,1.3383000000007428,3.9309000000022394,17.46689999999851,0.1664999999999992,1.3163999999985094,30.81790000000224,0.10209999999776187,0.14870000000297523,0.43479999999702557,0.18200000000000216,0.46670000000297307,23.769099999997763,1.2495000000000118,0.3516000000014685,3.4656999999992593,0.23280000000076484,10.134399999998493,0.19969999999926813,86.60640000000222,0.11750000000000682,1.3190999999977748,0.19630000000071846,0.984400000002239,0.19969999999926813,70.45469999999926,15.302300000000741,42.33480000000071,0.1998999999985358,4.1176999999992745,0.9824000000022011,0.16679999999701067,0.25,1.0829000000022688,6.03449999999998,0.166499999999985,0.4495999999978153,141.49470000000298,0.44849999999996726,0.15139999999848897,0.1166999999992413,0.1656000000015183,0.4015000000000555,0.298099999997703,27.319500000000062,0.13340000000221153,0.08399999999994634,0.19930000000078962,0.3003999999984899,0.43250000000000455,55.370300000000725,2.8174999999999955,1.1666999999993095,0.2661999999992304,9.185400000002232,0.1497999999970716,0.1999999999999318,5.299700000002986,0.3502999999969916,0.416400000002227,34.686800000000744,0.2316999999992504,0.43359999999779575,0.13320000000305754,0.11659999999767479,0.4339000000022679,26.28449999999998,0.16679999999701067,0.2167000000030157,0.4167999999970107,7.684800000000791,46.719100000001504,1.4998000000007323,0.8834999999999127,0.21679999999707888,0.6335000000000264,0.867900000002237,1.0830999999976711,1.0158000000008087,0.3165000000000191,0.2509000000021615,0.4831999999993286,1.1325999999977512,0.550100000001521,0.4998999999984335,1.5350000000000819,3.750499999999988,0.2332000000029666,1.6830999999976939,7.686500000000024,0.41490000000226246,2.8156999999991967,2.116199999999253,1.1175000000000637,1.3991999999992686,12.884400000002188,1.4502999999970143,0.617300000000796,225.68760000000145,0.027099999997744817,0.03380000000072414,0.03340000000230248,0.016299999997045234,0.03330000000073596,0.049999999999954525,0.06719999999927495,0.1493000000007214,0.03350000000000364,0.033199999999283136,0.0665000000000191,0.05040000000224154,1.252999999999929,0.013399999998569001,0.01749999999992724,0.016100000001529224,0.016899999998486237,0.0163000000007969,0.016999999999939064,0.016500000000064574,0.016699999999218562,0.03310000000146829,0.03269999999929496,0.033199999999283136,0.01749999999992724,0.016400000002249726,0.018000000000029104,0.032299999997007944,0.017600000001493754,0.03260000000148011,0.01639999999849806,7.050600000001509,0.01599999999996271,0.017799999997009763,0.01700000000005275,0.0163000000007969,0.01710000000139189,0.03330000000084965,0.01579999999694337,0.03240000000221244,0.01859999999783213,0.015200000003005698,0.018099999997730265,0.0166000000015174,0.01569999999924221,0.019000000000005457,0.014399999998431667,0.016500000000064574,0.01680000000067139,0.03419999999925949,0.015800000000808723,0.03330000000073596,0.016699999999218562,0.03410000000155833,0.032199999999193096,0.050399999998489875,0.06660000000158561,4.48380000000077,0.016699999999218562,0.034300000000712316,0.03189999999858628,0.016699999999218562,0.03370000000290929,0.016899999998486237,0.01730000000088694,0.033399999998437124,0.01790000000210057,0.014399999998659041,0.03330000000073596,0.01659999999765205,0.03330000000073596,0.03480000000081418,0.03169999999931861,0.05150000000003274,0.04980000000068685,0.2660000000000764,0.016399999998384374,0.036300000000892396,0.013900000002195156,0.017299999997021587,0.034300000000712316,0.03160000000139007,0.03300000000012915,0.01749999999992724,0.032199999999193096,0.034300000000712316,0.03359999999793217,0.017300000000659566,0.03230000000075961,0.033399999998437124,0.06799999999998363,0.06530000000088876,5.599999999999909,0.03350000000000364,0.03319999999939682","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,41,42,43,44,45,46,47,48,49,51,52,53,54,55,56,57,58,59,60,61,62,63,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100","(p1)(p2)(p3)(p4),(p1)(p2)(p3)(p4),(p2)(p3)(p4)(p5),(p2)(p3)(p4)(p5),(p2)(p3)(p4)(p5),(p2)(p3)(p4)(p5)(p6),(p3)(p4)(p5)(p6),(p3)(p4)(p5)(p6)(h1),(p3)(p4)(p5)(p6)(h1),(p3)(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1)(p7),(p4)(p5)(p6)(h1)(p7),(p4)(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7)(p8),(p5)(p6)(h1)(p7)(p8),(p5)(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8)(p9),(p6)(h1)(p7)(p8)(p9),(h1)(p7)(p8)(p9),(h1)(p7)(p8)(p9),(p7)(p8)(p9)(p10),(p7)(p8)(p9)(p10),(p7)(p8)(p9)(p10),(p8)(p9)(p10)(h2),(p8)(p9)(p10)(h2),(p8)(p9)(p10)(h2),(p8)(p9)(p10)(h2)(p11),(p9)(p10)(h2)(p11),(p9)(p10)(h2)(p11),(p9)(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11)(p12),(p10)(h2)(p11)(p12),(p10)(h2)(p11)(p12),(h2)(p11)(p12),(h2)(p11)(p12)(h3),(h2)(p11)(p12)(h3),(p11)(p12)(h3),(p11)(p12)(h3)(p13),(p11)(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13)(p14),(p12)(h3)(p13)(p14),(p12)(h3)(p13)(p14),(p12)(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14)(p15),(h3)(p13)(p14)(p15),(h3)(p13)(p14)(p15),(p13)(p14)(p15)(h4),(p13)(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p14)(p15)(h4)(p16),(p14)(p15)(h4)(p16),(p14)(p15)(h4)(p16),(p14)(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17)(p18),(p15)(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18)(p19),(h4)(p16)(p17)(p18)(p19),(h4)(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19)(p20),(p16)(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(h5),(p17)(p18)(p19)(p20)(h5),(p17)(p18)(p19)(p20)(h5)(p21),(p17)(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21)(p22),(p18)(p19)(p20)(h5)(p21)(p22),(p19)(p20)(h5)(p21)(p22),(p19)(p20)(h5)(p21)(p22),(p19)(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22)(p23),(p20)(h5)(p21)(p22)(p23),(p20)(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23)(p24),(p21)(p22)(p23)(p24),(p21)(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24)(p25),(p22)(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","19,34,45,59,73","0,4,8,11,14,16,20,24,27,30,35,40,46,50,54,60,62,66,67,71,74,77,80,84,87,91,96","intimtae,ainmal,aniamls,tarvel,aoviding,platns,mkaes,palnt,ersoion,mlilions,spceies,according,realtionships,unbale,loisng,carries,macrhing,higehr,rainflal,estimtae,climtae,bidrs,bidrs,elsehwere.,tolearte,lmiit,braek,whree,feewr,ntaive,itnroduced,ofetn,tehir,sepcies,cuold,pertty,balls,alawys,hrams","45,80,61,49,24,20,34,15,15,21,44,53,20,53,33,52,78,26,95,39,47,29,70,63,13,57,15,33,28,42,12,37,12,40,54,12,87,22,15","2,1,2,1,2,2,2,1,1,2,1,2,1,2,2,1,2,0,1,1,2,1,1,1,1,2,2","2,1,0,1,2,1,0,0,1,1,1,1,1,2,1,1,0,0,1,0,0,1,1,0,0,0,2","intimtae,ainmal,aniamls,platns,palnt,mkaes,ersoion,unbale,loisng,macrhing,rainflal,estimtae,bidrs,climtae,bidrs,tolearte,whree,ofetn,tehir,hrams,alawys","p1,p1,p2,p4,p5,p5,p6,p9,p10,p11,p12,p13,p14,p14,p15,p16,p19,p22,p23,p27,p27","39.63830000000075,51.45510000000149,69.14030000000075,101.47,123.46190000000223,131.75190000000222,139.41990000000223,359.28670000000295,363.4428000000008,512.2964000000022,542.5907000000029,586.7591000000015,607.877,613.5618000000007,653.8159000000022,678.5979000000023,732.136700000003,752.0028000000008,759.187700000003,881.7188000000008,883.567700000003","savanna.","p1","18.029100000001492","heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","1139353","0.0-5.0","","","7313.199999999255","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","614138f0dcf847646058fc55_1649862575730","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","1145530","0.0-6.0","","","6174.60000000149","While reading the article, how carefully did you pay attention?","","614138f0dcf847646058fc55_1649862575730","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","heading","99","","","","","","","","","",""
"","html-slider-response","7","1150271","0.0-7.0","","","4739","How well do you feel you understood the key points of the article?","","614138f0dcf847646058fc55_1649862575730","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","heading","78","","","","","","","","","",""
"","html-slider-response","8","1155772","0.0-8.0","","","5498.5","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","614138f0dcf847646058fc55_1649862575730","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","heading","18","","","","","","","","","",""
"","html-slider-response","9","1161047","0.0-9.0","","","5273.300000000745","How interesting did you find the topic of this article after the first few paragraphs?","","614138f0dcf847646058fc55_1649862575730","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","heading","18","","","","","","","","","",""
