"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","19689","0.0-0.0","1366","768","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","23350","0.0-1.0","1366","768","3653.399999976158","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5df0932af9a01d0dabd9313d_1650912541999","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","42837","0.0-2.0","","","19477.100000023842","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5df0932af9a01d0dabd9313d_1650912541999","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","86020","0.0-3.0","","","43180.700000047684","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5df0932af9a01d0dabd9313d_1650912541999","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","515949","0.0-4.0","","","429876.2000000477","","","5df0932af9a01d0dabd9313d_1650912541999","test_trial","","","768","338416.2000000477","100","0","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","19.348800000071524,22.93290000009537,24.331900000095366,33.748300000071524,40.0155,50.91410000002384,51.1315,54.94720000004769,55.01460000002384,70.47990000009537,70.54640000009536,70.62990000009536,79.26260000002384,79.32920000004768,79.44620000004768,86.6125,90.26220000004768,90.41220000004769,90.49590000009536,91.4455,91.5125,110.7615,110.81120000004768,110.861,110.91190000009537,122.61170000004769,122.69470000004769,122.762,137.127,137.21090000009536,138.04340000009537,138.14440000009537,138.75980000007152,139.27730000007153,150.6595,150.726,150.80990000009535,151.79280000007154,167.45880000007153,167.52530000007152,167.59210000002383,168.69220000004768,169.6927000000477,169.80960000002383,170.5427000000477,192.02440000009537,192.0745,192.108,192.1577000000477,192.80740000009536,192.94190000009536,196.2747000000477,215.224,215.25720000004767,215.30740000009536,215.3407000000477,231.15660000002384,231.22310000002383,231.29,231.40710000002383,232.00690000009536,253.8047000000477,253.87120000004768,253.93840000009536,254.3887000000477,254.52260000002383,256.42110000002384,265.0877000000477,283.7869000000954,283.95410000002386,284.62060000002384,284.7043000000715,285.37080000007154,287.903,288.0036000000238,288.7369000000954,300.2029000000954,300.35290000009536,314.6019000000954,314.66910000002383,315.8859000000954,315.9692000000477,316.07,324.1848000000715,324.31910000002387,336.652,336.7514000000954,336.81890000009537,338.7008000000715,362.0007000000477,362.08390000009535,362.15090000009536,373.2994000000954,373.36580000007154,373.43290000009534,374.14910000002385,374.7991000000238,382.83260000002383,383.1986000000238,386.8653000000715,542.9611000000239,542.9784000000953,542.9941000000239,543.0107000000477,543.0274000000953,543.0439000000954,543.061,543.0755,543.0922000000477,543.109,543.1255,543.1423000000715,543.1604000000954,543.1769000000953,543.1933000000715,590.2079000000954,590.2237000000476,590.2394000000953,590.2571000000238,590.2737000000477,590.2894000000954,590.3059000000953,590.3227000000477,590.3392000000476,590.3558000000716,590.3727000000476,590.3895,590.4063000000715,590.4229000000954,590.4399000000953,601.9084000000954,601.9408000000715,601.9564000000954,601.9721000000238,601.9898000000716,602.0055,602.0231000000239,602.0388000000715,602.0721000000239","-91440.65119999993,3.584100000023845,1.3989999999999974,9.416399999976157,6.267199999928479,10.89860000002384,0.2173999999761591,3.815700000047684,0.06739999997615342,15.46530000007153,0.06649999999999068,0.0835000000000008,8.632699999928477,0.06660000002383981,0.11700000000000443,7.166299999952315,3.6497000000476874,0.15000000000000568,0.08370000004767064,0.9495999999046347,0.06700000000000728,19.248999999999995,0.04970000004767883,0.04979999995232731,0.05090000009536766,11.699799999952319,0.08299999999999841,0.0672999999523114,14.365000000000009,0.0839000000953547,0.8325000000000102,0.10099999999999909,0.6153999999761481,0.5175000000000125,11.382199999928474,0.06649999999999068,0.0839000000953547,0.9828999999761834,15.665999999999997,0.06649999999999068,0.06679999995230901,1.1001000000238434,1.0005000000000166,0.11689999997614109,0.7331000000238532,21.48170000004768,0.05009999990463143,0.03350000000000364,0.04970000004769304,0.6497000000476589,0.13450000000000273,3.3327999999523286,18.949299999952302,0.03320000004768531,0.050200000047681215,0.03329999995233379,15.815899999976153,0.06649999999999068,0.06689999997615814,0.11710000002383936,0.5998000000715251,21.797799999952332,0.06649999999999068,0.06720000004767712,0.4502999999523354,0.133899999976137,1.8985000000000127,8.666600000023834,18.69920000004771,0.1671999999284708,0.666499999999985,0.08370000004765643,0.6665000000000418,2.53219999992848,0.1006000000238032,0.7333000000715515,11.466000000000008,0.14999999999997726,14.249000000000024,0.06719999992844805,1.2168000000715438,0.08329999995231674,0.10079999995230082,8.114800000071511,0.1342999999523613,12.33289999997612,0.09940000009538608,0.06749999999999545,1.8818999999761559,23.299899999976162,0.08320000004766825,0.06700000000000728,11.148500000000013,0.06639999997616997,0.06710000002379957,0.7161999999285058,0.6499999999999773,8.033500000000004,0.36599999999998545,3.6667000000476833,156.09579999995236,0.017300000071486465,0.015699999928528996,0.01660000002380002,0.016700000047649155,0.016500000000064574,0.017099999904644392,0.014499999999998181,0.016700000047649155,0.016799999952354483,0.016499999999950887,0.01680000007149829,0.018100000023878238,0.016499999999950887,0.01639999997621544,47.01460000002385,0.015799999952264443,0.015700000047672802,0.017699999928481702,0.016600000023913708,0.015700000047672802,0.016499999999950887,0.016799999952354483,0.016499999999950887,0.016600000023913708,0.01689999997608993,0.016799999952354483,0.01680000007149829,0.016600000023913708,0.016999999999939064,11.468500000000063,0.032399999976064464,0.015600000023937355,0.01569999992841531,0.017700000047739195,0.01569999992841531,0.01760000002389006,0.015700000047672802,0.03329999995230537","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,1,2,4,7,11,16,22,27,32,37,41,44,46,48,49,50,52,54,58,62,66,70,74,78,81,84,85,87,88,89,90,91,93,95,96,98,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p6)(h1)(p7),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(h1)(p7)(p8),(h1)(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(h2)(p11),(h2)(p11),(h2)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12)(h3),(p12)(h3),(p12)(h3),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(h3)(p13),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p14)(p15),(p14)(p15)(h4),(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(h4)(p16)(p17),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21),(p19)(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","20,35,46,60,74","0,4,8,11,15,17,21,25,27,31,36,41,47,52,55,61,63,67,68,72,75,77,80,84,87,91,96","imrpessive,htich,traevl,phneomenon,levaing,wolrd.,spceies,bodns,bewteen,howilng,brids,tehir,wyas.,centureis,bidrs,moevd,moutnain,researcehrs,chanigng,capbale,etxinction,mammohts,dangeorus,grwoth,whree,lrage,bieng,cnaopy,colud,intrdouced,arriavls,brids,soemtimes,tyipcally,sohws,wloves,wloves’,bewteen","75,57,49,65,37,16,16,29,30,19,13,22,12,47,16,48,105,38,30,42,35,55,24,59,33,23,14,25,35,12,22,26,23,32,13,26,59,35","1,1,2,2,1,2,2,2,1,1,1,1,2,2,1,1,1,0,2,2,2,1,1,2,1,2,1","1,1,2,2,1,1,1,2,1,1,1,0,1,2,1,1,1,0,1,2,1,1,1,2,1,1,1","imrpessive,htich,traevl,phneomenon,wolrd.,levaing,spceies,bodns,howilng,wyas.,tehir,centureis,bidrs,moevd,chanigng,etxinction,capbale,mammohts,dangeorus,grwoth,lrage,bieng,cnaopy,intrdouced,arriavls,brids,soemtimes,tyipcally,sohws,wloves,bewteen","p1,p2,p3,p3,p4,p4,p5,p6,p7,p8,p8,p9,p10,p11,p13,p14,p14,p15,p16,p17,p19,p20,p20,p21,p22,p23,p24,p24,p25,p26,p27","20.852900000095367,35.59360000002384,49.805600000023844,53.84410000002384,60.96230000007152,65.75330000007152,75.07120000004768,88.45260000002384,99.11510000002384,114.96030000007153,119.80990000009537,134.90280000007152,143.46980000007153,163.13540000009536,204.5325,226.48860000002384,228.778,247.03220000004768,263.229,282.32780000007153,294.6265,311.1368000000715,313.4169000000954,320.8618000000715,332.23,348.92580000007155,370.2681000000238,371.7554000000954,379.5335,398.6965,427.36830000007154","","","","heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","531004","0.0-5.0","","","15048.899999976158","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5df0932af9a01d0dabd9313d_1650912541999","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","537453","0.0-6.0","","","6445.299999952316","While reading the article, how carefully did you pay attention?","","5df0932af9a01d0dabd9313d_1650912541999","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","heading","92","","","","","","","","","",""
"","html-slider-response","7","541288","0.0-7.0","","","3833.6999999284744","How well do you feel you understood the key points of the article?","","5df0932af9a01d0dabd9313d_1650912541999","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","heading","79","","","","","","","","","",""
"","html-slider-response","8","546660","0.0-8.0","","","5370.600000023842","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5df0932af9a01d0dabd9313d_1650912541999","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","heading","32","","","","","","","","","",""
"","html-slider-response","9","550671","0.0-9.0","","","4009.9000000953674","How interesting did you find the topic of this article after the first few paragraphs?","","5df0932af9a01d0dabd9313d_1650912541999","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","heading","37","","","","","","","","","",""
