"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","12681","0.0-0.0","1920","1080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","43218","0.0-1.0","1920","1080","30533.89999999106","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","5f8cbc5c355ea745e6cef2ca_1650912600377","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","52404","0.0-2.0","","","9184.29999999702","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","5f8cbc5c355ea745e6cef2ca_1650912600377","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","96246","0.0-3.0","","","43842.30000001192","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","5f8cbc5c355ea745e6cef2ca_1650912600377","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","1054537","0.0-4.0","","","958285","","","5f8cbc5c355ea745e6cef2ca_1650912600377","test_trial","","","1080","857620.799999997","142","21","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,up,up,down,down,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,up,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","88.889,88.95569999998808,89.00559999999403,89.07289999999107,89.18889999999107,89.4555,89.52229999999702,89.7555,90.17219999998808,175.80439999999106,175.87059999999403,176.0535,176.11989999999105,176.13729999999703,176.17059999999404,176.204,176.65309999999403,215.6856999999881,215.76909999999404,215.869,216.002299999997,216.60239999999106,216.719,216.78559999999405,218.11959999999405,218.26889999999105,218.40219999998808,218.60229999999703,218.93559999999405,267.4676999999881,267.53489999999107,267.6176999999881,268.4675,268.55069999998807,268.984299999997,269.03419999998806,269.08429999999703,269.134099999994,269.20089999999107,269.284299999997,269.71759999999404,269.83429999999703,270.78409999999405,271.2681999999881,271.9175,283.4171999999881,283.46719999998805,283.50059999999405,283.53459999999404,283.58379999999704,283.78379999999703,283.8345,283.86789999999104,284.21719999998805,284.58389999999105,285.517799999997,285.651099999994,287.781799999997,320.5496999999881,320.6495,322.18279999999703,322.6668999999911,325.800099999994,326.44939999999104,351.69889999999106,351.8153999999911,352.948799999997,353.09869999998807,353.21539999999106,353.2826999999881,353.3493999999911,385.98119999998806,386.0311999999881,386.0811999999881,386.4478999999911,386.5145,386.59789999999106,388.50309999999405,473.8956999999881,473.9461999999881,473.9788999999911,474.02879999999703,474.0955,474.36239999999106,474.39559999999403,474.429599999994,474.46209999999405,474.4788999999911,474.962299999997,475.07889999999105,475.19559999999404,559.46,559.509899999991,559.5266999999881,559.560099999994,559.6266999999881,559.893199999988,559.993299999997,560.093299999997,560.426699999988,627.691699999988,627.7588999999911,627.8081999999881,627.908799999997,627.992299999997,628.0581999999881,628.124899999991,628.7088999999911,711.1061999999881,711.156,711.1893999999911,711.206,711.222799999997,711.256,711.2895,711.973299999997,712.2393999999911,713.8733999999911,798.053899999991,798.120399999991,798.153799999997,798.170299999997,798.2036999999881,798.237099999994,798.253699999988,798.287,798.353799999997,799.1705,799.803899999991,847.2026999999881,847.2691999999881,847.3191999999881,847.369299999997,847.419799999997,847.7865,847.8531999999881,847.9025,850.352399999991,850.802399999991,852.335699999988,876.169399999991,876.285099999994,1387.0361999999882,1387.0381999999881,1387.055,1387.0723999999911,1387.088299999997,1387.1051999999881,1387.1225,1387.1382999999971,1387.155099999994,1387.1725,1387.188299999997,1387.205099999994,1387.221799999997,1387.238399999991,1387.255099999994,1387.2725,1387.288299999997,1387.3216999999881,1388.839,1388.855,1388.872299999997,1388.888399999991,1388.905099999994,1388.921699999988,1388.938299999997,1388.955,1388.971699999988,1388.988399999991,1389.005099999994,1389.022,1389.0388999999911,1393.854399999991,1393.871599999994,1393.888199999988,1393.9048999999911,1393.921599999994,1393.938199999988,1393.954899999991,1393.971599999994,1394.004899999991,1403.448199999988,1405.0046999999881,1405.021299999997,1405.038,1405.054599999994,1405.071199999988,1405.0878999999911,1405.104799999997,1405.1213999999911,1405.138,1405.154699999988,1405.1711999999882,1405.187899999991,1405.2046999999882,1405.221299999997,1405.688599999994,1405.705199999988,1405.721299999997,1405.737899999991,1405.754599999994,1405.771299999997,1405.7878999999912,1405.805299999997,1405.821899999991,1405.8385,1416.354299999997","-100575.31100000298,0.06669999998808862,0.049900000005948186,0.06729999999703296,0.11599999999999966,0.26660000000893547,0.06679999999701636,0.2332000000029808,0.41669999998808294,85.63220000000298,0.066200000002965,0.18290000000598639,0.06639999999103452,0.017400000005977745,0.03329999999701272,0.03340000000596888,0.4490999999940186,39.03259999999406,0.08340000000595182,0.09990000000595955,0.13329999999700703,0.6000999999940575,0.11660000000892978,0.06659999999405386,1.3340000000000032,0.14929999999699817,0.13329999999703546,0.2001000000089448,0.3332999999970241,48.532099999994045,0.06720000000296977,0.08279999999700749,0.8498000000118964,0.08319999998809635,0.43360000000893706,0.04989999999105521,0.05010000000896753,0.04979999999699203,0.06679999999704478,0.08340000000595182,0.4332999999970184,0.11670000000299297,0.9497999999970261,0.48409999999404363,0.6493000000119196,11.499699999988081,0.049999999999954525,0.0334000000059973,0.033999999999991815,0.04920000000299751,0.19999999999998863,0.05070000000296204,0.03339999999104748,0.3492999999970152,0.36670000000299297,0.9339000000059627,0.13329999999700703,2.130700000003003,32.76789999999107,0.09980000001189637,1.5332999999970411,0.48409999999404363,3.133200000002944,0.6492999999970266,25.249500000000012,0.11650000000003047,1.1334000000059063,0.14989999999107795,0.11670000000299297,0.06729999999703296,0.0667000000029816,32.631799999996986,0.05000000000001137,0.05000000000001137,0.36670000000299297,0.06660000000891841,0.08339999999105885,1.905200000002992,85.39259999999405,0.050499999999999545,0.03270000000298978,0.049900000005948186,0.0667000000029816,0.26689999999103975,0.03320000000297796,0.033999999999991815,0.032500000000027285,0.01679999999703341,0.4834000000059291,0.11659999999403681,0.11670000000299297,84.26440000000599,0.04989999999099837,0.01679999999703341,0.033400000005940456,0.06659999999408228,0.2664999999999509,0.1001000000089789,0.10000000000002274,0.333399999991002,67.26499999999999,0.06720000000302662,0.049299999997060695,0.10060000000885339,0.08350000000007185,0.06589999999107476,0.06670000000292475,0.58400000000006,82.39729999999702,0.04980000001182816,0.03339999999116117,0.016600000008907045,0.01679999999703341,0.033200000002921115,0.03350000000000364,0.6837999999970634,0.2660999999940259,1.6340000000000146,84.18049999999994,0.0665000000000191,0.033400000005940456,0.016500000000064574,0.03339999999104748,0.033400000005940456,0.01659999999401407,0.03330000001199096,0.06679999999698794,0.8167000000029248,0.6333999999910702,47.398799999997095,0.0665000000000191,0.049999999999954525,0.05010000000891068,0.05050000000005639,0.36670000000299297,0.06669999998803178,0.04930000001195367,2.4498999999909756,0.4500000000000455,1.5332999999969843,23.833700000002978,0.11570000000301661,510.75109999999415,0.0019999999999527063,0.016800000011926386,0.01739999999108477,0.01590000000578584,0.01689999999121028,0.017300000011800876,0.015799999997170744,0.016799999996919723,0.017400000005864058,0.015799999997170744,0.016799999996919723,0.016700000003083915,0.01659999999401407,0.01670000000285654,0.01740000000609143,0.01579999999694337,0.03339999999116117,1.5173000000118009,0.016000000000076398,0.017299999997021587,0.016099999993912206,0.016700000003083915,0.01659999999401407,0.016600000009020732,0.01670000000285654,0.016699999988077252,0.016700000003083915,0.01670000000285654,0.01690000000598957,0.01689999999121028,4.815499999999929,0.017200000002958404,0.01659999999401407,0.016700000003083915,0.01670000000285654,0.01659999999401407,0.016700000003083915,0.01670000000285654,0.033299999997097984,9.443299999996952,1.5565000000001419,0.01660000000879336,0.016700000003083915,0.01659999999401407,0.01659999999401407,0.016700000003083915,0.01690000000598957,0.01659999999401407,0.01660000000879336,0.016699999988077252,0.01650000000017826,0.01670000000285654,0.016799999997147097,0.01660000000879336,0.46729999999706706,0.01659999999401407,0.01610000000891887,0.01659999999401407,0.016700000003083915,0.01670000000285654,0.016599999994241443,0.017400000005864058,0.01659999999401407,0.016600000009020732,10.515799999996943","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,20,19,18,19,20,21,22,23,24,25,26,25,24,23,22,21,20,19,18,17,16,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,28,29,30,29,28,29,30,29,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,89,90,91,92,93,94,95,96,97,98,97,98,99,100,0,1,2,4,7,10,13,17,21,26,31,36,41,45,48,51,53,54,55,56,58,60,63,66,70,74,78,82,85,87,89,90,91,92,93,95,96,98,99,100,0,1,2,4,7,12,19,28,38,50,61,71,78,81,83,84,85,86,89,91,93,95,97,98,99,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3),(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8)(p5),(p6)(p7)(p8)(p5),(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9),(p8)(p9)(p7),(p8)(p9)(p7),(p8)(p9)(p7),(p8)(p7),(p8)(p7)(p6),(p8)(p7)(p6),(p8)(p7)(p6)(p5),(p7)(p6)(p5),(p7)(p6)(p5),(p7)(p6)(p5),(p7)(p6)(p5),(p7)(p6)(p5),(p7)(p6)(p5),(p7)(p6)(p5)(p8),(p7)(p6)(p8),(p7)(p6)(p8),(p7)(p6)(p8),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p9)(p10),(p9)(p10)(p8),(p9)(p10)(p8),(p9)(p10)(p8),(p9)(p10),(p9)(p10)(p8),(p9)(p10)(p8),(p9)(p10)(p8),(p9)(p10),(p9)(p10)(p11),(p9)(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p13)(p14)(p15),(p14)(p15),(p14)(p15),(p14)(p15)(p16),(p14)(p15)(p16),(p15)(p16),(p15)(p16),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17),(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p17)(p18)(p19),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p18)(p19)(p20),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22),(p20)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","","0,5,8,12,16,18,21,25,28,32,36,41,47,51,55,60,62,67,68,71,74,76,79,84,87,91,96","maruals,animlas,arriivng,sperad,clmiate,laeving,sutdy,witehr,chnage,,bewteen,spceies,fweer,fruit-olving,srpead,modeilng,,sedes,buttrefly,less,,whree,porduce,spreadnig,acocrding,auhtors,praticular,cycel,,capbale,reesarch,wtihout,rceovering,spceies,wer’e,creautres,enviromnent,evovle,seesd,,ecosytsem,siad.,wrories,aobut,mnaed,naerby,plnats","30,22,63,29,35,37,31,17,32,30,31,17,30,55,16,59,16,35,15,60,49,57,18,15,25,78,49,9,15,29,20,18,42,54,13,11,16,41,42,25,78,37","1,2,2,2,2,2,1,1,2,1,2,2,1,1,1,2,2,0,2,2,1,1,2,2,2,2,1","0,2,2,2,2,2,1,1,2,1,1,2,1,1,1,1,2,0,2,2,1,1,2,2,2,2,1","animlas,arriivng,sperad,clmiate,sutdy,laeving,witehr,chnage,,spceies,bewteen,fweer,fruit-olving,modeilng,,srpead,sedes,buttrefly,porduce,whree,spreadnig,acocrding,auhtors,cycel,,reesarch,capbale,rceovering,wtihout,wer’e,spceies,creautres,enviromnent,seesd,,evovle,ecosytsem,siad.,wrories,aobut,mnaed,naerby,plnats","p2,p2,p3,p3,p4,p4,p5,p5,p6,p6,p7,p8,p9,p9,p10,p11,p12,p12,p13,p14,p15,p16,p17,p17,p19,p19,p20,p20,p21,p22,p23,p23,p24,p24,p25,p25,p26,p26,p27","51.69239999999106,67.64359999999404,111.64329999999703,113.86959999999404,135.49019999998808,136.7781999999881,156.00959999999404,161.60959999999403,194.26259999999405,213.159,226.158,302.120799999997,329.873799999997,347.9785,368.74809999999405,406.65459999999405,444.4553999999911,467.66739999999106,512.202399999991,535.5971999999881,574.270399999991,624.1625,648.2865,658.141299999997,673.0903999999911,687.432399999991,730.763099999994,734.2172999999971,743.8220999999941,779.653,809.304,827.3193999999911,836.467399999991,838.2421999999881,867.398,868.0551999999881,900.574299999997,923.7755,938.4435","","","","no_heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","1074763","0.0-5.0","","","20222.90000000596","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","5f8cbc5c355ea745e6cef2ca_1650912600377","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","1077673","0.0-6.0","","","2909.800000011921","While reading the article, how carefully did you pay attention?","","5f8cbc5c355ea745e6cef2ca_1650912600377","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","no_heading","100","","","","","","","","","",""
"","html-slider-response","7","1081274","0.0-7.0","","","3599.8999999910593","How well do you feel you understood the key points of the article?","","5f8cbc5c355ea745e6cef2ca_1650912600377","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","no_heading","83","","","","","","","","","",""
"","html-slider-response","8","1088035","0.0-8.0","","","6759.70000000298","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","5f8cbc5c355ea745e6cef2ca_1650912600377","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","no_heading","100","","","","","","","","","",""
"","html-slider-response","9","1091096","0.0-9.0","","","3059.9000000059605","How interesting did you find the topic of this article after the first few paragraphs?","","5f8cbc5c355ea745e6cef2ca_1650912600377","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","no_heading","100","","","","","","","","","",""
