"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","9867","0.0-0.0","1440","900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","13081","0.0-1.0","1440","900","3210.400000035763","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","60fcc830872e6203086fa1a6_1650912547360","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","23483","0.0-2.0","","","10396.5","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","60fcc830872e6203086fa1a6_1650912547360","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","63935","0.0-3.0","","","40449.19999998808","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","60fcc830872e6203086fa1a6_1650912547360","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","388526","0.0-4.0","","","324565.2000000477","","","60fcc830872e6203086fa1a6_1650912547360","test_trial","","","900","248280.40000009537","104","2","down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down","16.462200000047684,17.245600000023842,41.515200000047685,42.16360000002384,48.01380000001192,49.01380000001192,52.31280000001192,54.94840000003576,56.36420000004768,58.466,66.44990000003577,67.39780000001193,73.8155,75.01660000002384,83.635,83.88370000004768,84.132,86.09930000001192,86.88170000004769,91.98370000004769,92.65190000003577,99.367,99.86620000004768,115.28590000003577,115.50240000003576,115.71880000001192,126.122,127.2025,127.50380000001192,127.70320000004769,130.53610000002385,130.88660000002383,131.136,132.503,134.25330000001193,135.2875,138.1533000000119,140.00260000002385,140.12130000001193,145.61960000002384,146.81990000003577,149.5547000000477,150.32130000001192,153.6535,154.17030000001193,157.92190000003578,158.406,164.45670000004768,165.75620000004767,168.05620000004768,168.88980000001192,172.78980000001192,174.07260000002384,176.8887000000477,178.25570000004768,181.306,182.25720000004767,183.47510000002384,189.3572000000477,190.30730000001194,194.44120000004767,194.97490000003577,210.71080000001191,211.05790000003577,211.20860000002384,211.47490000003577,212.10990000003576,227.8947000000477,228.12540000003577,228.39410000002385,228.59270000004767,228.82590000003577,229.0592000000477,229.459,231.47570000004768,232.95930000001192,233.72690000003576,234.12820000004768,235.76090000003578,236.02660000002385,236.44230000001193,244.16060000002383,244.69390000003577,245.21290000003577,248.32730000001192,248.71120000004768,248.94470000004767,252.02980000001193,252.79570000004767,253.8455,261.87810000002384,271.8649000000358,275.6621000000238,276.5119000000358,281.7475,281.965,283.94660000002386,284.08080000001195,284.4977000000477,290.66390000003577,291.3468000000119,292.5164000000358,292.99710000002386,295.78030000001195,452.7915,452.8077000000477,452.8256000000238,452.84110000002386,452.86060000002385,452.87540000003577,452.89210000002385,452.90820000004766,452.92440000003575,452.9425,453.02460000002384,453.4237000000477,453.44160000002387,453.45790000003575,453.4743000000119,453.49190000003574,453.5083000000119,453.5252000000477,453.54110000002385,456.958,456.9747000000477,456.99180000001195,457.0075,457.0247000000477,457.04240000003574,457.06010000002385,457.07430000001193,457.0914000000358,457.109,457.142,465.17690000003574,465.19180000001194,465.2081000000238,465.22520000004766,465.242,465.2585,465.27630000001193,465.2925,465.3091000000238,465.32540000003576,465.3588000000119,465.4268000000119,470.3667000000477","-76268.33779995226,0.7833999999761581,24.269600000023843,0.6483999999761565,5.850199999988078,1,3.2989999999999995,2.6356000000238424,1.4158000000119202,2.10179999995232,7.983900000035767,0.9478999999761584,6.4176999999880735,1.2011000000238425,8.618399999976162,0.2487000000476769,0.248299999952323,1.9673000000119174,0.7824000000357643,5.102000000000004,0.6681999999880759,6.715099999964238,0.4992000000476793,15.419699999988083,0.21649999999999636,0.21639999997616144,10.403199999988075,1.0805000000000007,0.3013000000119206,0.19940000003576586,2.8328999999761635,0.3504999999999825,0.2493999999761627,1.3669999999999902,1.750300000011947,1.0341999999880613,2.865800000011916,1.8493000000119366,0.11869999998808112,5.498300000011909,1.2003000000119357,2.7348000000119157,0.7665999999642281,3.3321999999880916,0.5168000000119264,3.751600000023842,0.48409999996422926,6.050700000047669,1.2994999999999948,2.3000000000000114,0.8335999999642354,3.9000000000000057,1.2828000000119175,2.8161000000238516,1.3669999999999902,3.0502999999523297,0.9512000000476633,1.2178999999761686,5.882100000023854,0.9500999999642374,4.133900000035737,0.5336999999881016,15.73589999997614,0.34710000002385755,0.15069999998806338,0.2663000000119382,0.6349999999999909,15.784800000011927,0.2306999999880759,0.2686999999880868,0.1986000000238164,0.23319999998810204,0.23330000001192275,0.3997999999523074,2.0167000000476776,1.483599999964241,0.7676000000238332,0.4013000000119291,1.6326999999880911,0.2656999999880725,0.41569999998807816,7.718300000011908,0.5333000000119341,0.5190000000000055,3.1143999999761434,0.38390000003576574,0.23349999999999227,3.0850999999642568,0.7659000000357423,1.049799999952313,8.032600000023848,9.986800000011954,3.797199999988038,0.8498000000119532,5.235599999964222,0.21749999999997272,1.9816000000238887,0.13419999998808407,0.4169000000357528,6.166199999988066,0.6828999999761436,1.1696000000238769,0.4806999999880759,2.783199999988085,157.01119999998804,0.016200000047717822,0.017899999976123127,0.015500000000031378,0.019499999999993634,0.014800000011916836,0.016699999988077252,0.016100000023811845,0.016199999988089075,0.01809999996424949,0.08210000002384277,0.39910000002385004,0.01789999997617997,0.016300000011881366,0.016399999976158597,0.017600000023833218,0.016399999976158597,0.01690000003577552,0.01589999997617042,3.416899999976181,0.016700000047649155,0.017099999964273138,0.015699999988044055,0.017200000047694175,0.017699999988053605,0.01769999998811045,0.014199999988079526,0.01710000002384504,0.01759999996420447,0.03300000000001546,8.034900000035748,0.014899999976194067,0.016300000011881366,0.01710000002384504,0.016799999952354483,0.01650000000000773,0.01780000001190274,0.016199999988089075,0.01660000002380002,0.01630000001193821,0.033399999976154504,0.06799999999998363,4.939900000035777","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,34,35,36,37,38,39,40,41,42,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,2,5,9,13,17,20,22,23,24,25,26,28,32,37,41,44,46,48,49,50,52,55,56,60,62,64,65,66,67,68,70,72,76,79,84,86,88,89,90,91,92,93,100","(p1)(p2)(p3),(p1)(p2)(p3),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4),(p2)(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p3)(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6),(p4)(p5)(p6)(p7),(p4)(p5)(p6)(p7),(p4)(p5)(p6)(p7),(p5)(p6)(p7),(p5)(p6)(p7)(p8),(p5)(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8),(p6)(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p9)(p10)(p11),(p9)(p10)(p11),(p9)(p10)(p11),(p9)(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11),(p10)(p11)(p12),(p10)(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12),(p11)(p12)(p13),(p11)(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13),(p12)(p13)(p14),(p12)(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14),(p13)(p14)(p15),(p13)(p14)(p15),(p13)(p14)(p15),(p14)(p15),(p14)(p15)(p16),(p14)(p15)(p16),(p14)(p15)(p16),(p14)(p15)(p16),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17),(p15)(p16)(p17)(p18),(p15)(p16)(p17)(p18),(p16)(p17)(p18),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21),(p18)(p19)(p20)(p21)(p22),(p18)(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p19)(p20)(p21)(p22),(p20)(p21)(p22)(p23),(p20)(p21)(p22)(p23),(p20)(p21)(p22)(p23),(p20)(p21)(p22)(p23),(p21)(p22)(p23),(p21)(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","","0,5,8,12,16,18,21,26,28,32,36,41,47,51,55,60,62,67,68,71,73,76,79,84,87,90,96","thier,mlutiple,conditinos,wihch,willdife,witehr,betewen,precent,unpredcitable,thier,mamamls,reecnt,carreis,numbres,centruy,syurp,,precent,surivve,theratened,affiilated,sedes,especially,dangeruos,berak,creaetd,seieng,labeeld,otfen,effcetively,ntaive,naitve,two-thidrs,wehre,ofetn,worreis,deilght,ohters","36,60,58,60,11,17,30,50,9,22,10,46,52,43,53,62,43,27,33,13,75,15,24,15,51,21,22,21,32,34,58,15,12,18,41,76,16","1,1,2,1,1,1,1,2,2,1,1,2,2,2,2,1,1,0,1,1,2,2,2,2,1,1,1","0,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0","conditinos,wihch,witehr,reecnt,numbres,surivve,sedes,ntaive,naitve,ofetn,worreis","p3,p3,p5,p9,p11,p13,p15,p22,p23,p24,p25","69.85140000003577,70.99670000004768,88.58080000001192,136.521,161.26670000004768,188.0223000000119,227.25110000002385,260.9142000000477,280.7164000000358,289.5496000000238,298.7523000000119","savanna.,savanna,savanna,,savanna,","p1,p1,p26,p26","6.832600000023842,36.613200000047684,305.7812000000477,316.49790000003577","no_heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","397128","0.0-5.0","","","8596.699999988079","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","60fcc830872e6203086fa1a6_1650912547360","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","400063","0.0-6.0","","","2932.800000011921","While reading the article, how carefully did you pay attention?","","60fcc830872e6203086fa1a6_1650912547360","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","no_heading","100","","","","","","","","","",""
"","html-slider-response","7","403163","0.0-7.0","","","3098.5","How well do you feel you understood the key points of the article?","","60fcc830872e6203086fa1a6_1650912547360","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","no_heading","100","","","","","","","","","",""
"","html-slider-response","8","407317","0.0-8.0","","","4151.699999988079","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","60fcc830872e6203086fa1a6_1650912547360","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","no_heading","80","","","","","","","","","",""
"","html-slider-response","9","410797","0.0-9.0","","","3478.800000011921","How interesting did you find the topic of this article after the first few paragraphs?","","60fcc830872e6203086fa1a6_1650912547360","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","no_heading","100","","","","","","","","","",""
