"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","url","completion_code","inner_height","total_reading_time","total_scrolls","num_scrolls_up","scroll_type","scroll_time","scroll_duration","scroll_depth","onscreen_at_scroll","heading_depths","paragraph_depths","typos","typo_indices","typos_per_paragraph","num_typos_found","clicked_typos","clicked_typo_locations","clicked_typo_times","false_alarms","false_alarm_locations","false_alarm_times","expt_condition","response","responses","resp_age","resp_gender","resp_encountered","resp_article","resp_experiment","resp_experience","resp_mouse","resp_final","resp_attention"
"true","fullscreen","0","3038","0.0-0.0","1351","912","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","5481","0.0-1.0","1351","912","2437.7999999523163","<h5>In order to run this study, we need to include the standard consent form below.</h5><h3>Please read and press the Y key to continue.</h3><h1>Consent for Participation in a Research Study</h1><div style='width: 100%; text-align: center'><div style='display: inline-block; margin: 0 auto; padding: 10px 200px 10px 200px; text-align: left'><h5>STUDY TITLE</h5><p>Perceiving Objects and Events</p><h5>RESEARCH STUDY SUMMARY, RISKS, AND BENEFITS</h5><p>Thank you for volunteering to participate in this research study. The purpose of this study is to better understand how we see and how we think. Study activities will include examining simple displays and then responding by answering questions, pressing some keys, or using a computer mouse. Because these are activities that many people already experience hundreds or thousands of times every day, there are no risks involved in this study. The study may have no benefits to you, but it may help the scientific community come to better understand how the human mind works. Taking part in this study is your choice. You can choose to take part, or you can choose not to take part in this study. You can also change your mind at any time, with no penalty.</p><h5>DURATION</h5><p>If you agree to take part, the study will last approximately <strong> 12 minutes</strong>.</p><h5>COSTS AND COMPENSATION</h5><p>There are no costs associated with participation in this study. You will receive <strong>$1.62</strong> for participating.</p><h5>CONFIDENTIALITY</h5><p>No personally identifying information will be collected, so your participation will be anonymous. Your data will be pooled with those from other participants, and may be included in scientific publications and uploaded to public data repositories.</p><h5>LEARNING MORE</h5><p>If you have questions about this study, you may contact your experimenter Joan Ongchoco at joan.ongchoco@yale.edu. If you have questions about your rights as a research participant, or you have complaints about this research, you can contact the Yale Institutional Review Boards at 203-785-4688 or hrpp@yale.edu.</p><h5>INFORMED CONSENT</h5><p>Your participation indicates that you have read and understood this consent form and the information presented and that you agree to be in this study.</p></div></div><h2 style='text-align: center'>PRESS THE Y KEY TO CONSENT</h2><p></p><p></p>","89","60fefd6de6b470fd133b7d5d_1650912955881","consent","https://perceptionexperiments.net/JD/exehe/expt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","11281","0.0-2.0","","","5793.900000095367","<p>First, a quick note: Throughout this experiment, you will see greyed out text as in the last line below.</p><p>This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.</p>","null","60fefd6de6b470fd133b7d5d_1650912955881","audio_check","","4D93CD1C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","3","34712","0.0-3.0","","","23428.599999904633","<p>In this experiment, you will read an article about a randomly assigned topic.  <p>The article will appear on the next page. You can scroll through the page using your mouse or trackpad.  We want you to read it at a <b>natural pace</b>, as you would any other online article that you chose to read -- not just <i>skimming</i> it (e.g. as you might if you were not sure that you wanted to read it in the first place), but also not <i>studying</i> it (e.g. as you might if you had to take a test on it in school).  We really just want you to read it at your own comfortable pace.  At the end of the experiment, we will ask you several questions about the information in the article.  <p>While you are reading, you may encounter occasional typos (e.g. misspelled words).  Whenever you notice a typo, please click on the word.  <p>For example, try clicking on: <p><span id = ""typo"">tihs</span></p><p>Note that all words turn purple when clicked, not just typos, so please do not click indiscriminately!  You should <b>not</b> actively hunt for typos (as you might if you were asked to <i>proofread</i> the article).  We just want you to click on the typos that you happen to notice while you are reading naturally.  In other words, <b>please read the article with an emphasis on understanding its content</b>.  <p>The article will take around 5 minutes to read, after which you can press the q key to proceed to the next section.  (We will remind you about that, so that you do not have to remember which key to press.)  Note that you will not be able to proceed until 5 minutes have elapsed. Please use this time to read the article in its entirety!","null","60fefd6de6b470fd133b7d5d_1650912955881","instruct_prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","jd-text-scroll","4","448251","0.0-4.0","","","413505.80000019073","","","60fefd6de6b470fd133b7d5d_1650912955881","test_trial","","","912","373960.9000003338","178","40","down,up,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,down,down,down,up,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up,up,up,up,up,up,up,down,down,down,down,down,up,up,up,up,up,up,up,up,down,down,up","0.08580000019073486,1.3096000001430512,1.3379000000953674,1.3642000000476837,1.3844000000953673,1.9784000000953674,2.0028000001907347,2.022600000143051,2.042,2.060700000047684,2.1358000001907347,2.219,2.403700000047684,2.489200000047684,2.511300000190735,2.562200000047684,2.5865,2.608800000190735,2.670600000143051,2.739200000047684,2.874700000047684,2.9392000000476837,2.9585,2.977100000143051,3.0224000000953675,3.3762000000476835,3.4403000001907347,3.5049000000953674,4.333200000047683,4.966,8.706700000047684,9.610900000095368,10.576600000143051,11.278800000190735,12.572300000190735,13.52710000014305,16.25940000009537,16.5535,20.299,22.039300000190735,22.10960000014305,23.931200000047685,23.95890000009537,23.99960000014305,24.020100000143053,24.046100000143053,24.07190000009537,24.090300000190734,24.116900000095367,24.138,24.156100000143052,24.206800000190736,24.22560000014305,24.2625,24.3015,24.33660000014305,24.372900000095367,24.409700000047685,24.436200000047684,24.454,24.472200000047685,24.508800000190735,24.534200000047683,24.55260000014305,24.57110000014305,24.608600000143053,24.653200000047683,24.6715,24.73560000014305,24.763200000047682,24.813700000047685,24.886800000190735,25.707800000190733,25.81810000014305,29.55310000014305,29.965400000095368,30.054100000143052,30.099300000190734,32.178100000143054,33.890300000190734,35.077400000095366,35.15540000009537,35.972200000047685,41.16710000014305,41.731900000095365,47.465400000095364,47.640300000190734,48.35220000004768,49.69320000004768,51.10670000004768,58.864,68.252,68.52610000014305,69.16970000004768,69.6435,69.74610000014304,70.1795,70.98220000004768,71.62210000014305,82.846,82.95340000009537,83.428,83.50430000019074,94.5595,94.64920000004768,94.72520000004768,94.87640000009537,106.45060000014306,109.21140000009537,109.32770000004768,120.183,120.526,122.43090000009536,122.49370000004768,122.96760000014305,123.42170000004768,123.49040000009536,124.63140000009537,125.96560000014306,147.01890000009536,147.05830000019074,156.5727000000477,156.703,156.8405,170.04730000019075,170.08730000019074,170.28660000014304,170.5102000000477,170.58080000019075,189.773,189.88280000019074,189.90640000009537,190.34220000004768,190.478,204.0127000000477,204.20460000014305,205.86790000009537,218.67060000014305,219.16540000009536,228.50480000019073,228.58930000019075,228.84360000014306,229.12680000019074,263.4205,263.801,264.46010000014303,267.34180000019074,268.42220000004767,270.2845,271.12810000014304,273.192,274.8635,277.16060000014306,302.1297000000477,302.21590000009536,313.7635,313.82870000004766,313.8762000000477,313.95260000014304,314.2925,314.51030000019074,315.3985,324.53430000019074,324.8727000000477,332.54470000004767,332.63490000009534,332.719,332.96770000004767,350.7459000000954,350.8707000000477,350.9934000000954,351.2985,362.6862000000477,362.72520000004766,362.82170000004766,362.9723000001907,373.926600000143,375.8517000000477,433.6279000000954,498.04840000009534,498.0695,498.102,498.13410000014306,498.16810000014306,498.21770000004767,502.96230000019074,502.98220000004767,503.0052000000477,503.03360000014305,503.0679000000954,503.0924000000954,503.1182000000477,503.14230000019074,503.16930000019073,503.194,503.2194000000954,503.23740000009536,503.311100000143,511.03160000014304,511.05470000004766,511.079,511.10720000004767,511.12990000009535,511.1789000000954,516.0137000000477,516.041600000143,516.0663000001907,525.720600000143,525.7359000000954,525.7669000000953,525.785,525.813,525.8352000000477,525.8618000001908,525.912,526.1261000001431,526.1517000000476,526.1783000001907,526.1963000001907,526.2282000000477,528.3621000001431,528.3879000000953,528.446600000143,528.531,528.6673000001907,528.8996000001431,529.084,529.2215,530.041600000143,530.0613000001907,533.311600000143","-39544.81419985676,1.2237999999523164,0.028299999952316135,0.026299999952316355,0.02020000004768363,0.5940000000000001,0.024400000095367247,0.019799999952316405,0.019399999856948735,0.018700000047684018,0.07510000014305085,0.08319999980926518,0.18470000004768394,0.08550000000000013,0.022100000143050913,0.05089999985694904,0.02429999995231613,0.02230000019073497,0.06179999995231622,0.06859999990463272,0.13549999999999995,0.06449999999999978,0.019299999952316238,0.018600000143051076,0.04529999995231648,0.35379999995231604,0.06410000014305117,0.06459999990463272,0.828299999952316,0.6327999999523168,3.740700000047684,0.904200000047684,0.9657000000476827,0.702200000047684,1.2934999999999999,0.954799999952316,2.7322999999523176,0.2940999999046312,3.7455,1.7403000001907358,0.07029999995231506,1.8215999999046346,0.027700000047683915,0.04070000004768204,0.02050000000000196,0.0259999999999998,0.025799999952315744,0.018400000095365243,0.02659999990463291,0.02109999990463507,0.018100000143050465,0.0507000000476836,0.018799999952314295,0.03689999985694925,0.03900000000000148,0.035100000143049925,0.03629999995231614,0.03679999995231853,0.026499999999998636,0.017799999952316625,0.01820000004768474,0.03660000014304998,0.02539999985694763,0.018400000095368796,0.018499999999999517,0.03750000000000142,0.04459999990463004,0.018299999952319013,0.06410000014304984,0.02759999990463058,0.0505000000000031,0.07310000014305018,0.820999999999998,0.11029999995231776,3.7349999999999994,0.41229999995231736,0.08870000004768386,0.04520000004768221,2.07879999995232,1.7122000000476802,1.1870999999046319,0.07800000000000296,0.8167999999523161,5.194900000095366,0.5647999999523137,5.733499999999999,0.17490000009537,0.7118999998569464,1.341000000000001,1.413499999999999,7.757299999952316,9.387999999999998,0.2741000001430507,0.6435999999046373,0.4737999999523197,0.10260000014304183,0.43339999985695954,0.8027000000476789,0.6399000000953663,11.223899999856954,0.10740000009536743,0.4745999999046262,0.07630000019074146,11.055199999809261,0.08970000004768508,0.0759999999999934,0.15120000004769452,11.574200000047682,2.7607999999523116,0.11629999995231799,10.855299999952322,0.3429999999999893,1.9049000000953669,0.06279999995231833,0.4739000000953695,0.4540999999046278,0.06870000004768428,1.1410000000000053,1.3342000000476872,21.0532999999523,0.0394000000953838,9.514399999856948,0.13029999995231378,0.13749999999998863,13.206800000190754,0.03999999999999204,0.1992999999523022,0.22359999990464985,0.07060000014305956,19.192199999809247,0.1098000001907451,0.023599999904632796,0.4357999999523088,0.13579999995232583,13.534700000047678,0.1919000000953588,1.6632999999523292,12.802700000047679,0.4947999999523063,9.339400000095367,0.08450000000001978,0.254299999952309,0.2832000000476853,34.29369999980926,0.38049999999998363,0.6591000001430416,2.881700000047715,1.0803999998569225,1.862299999952313,0.8436000001430557,2.0638999998569716,1.6714999999999804,2.2971000001430752,24.969099999904643,0.08620000004765416,11.547599999904662,0.06520000004763915,0.04750000000001364,0.07640000009536152,0.33989999985698205,0.21780000019072077,0.8881999998092738,9.135800000190727,0.3383999998569607,7.671999999999969,0.09020000004767326,0.08409999990465167,0.2487000000476769,17.77820000004772,0.12479999995230173,0.12270000004770054,0.30509999990459846,11.387700000047687,0.03899999999998727,0.09649999999999181,0.15060000014307207,10.954299999952298,1.9250999999046599,57.77620000004771,64.42049999999995,0.02109999990466349,0.03249999999997044,0.03210000014308889,0.033999999999991815,0.04959999990461483,4.744600000143066,0.019899999856932027,0.023000000000024556,0.0284000000953597,0.03429999995233857,0.024499999999989086,0.02579999995231219,0.024100000143050693,0.026999999999986812,0.024699999809286055,0.025400000095373798,0.01799999999997226,0.07370000004766553,7.7205000000000155,0.023099999904616197,0.024299999952347662,0.028200000047661433,0.022700000047677804,0.049000000000035016,4.834799999952338,0.02790000009531468,0.024700000047687354,9.654299999952286,0.015299999952389953,0.03099999999994907,0.018099999904620745,0.02800000000002001,0.02220000004774647,0.02660000014304842,0.050199999809251494,0.21410000014304842,0.02559999990455708,0.02660000014304842,0.018000000000029104,0.03189999985693248,2.133900000095423,0.025799999952255348,0.05870000004767917,0.08439999985694158,0.13630000019077215,0.2322999999523745,0.18439999985685063,0.13750000000004547,0.820100000143043,0.0197000000476919,3.25029999995229","8,7,5,2,0,1,3,5,6,7,8,9,10,12,14,15,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,38,37,35,33,31,30,29,28,27,26,25,24,23,22,21,20,19,17,15,14,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,0,3,8,11,14,15,16,19,26,33,39,43,47,50,54,56,59,61,62,63,67,76,84,87,90,91,92,96,100,98,96,94,92,90,88,87,86,87,88,91,96,100,99,98,97,96,95,94,93,92,98,100,0",",(p3)(p4)(p5)(p6),(p3)(p4)(p5),(p3)(p4)(p5)(p2),(p3)(p4)(p2)(p1),(p3)(p2)(p1),(p3)(p2)(p1),(p3)(p2)(p4),(p3)(p2)(p4)(p5),(p3)(p2)(p4)(p5),(p3)(p4)(p5)(p6),(p3)(p4)(p5)(p6),(p3)(p4)(p5)(p6)(h1),(p3)(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8)(p9),(h1)(p7)(p8)(p9),(h1)(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10)(h2),(p8)(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2)(p11),(p9)(p10)(h2)(p11),(p9)(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11)(p12),(h2)(p11)(p12),(h2)(p11)(p12),(h2)(p11)(p12),(h2)(p11)(p12),(h2)(p11)(p12)(p10),(h2)(p11)(p10),(h2)(p11)(p10),(h2)(p11)(p10)(p9),(h2)(p10)(p9),(h2)(p10)(p9)(p8),(h2)(p10)(p9)(p8),(h2)(p10)(p9)(p8),(p10)(p9)(p8),(p10)(p9)(p8)(p7),(p9)(p8)(p7),(p9)(p8)(p7),(p9)(p8)(p7)(h1),(p9)(p8)(p7)(h1),(p9)(p8)(p7)(h1)(p6),(p8)(p7)(h1)(p6),(p8)(p7)(h1)(p6)(p5),(p7)(h1)(p6)(p5),(p7)(h1)(p6)(p5)(p4),(p7)(h1)(p6)(p5)(p4),(h1)(p6)(p5)(p4),(h1)(p6)(p5)(p4)(p3),(h1)(p6)(p5)(p4)(p3),(p6)(p5)(p4)(p3),(p5)(p4)(p3),(p5)(p4)(p3)(p2),(p5)(p4)(p3)(p2),(p4)(p3)(p2),(p4)(p3)(p2),(p4)(p3)(p2)(p1),(p3)(p2)(p1),(p3)(p2)(p1),(p3)(p2)(p1)(p4),(p3)(p2)(p4),(p3)(p2)(p4),(p3)(p2)(p4)(p1),(p3)(p2)(p1),(p3)(p2)(p1),(p3)(p2)(p1)(p4),(p3)(p2)(p4),(p3)(p2)(p4),(p3)(p2)(p4)(p5),(p3)(p2)(p4)(p5),(p3)(p4)(p5),(p3)(p4)(p5)(p6),(p3)(p4)(p5)(p6),(p3)(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1),(p4)(p5)(p6)(h1)(p7),(p4)(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7),(p5)(p6)(h1)(p7)(p8),(p5)(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(p6)(h1)(p7)(p8),(h1)(p7)(p8)(p9),(h1)(p7)(p8)(p9),(h1)(p7)(p8)(p9),(p7)(p8)(p9),(p7)(p8)(p9)(p10),(p7)(p8)(p9)(p10),(p8)(p9)(p10),(p8)(p9)(p10)(h2),(p8)(p9)(p10)(h2),(p9)(p10)(h2),(p9)(p10)(h2)(p11),(p9)(p10)(h2)(p11),(p9)(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11),(p10)(h2)(p11)(p12),(h2)(p11)(p12),(h2)(p11)(p12),(h2)(p11)(p12),(p11)(p12)(h3),(p11)(p12)(h3),(p11)(p12)(h3),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13),(p12)(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14),(h3)(p13)(p14)(p15),(h3)(p13)(p14)(p15),(p13)(p14)(p15),(p13)(p14)(p15)(h4),(p14)(p15)(h4),(p14)(p15)(h4)(p16),(p14)(p15)(h4)(p16),(p14)(p15)(h4)(p16),(p14)(p15)(h4)(p16),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17),(p15)(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18),(h4)(p16)(p17)(p18)(p19),(h4)(p16)(p17)(p18)(p19),(h4)(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19),(p16)(p17)(p18)(p19)(p20),(p17)(p18)(p19)(p20)(h5),(p17)(p18)(p19)(p20)(h5),(p17)(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21),(p18)(p19)(p20)(h5)(p21)(p22),(p18)(p19)(p20)(h5)(p21)(p22),(p19)(p20)(h5)(p21)(p22),(p19)(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22),(p20)(h5)(p21)(p22)(p23),(p20)(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23),(h5)(p21)(p22)(p23)(p24),(p21)(p22)(p23)(p24),(p21)(p22)(p23)(p24),(p22)(p23)(p24),(p22)(p23)(p24)(p25),(p22)(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25),(p23)(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p24)(p25)(p26),(p25)(p26)(p27),(p25)(p26)(p27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","20,35,46,60,74","0,4,8,11,15,17,21,25,27,31,36,41,47,52,55,61,63,67,68,72,75,77,80,85,87,91,96","elpehant,stoamch,mmamal,,codnitions,thier,cuold,sepcies,conecrn,popluations,feewr,unpredcitable,wasy.,outisde,sedes,numbres,colud,surivve,maeks,disapepar,bidrs,mirgatory,cna’t,patricular,lrager,ntaive,withuot,dno’t,natvie,arirvals,plnats,bidrs,retsore,typiclaly,landsacpe,reutrning,stlits,hamrs","11,37,41,58,48,29,31,11,36,17,9,12,66,59,43,63,27,13,36,29,69,12,15,74,36,9,37,42,22,25,9,37,32,21,17,37,15","1,2,1,1,1,2,2,2,1,1,1,1,2,2,1,2,1,0,2,1,1,2,1,2,2,1,1","0,1,1,0,1,2,1,1,0,1,0,0,1,0,0,1,1,0,2,1,0,1,1,1,0,1,1","sedes,mmamal,,codnitions,cuold,conecrn,sepcies,feewr,wasy.,surivve,cna’t,lrager,withuot,ntaive,dno’t,plnats,bidrs,typiclaly,stlits,hamrs","p10,p2,p3,p5,p6,p6,p7,p8,p13,p16,p17,p19,p19,p20,p22,p23,p24,p26,p27","23.372,27.566800000190735,40.135700000047684,54.39010000014305,61.417900000095365,67.09720000004768,73.34030000019074,88.59690000009537,180.50730000019072,257.7615,279.76960000014304,291.14480000019074,296.05220000004766,312.96560000014307,328.9504000000954,336.3592000000477,359.60970000004767,385.14730000019074,405.853","reports.,the","p11,p15","146.83660000014305,208.5205","heading","","","","","","","","","","",""
"","jo-html-keyboard-response","5","464620","0.0-5.0","","","16339.299999952316","<p>In the next section, you will be asked a series of questions which all require the use of a 'slider.'  <p>To use the slider, move the white disc on the line to a location that reflects your response to the question.  <p>For example, you might be asked how well you paid attention to the article while reading.  If you were completely focused on the article, you should move the disc to the very right end of the slider.<br><img src='images/sample_sliders/slider100.png'></img><p>If you were completely distracted, you should put the disc at the vey left end of the slider).<br><img src='images/sample_sliders/slider0.png'></img><p>If you were somewhat focused, but not entirely, you should put the disc somewhere in between depending on how focused you were.<br><img src='images/sample_sliders/slider50.png'></img><p>When you're confident in your answer, press the continue button.","null","60fefd6de6b470fd133b7d5d_1650912955881","instruct_prompt2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","6","468362","0.0-6.0","","","3738.899999856949","While reading the article, how carefully did you pay attention?","","60fefd6de6b470fd133b7d5d_1650912955881","extra_attn","","","","","","","","","","","","","","","","","","","","","","","","heading","100","","","","","","","","","",""
"","html-slider-response","7","473852","0.0-7.0","","","5487.099999904633","How well do you feel you understood the key points of the article?","","60fefd6de6b470fd133b7d5d_1650912955881","extra_q1","","","","","","","","","","","","","","","","","","","","","","","","heading","94","","","","","","","","","",""
"","html-slider-response","8","479178","0.0-8.0","","","5322.200000047684","Sometimes, informative articles of this kind are engaging and fun to read; others are boring and tedious.  How enjoyable did you find this article?","","60fefd6de6b470fd133b7d5d_1650912955881","extra_q2","","","","","","","","","","","","","","","","","","","","","","","","heading","74","","","","","","","","","",""
"","html-slider-response","9","482058","0.0-9.0","","","2877.600000143051","How interesting did you find the topic of this article after the first few paragraphs?","","60fefd6de6b470fd133b7d5d_1650912955881","extra_q3","","","","","","","","","","","","","","","","","","","","","","","","heading","75","","","","","","","","","",""
